"file_number","start_date","finish_date","work_reason","street_full_name","road_segment_intersections","intersecting_streets","spatial_reference","peak_hour_restrictions","bike_facilities_affected","on_street_parking_affected","pedestrian_affected","latitude","longitude","location","geometry_multiline"
"P2019-005343","2019-08-19T00:00:00.000","2023-09-01T00:00:00.000","OTHER","MULLEN ROAD NW","From MULLEN ROAD NW; To MULLEN ROAD NW",,"No Spatial Reference","6 - Special Arrangement","No","Unknown","No",,,,
"P2021-001303","2021-03-10T00:00:00.000","2031-06-22T00:00:00.000","X - OSCAM ADMIN","109 STREET [SOUTHBOUND SIDE] NW","From 97 AVENUE NW; To HIGH LEVEL BRIDGE NW",,"No Spatial Reference","1 - Standard (06:00-09:00, 15:30-18:30 hrs.)","Unknown","Unknown","Unknown",,,,
"P2022-006498","2022-08-15T00:00:00.000","2022-09-14T00:00:00.000","F.A.C. INSPECTION","111 AVENUE NW","From 111 STREET NW; To 113 STREET NW",,"No Spatial Reference","1 - Standard (06:00-09:00, 15:30-18:30 hrs.)","No","Yes","No",,,,
"P2022-005960","2022-07-27T00:00:00.000","2022-09-30T00:00:00.000","OTHER","84 AVENUE NW","From 152 STREET NW; To 153 STREET NW",,"Actual Road Segment",,"No","No","No","53.5169286933888","-113.58369032977362","
,  
(53.5169286933888, -113.58369032977362)",
"P2022-001710","2022-03-28T00:00:00.000","2022-12-31T00:00:00.000","TREE SHRUB HOARDING","136 STREET NW","From STONY PLAIN ROAD NW; To 104 AVENUE NW",,"Actual Road Segment","2 - No Restrictions","No","No","No","53.54544985904271","-113.55632301916921","
,  
(53.54544985904271, -113.55632301916921)",
"P2022-001726","2022-04-04T00:00:00.000","2022-09-30T00:00:00.000","ROAD CONSTRUCTION REHAB","119 AVENUE NW","From 93 STREET NW; To 94 STREET NW",,"Actual Road Segment","2 - No Restrictions","No","Yes","Yes","53.571963622593785","-113.48500944984498","
,  
(53.571963622593785, -113.48500944984498)",
"P2022-001312","2022-04-11T00:00:00.000","2022-10-24T00:00:00.000","ROAD CONSTRUCTION REHAB","90 STREET NW","From 116 AVENUE NW; To 117 AVENUE NW",,"Actual Road Segment","6 - Special Arrangement","Yes","Yes","Yes","53.56812161235305","-113.47971364168316","
,  
(53.56812161235305, -113.47971364168316)",
"P2022-005960","2022-07-27T00:00:00.000","2022-09-30T00:00:00.000","OTHER","150 STREET NW","From 85 AVENUE NW; To 86 AVENUE NW",,"Actual Road Segment",,"No","No","No","53.51815843370418","-113.57956706791438","
,  
(53.51815843370418, -113.57956706791438)",
"P2021-009941","2021-11-17T00:00:00.000","2022-09-15T00:00:00.000","WASTE BIN POD SEACAN","139 STREET NW","From 84 AVENUE NW; To 85 AVENUE NW",,"Actual Road Segment","2 - No Restrictions","No","Yes","No","53.51681075359305","-113.56097528909928","
,  
(53.51681075359305, -113.56097528909928)",
"P2022-006571","2022-08-29T00:00:00.000","2022-10-31T00:00:00.000","POWER REPAIR REPLACE","101 STREET NW","From 96 AVENUE NW; To 97 AVENUE NW",,"Actual Road Segment",,"No","No","No","53.53326387677578","-113.49372049780862","
,  
(53.53326387677578, -113.49372049780862)",
