"ward","neighbourhood_number","neighbourhood_name","age","female","male","other"
"WARD 1","3140","CRESTWOOD","0","8","8","0"
"WARD 1","3140","CRESTWOOD","1","11","2","0"
"WARD 1","3140","CRESTWOOD","2","9","4","0"
"WARD 1","3140","CRESTWOOD","3","7","6","0"
"WARD 1","3140","CRESTWOOD","4","10","3","0"
"WARD 1","3140","CRESTWOOD","5","6","10","0"
"WARD 1","3140","CRESTWOOD","6","7","2","0"
"WARD 1","3140","CRESTWOOD","7","9","10","0"
"WARD 1","3140","CRESTWOOD","8","6","18","0"
"WARD 1","3140","CRESTWOOD","9","8","7","0"
"WARD 1","3140","CRESTWOOD","10","9","8","0"
"WARD 1","3140","CRESTWOOD","11","17","9","0"
"WARD 1","3140","CRESTWOOD","12","6","14","0"
"WARD 1","3140","CRESTWOOD","13","10","10","0"
"WARD 1","3140","CRESTWOOD","14","6","8","0"
"WARD 1","3140","CRESTWOOD","15","12","6","0"
"WARD 1","3140","CRESTWOOD","16","10","11","0"
"WARD 1","3140","CRESTWOOD","17","8","13","0"
"WARD 1","3140","CRESTWOOD","18","7","11","0"
"WARD 1","3140","CRESTWOOD","19","14","7","0"
"WARD 1","3140","CRESTWOOD","20","6","8","0"
"WARD 1","3140","CRESTWOOD","21","8","10","0"
"WARD 1","3140","CRESTWOOD","22","6","10","0"
"WARD 1","3140","CRESTWOOD","23","10","10","0"
"WARD 1","3140","CRESTWOOD","24","3","5","0"
"WARD 1","3140","CRESTWOOD","25","6","11","0"
"WARD 1","3140","CRESTWOOD","26","2","6","0"
"WARD 1","3140","CRESTWOOD","27","7","5","0"
"WARD 1","3140","CRESTWOOD","28","9","9","0"
"WARD 1","3140","CRESTWOOD","29","3","4","0"
"WARD 1","3140","CRESTWOOD","30","3","2","0"
"WARD 1","3140","CRESTWOOD","31","7","6","0"
"WARD 1","3140","CRESTWOOD","32","8","6","0"
"WARD 1","3140","CRESTWOOD","33","9","6","0"
"WARD 1","3140","CRESTWOOD","34","7","5","0"
"WARD 1","3140","CRESTWOOD","35","3","6","0"
"WARD 1","3140","CRESTWOOD","36","6","5","0"
"WARD 1","3140","CRESTWOOD","37","5","8","0"
"WARD 1","3140","CRESTWOOD","38","12","9","0"
"WARD 1","3140","CRESTWOOD","39","9","11","0"
"WARD 1","3140","CRESTWOOD","40","8","7","0"
