"age","female","male"
"0","3729","3954"
"1","4141","4299"
"2","4146","4315"
"3","4172","4198"
"4","4000","4255"
"5","3895","4112"
"6","3660","3830"
"7","3648","3724"
"8","3493","3746"
"9","3527","3624"
"10","3480","3626"
"11","3532","3637"
"12","3589","3694"
"13","3555","3724"
"14","3608","3642"
"15","3548","3877"
"16","3820","3884"
"17","3801","3904"
"18","4066","4291"
"19","4534","4402"
"20","5005","4925"
"21","5520","5418"
"22","5491","5888"
"23","5522","5854"
"24","5512","5657"
"25","5754","6008"
"26","5894","6173"
"27","5762","6097"
"28","5740","6128"
"29","5851","6185"
"30","5816","5894"
"31","5558","5915"
"32","5434","5735"
"33","5275","5509"
"34","4923","5275"
"35","4962","5127"
"36","4969","5243"
"37","4717","4783"
"38","4462","4622"
"39","4541","4739"
"40","4447","4637"
"41","4648","4865"
"42","4619","4819"
"43","4654","4683"
"44","4431","4564"
"45","4383","4369"
"46","4447","4683"
"47","4801","4970"
"48","4997","4959"
"49","5153","5153"
"50","4957","4869"
"51","5123","5140"
"52","4953","4929"
"53","4826","4835"
"54","4748","4750"
"55","4604","4729"
"56","4521","4645"
"57","4426","4507"
"58","4134","4092"
"59","3863","3941"
"60","3624","3623"
"61","3416","3460"
"62","3293","3220"
"63","3087","2999"
"64","3113","3020"
"65","3005","2964"
"66","2525","2342"
"67","2315","2123"
"68","2240","2089"
"69","2210","2020"
"70","2089","1777"
"71","2006","1813"
"72","1939","1631"
"73","1773","1610"
"74","1809","1506"
"75","1720","1380"
"76","1747","1382"
"77","1612","1286"
"78","1593","1282"
"79","1567","1206"
"80","1471","1221"
"81","1476","1172"
"82","1351","1032"
"83","1244","891"
"84","1053","753"
"85+","5662","3370"
"No Response","64501","70539"
