"age","female","male","other"
"0","4124","3621","6"
"1","3877","3630","6"
"2","4304","3985","5"
"3","4151","3968","3"
"4","4325","4006","3"
"5","4445","4183","1"
"6","4253","4054","0"
"7","4225","3936","2"
"8","4205","3996","4"
"9","4036","3825","2"
"10","3850","3729","0"
"11","3585","3354","1"
"12","3546","3463","2"
"13","3497","3379","0"
"14","3479","3298","1"
"15","3644","3496","3"
"16","3668","3466","7"
"17","3560","3462","6"
"18","3647","3506","8"
"19","3829","3726","8"
"20","4461","4305","9"
"21","4609","4327","10"
"22","4723","4371","8"
"23","4867","4526","4"
"24","5031","4693","8"
"25","5528","5229","5"
"26","5751","5452","4"
"27","5663","5240","9"
"28","5791","5259","8"
"29","5996","5447","10"
"30","6074","5602","8"
"31","6103","5481","6"
"32","6193","5590","4"
"33","6091","5469","7"
"34","6035","5338","9"
"35","5632","5268","8"
"36","5553","5309","6"
"37","5420","4984","3"
"38","5143","4829","3"
"39","5104","4800","4"
"40","4855","4574","4"
"41","4766","4591","2"
"42","4790","4380","3"
"43","4538","4204","0"
"44","4588","4293","5"
"45","4537","4392","1"
"46","4544","4372","2"
"47","4556","4188","2"
"48","4408","4071","2"
"49","4232","4006","3"
"50","4375","4106","2"
"51","4780","4486","3"
"52","4994","4518","5"
"53","5052","4470","3"
"54","4888","4267","1"
"55","5006","4447","2"
"56","5086","4421","5"
"57","4912","4390","5"
"58","4889","4423","5"
"59","4751","4336","6"
"60","4481","4024","4"
"61","4403","3951","4"
"62","4296","3750","6"
"63","4050","3537","2"
"64","3839","3353","3"
"65","3517","3151","6"
"66","3545","3044","12"
"67","3323","2852","2"
"68","3348","2906","1"
"69","3172","2739","2"
"70","2632","2072","0"
"71","2564","1986","1"
"72","2468","1943","2"
"73","2307","1875","5"
"74","2272","1635","1"
"75","2150","1603","4"
"76","2074","1564","0"
"77","1968","1491","2"
"78","1986","1435","1"
"79","1820","1300","3"
"80","1477","1148","0"
"81","1370","1015","2"
"82","1322","946","1"
"83","1297","913","2"
"84","1155","867","1"
"85+","8006","4501","3"
"No response","106065","112625","880"
