"gender","population"
"Identified as another gender","289"
"Man/boy","434426"
"Non-binary","717"
"Prefer Not to Answer","94315"
"Trans Man (FtM)","310"
"Trans Woman (MtF)","337"
"Two-Spirit","284"
"Woman/girl","441545"
