"age","female","male"
"0","3970","3967"
"1","4196","4330"
"2","3997","4026"
"3","3604","3812"
"4","3628","3685"
"5","3496","3856"
"6","3439","3613"
"7","3385","3512"
"8","3649","3822"
"9","3745","3798"
"10","3683","3930"
"11","3611","3789"
"12","3660","3953"
"13","3894","4028"
"14","3876","4000"
"15","3905","4170"
"16","4061","4078"
"17","3919","4030"
"18","4679","4952"
"19","5214","5408"
"20","5552","5443"
"21","5816","5752"
"22","6119","6077"
"23","6215","6473"
"24","6172","6448"
"25","6218","6473"
"26","6008","6524"
"27","5693","5878"
"28","5885","6292"
"29","5881","6216"
"30","5574","5884"
"31","5095","5443"
"32","5171","5409"
"33","5120","5355"
"34","4791","5156"
"35","4760","5045"
"36","4719","4863"
"37","4429","4520"
"38","4897","5155"
"39","5023","5285"
"40","4883","5054"
"41","4694","4905"
"42","4662","4650"
"43","4778","4913"
"44","5074","5298"
"45","5287","5264"
"46","5366","5351"
"47","4828","4784"
"48","5400","5476"
"49","5560","5451"
"50","5252","5315"
"51","5090","5093"
"52","5051","5190"
"53","4927","4962"
"54","4729","4886"
"55","4514","4550"
"56","4139","4145"
"57","3683","3634"
"58","3766","3922"
"59","3677","3704"
"60","3344","3401"
"61","3364","3327"
"62","3224","3199"
"63","2770","2630"
"64","2542","2371"
"65","2413","2304"
"66","2357","2172"
"67","2126","1852"
"68","2271","2006"
"69","2198","1891"
"70","1968","1805"
"71","2038","1657"
"72","1911","1614"
"73","1972","1679"
"74","1866","1579"
"75","1903","1500"
"76","1812","1415"
"77","1612","1324"
"78","1791","1467"
"79","1731","1369"
"80","1577","1121"
"81","1407","1035"
"82","1283","949"
"83","1217","841"
"84","1092","706"
"85+","6160","3785"
"No Response","42891","47571"
