"year","month","month_number","license_date","neighbourhood","neighbourhood_id","pet_type","breed","gender","spayed_or_neutered","latitude","longitude","location","count","point_location"
"2022","May","5","2022-05-01T00:00:00.000",,,"Dog","PUG","Female","Yes",,,,"1",
"2022","August","8","2022-08-23T00:00:00.000",,,"Dog","BASENJI","Female","Yes",,,,"1",
"2022","July","7","2022-07-09T00:00:00.000",,,"Cat","DOMESTIC (SHORT HAIR)","Male","Yes",,,,"1",
"2022","February","2","2022-02-03T00:00:00.000",,,"Dog","GERMAN SHEPHERD","Female","Yes",,,,"1",
"2022","May","5","2022-05-14T00:00:00.000",,,"Cat","DOMESTIC (SHORT HAIR)","Male","Yes",,,,"1",
"2021","December","12","2021-12-20T00:00:00.000",,,"Cat","DOMESTIC (SHORT HAIR)","Female","Yes",,,,"1",
"2021","April","4","2021-04-26T00:00:00.000",,,"Dog","UNKNOWN","Female","Yes",,,,"1",
"2021","October","10","2021-10-20T00:00:00.000",,,"Dog","GREATER SWISS MOUNTAIN DOG","Male","Yes",,,,"1",
"2022","March","3","2022-03-12T00:00:00.000",,,"Dog","COCKER SPANIEL","Female","Yes",,,,"1",
"2022","February","2","2022-02-16T00:00:00.000",,,"Dog","CHIHUAHUA (SHORT HAIR)","Male","Yes",,,,"1",
"2022","June","6","2022-06-13T00:00:00.000",,,"Cat","DOMESTIC (SHORT HAIR)","Female","Yes",,,,"1",
"2020","November","11","2020-11-30T00:00:00.000",,,"Dog","LABRADOR RETRIEVER","Male","Yes",,,,"1",
"2021","November","11","2021-11-18T00:00:00.000",,,"Dog","POODLE (STANDARD)","Male","No",,,,"1",
"2022","August","8","2022-08-24T00:00:00.000",,,"Dog","SIBERIAN HUSKY","Male","Yes",,,,"1",
"2022","June","6","2022-06-15T00:00:00.000",,,"Dog","AUSTRALIAN SHEPHERD","Male","No",,,,"1",
"2021","September","9","2021-09-15T00:00:00.000",,,"Dog","GERMAN SHEPHERD","Male","Yes",,,,"1",
"2021","November","11","2021-11-25T00:00:00.000",,,"Dog","GOLDEN RETRIEVER","Male","Yes",,,,"1",
"2021","February","2","2021-02-26T00:00:00.000",,,"Dog","LABRADOR RETRIEVER","Female","Yes",,,,"1",
"2021","November","11","2021-11-01T00:00:00.000",,,"Cat","DOMESTIC (SHORT HAIR)","Female","Yes",,,,"1",
"2022","January","1","2022-01-19T00:00:00.000",,,"Dog","YORKSHIRE TERRIER","Female","Yes",,,,"1",
"2022","January","1","2022-01-28T00:00:00.000",,,"Dog","UNKNOWN","Female","Yes",,,,"1",
"2022","May","5","2022-05-15T00:00:00.000",,,"Dog","GOLDEN RETRIEVER","Female","Yes",,,,"1",
"2022","January","1","2022-01-27T00:00:00.000",,,"Dog","HAVANESE","Female","Yes",,,,"1",
"2021","October","10","2021-10-19T00:00:00.000",,,"Dog","POODLE (STANDARD)","Female","Yes",,,,"1",
"2022","August","8","2022-08-30T00:00:00.000",,,"Cat","DOMESTIC (SHORT HAIR)","Female","Yes",,,,"1",
"2022","June","6","2022-06-30T00:00:00.000",,,"Dog","LABRADOR RETRIEVER","Female","Yes",,,,"1",
"2022","July","7","2022-07-11T00:00:00.000",,,"Cat","DOMESTIC (SHORT HAIR)","Male","Yes",,,,"1",
"2022","February","2","2022-02-28T00:00:00.000",,,"Cat","DOMESTIC (MEDIUM HAIR)","Male","Yes",,,,"1",
"2021","August","8","2021-08-17T00:00:00.000",,,"Dog","LABRADOR RETRIEVER","Male","Yes",,,,"1",
"2021","November","11","2021-11-07T00:00:00.000",,,"Cat","RUSSIAN BLUE","Female","Yes",,,,"1",
"2022","February","2","2022-02-22T00:00:00.000",,,"Cat","DOMESTIC (MEDIUM HAIR)","Male","Yes",,,,"1",
"2022","April","4","2022-04-20T00:00:00.000",,,"Cat","DOMESTIC (SHORT HAIR)","Male","Yes",,,,"1",
"2022","May","5","2022-05-30T00:00:00.000",,,"Cat","DOMESTIC (SHORT HAIR)","Female","Yes",,,,"1",
"2022","January","1","2022-01-31T00:00:00.000",,,"Dog","JACK RUSSELL TERRIER","Male","Yes",,,,"1",
"2022","April","4","2022-04-21T00:00:00.000",,,"Dog","GERMAN SHEPHERD","Male","No",,,,"1",
"2021","October","10","2021-10-19T00:00:00.000",,,"Dog","YORKSHIRE TERRIER","Female","Yes",,,,"1",
"2022","April","4","2022-04-12T00:00:00.000",,,"Cat","DOMESTIC (SHORT HAIR)","Female","Yes",,,,"1",
"2022","June","6","2022-06-21T00:00:00.000",,,"Cat","DOMESTIC (MEDIUM HAIR)","Female","Yes",,,,"1",
"2022","March","3","2022-03-21T00:00:00.000",,,"Cat","DOMESTIC (SHORT HAIR)","Female","Yes",,,,"1",
"2022","August","8","2022-08-30T00:00:00.000",,,"Dog","YORKSHIRE TERRIER","Female","No",,,,"1",
"2022","July","7","2022-07-14T00:00:00.000",,,"Dog","AMERICAN STAFFORDSHIRE TERRIER","Male","Yes",,,,"1",
"2022","April","4","2022-04-22T00:00:00.000",,,"Dog","POMERANIAN","Female","Yes",,,,"1",
"2021","November","11","2021-11-26T00:00:00.000",,,"Dog","COCKER SPANIEL","Male","Yes",,,,"1",
"2022","April","4","2022-04-04T00:00:00.000",,,"Dog","BORDER COLLIE","Male","Yes",,,,"1",
"2021","October","10","2021-10-19T00:00:00.000",,,"Dog","CAVALIER KING CHARLES SPANIEL","Female","Yes",,,,"1",
"2020","November","11","2020-11-08T00:00:00.000","Britannia Youngstown","4060","Dog","GERMAN SHEPHERD","Male","Yes","53.546294619699125","-113.60151037145036","
,  
(53.546294619699125, -113.60151037145036)","1","POINT (-113.60151037145036 53.546294619699125)"
"2021","October","10","2021-10-21T00:00:00.000","Kilkenny","2410","Dog","POODLE (MINIATURE)","Female","Yes","53.610377929087065","-113.45511917405544","
,  
(53.610377929087065, -113.45511917405544)","1","POINT (-113.45511917405544 53.610377929087065)"
"2022","August","8","2022-08-02T00:00:00.000","Belvedere","2080","Cat","DOMESTIC (SHORT HAIR)","Female","Yes","53.59105689715699","-113.436062931766","
,  
(53.59105689715699, -113.436062931766)","1","POINT (-113.436062931766 53.59105689715699)"
"2021","December","12","2021-12-30T00:00:00.000","Calder","3070","Dog","GERMAN SHEPHERD","Female","Yes","53.588055781248286","-113.52887205483249","
,  
(53.588055781248286, -113.52887205483249)","1","POINT (-113.52887205483249 53.588055781248286)"
"2022","May","5","2022-05-02T00:00:00.000","Ramsay Heights","5340","Dog","GOLDEN RETRIEVER","Female","Yes","53.483367623497735","-113.57903399166699","
,  
(53.483367623497735, -113.57903399166699)","1","POINT (-113.57903399166699 53.483367623497735)"
"2022","August","8","2022-08-02T00:00:00.000","Wild Rose","6790","Dog","CHIHUAHUA (SHORT HAIR)","Male","Yes","53.47056409015751","-113.3811672388747","
,  
(53.47056409015751, -113.3811672388747)","1","POINT (-113.3811672388747 53.47056409015751)"
"2021","December","12","2021-12-01T00:00:00.000","Lee Ridge","6400","Dog","LABRADOR RETRIEVER","Female","Yes","53.469592971453245","-113.44435531960228","
,  
(53.469592971453245, -113.44435531960228)","1","POINT (-113.44435531960228 53.469592971453245)"
"2022","February","2","2022-02-22T00:00:00.000","Larkspur","6390","Dog","GOLDEN RETRIEVER","Female","Yes","53.4802104573005","-113.38123994870551","
,  
(53.4802104573005, -113.38123994870551)","1","POINT (-113.38123994870551 53.4802104573005)"
"2022","July","7","2022-07-06T00:00:00.000","Holyrood","6310","Cat","DOMESTIC (LONG HAIR)","Male","Yes","53.5313605818029","-113.45018981988963","
,  
(53.5313605818029, -113.45018981988963)","1","POINT (-113.45018981988963 53.5313605818029)"
"2022","June","6","2022-06-05T00:00:00.000","Dovercourt","3170","Cat","DOMESTIC (SHORT HAIR)","Female","Yes","53.57572651756179","-113.55953411141283","
,  
(53.57572651756179, -113.55953411141283)","1","POINT (-113.55953411141283 53.57572651756179)"
"2020","December","12","2020-12-25T00:00:00.000","Beacon Heights","2040","Dog","AMERICAN STAFFORDSHIRE TERRIER","Male","No","53.57353937720545","-113.40604010233069","
,  
(53.57353937720545, -113.40604010233069)","1","POINT (-113.40604010233069 53.57353937720545)"
"2022","April","4","2022-04-25T00:00:00.000","Delwood","2230","Dog","AMERICAN STAFFORDSHIRE TERRIER","Male","Yes","53.59594894276053","-113.4551303486196","
,  
(53.59594894276053, -113.4551303486196)","1","POINT (-113.4551303486196 53.59594894276053)"
"2022","July","7","2022-07-14T00:00:00.000","Kildare","2400","Dog","SHIH TZU","Female","Yes","53.60329283648903","-113.45515009570993","
,  
(53.60329283648903, -113.45515009570993)","1","POINT (-113.45515009570993 53.60329283648903)"
"2022","June","6","2022-06-11T00:00:00.000","Kirkness","2430","Cat","DOMESTIC (MEDIUM HAIR)","Female","Yes","53.611416205013775","-113.38839885107339","
,  
(53.611416205013775, -113.38839885107339)","1","POINT (-113.38839885107339 53.611416205013775)"
"2021","November","11","2021-11-02T00:00:00.000","Sweet Grass","5490","Dog","SHIH TZU","Male","Yes","53.46431590241292","-113.52756884463375","
,  
(53.46431590241292, -113.52756884463375)","1","POINT (-113.52756884463375 53.46431590241292)"
"2022","February","2","2022-02-14T00:00:00.000","Terrace Heights","6730","Dog","SCHNAUZER (STANDARD)","Female","Yes","53.542080743587455","-113.43780112956907","
,  
(53.542080743587455, -113.43780112956907)","1","POINT (-113.43780112956907 53.542080743587455)"
"2022","June","6","2022-06-06T00:00:00.000","Mayfield","4290","Dog","VIZSLA (SMOOTH HAIRED)","Female","Yes","53.555018032798024","-113.59817021632989","
,  
(53.555018032798024, -113.59817021632989)","1","POINT (-113.59817021632989 53.555018032798024)"
