"age","female","male"
"0","4142","4435"
"1","4378","4514"
"2","4236","4558"
"3","4417","4553"
"4","4386","4608"
"5","4374","4410"
"6","4254","4438"
"7","4131","4293"
"8","3824","3974"
"9","3815","3893"
"10","3695","4016"
"11","3603","3832"
"12","3709","3778"
"13","3715","3996"
"14","3855","3967"
"15","3794","3954"
"16","3821","4017"
"17","3869","4243"
"18","4228","4398"
"19","4388","4559"
"20","4759","4934"
"21","5048","5149"
"22","5277","5347"
"23","5739","5870"
"24","5734","6249"
"25","5972","6272"
"26","6103","6126"
"27","6232","6301"
"28","6239","6615"
"29","6319","6488"
"30","6266","6489"
"31","6191","6284"
"32","6108","6105"
"33","5950","6090"
"34","5825","6136"
"35","5605","5692"
"36","5325","5693"
"37","5208","5380"
"38","5223","5378"
"39","4967","5139"
"40","4790","5024"
"41","4816","4870"
"42","4663","4968"
"43","4787","5066"
"44","4788","5113"
"45","4911","4944"
"46","4659","4774"
"47","4600","4623"
"48","4635","4740"
"49","5070","5243"
"50","5308","5248"
"51","5240","5214"
"52","5016","4969"
"53","5194","5137"
"54","5098","5041"
"55","5061","4995"
"56","5049","4871"
"57","4801","4794"
"58","4706","4782"
"59","4638","4613"
"60","4406","4248"
"61","4086","3902"
"62","3760","3618"
"63","3655","3686"
"64","3503","3347"
"65","3252","3140"
"66","3279","3090"
"67","3094","2948"
"68","2684","2323"
"69","2486","2193"
"70","2406","2106"
"71","2296","2047"
"72","2162","1768"
"73","2130","1764"
"74","2030","1678"
"75","1913","1607"
"76","1879","1490"
"77","1755","1398"
"78","1793","1384"
"79","1623","1255"
"80","1589","1193"
"81","1580","1129"
"82","1438","1112"
"83","1368","1013"
"84","1270","945"
"85+","7713","4537"
"No Response","71938","81885"
