"name","latitude","longitude","location","type","address","quadrant","url","geometry_point"
"Castle Downs Recreation Centre","53.61603608576531","-113.52091910876221","
,  
(53.61603608576531, -113.52091910876221)","Recreation Centre","11520 - 153 Avenue NW",,,"POINT (-113.52091910876221 53.61603608576531)"
"Callingwood Recreation Centre","53.505290074821886","-113.62802544430254","
,  
(53.505290074821886, -113.62802544430254)","Recreation Centre","17740 69 Ave NW, Edmonton, AB T5T 6X3","NW","https://www.edmonton.ca/callingwoodtwinarenas/","POINT (-113.62802544430254 53.505290074821886)"
"Londonderry Fitness and Leisure Centre","53.60745050475148","-113.44418142821127","
,  
(53.60745050475148, -113.44418142821127)","Recreation Centre","14528 66 St NW, Edmonton, AB T5C 3R7","NE","https://www.edmonton.ca/londonderry/","POINT (-113.44418142821127 53.60745050475148)"
"Kinsmen Twin Arenas","53.45124394828186","-113.51389274892732","
,  
(53.45124394828186, -113.51389274892732)","Arena","1979 111 St NW, Edmonton, AB T6J 7C6","SW","https://www.edmonton.ca/kinsmentwinarenas/","POINT (-113.51389274892732 53.45124394828186)"
"Queen Elizabeth Outdoor Pool","53.52730543399421","-113.50688838763831","
,  
(53.52730543399421, -113.50688838763831)","Pool","9170 Walterdale Hill NW, Edmonton, AB T6E 2V3","SW","https://www.edmonton.ca/queenelizabethpool/","POINT (-113.50688838763831 53.52730543399421)"
"The Orange Hub","53.539883852689655","-113.58937532741146","
,  
(53.539883852689655, -113.58937532741146)","Attraction","10035 156 St NW, Edmonton, AB T5P 2P7",,,"POINT (-113.58937532741146 53.539883852689655)"
"Mill Creek Outdoor Swimming Pool","53.5195936949329","-113.47395247755895","
,  
(53.5195936949329, -113.47395247755895)","Pool","9555 84 Ave NW, Edmonton, AB T6S 1E4","SE","https://www.edmonton.ca/millcreekpool/","POINT (-113.47395247755895 53.5195936949329)"
"Crestwood Arena","53.53874820408859","-113.57575441072247","
,  
(53.53874820408859, -113.57575441072247)","Arena","9940 147 St NW, Edmonton, AB T5N 4A6","NW","https://www.edmonton.ca/crestwoodarena/","POINT (-113.57575441072247 53.53874820408859)"
"O'Leary Fitness and Leisure Centre","53.59305062880275","-113.47654757398385","
,  
(53.59305062880275, -113.47654757398385)","Recreation Centre","8804 132 Ave NW, Edmonton, AB T5E 0X9","NE","https://www.edmonton.ca/oleary/","POINT (-113.47654757398385 53.59305062880275)"
"St. Francis Xavier Field House","53.529049545623955","-113.60357931575619","
,  
(53.529049545623955, -113.60357931575619)","Recreation Centre","9240 163 St NW, Edmonton, AB T5R 0A7",,,"POINT (-113.60357931575619 53.529049545623955)"
"Russ Barnes Arena","53.574756539530725","-113.44592466793951","
,  
(53.574756539530725, -113.44592466793951)","Arena","6725 121 Ave NW, Edmonton, AB T5B 0Y7","NE","https://www.edmonton.ca/russbarnesarena/","POINT (-113.44592466793951 53.574756539530725)"
"Fort Edmonton Park","53.50339115314137","-113.57368914562934","
,  
(53.50339115314137, -113.57368914562934)","Attraction",,"SW","http://www.fortedmontonpark.ca/","POINT (-113.57368914562934 53.50339115314137)"
"Kinsmen Sports Centre","53.5261688148492","-113.50650845612024","
,  
(53.5261688148492, -113.50650845612024)","Recreation Centre","9100 Walterdale Hill","SW","https://www.edmonton.ca/kinsmen/","POINT (-113.50650845612024 53.5261688148492)"
"Clareview Recreation Centre","53.6021481618843","-113.40217823127887","
,  
(53.6021481618843, -113.40217823127887)","Recreation Centre","3804 139 Ave NW, Edmonton, AB T5Y 3G4","NE","https://www.edmonton.ca/clareviewrec/","POINT (-113.40217823127887 53.6021481618843)"
"Kinsmen Pitch & Putt","53.52564554919703","-113.50954382435947","
,  
(53.52564554919703, -113.50954382435947)","Attraction",,,,"POINT (-113.50954382435947 53.52564554919703)"
"Valley Zoo","53.51130575869989","-113.55337243318981","
,  
(53.51130575869989, -113.55337243318981)","Attraction","13315 Buena Vista Road And, 87 Ave NW, Edmonton, AB T5J 2R7","NW","https://www.edmonton.ca/valleyzoo/","POINT (-113.55337243318981 53.51130575869989)"
"Fred Broadstock Outdoor Swimming Pool","53.549038341493116","-113.59357268833298","
,  
(53.549038341493116, -113.59357268833298)","Pool","15720 105 Ave NW, Edmonton, AB T5P 2Y6","NW","https://www.edmonton.ca/fredbroadstock/","POINT (-113.59357268833298 53.549038341493116)"
"Prince of Wales Armouries Heritage Centre","53.55408799469411","-113.50014799727184","
,  
(53.55408799469411, -113.50014799727184)","Attraction",,"NE","https://www.edmonton.ca/princeofwales/","POINT (-113.50014799727184 53.55408799469411)"
"Hardisty Fitness and Leisure Centre","53.54904182805549","-113.43047687970501","
,  
(53.54904182805549, -113.43047687970501)","Recreation Centre","10535 65 St NW, Edmonton, AB T6A 3X7","SE","https://www.edmonton.ca/hardisty/","POINT (-113.43047687970501 53.54904182805549)"
"Donnan Arena","53.51562600671404","-113.46805288778332","
,  
(53.51562600671404, -113.46805288778332)","Arena","9105 80 Ave NW, Edmonton, AB T6C 0N9","SE","https://www.edmonton.ca/donnanarena/","POINT (-113.46805288778332 53.51562600671404)"
"Mill Woods Recreation Centre","53.45670920764423","-113.44439331330813","
,  
(53.45670920764423, -113.44439331330813)","Recreation Centre","7207 - 28 Avenue NW","SE","https://www.edmonton.ca/millwoodsrec/","POINT (-113.44439331330813 53.45670920764423)"
