"row_id","year","month","day","scheduled_on","colour_s","reason_occasion"
"2022-08-23","2022","August","23","2022-08-23T00:00:00.000","Yellow Blue Green","Treaty 6 Recognition Day"
"2022-08-15","2022","August","15","2022-08-15T00:00:00.000","ORANGE -WHITE - GREEN","India's 75th Independence Day"
"2022-08-14","2022","August","14","2022-08-14T00:00:00.000","green and white","Pakistan Independence Day"
"2022-08-13","2022","August","13","2022-08-13T00:00:00.000","Yellow","L'Etape Edmonton by Tour de France"
"2022-08-12","2022","August","12","2022-08-12T00:00:00.000","Teal, yellow, red","Alberta Open Farm Days"
"2022-08-11","2022","August","11","2022-08-11T00:00:00.000","Yellow, red and blue","Edmonton Fringe Festival"
"2022-08-09","2022","August","9","2022-08-09T00:00:00.000","Teal Blue [0, 107, 128], white, Teal [ 0, 150, 179]","Assistance Dog Week"
"2022-08-08","2022","August","8","2022-08-08T00:00:00.000","Black, Yellow and Green","Jamaica Independence Day"
"2022-08-07","2022","August","7","2022-08-07T00:00:00.000","Orange White Green","Republic of Niger Independance Day"
"2022-08-06","2022","August","6","2022-08-06T00:00:00.000","peach (R:205, G:167 B:136)/ochre yellow (R:234 G:170, B:0)/rusty red (R:203, G:96, B:21) and black","Edmonton Folk Music Festival"
"2022-08-05","2022","August","5","2022-08-05T00:00:00.000","Red","Cariwest Caribbean Arts Festival"
"2022-08-04","2022","August","4","2022-08-04T00:00:00.000","RED","TRAGEDY OF KARBALA"
"2022-07-31","2022","July","31","2022-07-31T00:00:00.000","Red yellow Blue","Heritagefest"
"2022-07-30","2022","July","30","2022-07-30T00:00:00.000","Red & Green","Throne Day of Morocco"
"2022-07-27","2022","July","27","2022-07-27T00:00:00.000","Gradient from pink to orange to yellow","K-Days"
"2022-07-26","2022","July","26","2022-07-26T00:00:00.000","Green, White and Red","Iglesia Ni Cristo/Church Of Christ Day"
"2022-07-25","2022","July","25","2022-07-25T00:00:00.000","R- 0, G- 94, B- 184 (Pantone PMS 300)","World Drowning Prevention Day"
"2022-07-24","2022","July","24","2022-07-24T00:00:00.000","orange","Pope Francis’ visit to Canada & the continued journey towards healing & reconciliation with First Nations, Metis & Inuit communities"
"2022-07-22","2022","July","22","2022-07-22T00:00:00.000","teal (colour code #00aeef)","raising awareness for Fragile X Syndrome"
"2022-07-16","2022","July","16","2022-07-16T00:00:00.000","Burgundy","Multiple Miles for Myeloma"
"2022-07-11","2022","July","11","2022-07-11T00:00:00.000","medium blue, yellow and white  as per Bosnia and Hercegovina flag colours","Remembrance of Genocide in Srebrenica, Bosnia and Hercegovina"
"2022-07-09","2022","July","9","2022-07-09T00:00:00.000","green","Eid Ul-Adha Prayers (H.1443)"
"2022-07-07","2022","July","7","2022-07-07T00:00:00.000","Red, White and Blue","Edmonton Keyano International Swim Meet"
"2022-07-06","2022","July","6","2022-07-06T00:00:00.000","Blue and Red are our team colours","Edmonton Expos Day July 6th"
"2022-07-05","2022","July","5","2022-07-05T00:00:00.000","Green RBG 186, 207, 67","National Injury Prevention Day"
"2022-07-04","2022","July","4","2022-07-04T00:00:00.000","Green","BGC Canada Club Day"
"2022-07-01","2022","July","1","2022-07-01T00:00:00.000","Red & White to until 1am","Canada Day"
"2022-06-30","2022","June","30","2022-06-30T00:00:00.000","Yellow, light Blue and Pink","Father's Day on the Hill"
"2022-06-29","2022","June","29","2022-06-29T00:00:00.000","Red and White","SWESA 10th Anniversary"
"2022-06-28","2022","June","28","2022-06-28T00:00:00.000","Red, Blue, Yellow, Green","Edmonton's NextGen Month"
"2022-06-27","2022","June","27","2022-06-27T00:00:00.000","yellow please!","Pollinator week"
"2022-06-26","2022","June","26","2022-06-26T00:00:00.000","Green","Brain Injury Awareness Month"
"2022-06-25","2022","June","25","2022-06-25T00:00:00.000","Blue and green","#SaveSoil Walk-A-Thon"
"2022-06-24","2022","June","24","2022-06-24T00:00:00.000","Red and Blue","HHT Canada THH Global Recognition Day"
"2022-06-23","2022","June","23","2022-06-23T00:00:00.000","Light Blue/Pale Yellow","Victims of Terroism Memorial Day"
"2022-06-22","2022","June","22","2022-06-22T00:00:00.000","Purple- RGB value is (111,79,158)
Hex code is #6f4f9e","Migraine Solidarity Day"
"2022-06-21","2022","June","21","2022-06-21T00:00:00.000","Green, Yellow, Red and White","National Indigenous People's Day"
"2022-06-20","2022","June","20","2022-06-20T00:00:00.000","Red and White","Canadian Rivers Day"
"2022-06-19","2022","June","19","2022-06-19T00:00:00.000","Red","World Sickle Cell Anemia Awareness Day"
"2022-06-18","2022","June","18","2022-06-18T00:00:00.000","Green/Gold","Edmonton Elks Home Opener"
"2022-06-16","2022","June","16","2022-06-16T00:00:00.000","Green: 39 93 56
Gold: 242 205 0","University of Alberta Convocation"
"2022-06-15","2022","June","15","2022-06-15T00:00:00.000","PURPLE (R91 G43  B130)","World Elder Abuse Awareness Day"
"2022-06-14","2022","June","14","2022-06-14T00:00:00.000","Green","BGC Canada Club Day"
"2022-06-13","2022","June","13","2022-06-13T00:00:00.000","Blue (r 0 g 199 b 255 #00c7ff)  and Orange (r 250 g 91 b 54 #fa5b36). If it is not possible to illuminate with two colours, either colour will be okay.","Action Anxiety Day"
"2022-06-12","2022","June","12","2022-06-12T00:00:00.000","Turquoise

TEAL","Survivorfest 24"
"2022-06-11","2022","June","11","2022-06-11T00:00:00.000","Light Blue","Motorcycle Ride for Dad"
"2022-06-10","2022","June","10","2022-06-10T00:00:00.000","Orange and Green","Farmer's Day"
"2022-06-09","2022","June","9","2022-06-09T00:00:00.000","Orange #ee2224
Purple #6a2c91
Green #0a8e49","Older, Bolder, Better Symposium and Exhibition"
"2022-06-08","2022","June","8","2022-06-08T00:00:00.000","Blue","Blue Porch Light Campaign"
"2022-06-07","2022","June","7","2022-06-07T00:00:00.000","Purple","HS Awareness Week"
"2022-06-06","2022","June","6","2022-06-06T00:00:00.000","Light Navy: RGB: 18/32/72
Vegas Gold: RGB: 203/197/147
Carolina Blue: RGB: 124/172/209","Edmonton Riverhawks Baseball Home Opener"
"2022-06-05","2022","June","5","2022-06-05T00:00:00.000","Red and Blue","Cheremosh Ukrainian Dance Company 50th anniversary"
"2022-06-04","2022","June","4","2022-06-04T00:00:00.000","Red/Orange/Yellow/Green/Blue/Purple/black (lights out)/blue/pink/white/pink/blue (from one end to the other, in this order)","Pride Month"
"2022-06-03","2022","June","3","2022-06-03T00:00:00.000","Green  (hex code 008000)","Spina Bifida awareness month"
"2022-06-02","2022","June","2","2022-06-02T00:00:00.000","Red","Word Hemochromatosis Week"
"2022-06-01","2022","June","1","2022-06-01T00:00:00.000","Blue","June National Deafblind Awareness Month"
"2022-05-31","2022","May","31","2022-05-31T00:00:00.000","RGB (0,128,128) - TEAL","Tourette Canada's Light It Teal for Tourette Syndrome Awareness Month"
"2022-05-30","2022","May","30","2022-05-30T00:00:00.000","Blue Please","In Recognition of Syringomyelia Awareness Month"
"2022-05-29","2022","May","29","2022-05-29T00:00:00.000","Blue and Teal","Walk to Make Cystic Fibrosis History"
"2022-05-28","2022","May","28","2022-05-28T00:00:00.000","Red","Menstrual Health Day"
"2022-05-27","2022","May","27","2022-05-27T00:00:00.000","Blue & Yellow","UFest Edmonton Ukrainian Festival"
"2022-05-26","2022","May","26","2022-05-26T00:00:00.000","Magenta 
Pantone: 233
CMYK: 24 87 26 0  
RGB: 191 71 124
HEX: bf477

Sky Blue
Pantone: 644
CMYK: 61 30 26 0  
RGB: 108 152 171
HEX: 6c98ab","Amii presentes AI Week"
"2022-05-25","2022","May","25","2022-05-25T00:00:00.000","Blue, red, green","104th Anniversary of Azerbaijan Democratic Republic"
"2022-05-24","2022","May","24","2022-05-24T00:00:00.000","Purple","World Schizophrenia Awareness Day"
"2022-05-23","2022","May","23","2022-05-23T00:00:00.000","Red and Blue","2022 Swim Alberta Provincial Championships"
"2022-05-22","2022","May","22","2022-05-22T00:00:00.000","Blue, Green, Red","GOBfest"
"2022-05-21","2022","May","21","2022-05-21T00:00:00.000","Blue","Celebration of Falun Dafa Day"
"2022-05-20","2022","May","20","2022-05-20T00:00:00.000","Our logo is a rainbow heart! The colours are: Blue (0079C1), Dark Blue (005DAA), Light Blue (58B7DD), Green (8DC63F), Orange (F7941E), Red (BE1E2D), Pink (EC008C).","Reading for Life Read-A-Thon"
