"row_id","site_id","location_description","direction","speed_limit","speed_unit_of_measure","minimum_speed_detection_setting","maximum_speed_detection_setting","log_timestamp","vehicle_count_for_log_interval","speed_range_for_bin","bin_number","minimum_speed_for_bin_number","maximum_speed_for_bin_number","bin_over_speed_limit_flag","vehicle_count_at_slowest_speed_detected","vehicle_count_at_highest_speed_detected"
"DFS068-2016091414:13:29-09","DFS068","127 St & 134 Av NB","NB","50","KPH","15","75","2016-09-14T14:13:00.000","80","6","9","63","68","2","0","1"
"DFS068-2016091414:13:29-10","DFS068","127 St & 134 Av NB","NB","50","KPH","15","75","2016-09-14T14:13:00.000","80","157","10","69","225","2","0","2"
"DFS068-2016091414:28:29-01","DFS068","127 St & 134 Av NB","NB","50","KPH","15","75","2016-09-14T14:28:00.000","87","15","1","6","20","0","3","0"
"DFS068-2016091414:28:29-02","DFS068","127 St & 134 Av NB","NB","50","KPH","15","75","2016-09-14T14:28:00.000","87","6","2","21","26","0","4","0"
"DFS068-2016091414:28:29-03","DFS068","127 St & 134 Av NB","NB","50","KPH","15","75","2016-09-14T14:28:00.000","87","6","3","27","32","0","13","0"
"DFS068-2016091414:28:29-04","DFS068","127 St & 134 Av NB","NB","50","KPH","15","75","2016-09-14T14:28:00.000","87","6","4","33","38","0","20","1"
"DFS068-2016091414:28:29-05","DFS068","127 St & 134 Av NB","NB","50","KPH","15","75","2016-09-14T14:28:00.000","87","6","5","39","44","0","26","5"
"DFS068-2016091414:28:29-06","DFS068","127 St & 134 Av NB","NB","50","KPH","15","75","2016-09-14T14:28:00.000","87","6","6","45","50","1","17","28"
"DFS068-2016091414:28:29-07","DFS068","127 St & 134 Av NB","NB","50","KPH","15","75","2016-09-14T14:28:00.000","87","6","7","51","56","2","4","40"
"DFS068-2016091414:28:29-08","DFS068","127 St & 134 Av NB","NB","50","KPH","15","75","2016-09-14T14:28:00.000","87","6","8","57","62","2","0","13"
"DFS068-2016091414:28:29-09","DFS068","127 St & 134 Av NB","NB","50","KPH","15","75","2016-09-14T14:28:00.000","87","6","9","63","68","2","0","0"
"DFS068-2016091414:28:29-10","DFS068","127 St & 134 Av NB","NB","50","KPH","15","75","2016-09-14T14:28:00.000","87","157","10","69","225","2","0","0"
"DFS068-2016091414:43:29-01","DFS068","127 St & 134 Av NB","NB","50","KPH","15","75","2016-09-14T14:43:00.000","88","15","1","6","20","0","6","0"
"DFS068-2016091414:43:29-02","DFS068","127 St & 134 Av NB","NB","50","KPH","15","75","2016-09-14T14:43:00.000","88","6","2","21","26","0","4","0"
"DFS068-2016091414:43:29-03","DFS068","127 St & 134 Av NB","NB","50","KPH","15","75","2016-09-14T14:43:00.000","88","6","3","27","32","0","13","0"
"DFS068-2016091414:43:29-04","DFS068","127 St & 134 Av NB","NB","50","KPH","15","75","2016-09-14T14:43:00.000","88","6","4","33","38","0","9","5"
"DFS068-2016091414:43:29-05","DFS068","127 St & 134 Av NB","NB","50","KPH","15","75","2016-09-14T14:43:00.000","88","6","5","39","44","0","24","7"
"DFS068-2016091414:43:29-06","DFS068","127 St & 134 Av NB","NB","50","KPH","15","75","2016-09-14T14:43:00.000","88","6","6","45","50","1","25","19"
"DFS068-2016091414:43:29-07","DFS068","127 St & 134 Av NB","NB","50","KPH","15","75","2016-09-14T14:43:00.000","88","6","7","51","56","2","6","30"
"DFS068-2016091414:43:29-08","DFS068","127 St & 134 Av NB","NB","50","KPH","15","75","2016-09-14T14:43:00.000","88","6","8","57","62","2","0","21"
"DFS068-2016091414:43:29-09","DFS068","127 St & 134 Av NB","NB","50","KPH","15","75","2016-09-14T14:43:00.000","88","6","9","63","68","2","1","5"
"DFS068-2016091414:43:29-10","DFS068","127 St & 134 Av NB","NB","50","KPH","15","75","2016-09-14T14:43:00.000","88","157","10","69","225","2","0","1"
"DFS068-2016091414:58:29-01","DFS068","127 St & 134 Av NB","NB","50","KPH","15","75","2016-09-14T14:58:00.000","80","15","1","6","20","0","5","0"
"DFS068-2016091414:58:29-02","DFS068","127 St & 134 Av NB","NB","50","KPH","15","75","2016-09-14T14:58:00.000","80","6","2","21","26","0","0","0"
