"area","park_name","address","drop_in_type_amenity","dates","hours","additional_info","latitude","longitude","location"
"Northeast","Abbottsfield (Abbott School Park)","Abbottsfield Road & 34 St","Flying Eagle","Jul 3 - Aug 23","2:30-6pm weekdays","https://edmonton.ca/greenshacks","53.57357648","-113.3899841","(53.57357648, -113.3899843)"
"Northeast","Alberta Avenue Park","9210 – 118 Ave","Green Shack","Jul 3 - Aug 23","2:30-6pm weekdays","https://edmonton.ca/greenshacks","53.57127585","-113.4838318","(53.57127585, -113.4838318)"
"Northeast","Alberta Avenue Park","9210 – 118 Ave","Water Play","Jul 3 - Aug 23","9am-9pm daily","https://edmonton.ca/waterplay","53.57099017","-113.4839793","(53.57099017, -113.4839793)"
"Northeast","Bannerman Park","13988 - 23 St","Green Shack","Jul 3 - Aug 23","10am-1:30pm weekdays","https://edmonton.ca/greenshacks","53.60416155","-113.378845","(53.60416155, -113.378845)"
"Northeast","Belle Rive (Poplar Park)","16410 - 82 St","Green Shack","Jul 3 - Aug 23","10am-6pm weeekdays","https://edmonton.ca/greenshacks","53.627521","-113.471148","(53.627521, -113.471148)"
"Northeast","Bellevue","11515 - 71 St","Green Shack","Jul 3 - Aug 23","10am-6pm weeekdays","https://edmonton.ca/greenshacks","53.568211","-113.449056","(53.568211, -113.449056)"
"Northeast","Belmont Park","3330 - 132A Ave NW","Green Shack","Jul 3 - Aug 23","10am-1:30pm weekdays","https://edmonton.ca/greenshacks","53.59325431","-113.3937697","(53.59325431, -113.3937697)"
"Northeast","Belvedere Park","13223 – 62 St","Flying Eagle","Jul 4 -6","10am-1:30pm","https://edmonton.ca/flyingeagle","53.59411659","-113.4349977","(53.59411659, -113.4349977)"
"Northeast","Belvedere Park","13223 – 62 St","Green Shack","Jul 3 - Aug 23","10am-6pm weeekdays","https://edmonton.ca/greenshacks","53.59411659","-113.4349977","(53.59411659, -113.4349977)"
"Northeast","Borden Park (Virgina Park)","7507 Borden Park Rd","Water Play","Jul 3 - Aug 23","9am-9pm daily","https://edmonton.ca/waterplay","53.563851","-113.451698","(53.563851, -113.451698)"
"Northeast","Boyle Street","9538 - 103 A Ave","Youth Events- Lord of the Parks","Aug 9","1:00 pm","https://edmonton.ca/youth","53.547909","-113.482196","(53.547909, -113.482196)"
"Northeast","Brintnell Park","210 Brintnell Boulevard","Green Shack","Jul 3 - Aug 23","10am-1:30pm weekdays","https://edmonton.ca/greenshacks","53.61876","-113.408805","(53.61876, -113.408805)"
"Northeast","Canon Ridge Park","1350 Hermitage Rd NW","Green Shack","Jul 3 - Aug 23","2:30-6pm weekdays","https://edmonton.ca/greenshacks","53.58043107","-113.3784922","(53.58043107, -113.3784922)"
"Northeast","Central McDougall Park","10630 – 109 Ave","Flying Eagle","Jul 23-27","10am-1:30pm","https://edmonton.ca/flyingeagle","53.55520564","-113.503861","(53.55520564, -113.503861)"
"Northeast","Central McDougall Park","10630 – 109 Ave","Green Shack","Jul 3 - Aug 23","10am-6pm weekdays","https://edmonton.ca/greenshacks","53.55520564","-113.503861","(53.55520564, -113.503861)"
"Northeast","Central McDougall Park","10630 – 109 Ave","Water Play","Jul 3 - Aug 23","9am-9pm daily","https://edmonton.ca/waterplay","53.55520564","-113.503861","(53.55520564, -113.503861)"
"Northeast","Clareview Community Recreation Centre","3804 - 139 Ave","Youth Programs","Jul 4 - Aug 22","Wednesdays: 5:30-8:30pm","https://edmonton.ca/youth","53.602347","-113.4021411","(53.60234, -113.4021411)"
"Northeast","Clareview Skateboard Park","3804 - 139 Ave NW","Skate Park","Jun 2 - Aug 26","Mon, Tues, Thurs, Fri: 12:30-8pm, Wed 3:30-8pm","https://edmonton.ca/skateparks","53.600859","-113.402671","(53.600859, -113.402671)"
"Northeast","Clarke Stadium","11000 Stadium Rd","Youth Events- YEGYouth World Cup Soccer","Jul 5","1:00 pm","https://edmonton.ca/youth","53.558223","-113.476328","(53.558223, -113.476328)"
"Northeast","Coliseum Parking Lot","7424 - 118 Ave","Youth Events- McDavid Cup","Aug 2","1:00 pm","https://edmonton.ca/youth","53.572134","-113.45571","(53.572134, -113.45571)"
"Northeast","Commonwealth Community Recreation Centre","11000 Stadium Rd","Youth Programs","Jul 6 - Aug 17","Fridays: 5:00-8:00pm","https://edmonton.ca/youth","53.558223","-113.476328","(53.558223, -113.476328)"
"Northeast","Cy Becker","283 Cy Becker Blvd","Pop Up Play","Jul 3 - Aug 23","Mondays & Thursdays: 2:30-6pm","https://edmonton.ca/popupplay","53.634618","-113.403793","(53.634618, -113.403793)"
"Northeast","Delton Park","12325 – 88 St","Green Shack","Jul 3 - Aug 23","10am-1:30pm weekdays","https://edmonton.ca/greenshacks","53.578367","-113.47621","(53.578367, -113.47621)"
"Northeast","Delwood Park","7515 Delwood Rd","Green Shack","Jul 3 - Aug 23","2:30-6pm weekdays","https://edmonton.ca/greenshacks","53.59654705","-113.4577786","(53.59654705, -113.4577786)"
"Northeast","Dovercourt Park","13510 Dovercourt Ave","Pop Up Play","Jul 3 - Aug 23","Tuesdays & Thursdays: 2:30-6pm","https://edmonton.ca/popupplay","53.575955","-113.557835","(53.575955, -113.557835)"
"Northeast","Dovercourt Park","13510 Dovercourt Ave","Water Play","Jul 3 - Aug 23","9am-9pm daily","https://edmonton.ca/waterplay","53.575955","-113.557835","(53.575955, -113.557835)"
"Northeast","Eastwood Park","11803 – 86 St","Green Shack","Jul 3 - Aug 23","10am-1:30pm weekdays","https://edmonton.ca/greenshacks","53.57480085","-113.4649612","(53.57480085, -113.4649612)"
"Northeast","Eastwood Park","11803 – 86 St","Water Play","Jul 3 - Aug 23","9am-9pm daily","https://edmonton.ca/waterplay","53.57120401","-113.4723683","(53.57120401, -113.4723683)"
"Northeast","Eaux Claires","16003 - 95 St","Green Shack","Jul 3 - Aug 23","10am-1:30pm weekdays","https://edmonton.ca/greenshacks","53.621448","-113.486856","(53.621448, -113.486856)"
"Northeast","Elmwood Park","12505 - 75 St","Flying Eagle","Aug 13 - 17","2:30-6pm","https://edmonton.ca/flyingeagle","53.581561","-113.456921","(53.581561, -113.456921)"
"Northeast","Elmwood Park","12505 - 75 St","Green Shack","Jul 3 - Aug 23","2:30-6pm weekdays","https://edmonton.ca/greenshacks","53.581561","-113.456921","(53.581561, -113.456921)"
"Northeast","Elmwood Park","12505 - 75 St","Water Play","Jul 3 - Aug 23","9am-9pm daily","https://edmonton.ca/waterplay","53.581561","-113.456921","(53.581561, -113.456921)"
"Northeast","Evansdale Park","9111 – 150 Ave","Flying Eagle","Jul 14 - 18","2:30-6pm","https://edmonton.ca/flyingeagle","53.61040244","-113.4826189","(53.61040244, -113.4826189)"
"Northeast","Evansdale Park","9111 – 150 Ave","Green Shack","Jul 3 - Aug 23","10am-6pm weekdays","https://edmonton.ca/greenshacks","53.61040244","-113.4826189","(53.61040244, -113.4826189)"
"Northeast","Floden Park (Beverley Heights)","4209 – 111 Ave","Flying Eagle","Aug 7 - 10","10am-1:30pm","https://edmonton.ca/flyingeagle","53.56374495","-113.4078852","(53.56374495, -113.4078852)"
"Northeast","Floden Park (Beverley Heights)","4209 – 111 Ave","Green Shack","Jul 3 - Aug 23","10am-1:30pm weekdays","https://edmonton.ca/greenshacks","53.56374495","-113.4078852","(53.56374495, -113.4078852)"
