"status","category","asking_price","area","unit_of_measure","neighbourhood","latitude","longitude"
"Pending","Multi Family","2190000","2.66","Acres","BELVEDERE","53.58465475616839","-113.44200763654155"
"Listed","Multi Family","3860000","2.17","Acres","BELVEDERE","53.58712662021122","-113.43654005381752"
"Listed","Multi Family","2275000","2.17","Acres","BELVEDERE","53.584638942577065","-113.44066083021166"
"Listed","Multi Family","2650000","2.18","Acres","BELVEDERE","53.586554073624946","-113.43814606128959"
"Listed","Industrial","1200000","0.995","Acres","CPR IRVINE","53.50230971712015","-113.48877053491324"
"Listed","Industrial","3032000","3.98","Acres","RAMPART INDUSTRIAL","53.62248330404676","-113.56685497246983"
"Pending","Commercial","13250000","2.16","Acres","QUEEN ALEXANDRA","53.516408068011145","-113.5002124821763"
