"name","field_number","length","width","latitude","longitude","location","geometry_point"
"Oliver","2","180","85","53.5434368832924","-113.52460444341392","
,  
(53.5434368832924, -113.52460444341392)","POINT (-113.52460444341392 53.5434368832924)"
"Belmont","7","330","210","53.59367599938353","-113.39534334665797","
,  
(53.59367599938353, -113.39534334665797)","POINT (-113.39534334665797 53.59367599938353)"
"St. Angela","2","165","125","53.596256724823206","-113.5516942584623","
,  
(53.596256724823206, -113.5516942584623)","POINT (-113.5516942584623 53.596256724823206)"
"Haddow","2","240","90","53.45491224569477","-113.59656625249589","
,  
(53.45491224569477, -113.59656625249589)","POINT (-113.59656625249589 53.45491224569477)"
"Youngstown","1","195","100","53.54620576556225","-113.6043168752993","
,  
(53.54620576556225, -113.6043168752993)","POINT (-113.6043168752993 53.54620576556225)"
"Blue Quill","3","240","190","53.45936420389588","-113.52234789859585","
,  
(53.45936420389588, -113.52234789859585)","POINT (-113.52234789859585 53.45936420389588)"
"St. Richard","2","180","90","53.44725041258844","-113.4278870432343","
,  
(53.44725041258844, -113.4278870432343)","POINT (-113.4278870432343 53.44725041258844)"
"Meyokumin","1","240","210","53.4484397595003","-113.42829646072072","
,  
(53.4484397595003, -113.42829646072072)","POINT (-113.42829646072072 53.4484397595003)"
"Wellington","1","330","170","53.59201760389402","-113.54308855349132","
,  
(53.59201760389402, -113.54308855349132)","POINT (-113.54308855349132 53.59201760389402)"
"RJ Scott","1","180","120","53.56927167255639","-113.40150036482322","
,  
(53.56927167255639, -113.40150036482322)","POINT (-113.40150036482322 53.56927167255639)"
"Dovercourt","2","240","150","53.57496660176451","-113.56211900387483","
,  
(53.57496660176451, -113.56211900387483)","POINT (-113.56211900387483 53.57496660176451)"
"Haddow","1","300","160","53.454783347488544","-113.59521554196238","
,  
(53.454783347488544, -113.59521554196238)","POINT (-113.59521554196238 53.454783347488544)"
"Meadowlark","1","240","130","53.5254415165332","-113.59534803610319","
,  
(53.5254415165332, -113.59534803610319)","POINT (-113.59534803610319 53.5254415165332)"
"Matt Berry","4","330","210","53.6217981984209","-113.43366026962984","
,  
(53.6217981984209, -113.43366026962984)","POINT (-113.43366026962984 53.6217981984209)"
"Elizabeth Finch","1","330","210","53.61954906340672","-113.55896687503981","
,  
(53.61954906340672, -113.55896687503981)","POINT (-113.55896687503981 53.61954906340672)"
"Hairsine","4","180","110","53.60453018667016","-113.39198852873811","
,  
(53.60453018667016, -113.39198852873811)","POINT (-113.39198852873811 53.60453018667016)"
"Glenora","2","240","140","53.54356979263721","-113.5549319983547","
,  
(53.54356979263721, -113.5549319983547)","POINT (-113.5549319983547 53.54356979263721)"
"Skyrattler","1","240","120","53.45159803351241","-113.52147346988646","
,  
(53.45159803351241, -113.52147346988646)","POINT (-113.52147346988646 53.45159803351241)"
"Allard Park","2","150","90","53.39889418668254","-113.53493139451197","
,  
(53.39889418668254, -113.53493139451197)","POINT (-113.53493139451197 53.39889418668254)"
"St. Gerard","1","285","110","53.5813402617202","-113.46933789368389","
,  
(53.5813402617202, -113.46933789368389)","POINT (-113.46933789368389 53.5813402617202)"
"Lymburn","1","270","195","53.50699289227817","-113.64263656190052","
,  
(53.50699289227817, -113.64263656190052)","POINT (-113.64263656190052 53.50699289227817)"
"Calder","1","180","100","53.589719342272325","-113.52603569940818","
,  
(53.589719342272325, -113.52603569940818)","POINT (-113.52603569940818 53.589719342272325)"
"Carlisle Park","3","150","90","53.60445725543634","-113.52470924177251","
,  
(53.60445725543634, -113.52470924177251)","POINT (-113.52470924177251 53.60445725543634)"
"Meyonohk","2","240","160","53.456349308166686","-113.45589723414149","
,  
(53.456349308166686, -113.45589723414149)","POINT (-113.45589723414149 53.456349308166686)"
"The Hamptons","4","300","195","53.491517859150576","-113.68856326682906","
,  
(53.491517859150576, -113.68856326682906)","POINT (-113.68856326682906 53.491517859150576)"
"McArthur","1","300","160","53.59787859684862","-113.54765566340008","
,  
(53.59787859684862, -113.54765566340008)","POINT (-113.54765566340008 53.59787859684862)"
"Glenridding Area Park 1","1","300","160","53.420875009106375","-113.6041824723085","
,  
(53.420875009106375, -113.6041824723085)","POINT (-113.6041824723085 53.420875009106375)"
"St. Richard","3","270","210","53.44785024986495","-113.42904811668937","
,  
(53.44785024986495, -113.42904811668937)","POINT (-113.42904811668937 53.44785024986495)"
"Archbishop Joseph MacNeil","1","180","90","53.46036057912474","-113.57853727920634","
,  
(53.46036057912474, -113.57853727920634)","POINT (-113.57853727920634 53.46036057912474)"
"St. Bonaventure","1","180","120","53.60432458383863","-113.38848783623965","
,  
(53.60432458383863, -113.38848783623965)","POINT (-113.38848783623965 53.60432458383863)"
"Westbrook","1","330","150","53.474680899173194","-113.54094062047079","
,  
(53.474680899173194, -113.54094062047079)","POINT (-113.54094062047079 53.474680899173194)"
