"received_date","animal_type","source","primary_breed","colour","age","gender","fsa"
"2012-05-18T00:00:00.000","Bird","Public","Budgie Mix",,"9 Years 1 Month (approx)","Female",
"2012-09-14T00:00:00.000","Cat","Public","Domestic Medium Hair Mix","Brown Tabby","6 Years (approx)","Male",
"2012-04-27T00:00:00.000","Cat","Public","Domestic Short Hair Mix",,"22 Years 3 Months (approx)","Male",
"2012-04-27T00:00:00.000","Cat","Public","Domestic Short Hair Mix","Ginger Tabby / White",,"Female",
"2012-04-20T00:00:00.000","Cat","Public","Domestic Short Hair Mix","Grey Tabby","9 Years 2 Months (approx)","Female",
"2012-04-23T00:00:00.000","Cat","Public","Domestic Short Hair Mix",,"13 Years 3 Months 1 Week (approx)","Female",
"2014-03-18T00:00:00.000","Cat","Public","Domestic Short Hair Mix","Brown Tabby / White","8 Years 3 Months","Male",
"2012-04-20T00:00:00.000","Cat","Public","Domestic Short Hair Mix","Tortoiseshell / White","9 Years 3 Months 1 Week (approx)","Female",
"2012-05-31T00:00:00.000","Cat","Public","Domestic Short Hair Mix","Tortoiseshell","9 Years 5 Months 3 Weeks (approx)","Female",
"2012-09-15T00:00:00.000","Cat","Public","Domestic Short Hair Mix",,,"Unknown",
"2012-05-18T00:00:00.000","Cat","Public","Domestic Short Hair Mix","Tortoiseshell",,"Female",
"2012-03-22T00:00:00.000","Cat","Public","Domestic Short Hair Mix","Brown Tabby","9 Years 1 Week (approx)","Female",
"2012-03-24T00:00:00.000","Cat","Public","Domestic Short Hair Mix",,,"Male",
"2012-01-19T00:00:00.000","Cat","Public","Domestic Short Hair Mix","Torbie",,"Female",
"2012-02-06T00:00:00.000","Cat","Public","Domestic Short Hair Mix","Black",,"Female",
"2012-02-22T00:00:00.000","Cat","Public","Domestic Short Hair Mix",,"1 Year 6 Months (approx)","Male",
"2012-02-29T00:00:00.000","Cat","Public","Domestic Short Hair Mix","Orange Tabby",,"Female",
"2012-07-12T00:00:00.000","Cat","Public","Domestic Short Hair Mix","White / Awaiting AHT","8 Years 11 Months 1 Week (approx)","Female",
"2012-06-07T00:00:00.000","Cat","Public","Domestic Short Hair Mix",,"9 Years 2 Weeks","Male",
"2012-06-07T00:00:00.000","Cat","Public","Domestic Longhair Mix",,"9 Years 1 Month 2 Weeks (approx)","Male",
"2012-06-11T00:00:00.000","Cat","Public","Domestic Medium Hair Mix","Grey",,"Unknown",
"2014-11-21T00:00:00.000","Cat","Public","Domestic Medium Hair Mix","Grey Tabby","6 Years 7 Months (approx)","Female",
"2015-09-21T00:00:00.000","Cat","Public","Domestic Short Hair Mix","Grey / White","10 Years 9 Months","Female",
"2012-08-15T00:00:00.000","Cat","Public","Domestic Short Hair Mix","Black",,"Male",
"2012-08-23T00:00:00.000","Cat","Public","Domestic Short Hair Mix","Brown Tabby / White",,"Female",
"2012-09-07T00:00:00.000","Cat","Public","Domestic Short Hair Mix","Grey / White",,"Unknown",
"2013-01-08T00:00:00.000","Cat","Public","Domestic Short Hair Mix",,"8 Years 2 Weeks (approx)","Female",
"2013-01-11T00:00:00.000","Cat","Public","Domestic Medium Hair Mix","Orange Tabby / White","12 Years 5 Months 1 Week (approx)","Male",
"2012-11-20T00:00:00.000","Cat","Public","Domestic Short Hair / Abyssinian","Brown Ticked / White",,"Female",
"2012-11-27T00:00:00.000","Cat","Public","Domestic Short Hair Mix","Torbie",,"Female",
"2012-11-29T00:00:00.000","Cat","Public","Maine Coon Mix","Brown Tabby / White",,"Male",
"2012-12-15T00:00:00.000","Cat","Public","Domestic Short Hair Mix","Grey / White","8 Years 3 Months 1 Week","Female",
"2012-09-13T00:00:00.000","Cat","Public","Domestic Short Hair Mix",,"3 Years 3 Months 1 Week (approx)","Male",
"2012-09-18T00:00:00.000","Cat","Public","Domestic Short Hair Mix",,"3 Years (approx)","Female",
"2012-09-25T00:00:00.000","Cat","Public","Domestic Short Hair Mix","Brown Tabby","15 Years 8 Months 4 Weeks (approx)","Female",
"2012-10-09T00:00:00.000","Cat","Public","Domestic Short Hair Mix","Black / White","9 Years 8 Months 2 Weeks (approx)","Female",
"2012-10-15T00:00:00.000","Cat","Public","Domestic Medium Hair Mix","Grey Tabby","2 Years 1 Week (approx)","Female",
"2012-10-29T00:00:00.000","Cat","Public","Domestic Short Hair Mix",,"8 Years 7 Months 3 Weeks (approx)","Male",
"2013-11-07T00:00:00.000","Cat","Public","Siamese Mix","Flame Point","8 Years 7 Months 2 Weeks (approx)","Male",
"2013-11-30T00:00:00.000","Cat","Public","Siamese Mix",,"7 Years 6 Months 3 Weeks","Male",
"2013-12-03T00:00:00.000","Cat","Public","Domestic Short Hair Mix",,"7 Years 6 Months 3 Weeks (approx)","Female",
"2013-06-28T00:00:00.000","Cat","Public","Domestic Short Hair Mix",,"10 Years 1 Month 3 Weeks (approx)","Female",
"2013-07-09T00:00:00.000","Cat","Public","Domestic Short Hair Mix","Brown Tabby / White","13 Years 11 Months 2 Weeks (approx)","Female",
"2013-05-31T00:00:00.000","Cat","Public","Domestic Short Hair Mix","White / Brown Tabby","12 Years 3 Weeks (approx)","Female",
"2013-06-15T00:00:00.000","Cat","Public","Domestic Short Hair Mix","Grey / White","10 Years 1 Week (approx)","Male",
"2013-03-16T00:00:00.000","Cat","Public","Domestic Short Hair Mix","Grey","11 Months (approx)","Male",
"2013-02-23T00:00:00.000","Cat","Public","Domestic Medium Hair Mix","Torbie","8 Years 11 Months (approx)","Female",
"2014-11-01T00:00:00.000","Cat","Public","Siamese Mix","Lynx Point","17 Years 7 Months 3 Weeks","Female",
"2014-11-20T00:00:00.000","Cat","Public","Domestic Short Hair Mix","Black / White","4 Years 1 Week (approx)","Male",
"2014-11-25T00:00:00.000","Cat","Public","Domestic Longhair Mix","Black / White","8 Years 6 Months 4 Weeks (approx)","Male",
"2014-10-28T00:00:00.000","Cat","Public","Domestic Short Hair Mix","White / Grey","7 Years 7 Months 3 Weeks","Female",
"2015-03-05T00:00:00.000","Cat","Public","Domestic Short Hair Mix","Black / White","7 Years 3 Months 2 Weeks","Male",
"2015-03-05T00:00:00.000","Cat","Public","Siamese / Domestic Medium Hair","Lynx Point","12 Years (approx)","Female",
"2014-12-02T00:00:00.000","Cat","Public","Domestic Medium Hair Mix","Orange Tabby / White","7 Years 6 Months 3 Weeks (approx)","Female",
"2014-12-29T00:00:00.000","Cat","Public","Domestic Short Hair Mix","Orange Tabby","6 Years 1 Month 3 Weeks (approx)","Male",
"2014-08-28T00:00:00.000","Cat","Public","Domestic Short Hair Mix","Black / White","6 Years 9 Months 3 Weeks (approx)","Female",
"2014-09-02T00:00:00.000","Cat","Public","Domestic Short Hair Mix","White / Black","6 Years 4 Months 2 Weeks (approx)","Female",
"2014-09-27T00:00:00.000","Cat","Public","Domestic Short Hair Mix","Orange Tabby / White","6 Years 8 Months 4 Weeks (approx)","Male",
"2014-04-11T00:00:00.000","Cat","Public","Domestic Medium Hair Mix","Brown Tabby / White","9 Years 2 Months 1 Week (approx)","Female",
"2014-01-17T00:00:00.000","Cat","Public","Domestic Short Hair Mix","Orange Tabby","2 Years","Unknown",
"2014-01-16T00:00:00.000","Cat","Public","Domestic Longhair Mix",,"12 Years (approx)","Female",
"2014-02-03T00:00:00.000","Cat","Public","Domestic Short Hair Mix","Grey","10 Years (approx)","Female",
"2015-05-26T00:00:00.000","Cat","Public","Siamese Mix","Lynx Point","17 Years 7 Months 3 Weeks","Female",
"2015-07-17T00:00:00.000","Cat","Public","Domestic Short Hair Mix","Black / White","6 Years 11 Months 1 Week","Female",
