"name","owner","length","width","latitude","longitude","location","geometry_point"
"Coronation Park","Parks","345","105","53.56305924065609","-113.56056578121246","
,  
(53.56305924065609, -113.56056578121246)","POINT (-113.56056578121246 53.56305924065609)"
"Castle Downs","Parks","420","420","53.61834928965029","-113.51965938710006","
,  
(53.61834928965029, -113.51965938710006)","POINT (-113.51965938710006 53.61834928965029)"
"Victoria Park","Parks","440","305","53.53678022668259","-113.53071364719304","
,  
(53.53678022668259, -113.53071364719304)","POINT (-113.53071364719304 53.53678022668259)"
"Mill Woods Park","Parks","475","455","53.457330630394075","-113.43813129265712","
,  
(53.457330630394075, -113.43813129265712)","POINT (-113.43813129265712 53.457330630394075)"
