"category","year","neighbourhood","address","quadrant","ward","latitude","longitude","location","geometry_point"
"General","2018","Kensington","13319 - 120 STREET NW","NW","2","53.593915241396566","-113.52788778129481","
,  
(53.593915241396566, -113.52788778129481)","POINT (-113.52788778129481 53.593915241396566)"
"General","2017","Kensington","13320 - 124 STREET","NW","2.0","53.59445292496724","-113.54013892309725","
,  
(53.59445292496724, -113.54013892309725)","POINT (-113.54013892309725 53.59445292496724)"
"General","2017","Westmount","11014 - 125 STREET","NW","6.0","53.557753550723476","-113.53836301114433","
,  
(53.557753550723476, -113.53836301114433)","POINT (-113.53836301114433 53.557753550723476)"
"Natural","2016","Matt Berry","15604 - 63 STREET","NE","4","53.617155568868654","-113.43867957838937","
,  
(53.617155568868654, -113.43867957838937)","POINT (-113.43867957838937 53.617155568868654)"
"General","2016","Fulton Place","10134 - 62 STREET","SE","8","53.54212781515288","-113.42846394527487","
,  
(53.54212781515288, -113.42846394527487)","POINT (-113.42846394527487 53.54212781515288)"
"General","2018","Northmount","9012 - 137 AVENUE NW","NE","7","53.59987559540144","-113.48037683102065","
,  
(53.59987559540144, -113.48037683102065)","POINT (-113.48037683102065 53.59987559540144)"
"General","2015","Parkallen","10935  -  65 AVENUE","SW","10","53.5016958648615","-113.51409927007","
,  
(53.5016958648615, -113.51409927007)","POINT (-113.51409927007 53.5016958648615)"
"General","2016","Westmount","10985 - 132 STREET","NW","6","53.5567614789231","-113.54916415229171","
,  
(53.5567614789231, -113.54916415229171)","POINT (-113.54916415229171 53.5567614789231)"
"General","2018","Calder","13030 - 119 STREET NW","NW","2","53.591292109795646","-113.52760636873793","
,  
(53.591292109795646, -113.52760636873793)","POINT (-113.52760636873793 53.591292109795646)"
"Edible","2016","Belmont","3012 - 133A AVENUE","NE","4","53.595141516378874","-113.38776413266915","
,  
(53.595141516378874, -113.38776413266915)","POINT (-113.38776413266915 53.595141516378874)"
"General","2015","Satoo","424  -  KNOTTWOOD ROAD WES","SE","11","53.4468666234098","-113.461786247967","
,  
(53.4468666234098, -113.461786247967)","POINT (-113.461786247967 53.4468666234098)"
"General","2014","Fulton Place","5407 - 105 AVENUE","NW","8","53.548203","-113.422269","
,  
(53.548203, -113.422269)","POINT (-113.422269 53.548203)"
"General","2016","Athlone","13008 - 134 STREET","NW","2","53.58941106274305","-113.55250169474267","
,  
(53.58941106274305, -113.55250169474267)","POINT (-113.55250169474267 53.58941106274305)"
"General","2015","Bonnie Doon","9311  -  92 STREET","SE","8","53.5293871255887","-113.467926594284","
,  
(53.5293871255887, -113.467926594284)","POINT (-113.467926594284 53.5293871255887)"
"General","2017","Mayfield","10745 - 165 STREET","WEST","1.0","53.55291907747965","-113.60606400215875","
,  
(53.55291907747965, -113.60606400215875)","POINT (-113.60606400215875 53.55291907747965)"
"Natural","2018","Duggan","3722 - 103B STREET NW","SW","10","53.47387449791072","-113.4975233189595","
,  
(53.47387449791072, -113.4975233189595)","POINT (-113.4975233189595 53.47387449791072)"
"General","2016","Blue Quill","2515 - 112 STREET","SW","10","53.458332867009204","-113.52044248641172","
,  
(53.458332867009204, -113.52044248641172)","POINT (-113.52044248641172 53.458332867009204)"
"General","2017","Quesnell Heights","156 - QUESNELL CRESCENT","WEST","5.0","53.50876533327653","-113.57307018382669","
,  
(53.50876533327653, -113.57307018382669)","POINT (-113.57307018382669 53.50876533327653)"
"General","2017","Northmount","14003 - 86 STREET","NE","7.0","53.60248925076842","-113.47188432842253","
,  
(53.60248925076842, -113.47188432842253)","POINT (-113.47188432842253 53.60248925076842)"
"General","2016","Glenora","10216 - 130 STREET","W","6","53.54349668106421","-113.54639351316891","
,  
(53.54349668106421, -113.54639351316891)","POINT (-113.54639351316891 53.54349668106421)"
"General","2017","Fulton Place","10531 - 67 STREET","SE","8.0","53.54864269089373","-113.4322389141782","
,  
(53.54864269089373, -113.4322389141782)","POINT (-113.4322389141782 53.54864269089373)"
"General","2018","Royal Gardens","4315 - 115 STREET NW","SW","10","53.48052504202233","-113.52850744354491","
,  
(53.48052504202233, -113.52850744354491)","POINT (-113.52850744354491 53.48052504202233)"
"General","2014","North Glenora","10973 - 138 STREET","NW","6","53.556747","-113.559808","
,  
(53.556747, -113.559808)","POINT (-113.559808 53.556747)"
"General","2015","West Jasper Place","9650  -  155 STREET","W","1","53.5344687863747","-113.589052666557","
,  
(53.5344687863747, -113.589052666557)","POINT (-113.589052666557 53.5344687863747)"
"General","2017","Rosslyn","10918 - 134 AVENUE","NW","2.0","53.59525398806843","-113.50951139948987","
,  
(53.59525398806843, -113.50951139948987)","POINT (-113.50951139948987 53.59525398806843)"
"General","2015","Grandview Heights","6628  -  123 STREET","SW","10","53.5034135627257","-113.542592434709","
,  
(53.5034135627257, -113.542592434709)","POINT (-113.542592434709 53.5034135627257)"
"General","2017","Alberta Avenue","11430 - 94 STREET","NE","7.0","53.56512379358794","-113.48591974981804","
,  
(53.56512379358794, -113.48591974981804)","POINT (-113.48591974981804 53.56512379358794)"
"General","2018","Kernohan","2621 - 129A AVENUE NW","NE","4","53.588516257046294","-113.38201527444306","
,  
(53.588516257046294, -113.38201527444306)","POINT (-113.38201527444306 53.588516257046294)"
"General","2017","Royal Gardens","11403 - 42 AVENUE","SW","10.0","53.47806946630547","-113.52565759856202","
,  
(53.47806946630547, -113.52565759856202)","POINT (-113.52565759856202 53.47806946630547)"
"Natural","2015","Strathcona","9820  -  85 AVENUE","SW","8","53.5211862662713","-113.483838198513","
,  
(53.5211862662713, -113.483838198513)","POINT (-113.483838198513 53.5211862662713)"
"General","2016","Strathearn","9219 - STRATHEARN DRIVE","SE","8","53.533360710633204","-113.46953521304195","
,  
(53.533360710633204, -113.46953521304195)","POINT (-113.46953521304195 53.533360710633204)"
"General","2016","Glenwood","9915 - 157 STREET","W","1","53.538142217325024","-113.59144835633245","
,  
(53.538142217325024, -113.59144835633245)","POINT (-113.59144835633245 53.538142217325024)"
"General","2016","Prince Charles**","12247 - 122 STREET","NW","2",,,,
"General","2016","Dovercourt","12203 - 135 STREET","NW","2","53.57290124200665","-113.55418585850555","
,  
(53.57290124200665, -113.55418585850555)","POINT (-113.55418585850555 53.57290124200665)"
"General","2015","Athlone","13819  -  128 AVENUE","NW","2","53.5855428221436","-113.558043295504","
,  
(53.5855428221436, -113.558043295504)","POINT (-113.558043295504 53.5855428221436)"
"Public Space","2018","Kensington","13312 - 114 STREET NW","NW","2","53.593818461643906","-113.51890811174232","
,  
(53.593818461643906, -113.51890811174232)","POINT (-113.51890811174232 53.593818461643906)"
"Natural","2017","Belvedere","6204 - 136 AVENUE","NE","4.0","53.59874347964227","-113.43677877893393","
,  
(53.59874347964227, -113.43677877893393)","POINT (-113.43677877893393 53.59874347964227)"
"General","2016","Belvedere","5712 - 133 AVENUE","NE","4","53.594019267775856","-113.4297120868112","
,  
(53.594019267775856, -113.4297120868112)","POINT (-113.4297120868112 53.594019267775856)"
"Tiny Yards","2018","Queen Alexandra","10708 - 74 AVENUE NW","SW","8","53.51067231636877","-113.50675195362982","
,  
(53.51067231636877, -113.50675195362982)","POINT (-113.50675195362982 53.51067231636877)"
"General","2018","Carlisle","14007 - 120 STREET NW","NW","2","53.60227878971625","-113.52680388992933","
,  
(53.60227878971625, -113.52680388992933)","POINT (-113.52680388992933 53.60227878971625)"
"General","2017","Belmont","13220 - 39 STREET","NE","4.0","53.59333989010023","-113.40083521056717","
,  
(53.59333989010023, -113.40083521056717)","POINT (-113.40083521056717 53.59333989010023)"
"General","2018","Queen Alexandra","10739 - 74 AVENUE NW","SW","8","53.510034038507264","-113.50822036550211","
,  
(53.510034038507264, -113.50822036550211)","POINT (-113.50822036550211 53.510034038507264)"
"General","2015","Athlone","13830  -  128A AVENUE","NW","2","53.5868823260946","-113.558398445399","
,  
(53.5868823260946, -113.558398445399)","POINT (-113.558398445399 53.5868823260946)"
"General","2014","Highlands","11122 - 62 STREET","NW","7","53.56506","-113.433108","
,  
(53.56506, -113.433108)","POINT (-113.433108 53.56506)"
"Natural","2015","Forest Heights","8315  -  101 AVENUE","SE","8","53.5409428175614","-113.455793223194","
,  
(53.5409428175614, -113.455793223194)","POINT (-113.455793223194 53.5409428175614)"
"General","2014","Holyrood","8252 - 93A AVENUE","NW","8","53.530474","-113.454748","
,  
(53.530474, -113.454748)","POINT (-113.454748 53.530474)"
"General","2018","Ottewell","7115 - 92B AVENUE NW","SE","8","53.52832442621035","-113.43781962599328","
,  
(53.52832442621035, -113.43781962599328)","POINT (-113.43781962599328 53.52832442621035)"
"General","2017","Caernarvon","11911 - 152A AVENUE","NW","2.0","53.61411557645642","-113.52738149927966","
,  
(53.61411557645642, -113.52738149927966)","POINT (-113.52738149927966 53.61411557645642)"
"General","2014","Twin Brooks","116 TWIN BROOKS COVE","NW","9","53.441012","-113.529532","
,  
(53.441012, -113.529532)","POINT (-113.529532 53.441012)"
"General","2017","Fulton Place","10229 - 54 STREET","SE","8.0","53.54439460736097","-113.42146312736547","
,  
(53.54439460736097, -113.42146312736547)","POINT (-113.42146312736547 53.54439460736097)"
"General","2015","King Edward Park","8946  -  78 AVENUE","SE","11","53.5144515389557","-113.466495022759","
,  
(53.5144515389557, -113.466495022759)","POINT (-113.466495022759 53.5144515389557)"
"General","2017","Westmount","10615 - 128 STREET","NW","6.0","53.54985273781483","-113.54246282339587","
,  
(53.54985273781483, -113.54246282339587)","POINT (-113.54246282339587 53.54985273781483)"
"General","2017","Fraser","14620 - 26 STREET","NE","4.0","53.611280010262064","-113.37966468061546","
,  
(53.611280010262064, -113.37966468061546)","POINT (-113.37966468061546 53.611280010262064)"
"General","2018","Delton","12334 - 92 STREET NW","NE","7","53.57934642578321","-113.48330071453466","
,  
(53.57934642578321, -113.48330071453466)","POINT (-113.48330071453466 53.57934642578321)"
"General","2015","Brookside","5111  -  139 STREET","SW","9","53.4891904448662","-113.561997637922","
,  
(53.4891904448662, -113.561997637922)","POINT (-113.561997637922 53.4891904448662)"
"General","2017","Rosslyn","10408 - 134 AVENUE","NW","2.0","53.59476316492528","-113.49948712228445","
,  
(53.59476316492528, -113.49948712228445)","POINT (-113.49948712228445 53.59476316492528)"
"Edible","2014","West Meadowlark Park","16610 - 93A AVENUE","NW","1","53.529865","-113.609344","
,  
(53.529865, -113.609344)","POINT (-113.609344 53.529865)"
"General","2014","Lansdowne","5220 - 126 STREET","NW","10","53.489612","-113.553008","
,  
(53.489612, -113.553008)","POINT (-113.553008 53.489612)"
"General","2015","Summerside","7908  -  SUMMERSIDE GRANDE","SE","12","53.4178985384688","-113.458648889026","
,  
(53.4178985384688, -113.458648889026)","POINT (-113.458648889026 53.4178985384688)"
"General","2014","Westmount","10971 - 126 STREET","NW","6","53.55593","-113.539449","
,  
(53.55593, -113.539449)","POINT (-113.539449 53.55593)"
"General","2017","Kensington","13323 - 123 STREET","NW","2.0","53.59406290191135","-113.53296774482145","
,  
(53.59406290191135, -113.53296774482145)","POINT (-113.53296774482145 53.59406290191135)"
"General","2014","Grovenor","10356 - 147 STREET","NW","6","53.545523","-113.574311","
,  
(53.545523, -113.574311)","POINT (-113.574311 53.545523)"
"General","2016","Caernarvon","14735 - 123 STREET","NW","2","53.610020282232796","-113.534831324392","
,  
(53.610020282232796, -113.534831324392)","POINT (-113.534831324392 53.610020282232796)"
"General","2018","Windsor Park","8930 - 120 STREET NW","SW","8","53.5263378636155","-113.53857602272593","
,  
(53.5263378636155, -113.53857602272593)","POINT (-113.53857602272593 53.5263378636155)"
"General","2014","Evansdale","8924 - 151 AVENUE","NW","3","53.611991","-113.479459","
,  
(53.611991, -113.479459)","POINT (-113.479459 53.611991)"
"General","2017","Rideau Park","10735 - 42 AVENUE","SW","10.0","53.478878673847404","-113.51022327363559","
,  
(53.478878673847404, -113.51022327363559)","POINT (-113.51022327363559 53.478878673847404)"
"General","2017","Caernarvon","15260 - 122 STREET","NW","2.0","53.61568618652004","-113.53145939268376","
,  
(53.61568618652004, -113.53145939268376)","POINT (-113.53145939268376 53.61568618652004)"
"General","2018","Bonnie Doon","9008 - 88 STREET NW","SE","8","53.5254024474076","-113.462876783932","
,  
(53.5254024474076, -113.462876783932)","POINT (-113.462876783932 53.5254024474076)"
"General","2018","Kensington","13503 - 118 STREET NW","NW","2","53.59668951873591","-113.52454016466405","
,  
(53.59668951873591, -113.52454016466405)","POINT (-113.52454016466405 53.59668951873591)"
"General","2016","Ritchie","9803 - 73 AVENUE","SE","11","53.5091460042792","-113.48308645341251","
,  
(53.5091460042792, -113.48308645341251)","POINT (-113.48308645341251 53.5091460042792)"
"General","2017","Highlands","6018 - 111 AVENUE","NE","7.0","53.56526838409483","-113.43064237155666","
,  
(53.56526838409483, -113.43064237155666)","POINT (-113.43064237155666 53.56526838409483)"
"General","2017","Inglewood","11515 - 122 STREET","NW","2.0","53.56578111314983","-113.53219235914584","
,  
(53.56578111314983, -113.53219235914584)","POINT (-113.53219235914584 53.56578111314983)"
"General","2017","Rosslyn","10416 - 136 AVENUE","NW","2.0","53.59876461101771","-113.50013485246383","
,  
(53.59876461101771, -113.50013485246383)","POINT (-113.50013485246383 53.59876461101771)"
"Uniquely Canadian","2017","The Hamptons","4536 - 212 STREET","WEST","5.0","53.48426062597447","-113.68519543038408","
,  
(53.48426062597447, -113.68519543038408)","POINT (-113.68519543038408 53.48426062597447)"
"General","2014","Riverdale","10076 - 90 STREET","NW","6","53.543585","-113.470261","
,  
(53.543585, -113.470261)","POINT (-113.470261 53.543585)"
"General","2015","Bonnie Doon","8572  -  89 STREET","SE","8","53.523282932847","-113.464172354893","
,  
(53.523282932847, -113.464172354893)","POINT (-113.464172354893 53.523282932847)"
"General","2015","Queen Alexandra","10730  -  71 AVENUE","SW","8","53.5077954302156","-113.507999412491","
,  
(53.5077954302156, -113.507999412491)","POINT (-113.507999412491 53.5077954302156)"
"General","2015","Athlone","12736  -  136 STREET","NW","2","53.585035331035","-113.555227299516","
,  
(53.585035331035, -113.555227299516)","POINT (-113.555227299516 53.585035331035)"
"General","2017","Hairsine","14065 - 30 STREET","NE","4.0","53.60426037015948","-113.38621215090008","
,  
(53.60426037015948, -113.38621215090008)","POINT (-113.38621215090008 53.60426037015948)"
"General","2018","Bonnie Doon","8820 - 85 AVENUE NW","SE","8","53.52133327370294","-113.46321484450115","
,  
(53.52133327370294, -113.46321484450115)","POINT (-113.46321484450115 53.52133327370294)"
"General","2016","Kensington","13519 - 123 STREET","NW","2","53.596876705800305","-113.53326902132541","
,  
(53.596876705800305, -113.53326902132541)","POINT (-113.53326902132541 53.596876705800305)"
"General","2016","West Meadowlark Park","9315 - 168 STREET","W","1","53.529547915423414","-113.61193724968739","
,  
(53.529547915423414, -113.61193724968739)","POINT (-113.61193724968739 53.529547915423414)"
"General","2017","Spruce Avenue","11326 - 105 STREET","NW","2.0","53.563580518376064","-113.50134941833245","
,  
(53.563580518376064, -113.50134941833245)","POINT (-113.50134941833245 53.563580518376064)"
"Natural","2017","Bonnie Doon","9002 - 93 STREET","SE","8.0","53.525456607268666","-113.47025525020707","
,  
(53.525456607268666, -113.47025525020707)","POINT (-113.47025525020707 53.525456607268666)"
"Tiny Yards","2018","Bonnie Doon","8936 - 83 AVENUE NW","SE","8","53.519406065118396","-113.46629510270324","
,  
(53.519406065118396, -113.46629510270324)","POINT (-113.46629510270324 53.519406065118396)"
"General","2017","Bonnie Doon","8548 - 86 AVENUE","SE","8.0","53.521968960830925","-113.46070367426805","
,  
(53.521968960830925, -113.46070367426805)","POINT (-113.46070367426805 53.521968960830925)"
"General","2017","Gariepy","17608 - 57 AVENUE","WEST","5.0","53.49420099285875","-113.62732987656175","
,  
(53.49420099285875, -113.62732987656175)","POINT (-113.62732987656175 53.49420099285875)"
"General","2018","Wellington","13015 - 135A AVENUE NW","NW","2","53.597199280023794","-113.54704171835321","
,  
(53.597199280023794, -113.54704171835321)","POINT (-113.54704171835321 53.597199280023794)"
"General","2014","Beverly Heights","11404 - 40 STREET","NW","7","53.566995","-113.403268","
,  
(53.566995, -113.403268)","POINT (-113.403268 53.566995)"
"General","2017","Secord","405 - SECORD BOULEVARD","WEST","1.0","53.534744609755485","-113.69673544440832","
,  
(53.534744609755485, -113.69673544440832)","POINT (-113.69673544440832 53.534744609755485)"
"General","2017","Strathearn","9618 - 90 STREET","SE","8.0","53.53359531186872","-113.46583962243136","
,  
(53.53359531186872, -113.46583962243136)","POINT (-113.46583962243136 53.53359531186872)"
"General","2017","Spruce Avenue","10221 - PRINCESS ELIZABETH AVENUE","NW","2.0","53.56845685991011","-113.49655726730843","
,  
(53.56845685991011, -113.49655726730843)","POINT (-113.49655726730843 53.56845685991011)"
"General","2015","Rosslyn","11204  -  136 AVENUE","NW","2","53.598659302208","-113.513696641327","
,  
(53.598659302208, -113.513696641327)","POINT (-113.513696641327 53.598659302208)"
"General","2018","Rosslyn","13527 - 112 STREET NW","NW","2","53.597982476106495","-113.51312047480751","
,  
(53.597982476106495, -113.51312047480751)","POINT (-113.51312047480751 53.597982476106495)"
"General","2017","Falconer Heights","1382 - FALCONER ROAD","SW","9.0","53.466691422280995","-113.5932963011856","
,  
(53.466691422280995, -113.5932963011856)","POINT (-113.5932963011856 53.466691422280995)"
"General","2016","Crestwood","14719 - SUMMIT DRIVE","W","1","53.54089811779697","-113.57521968252821","
,  
(53.54089811779697, -113.57521968252821)","POINT (-113.57521968252821 53.54089811779697)"
"General","2017","Queen Alexandra","10732 - 71 AVENUE","SW","8.0","53.50786826274617","-113.50818517000907","
,  
(53.50786826274617, -113.50818517000907)","POINT (-113.50818517000907 53.50786826274617)"
"General","2017","Brookside","5819 - 142 STREET","SW","9.0","53.495704465567194","-113.56444617968438","
,  
(53.495704465567194, -113.56444617968438)","POINT (-113.56444617968438 53.495704465567194)"
"General","2015","Crestwood","28  -  RIVERSIDE CRESCENT","W","1","53.5309564660064","-113.561001066234","
,  
(53.5309564660064, -113.561001066234)","POINT (-113.561001066234 53.5309564660064)"
"General","2017","Strathcona","9746 - 85 AVENUE","SW","8.0","53.52118112758876","-113.48194358756153","
,  
(53.52118112758876, -113.48194358756153)","POINT (-113.48194358756153 53.52118112758876)"
"Tiny Yards","2018","Twin Brooks","11831 - 8 AVENUE NW","SW","10","53.43673871230644","-113.53752919868765","
,  
(53.43673871230644, -113.53752919868765)","POINT (-113.53752919868765 53.43673871230644)"
"General","2015","Cumberland","15024  -  133 STREET","NW","2","53.6130953437711","-113.550062454853","
,  
(53.6130953437711, -113.550062454853)","POINT (-113.550062454853 53.6130953437711)"
"General","2018","Glenora","10230 - 132 STREET NW","W","6","53.54417483849597","-113.54987135888835","
,  
(53.54417483849597, -113.54987135888835)","POINT (-113.54987135888835 53.54417483849597)"
"General","2016","Glenora","10234 - CHURCHILL CRESCENT","W","6","53.544133987864456","-113.54857432319933","
,  
(53.544133987864456, -113.54857432319933)","POINT (-113.54857432319933 53.544133987864456)"
"General","2017","Kensington","13527 - 121 STREET","NW","2.0","53.597581386173715","-113.5296510053664","
,  
(53.597581386173715, -113.5296510053664)","POINT (-113.5296510053664 53.597581386173715)"
"General","2018","Athlone","13415 - 132 AVENUE NW","NW","2","53.59186445136755","-113.55256636639504","
,  
(53.59186445136755, -113.55256636639504)","POINT (-113.55256636639504 53.59186445136755)"
"General","2016","South Terwillegar","8653 - SLOANE COURT","SW","9","53.4381034560064","-113.58468070005104","
,  
(53.4381034560064, -113.58468070005104)","POINT (-113.58468070005104 53.4381034560064)"
"General","2016","Griesbach","371 - GRIESBACH SCHOOL ROAD","NW","2","53.604135477272756","-113.49567099238078","
,  
(53.604135477272756, -113.49567099238078)","POINT (-113.49567099238078 53.604135477272756)"
"General","2016","Glenora","13419 - 103 AVENUE","W","6","53.544414756489026","-113.55392724780594","
,  
(53.544414756489026, -113.55392724780594)","POINT (-113.55392724780594 53.544414756489026)"
"General","2016","Miller","14903 - 48 STREET","NE","4","53.611348796537044","-113.41367536619386","
,  
(53.611348796537044, -113.41367536619386)","POINT (-113.41367536619386 53.611348796537044)"
"General","2018","Avonmore","7912 - 70 AVENUE NW","SE","11","53.50704131702602","-113.4486330901804","
,  
(53.50704131702602, -113.4486330901804)","POINT (-113.4486330901804 53.50704131702602)"
"General","2014","Dovercourt","13504 - 123A AVENUE","NW","2","53.577086","-113.558888","
,  
(53.577086, -113.558888)","POINT (-113.558888 53.577086)"
"Natural","2016","Rosslyn","13428 - 113 STREET","NW","2","53.5961865218576","-113.51563351642787","
,  
(53.5961865218576, -113.51563351642787)","POINT (-113.51563351642787 53.5961865218576)"
"General","2014","Wellington","13440 - 134 STREET","NW","2","53.595975","-113.551975","
,  
(53.595975, -113.551975)","POINT (-113.551975 53.595975)"
"Tiny Yards","2018","Lorelei","83 - LORELEI CLOSE NW","NW","3","53.622213866053116","-113.50131010294388","
,  
(53.622213866053116, -113.50131010294388)","POINT (-113.50131010294388 53.622213866053116)"
"General","2017","Summerside","8516 - 16A AVENUE SW","SE","12.0","53.41878469693695","-113.46560903601642","
,  
(53.41878469693695, -113.46560903601642)","POINT (-113.46560903601642 53.41878469693695)"
"General","2014","Fulton Place","10207 - 52 STREET","NW","8","53.543263","-113.420033","
,  
(53.543263, -113.420033)","POINT (-113.420033 53.543263)"
"General","2018","Kensington","11804 - 132 AVENUE NW","NW","2","53.59241453316893","-113.52513190343603","
,  
(53.59241453316893, -113.52513190343603)","POINT (-113.52513190343603 53.59241453316893)"
"General","2016","Evansdale","15011 - 88A STREET","NE","3","53.61168156001075","-113.4759102787547","
,  
(53.61168156001075, -113.4759102787547)","POINT (-113.4759102787547 53.61168156001075)"
"General","2017","Ottewell","5404 - 92A AVENUE","SE","8.0","53.52795774738879","-113.42120485265035","
,  
(53.52795774738879, -113.42120485265035)","POINT (-113.42120485265035 53.52795774738879)"
"General","2018","Rhatigan Ridge","315 - ROUTLEDGE ROAD NW","SW","9","53.477003929979006","-113.60024692632099","
,  
(53.477003929979006, -113.60024692632099)","POINT (-113.60024692632099 53.477003929979006)"
"General","2014","Greenview","3955 - 55 STREET","NW","11","53.475182","-113.420787","
,  
(53.475182, -113.420787)","POINT (-113.420787 53.475182)"
"General","2017","Dechene","108 - DECHENE ROAD","WEST","5.0","53.48831988042144","-113.63930761525928","
,  
(53.48831988042144, -113.63930761525928)","POINT (-113.63930761525928 53.48831988042144)"
"General","2017","Athlone","13120 - 135 STREET","NW","2.0","53.59096222760344","-113.55399564356038","
,  
(53.59096222760344, -113.55399564356038)","POINT (-113.55399564356038 53.59096222760344)"
"General","2018","Homesteader","48 - HENRY AVENUE NW","NE","4","53.58655135984717","-113.4018199729783","
,  
(53.58655135984717, -113.4018199729783)","POINT (-113.4018199729783 53.58655135984717)"
"General","2016","Meyonohk","1621 - LAKEWOOD ROAD WEST","SE","11","53.454865741445346","-113.46175103941744","
,  
(53.454865741445346, -113.46175103941744)","POINT (-113.46175103941744 53.454865741445346)"
"General","2018","Glenwood","9808 - 164 STREET NW","W","1","53.5365142597344","-113.6048368784512","
,  
(53.5365142597344, -113.6048368784512)","POINT (-113.6048368784512 53.5365142597344)"
"General","2015","Newton","12320  -  50 STREET","NE","7","53.5790326665948","-113.41887569041","
,  
(53.5790326665948, -113.41887569041)","POINT (-113.41887569041 53.5790326665948)"
"Natural","2015","Westmount","10946  -  125 STREET","NW","6","53.555289677843","-113.538181592242","
,  
(53.555289677843, -113.538181592242)","POINT (-113.538181592242 53.555289677843)"
"General","2014","Westmount","10721 - 122 STREET","NW","6","53.551789","-113.532423","
,  
(53.551789, -113.532423)","POINT (-113.532423 53.551789)"
"General","2017","Calder","13036 - 121 STREET","NW","2.0","53.59039777804876","-113.53096922338672","
,  
(53.59039777804876, -113.53096922338672)","POINT (-113.53096922338672 53.59039777804876)"
"General","2014","Queen Alexandra","10515 - 71 AVENUE","NW","8","53.507178","-113.50141","
,  
(53.507178, -113.50141)","POINT (-113.50141 53.507178)"
"General","2014","Windsor Park","8324 - 120 STREET","NW","8","53.520468","-113.53674","
,  
(53.520468, -113.53674)","POINT (-113.53674 53.520468)"
"General","2016","Kildare","14111 - 70 STREET","NE","7","53.603662645075104","-113.44916240499353","
,  
(53.603662645075104, -113.44916240499353)","POINT (-113.44916240499353 53.603662645075104)"
"General","2017","Glenora","16 - ALEXANDER CIRCLE","WEST","6.0","53.545008804955025","-113.55179368250849","
,  
(53.545008804955025, -113.55179368250849)","POINT (-113.55179368250849 53.545008804955025)"
"General","2018","Lauderdale","13123 - 109 STREET NW","NW","2","53.59122125273788","-113.50779080913998","
,  
(53.59122125273788, -113.50779080913998)","POINT (-113.50779080913998 53.59122125273788)"
"General","2015","Belvedere","13324  -  62 STREET","NE","4","53.5945116382989","-113.437112160077","
,  
(53.5945116382989, -113.437112160077)","POINT (-113.437112160077 53.5945116382989)"
"General","2016","Garneau","10836 - 84 AVENUE","SW","8","53.520371122481336","-113.51116135697454","
,  
(53.520371122481336, -113.51116135697454)","POINT (-113.51116135697454 53.520371122481336)"
"General","2017","Delwood","7011 - 137 AVENUE","NE","7.0","53.59933414504508","-113.44976252365198","
,  
(53.59933414504508, -113.44976252365198)","POINT (-113.44976252365198 53.59933414504508)"
"General","2014","Windsor Park","8944 - 117 STREET","NW","8","53.539265","-113.523176","
,  
(53.539265, -113.523176)","POINT (-113.523176 53.539265)"
"General","2017","Ottewell","5411 - 93B AVENUE","SE","8.0","53.530969923427634","-113.42158603938294","
,  
(53.530969923427634, -113.42158603938294)","POINT (-113.42158603938294 53.530969923427634)"
"Tiny Yards","2018","Riverdale","10012 - 90 STREET NW","NE","6","53.54225933658788","-113.46945679761951","
,  
(53.54225933658788, -113.46945679761951)","POINT (-113.46945679761951 53.54225933658788)"
"General","2015","Belmont","3236  -  130 AVENUE","NE","4","53.5891981659435","-113.392076558362","
,  
(53.5891981659435, -113.392076558362)","POINT (-113.392076558362 53.5891981659435)"
"General","2018","Athlone","12748 - 130 STREET NW","NW","2","53.585730607715654","-113.54636403980476","
,  
(53.585730607715654, -113.54636403980476)","POINT (-113.54636403980476 53.585730607715654)"
"General","2018","Glenwood","9827 - 164 STREET NW","W","1","53.53718653493686","-113.60384220172745","
,  
(53.53718653493686, -113.60384220172745)","POINT (-113.60384220172745 53.53718653493686)"
"General","2017","Glenora","10328 - CONNAUGHT DRIVE","WEST","6.0","53.54526666981727","-113.54432991933754","
,  
(53.54526666981727, -113.54432991933754)","POINT (-113.54432991933754 53.54526666981727)"
"Edible","2014","Belmont","3012 - 133A AVENUE","NW","4","53.594993","-113.387818","
,  
(53.594993, -113.387818)","POINT (-113.387818 53.594993)"
"General","2014","Highlands","6319 - 111 AVENUE","NW","7","53.563941","-113.433884","
,  
(53.563941, -113.433884)","POINT (-113.433884 53.563941)"
"General","2014","Wellington","13516 - 137 STREET","NW","2","53.596968","-113.558758","
,  
(53.596968, -113.558758)","POINT (-113.558758 53.596968)"
"General","2014","Lauderdale","10711 - 132 AVENUE","NW","2","53.591812","-113.504765","
,  
(53.591812, -113.504765)","POINT (-113.504765 53.591812)"
"General","2014","Greenfield","3623 - 114 STREET","NW","10","53.470925","-113.528423","
,  
(53.470925, -113.528423)","POINT (-113.528423 53.470925)"
"General","2017","Fulton Place","10511 - FULTON DRIVE","SE","8.0","53.5480227914825","-113.43606458379857","
,  
(53.5480227914825, -113.43606458379857)","POINT (-113.43606458379857 53.5480227914825)"
"General","2016","Crestwood","13727 - SUMMIT POINT","W","1","53.53632043981809","-113.55921180626883","
,  
(53.53632043981809, -113.55921180626883)","POINT (-113.55921180626883 53.53632043981809)"
"General","2018","Pleasantview","5917 - 108 STREET NW","SW","10","53.495342635752834","-113.50839066587146","
,  
(53.495342635752834, -113.50839066587146)","POINT (-113.50839066587146 53.495342635752834)"
