"category","year","neighbourhood","address","quadrant","ward","latitude","longitude","location","geometry_point"
"General","2018","Rosslyn","10332 - 137 AVENUE NW","NW","2",,,,
"General","2018","Kensington","12115 - 134 AVENUE NW","NW","2",,,,
"General","2018","Sakaw","5923 - 11 AVENUE NW","SE","11",,,,
"General","2018","Rosslyn","13527 - 113A AVENUE NW","NW","2",,,,
"General","2018","Royal Gardens","4411 - 115 STREET NW","SW","10",,,,
"Public Space","2018","Rosslyn","�11316 - 134 AVENUE NW","NW","2",,,,
"General","2018","Rosslyn","11224 - 137 AVENUE NW","NW","2",,,,
"General","2018","Rosslyn","10604 - 137 AVENUE NW","NW","2",,,,
"General","2018","Kensington","12307 - 135 AVENUE NW","NW","2",,,,
"General","2018","Carlisle","11444 - 143 AVENUW NW","NW","2",,,,
"Tiny Yards","2018","Carlisle","13827A - 114 STREET NW","NW","2",,,,
"General","2018","Rosslyn","10608 - 137 AVENUE NW","NW","2",,,,
"General","2018","Rosslyn","10208 - 135 AVENUE NW","NW","2",,,,
"General","2018","Rosslyn","10416 - 137 AVENUE NW","NW","2",,,,
"General","2018","Kensington","12008 - 133 AVENUE NW","NW","2",,,,
"Natural","2018","Terrace Heights","10123 - 73 STREET NW","SE","8",,,,
"General","2018","Haddow","2010 - HADDOW DRIVE NW","SW","9",,,,
"General","2018","Jackson Heights","519 - JELLETT WAY NW","SE","11",,,,
"General","2018","McCauley","10816 - 93 STREET NW","NE","6",,,,
"Public Space","2018","Crestwood","14325 - 96 AVENUE NW","W","1",,,,
"Tiny Yards","2018","Ellerslie","603 - 77 STREET SW","SE","12",,,,
"Natural","2018","Terrace Heights","10128 - 72 STREET NW","SE","8",,,,
"General","2018","Griesbach","138 - GRIESBACH ROAD NW","NW","2",,,,
"General","2018","Jackson Heights","503 - JELLETT WAY NW","SE","11",,,,
"General","2018","Royal Gardens","11403 - 42 AVENUE NW","SW","10",,,,
"General","2018","Ambleside","1931 - AINSLIE LINK SW","SW","9",,,,
"General","2018","Rundle Heights","10728 - 31 STREET NW","NE","7",,,,
"General","2018","Griesbach","275 - GRIESBACH ROAD NW","NW","2",,,,
"General","2018","Athlone","230 - DUNVEGAN ROAD NW","NW","2",,,,
"General","2017","Hairsine","14075 - 30 STREET","NE","4.0","53.604321505588864","-113.38645298394624","
,  
(53.604321505588864, -113.38645298394624)","POINT (-113.38645298394624 53.604321505588864)"
"General","2014","Twin Brooks","11511 - 15 AVENUE","NW","9","53.448579","-113.532757","
,  
(53.448579, -113.532757)","POINT (-113.532757 53.448579)"
"General","2016","Lauderdale","13140 - 101 STREET","NW","2","53.59173291441315","-113.49402483490778","
,  
(53.59173291441315, -113.49402483490778)","POINT (-113.49402483490778 53.59173291441315)"
"General","2014","Fulton Place","5808 - 105 AVENUE","NW","8","53.547888","-113.425405","
,  
(53.547888, -113.425405)","POINT (-113.425405 53.547888)"
"General","2017","Mayfield","10740 - 159 STREET","WEST","1.0","53.55222046052292","-113.59599040745378","
,  
(53.55222046052292, -113.59599040745378)","POINT (-113.59599040745378 53.55222046052292)"
"General","2018","Caernarvon","11527 - 152A AVENUE NW","NW","2","53.61260259476506","-113.52201883119079","
,  
(53.61260259476506, -113.52201883119079)","POINT (-113.52201883119079 53.61260259476506)"
"General","2018","Glenora","10417 - GLENORA CRESCENT NW","W","6","53.54678120431488","-113.54761071214185","
,  
(53.54678120431488, -113.54761071214185)","POINT (-113.54761071214185 53.54678120431488)"
"General","2018","Rosslyn","10312 - 135A AVENUE NW","NW","2","53.59772185751611","-113.49789626683449","
,  
(53.59772185751611, -113.49789626683449)","POINT (-113.49789626683449 53.59772185751611)"
"General","2018","Kensington","13212 - 116 STREET NW","NW","2","53.59246620793824","-113.52230681625512","
,  
(53.59246620793824, -113.52230681625512)","POINT (-113.52230681625512 53.59246620793824)"
"General","2014","Highlands","11506 - 65 STREET","NW","7","53.569317","-113.44092","
,  
(53.569317, -113.44092)","POINT (-113.44092 53.569317)"
"Edible","2014","Sherbrooke","12912 - 120 Avenue","NW","2","53.573513","-113.545392","
,  
(53.573513, -113.545392)","POINT (-113.545392 53.573513)"
"General","2017","Brander Gardens","14519 - 63 AVENUE","SW","9.0","53.4983170663565","-113.57374813206415","
,  
(53.4983170663565, -113.57374813206415)","POINT (-113.57374813206415 53.4983170663565)"
"General","2017","Skyrattler","11220 - 18 AVENUE","SW","10.0","53.44878891422555","-113.52285922052063","
,  
(53.44878891422555, -113.52285922052063)","POINT (-113.52285922052063 53.44878891422555)"
"General","2017","Wellington","13007 - 135A AVENUE","NW","2.0","53.59718708970209","-113.5461959420295","
,  
(53.59718708970209, -113.5461959420295)","POINT (-113.5461959420295 53.59718708970209)"
"General","2015","Rosslyn","13608  -  108 STREET","NW","2","53.5990649849997","-113.506927620378","
,  
(53.5990649849997, -113.506927620378)","POINT (-113.506927620378 53.5990649849997)"
"General","2015","Parkview","9268  -  148 STREET","W","1","53.5278757739073","-113.576737192715","
,  
(53.5278757739073, -113.576737192715)","POINT (-113.576737192715 53.5278757739073)"
"General","2016","Glenora","13319 - 106A AVENUE","W","6","53.55008022823017","-113.55267558428439","
,  
(53.55008022823017, -113.55267558428439)","POINT (-113.55267558428439 53.55008022823017)"
"General","2015","Virginia Park","7314  -  ADA BOULEVARD","NE","7","53.5586878356046","-113.447755587333","
,  
(53.5586878356046, -113.447755587333)","POINT (-113.447755587333 53.5586878356046)"
"General","2018","Ottewell","7104 - 92A AVENUE NW","SE","8","53.5280776404077","-113.43693311721304","
,  
(53.5280776404077, -113.43693311721304)","POINT (-113.43693311721304 53.5280776404077)"
"Tiny Yards","2018","South Terwillegar","4913 - TERWILLEGAR COMMON NW","SW","9","53.44401095484864","-113.57463252186535","
,  
(53.44401095484864, -113.57463252186535)","POINT (-113.57463252186535 53.44401095484864)"
"General","2017","Parkdale","11539 - 88 STREET","NE","7.0","53.56702958377203","-113.47616936415298","
,  
(53.56702958377203, -113.47616936415298)","POINT (-113.47616936415298 53.56702958377203)"
"General","2016","Kensington","13528 - 123A STREET","NW","2","53.59739695231768","-113.53533275561327","
,  
(53.59739695231768, -113.53533275561327)","POINT (-113.53533275561327 53.59739695231768)"
"General","2017","Brander Gardens","167 - BRANDER DRIVE","SW","9.0","53.49772579265936","-113.58187698279032","
,  
(53.49772579265936, -113.58187698279032)","POINT (-113.58187698279032 53.49772579265936)"
"General","2017","Kensington","11411 - 134 AVENUE","NW","2.0","53.594611735872945","-113.51953351882867","
,  
(53.594611735872945, -113.51953351882867)","POINT (-113.51953351882867 53.594611735872945)"
"General","2018","Kensington","13539 - 123A STREET NW","NW","2","53.59782626246631","-113.53481444123383","
,  
(53.59782626246631, -113.53481444123383)","POINT (-113.53481444123383 53.59782626246631)"
"General","2014","North Glenora","13212 - 109 AVENUE","NW","6","53.554409","-113.551811","
,  
(53.554409, -113.551811)","POINT (-113.551811 53.554409)"
"General","2016","Griesbach","1212 - COLONEL STONE AVENUE","NW","2","53.603222226273985","-113.49683802118885","
,  
(53.603222226273985, -113.49683802118885)","POINT (-113.49683802118885 53.603222226273985)"
"General","2015","Brookside","5608  -  142 STREET","SW","9","53.4934937855933","-113.565492595339","
,  
(53.4934937855933, -113.565492595339)","POINT (-113.565492595339 53.4934937855933)"
"Uniquely Canadian","2017","Glenora","10609 - 140 STREET","WEST","6.0","53.5498386097313","-113.56262166973801","
,  
(53.5498386097313, -113.56262166973801)","POINT (-113.56262166973801 53.5498386097313)"
"General","2016","Grovenor","10326 - 145 STREET","W","6","53.54486565264801","-113.57151388693438","
,  
(53.54486565264801, -113.57151388693438)","POINT (-113.57151388693438 53.54486565264801)"
"Public Space","2015","Queen Alexandra","10831  -  UNIVERSITY AVENU","SW","8","53.5136912274371","-113.510886241724","
,  
(53.5136912274371, -113.510886241724)","POINT (-113.510886241724 53.5136912274371)"
"General","2018","Beaumaris","15 - STIRLING ROAD NW","NW","3","53.619717208724076","-113.50165555993284","
,  
(53.619717208724076, -113.50165555993284)","POINT (-113.50165555993284 53.619717208724076)"
"General","2014","Meyonohk","2448 - 89 STREET","NW","11","53.453548","-113.464446","
,  
(53.453548, -113.464446)","POINT (-113.464446 53.453548)"
