"category","title","closingdate","reqid","url"
"Business Professionals","Diverse Communities Education Specialist","2022-08-29T23:59:00.000","44511","More Details (https://recruitment.edmonton.ca/job/CITYA000C14554/Diverse-Communities-Education-Specialist?utm_source=indeed&utm_medium=phenom-feeds)"
"Business Professionals","Property Manager I","2022-08-29T23:59:00.000","44445","More Details (https://recruitment.edmonton.ca/job/CITYA000C14553/Property-Manager-I?utm_source=indeed&utm_medium=phenom-feeds)"
"Trades","Painter I","2022-08-29T23:59:00.000","44358","More Details (https://recruitment.edmonton.ca/job/CITYA000C14555/Painter-I?utm_source=indeed&utm_medium=phenom-feeds)"
"Administrative Professionals","CPIC Information Operator I  - Revised","2022-08-29T23:59:00.000","44536","More Details (https://recruitment.edmonton.ca/job/CITYA000C14548/CPIC-Information-Operator-I-Revised?utm_source=indeed&utm_medium=phenom-feeds)"
"Administrative Professionals","Administrative Assistant","2022-08-29T23:59:00.000","44496","More Details (https://recruitment.edmonton.ca/job/CITYA000C14549/Administrative-Assistant?utm_source=indeed&utm_medium=phenom-feeds)"
"Business Professionals","Corporate Strategic Planning Analyst","2022-08-29T23:59:00.000","44502","More Details (https://recruitment.edmonton.ca/job/CITYA000C14545/Corporate-Strategic-Planning-Analyst?utm_source=indeed&utm_medium=phenom-feeds)"
"Business Professionals","Supervisor, Tax Collection and BIA","2022-08-30T23:59:00.000","44498","More Details (https://recruitment.edmonton.ca/job/CITYA000C14563/Supervisor-Tax-Collection-and-BIA?utm_source=indeed&utm_medium=phenom-feeds)"
"Business Professionals","Community Safety Liaison","2022-08-30T23:59:00.000","44517","More Details (https://recruitment.edmonton.ca/job/CITYA000C14567/Community-Safety-Liaison?utm_source=indeed&utm_medium=phenom-feeds)"
"Administrative Professionals","Causal Electronic Surveillance Monitor","2022-08-30T23:59:00.000","44602","More Details (https://recruitment.edmonton.ca/job/CITYA000C14633/Causal-Electronic-Surveillance-Monitor?utm_source=indeed&utm_medium=phenom-feeds)"
"Engineers & Technologists","Senior Engineer","2022-08-30T23:59:00.000","44494","More Details (https://recruitment.edmonton.ca/job/CITYA000C14500/Senior-Engineer?utm_source=indeed&utm_medium=phenom-feeds)"
"Business Professionals","Methods Analyst II - Strategic Business Intelligence Analyst","2022-08-30T23:59:00.000","44541","More Details (https://recruitment.edmonton.ca/job/CITYA000C14562/Methods-Analyst-II-Strategic-Business-Intelligence-Analyst?utm_source=indeed&utm_medium=phenom-feeds)"
"Administrative Professionals","Council Executive Assistant","2022-08-30T23:59:00.000","44296","More Details (https://recruitment.edmonton.ca/job/CITYA000C14303/Council-Executive-Assistant?utm_source=indeed&utm_medium=phenom-feeds)"
"Leadership","Strategic Coordinator, Social Development","2022-08-30T23:59:00.000","44321","More Details (https://recruitment.edmonton.ca/job/CITYA000C14564/Strategic-Coordinator-Social-Development?utm_source=indeed&utm_medium=phenom-feeds)"
"Business Professionals","Methods Analyst II - Deployment Business Intelligence Analyst","2022-08-30T23:59:00.000","44542","More Details (https://recruitment.edmonton.ca/job/CITYA000C14561/Methods-Analyst-II-Deployment-Business-Intelligence-Analyst?utm_source=indeed&utm_medium=phenom-feeds)"
"Communication","Communications Advisor","2022-08-31T23:59:00.000","44491","More Details (https://recruitment.edmonton.ca/job/CITYA000C14506/Communications-Advisor?utm_source=indeed&utm_medium=phenom-feeds)"
"Administrative Professionals","Word/Data Processing Clerk II - Charge Report Disclosure Unit Clerk","2022-08-31T23:59:00.000","44611","More Details (https://recruitment.edmonton.ca/job/CITYA000C14647/Word-Data-Processing-Clerk-II-Charge-Report-Disclosure-Unit-Clerk?utm_source=indeed&utm_medium=phenom-feeds)"
