"row_id","track_id","date_and_time_of_reading","number_of_satellites","dop","elevation_above_sea_level","ground_speed_km_h","heading_degrees_off_north","latitude","longitude","geocoded_column"
"HELICOPTER-TM52178:bt-04---20200424183925","TM52178:bt-04-","2020-04-24T18:39:25.000","19","1.1","728","33.5","20.1","53.56808113","-113.6715009","POINT (-113.6715009 53.56808113)"
"HELICOPTER-TM52178:06-05--20200605070947","TM52178:06-05","2020-06-05T07:09:47.000","19","1.1","716","38.4","90.1","53.4030113","-113.478849","POINT (-113.478849 53.4030113)"
"HELICOPTER-TM52178:04-27--20200427083954","TM52178:04-27","2020-04-27T08:39:54.000","19","1.1","711","37.5","69.8","53.57731293","-113.6047899","POINT (-113.6047899 53.57731293)"
"HELICOPTER-TM52180:07-09--20200709072136","TM52180:07-09","2020-07-09T07:21:36.000","19","1.1","693","36.7","135.5","53.67139989","-113.4617101","POINT (-113.4617101 53.67139989)"
"HELICOPTER-TM52179:04-28--20200428082435","TM52179:04-28","2020-04-28T08:24:35.000","18","1","761","40.4","354.6","53.43239833","-113.4834374","POINT (-113.4834374 53.43239833)"
"HELICOPTER-TM52178:05-30--20200530074944","TM52178:05-30","2020-05-30T07:49:44.000","19","1.1","733","43.3","270","53.55100487","-113.7214622","POINT (-113.7214622 53.55100487)"
"HELICOPTER-TM52180:07-09--20200709075912","TM52180:07-09","2020-07-09T07:59:12.000","19","1.1","703","45.1","28.4","53.66438749","-113.4620512","POINT (-113.4620512 53.66438749)"
"HELICOPTER-TM52180:05-10--20200510103538","TM52180:05-10","2020-05-10T10:35:38.000","19","1","742","33.6","179.7","53.40401023","-113.3800636","POINT (-113.3800636 53.40401023)"
"HELICOPTER-TM52180:07-08--20200708200939","TM52180:07-08","2020-07-08T20:09:39.000","19","1","719","37","30.9","53.64713141","-113.5568347","POINT (-113.5568347 53.64713141)"
"HELICOPTER-TM52180:05-28--20200428063036","TM52180:05-28","2020-04-28T06:30:36.000","18","1.1","764","39.9","179.8","53.41328238","-113.4007585","POINT (-113.4007585 53.41328238)"
"HELICOPTER-TM52178:06-04--20200604050703","TM52178:06-04","2020-06-04T05:07:03.000","16","1.2","694","32.1","270.6","53.67887628","-113.4408038","POINT (-113.4408038 53.67887628)"
"HELICOPTER-TM52180:06-04--20200604095957","TM52180:06-04","2020-06-04T09:59:57.000","19","1.1","669","35.8","271","53.68969543","-113.4003767","POINT (-113.4003767 53.68969543)"
"HELICOPTER-TM52180:apr 24--20200425101133","TM52180:apr 24","2020-04-25T10:11:33.000","19","1","707","30.6","192.8","53.64862818","-113.542251","POINT (-113.542251 53.64862818)"
