"year","neighbourhood","site_type","category","target","size","number_of_tags","lir_value","lir_group_value","latitude","longitude","location","geometry_point"
"2014","Strathcona","Hot Spot","Private","Retail","X-Large (>20sqft)","2","33","26-35","53.52111","-113.4962","
,  
(53.52111, -113.4962)","POINT (-113.4962 53.52111)"
"2014","Downtown","Random","City","Corporate property","Small (>1sq ft<=2sqft)","1","16","16-20","53.5458","-113.50188","
,  
(53.5458, -113.50188)","POINT (-113.50188 53.5458)"
"2014","Strathcona","Hot Spot","Private","Retail","Large (>9sq ft<=20sqft)","2","33","26-35","53.51861","-113.49536","
,  
(53.51861, -113.49536)","POINT (-113.49536 53.51861)"
"2014","Ritchie","Hot Spot","Private","Private Waste - Super Save","Small (>1sq ft<=2sqft)","1","16","16-20","53.51756","-113.48692","
,  
(53.51756, -113.48692)","POINT (-113.48692 53.51756)"
"2013","Parkdale","Hot Spot","Marker / Plain Graffiti","Disposal Bin - Small","Small (>1sq ft<=2sqft)",,"16","16-20","53.57002","-113.46794","
,  
(53.57002, -113.46794)","POINT (-113.46794 53.57002)"
"2014","Downtown","Random","Private","Commercial","Med (>2sq ft<=9sqft)","1","16","16-20","53.54164","-113.50214","
,  
(53.54164, -113.50214)","POINT (-113.50214 53.54164)"
"2014","McCauley","Random","Private","Private Waste - WMI","Small (>1sq ft<=2sqft)","2","15","16-20","53.55308","-113.49142","
,  
(53.55308, -113.49142)","POINT (-113.49142 53.55308)"
"2012","Queen Alexandra","Hot Spot","Marker / Plain Graffiti","Disposal Bin - Small","Small (>1sq ft<=2sqft)","3","19","16-20","53.51749","-113.49832","
,  
(53.51749, -113.49832)","POINT (-113.49832 53.51749)"
"2014","Queen Mary Park","Hot Spot","Private","Private Waste - BFI","Small (>1sq ft<=2sqft)","3","18","16-20","53.54861","-113.51859","
,  
(53.54861, -113.51859)","POINT (-113.51859 53.54861)"
"2014","Downtown","Hot Spot","Private","Commercial","Med (>2sq ft<=9sqft)","1","25","21-25","53.54389","-113.49831","
,  
(53.54389, -113.49831)","POINT (-113.49831 53.54389)"
"2013","Oliver","Hot Spot","Marker / Plain Graffiti","Door","Large (>9sq ft<=20sqft)","4","20","16-20","53.54155","-113.5296","
,  
(53.54155, -113.5296)","POINT (-113.5296 53.54155)"
"2014","Belvedere","Hot Spot","Private","Residence","Small (>1sq ft<=2sqft)","3","16","16-20","52.59024","-113.43748","
,  
(52.59024, -113.43748)","POINT (-113.43748 52.59024)"
"2014","Queen Mary Park","Hot Spot","Private","Retail","Med (>2sq ft<=9sqft)","3","16","16-20","53.54924","-113.51869","
,  
(53.54924, -113.51869)","POINT (-113.51869 53.54924)"
"2014","Downtown","Hot Spot","Private","Private Waste - BFI","Small (>1sq ft<=2sqft)","2","16","16-20","53.54554","-113.5006","
,  
(53.54554, -113.5006)","POINT (-113.5006 53.54554)"
"2012","Killarney","Hot Spot","Marker / Plain Graffiti","Bus Shelter","Small (>1sq ft<=2sqft)","7","21","21-25","53.58897","-113.46747","
,  
(53.58897, -113.46747)","POINT (-113.46747 53.58897)"
"2014","Eastwood","Hot Spot","Private","Vehicles/ Rolling Stock","Med (>2sq ft<=9sqft)","4","19","16-20","53.5759","-113.46268","
,  
(53.5759, -113.46268)","POINT (-113.46268 53.5759)"
"2014","Downtown","Hot Spot","Private","Commercial","Small (>1sq ft<=2sqft)","1","16","16-20","53.54055","-113.49444","
,  
(53.54055, -113.49444)","POINT (-113.49444 53.54055)"
"2012","Queen Mary Park","Random","Marker / Plain Graffiti","Signs","X-Small (<=1sq ft)","3","15","0-15","53.55125","-113.52055","
,  
(53.55125, -113.52055)","POINT (-113.52055 53.55125)"
"2014","CPR West / Strathcona Junction","Hot Spot","Private","Retail","Small (>1sq ft<=2sqft)","3","24","21-25","53.51809","-113.49641","
,  
(53.51809, -113.49641)","POINT (-113.49641 53.51809)"
"2014","Queen Alexandra","Hot Spot","City","Corporate property","Small (>1sq ft<=2sqft)","4","18","16-20","53.51474","-113.50467","
,  
(53.51474, -113.50467)","POINT (-113.50467 53.51474)"
"2014","Boyle Street","Random","Private","Retail","Small (>1sq ft<=2sqft)","2","16","16-20","53.55617","-113.47169","
,  
(53.55617, -113.47169)","POINT (-113.47169 53.55617)"
"2014","Boyle Street","Hot Spot","Private","Retail","Small (>1sq ft<=2sqft)","3","24","21-25","53.54591","-113.48063","
,  
(53.54591, -113.48063)","POINT (-113.48063 53.54591)"
"2013","Oliver","Hot Spot","Marker / Plain Graffiti","Utility box","Small (>1sq ft<=2sqft)",,"17","16-20","53.54164","-113.5343","
,  
(53.54164, -113.5343)","POINT (-113.5343 53.54164)"
"2012","Strathcona","Hot Spot","Marker / Plain Graffiti","Disposal Bin - Small","Med (>2sq ft<=9sqft)","1","21","21-25","53.51866","-113.50465","
,  
(53.51866, -113.50465)","POINT (-113.50465 53.51866)"
"2014","Alberta Avenue","Hot Spot","Private","Private Waste - Super Save","Med (>2sq ft<=9sqft)","1","18","16-20","53.57","-113.48455","
,  
(53.57, -113.48455)","POINT (-113.48455 53.57)"
"2014","CPR West / Strathcona Junction","Hot Spot","Private","Retail","Med (>2sq ft<=9sqft)","3","28","26-35","53.51741","-113.49629","
,  
(53.51741, -113.49629)","POINT (-113.49629 53.51741)"
"2014","Garneau","Hot Spot","City","ETS","Small (>1sq ft<=2sqft)","2","19","16-20","53.51854","-113.51169","
,  
(53.51854, -113.51169)","POINT (-113.51169 53.51854)"
"2012","Belvedere","Hot Spot","Marker / Plain Graffiti","Garage","Small (>1sq ft<=2sqft)","1","24","21-25","53.59193","-113.44054","
,  
(53.59193, -113.44054)","POINT (-113.44054 53.59193)"
"2014","CPR West / Strathcona Junction","Random","Private","Commercial","Small (>1sq ft<=2sqft)","1","16","16-20","53.50571","-113.49668","
,  
(53.50571, -113.49668)","POINT (-113.49668 53.50571)"
"2013","Downtown","Random","Marker / Plain Graffiti","Postal box","Small (>1sq ft<=2sqft)",,"27","26-35","53.54144","-113.50466","
,  
(53.54144, -113.50466)","POINT (-113.50466 53.54144)"
"2014","Killarney","Hot Spot","Private","Telus","Small (>1sq ft<=2sqft)","3","16","16-20","53.585","-113.46794","
,  
(53.585, -113.46794)","POINT (-113.46794 53.585)"
"2013","Downtown","Hot Spot","Marker / Plain Graffiti","Walls","X-Small (<=1sq ft)",,"19","16-20","53.53961","-113.49583","
,  
(53.53961, -113.49583)","POINT (-113.49583 53.53961)"
"2013","Eastwood","Hot Spot","Marker / Plain Graffiti","Disposal Bin - Small","Small (>1sq ft<=2sqft)","6","20","16-20","53.57095","-113.4632","
,  
(53.57095, -113.4632)","POINT (-113.4632 53.57095)"
"2012","Ritchie","Hot Spot","Marker / Plain Graffiti","Door","Small (>1sq ft<=2sqft)","2","19","16-20","53.51451","-113.48734","
,  
(53.51451, -113.48734)","POINT (-113.48734 53.51451)"
"2013","Alberta Avenue","Random","Marker / Plain Graffiti","Walls","Large (>9sq ft<=20sqft)",,"22","21-25","53.5611","-113.48669","
,  
(53.5611, -113.48669)","POINT (-113.48669 53.5611)"
"2013","McCauley","Random","Outline Bubble Tag - No Fill","Walls","Large (>9sq ft<=20sqft)","4","22","21-25","53.55246","-113.49181","
,  
(53.55246, -113.49181)","POINT (-113.49181 53.55246)"
"2013","McCauley","Random","Marker / Plain Graffiti","Post","Small (>1sq ft<=2sqft)","3","17","16-20","53.55354","-113.4912","
,  
(53.55354, -113.4912)","POINT (-113.4912 53.55354)"
"2012","Downtown","Hot Spot","Outline Bubble Tag - Two Colors","Walls","Large (>9sq ft<=20sqft)","4","25","21-25","53.54369","-113.4994","
,  
(53.54369, -113.4994)","POINT (-113.4994 53.54369)"
"2013","Freewall 1 - 10021 -Whyte Ave","Hot Spot","Marker / Plain Graffiti","Walls","Large (>9sq ft<=20sqft)",,"33","26-35","53.51752","-113.48993","
,  
(53.51752, -113.48993)","POINT (-113.48993 53.51752)"
"2013","Queen Alexandra","Hot Spot","Marker / Plain Graffiti","Ticket Spitter","Small (>1sq ft<=2sqft)",,"18","16-20","53.5175","-113.49965","
,  
(53.5175, -113.49965)","POINT (-113.49965 53.5175)"
"2013","Strathcona","Hot Spot","Marker / Plain Graffiti","Disposal Bin - Small","Small (>1sq ft<=2sqft)",,"26","26-35","53.51856","-113.49995","
,  
(53.51856, -113.49995)","POINT (-113.49995 53.51856)"
"2013","Belvedere","Random","Marker / Plain Graffiti","Garage Wall","Small (>1sq ft<=2sqft)",,"17","16-20","53.59612","-113.42982","
,  
(53.59612, -113.42982)","POINT (-113.42982 53.59612)"
"2012","Westmount","Hot Spot","Marker / Plain Graffiti","Disposal Bin - Small","Small (>1sq ft<=2sqft)","1","21","21-25","53.54889","-113.53479","
,  
(53.54889, -113.53479)","POINT (-113.53479 53.54889)"
"2014","Strathcona","Hot Spot","Private","Retail","Med (>2sq ft<=9sqft)","5","33","26-35","53.51861","-113.49536","
,  
(53.51861, -113.49536)","POINT (-113.49536 53.51861)"
"2014","Ritchie","Hot Spot","Private","Private Waste - Triline","Small (>1sq ft<=2sqft)","1","16","16-20","53.51656","-113.49278","
,  
(53.51656, -113.49278)","POINT (-113.49278 53.51656)"
"2014","Garneau","Hot Spot","Private","Private Waste - Super Save","Small (>1sq ft<=2sqft)","3","20","16-20","53.51857","-113.50806","
,  
(53.51857, -113.50806)","POINT (-113.50806 53.51857)"
"2014","Boyle Street","Hot Spot","Private","Retail","Large (>9sq ft<=20sqft)","2","33","26-35","53.54288","-113.48482","
,  
(53.54288, -113.48482)","POINT (-113.48482 53.54288)"
"2013","Garneau","Hot Spot","Marker / Plain Graffiti","Walls","Med (>2sq ft<=9sqft)",,"26","26-35","53.51857","-113.51062","
,  
(53.51857, -113.51062)","POINT (-113.51062 53.51857)"
"2014","Queen Alexandra","Hot Spot","Private","Private Waste - Triline","Small (>1sq ft<=2sqft)","1","16","16-20","53.51662","-113.50172","
,  
(53.51662, -113.50172)","POINT (-113.50172 53.51662)"
"2014","Queen Mary Park","Random","Private","Residence","Med (>2sq ft<=9sqft)","1","17","16-20","53.55719","-113.51244","
,  
(53.55719, -113.51244)","POINT (-113.51244 53.55719)"
"2014","Queen Mary Park","Random","Private","Garage","Med (>2sq ft<=9sqft)","1","18","16-20","53.55234","-113.51302","
,  
(53.55234, -113.51302)","POINT (-113.51302 53.55234)"
"2013","Garneau","Hot Spot","Marker / Plain Graffiti","Disposal Bin - Small","Small (>1sq ft<=2sqft)",,"26","26-35","53.51857","-113.51062","
,  
(53.51857, -113.51062)","POINT (-113.51062 53.51857)"
"2013","CPR West / Strathcona Junction","Random","Marker / Plain Graffiti","Walls","Small (>1sq ft<=2sqft)",,"21","21-25","53.51018","-113.49676","
,  
(53.51018, -113.49676)","POINT (-113.49676 53.51018)"
"2014","Strathcona","Hot Spot","Private","Retail","Small (>1sq ft<=2sqft)","2","19","16-20","53.51913","-113.49581","
,  
(53.51913, -113.49581)","POINT (-113.49581 53.51913)"
"2013","Garneau","Random","Marker / Plain Graffiti","Garbage Can","Small (>1sq ft<=2sqft)",,"19","16-20","53.51955","-113.52068","
,  
(53.51955, -113.52068)","POINT (-113.52068 53.51955)"
"2013","Queen Alexandra","Hot Spot","Marker / Plain Graffiti","Garbage Enclosure","Small (>1sq ft<=2sqft)",,"18","16-20","53.51764","-113.50269","
,  
(53.51764, -113.50269)","POINT (-113.50269 53.51764)"
"2013","Belvedere","Random","Outline Bubble Tag - No Fill","Light Standard/Post","Small (>1sq ft<=2sqft)","1","18","16-20","53.59842","-113.43188","
,  
(53.59842, -113.43188)","POINT (-113.43188 53.59842)"
"2014","Killarney","Hot Spot","Private","Retail","Small (>1sq ft<=2sqft)","3","17","16-20","53.58527","-113.46831","
,  
(53.58527, -113.46831)","POINT (-113.46831 53.58527)"
"2014","Strathcona","Hot Spot","Private","Private Waste - Triline","Small (>1sq ft<=2sqft)","2","33","26-35","53.51861","-113.49536","
,  
(53.51861, -113.49536)","POINT (-113.49536 53.51861)"
"2012","Killarney","Hot Spot","Marker / Plain Graffiti","Walls","Med (>2sq ft<=9sqft)","3","22","21-25","53.58947","-113.46832","
,  
(53.58947, -113.46832)","POINT (-113.46832 53.58947)"
"2013","Parkdale","Hot Spot","Marker / Plain Graffiti","Walls","Small (>1sq ft<=2sqft)",,"24","21-25","53.56984","-113.466","
,  
(53.56984, -113.466)","POINT (-113.466 53.56984)"
"2014","Strathcona","Hot Spot","Private","Retail","Large (>9sq ft<=20sqft)","1","23","21-25","53.51859","-113.49701","
,  
(53.51859, -113.49701)","POINT (-113.49701 53.51859)"
"2014","Boyle Street","Hot Spot","Private","Retail","Small (>1sq ft<=2sqft)","1","16","16-20","53.54325","-113.48531","
,  
(53.54325, -113.48531)","POINT (-113.48531 53.54325)"
"2014","Strathcona","Hot Spot","Private","Private Waste - Triline","Med (>2sq ft<=9sqft)","5","28","26-35","53.51857","-113.49851","
,  
(53.51857, -113.49851)","POINT (-113.49851 53.51857)"
"2013","Ritchie","Random","Marker / Plain Graffiti","Fence","Med (>2sq ft<=9sqft)",,"24","21-25","53.50952","-113.4854","
,  
(53.50952, -113.4854)","POINT (-113.4854 53.50952)"
