"ward","neighbourhood_number","neighbourhood_name","age","female","male"
"Ward 1","3140","CRESTWOOD","0","8","3"
"Ward 1","3140","CRESTWOOD","1","4","6"
"Ward 1","3140","CRESTWOOD","2","3","7"
"Ward 1","3140","CRESTWOOD","3","5","5"
"Ward 1","3140","CRESTWOOD","4","6","12"
"Ward 1","3140","CRESTWOOD","5","9","8"
"Ward 1","3140","CRESTWOOD","6","8","12"
"Ward 1","3140","CRESTWOOD","7","12","14"
"Ward 1","3140","CRESTWOOD","8","7","14"
"Ward 1","3140","CRESTWOOD","9","16","10"
"Ward 1","3140","CRESTWOOD","10","5","10"
"Ward 1","3140","CRESTWOOD","11","15","10"
"Ward 1","3140","CRESTWOOD","12","15","11"
"Ward 1","3140","CRESTWOOD","13","12","17"
"Ward 1","3140","CRESTWOOD","14","12","15"
"Ward 1","3140","CRESTWOOD","15","16","10"
"Ward 1","3140","CRESTWOOD","16","6","10"
"Ward 1","3140","CRESTWOOD","17","10","16"
"Ward 1","3140","CRESTWOOD","18","9","15"
"Ward 1","3140","CRESTWOOD","19","10","14"
"Ward 1","3140","CRESTWOOD","20","17","12"
"Ward 1","3140","CRESTWOOD","21","16","9"
"Ward 1","3140","CRESTWOOD","22","11","20"
"Ward 1","3140","CRESTWOOD","23","12","8"
"Ward 1","3140","CRESTWOOD","24","6","7"
"Ward 1","3140","CRESTWOOD","25","10","6"
"Ward 1","3140","CRESTWOOD","26","10","5"
"Ward 1","3140","CRESTWOOD","27","7","8"
"Ward 1","3140","CRESTWOOD","28","4","7"
"Ward 1","3140","CRESTWOOD","29","6","7"
"Ward 1","3140","CRESTWOOD","30","6","9"
"Ward 1","3140","CRESTWOOD","31","1","7"
"Ward 1","3140","CRESTWOOD","32","9","10"
"Ward 1","3140","CRESTWOOD","33","3","5"
"Ward 1","3140","CRESTWOOD","34","8","7"
"Ward 1","3140","CRESTWOOD","35","9","4"
"Ward 1","3140","CRESTWOOD","36","6","4"
"Ward 1","3140","CRESTWOOD","37","8","5"
"Ward 1","3140","CRESTWOOD","38","10","6"
"Ward 1","3140","CRESTWOOD","39","19","7"
"Ward 1","3140","CRESTWOOD","40","17","14"
"Ward 1","3140","CRESTWOOD","41","12","15"
"Ward 1","3140","CRESTWOOD","42","15","8"
"Ward 1","3140","CRESTWOOD","43","17","10"
"Ward 1","3140","CRESTWOOD","44","9","9"
"Ward 1","3140","CRESTWOOD","45","17","12"
"Ward 1","3140","CRESTWOOD","46","8","18"
"Ward 1","3140","CRESTWOOD","47","16","17"
"Ward 1","3140","CRESTWOOD","48","11","13"
"Ward 1","3140","CRESTWOOD","49","20","14"
"Ward 1","3140","CRESTWOOD","50","23","17"
"Ward 1","3140","CRESTWOOD","51","14","14"
"Ward 1","3140","CRESTWOOD","52","20","11"
"Ward 1","3140","CRESTWOOD","53","24","17"
"Ward 1","3140","CRESTWOOD","54","16","22"
"Ward 1","3140","CRESTWOOD","55","28","21"
"Ward 1","3140","CRESTWOOD","56","11","14"
"Ward 1","3140","CRESTWOOD","57","11","8"
"Ward 1","3140","CRESTWOOD","58","14","11"
"Ward 1","3140","CRESTWOOD","59","12","17"
"Ward 1","3140","CRESTWOOD","60","13","9"
"Ward 1","3140","CRESTWOOD","61","13","18"
"Ward 1","3140","CRESTWOOD","62","8","8"
"Ward 1","3140","CRESTWOOD","63","13","7"
