"ward","age","female","male"
"Ward 1","0","268","298"
"Ward 1","1","284","331"
"Ward 1","2","278","324"
"Ward 1","3","290","255"
"Ward 1","4","310","309"
"Ward 1","5","271","283"
"Ward 1","6","257","259"
"Ward 1","7","266","269"
"Ward 1","8","252","255"
"Ward 1","9","252","273"
"Ward 1","10","272","252"
"Ward 1","11","263","267"
"Ward 1","12","272","279"
"Ward 1","13","274","271"
"Ward 1","14","264","255"
"Ward 1","15","276","271"
"Ward 1","16","290","295"
"Ward 1","17","305","313"
"Ward 1","18","335","331"
"Ward 1","19","336","302"
"Ward 1","20","345","353"
"Ward 1","21","361","377"
"Ward 1","22","348","402"
"Ward 1","23","340","358"
"Ward 1","24","325","330"
"Ward 1","25","373","400"
"Ward 1","26","376","423"
"Ward 1","27","369","345"
"Ward 1","28","371","427"
"Ward 1","29","425","398"
"Ward 1","30","405","408"
"Ward 1","31","382","435"
"Ward 1","32","361","435"
"Ward 1","33","371","354"
"Ward 1","34","341","394"
"Ward 1","35","337","375"
"Ward 1","36","348","384"
"Ward 1","37","340","335"
"Ward 1","38","339","331"
"Ward 1","39","334","329"
"Ward 1","40","335","342"
"Ward 1","41","370","377"
"Ward 1","42","384","391"
"Ward 1","43","355","339"
"Ward 1","44","352","338"
"Ward 1","45","341","341"
"Ward 1","46","353","338"
"Ward 1","47","398","393"
"Ward 1","48","445","423"
"Ward 1","49","426","414"
"Ward 1","50","410","388"
"Ward 1","51","468","445"
"Ward 1","52","428","420"
"Ward 1","53","397","391"
"Ward 1","54","426","428"
"Ward 1","55","427","390"
"Ward 1","56","395","443"
"Ward 1","57","388","373"
"Ward 1","58","342","333"
"Ward 1","59","334","315"
"Ward 1","60","317","294"
"Ward 1","61","271","303"
"Ward 1","62","297","262"
"Ward 1","63","232","257"
"Ward 1","64","257","218"
"Ward 1","65","276","215"
"Ward 1","66","225","201"
"Ward 1","67","196","169"
"Ward 1","68","210","192"
"Ward 1","69","188","183"
"Ward 1","70","205","139"
"Ward 1","71","195","172"
"Ward 1","72","202","128"
"Ward 1","73","165","135"
"Ward 1","74","173","131"
"Ward 1","75","179","134"
"Ward 1","76","200","106"
"Ward 1","77","186","131"
"Ward 1","78","136","122"
"Ward 1","79","171","125"
"Ward 1","80","158","141"
"Ward 1","81","162","99"
"Ward 1","82","141","116"
"Ward 1","83","128","108"
"Ward 1","84","113","69"
"Ward 1","85+","530","317"
"Ward 1","No Response","5759","6077"
"Ward 2","0","359","359"
"Ward 2","1","369","389"
"Ward 2","2","369","398"
"Ward 2","3","388","387"
"Ward 2","4","356","348"
"Ward 2","5","331","382"
"Ward 2","6","316","337"
"Ward 2","7","291","324"
"Ward 2","8","294","342"
"Ward 2","9","295","298"
"Ward 2","10","294","319"
"Ward 2","11","310","321"
"Ward 2","12","316","288"
"Ward 2","13","297","319"
"Ward 2","14","284","281"
"Ward 2","15","279","323"
"Ward 2","16","332","293"
"Ward 2","17","290","318"
"Ward 2","18","343","335"
"Ward 2","19","378","378"
"Ward 2","20","377","428"
"Ward 2","21","402","450"
"Ward 2","22","415","463"
"Ward 2","23","427","492"
"Ward 2","24","449","479"
"Ward 2","25","451","496"
"Ward 2","26","504","525"
"Ward 2","27","476","501"
"Ward 2","28","455","524"
"Ward 2","29","480","563"
"Ward 2","30","489","496"
"Ward 2","31","492","512"
"Ward 2","32","435","473"
"Ward 2","33","452","480"
"Ward 2","34","454","463"
"Ward 2","35","415","453"
"Ward 2","36","447","457"
"Ward 2","37","404","444"
"Ward 2","38","385","395"
"Ward 2","39","407","454"
"Ward 2","40","347","398"
"Ward 2","41","391","394"
"Ward 2","42","370","449"
"Ward 2","43","362","412"
"Ward 2","44","389","414"
"Ward 2","45","389","420"
"Ward 2","46","403","420"
"Ward 2","47","425","482"
"Ward 2","48","455","452"
"Ward 2","49","393","467"
"Ward 2","50","434","438"
"Ward 2","51","438","471"
"Ward 2","52","391","483"
"Ward 2","53","408","427"
"Ward 2","54","394","413"
"Ward 2","55","351","384"
"Ward 2","56","359","387"
"Ward 2","57","363","409"
"Ward 2","58","347","371"
"Ward 2","59","281","340"
"Ward 2","60","302","308"
"Ward 2","61","294","250"
"Ward 2","62","258","260"
"Ward 2","63","249","246"
"Ward 2","64","205","253"
"Ward 2","65","248","239"
"Ward 2","66","200","175"
"Ward 2","67","170","167"
"Ward 2","68","181","175"
"Ward 2","69","173","194"
"Ward 2","70","179","153"
"Ward 2","71","185","156"
"Ward 2","72","188","138"
"Ward 2","73","162","149"
"Ward 2","74","180","145"
"Ward 2","75","169","137"
"Ward 2","76","178","122"
"Ward 2","77","181","126"
"Ward 2","78","175","131"
"Ward 2","79","183","152"
"Ward 2","80","145","115"
"Ward 2","81","172","142"
"Ward 2","82","184","98"
"Ward 2","83","144","84"
"Ward 2","84","124","80"
"Ward 2","85+","826","434"
"Ward 2","No Response","4480","5224"
"Ward 3","0","314","359"
"Ward 3","1","333","379"
"Ward 3","2","385","389"
"Ward 3","3","413","374"
"Ward 3","4","383","401"
"Ward 3","5","375","400"
"Ward 3","6","365","389"
"Ward 3","7","349","350"
"Ward 3","8","369","392"
"Ward 3","9","330","364"
"Ward 3","10","348","392"
"Ward 3","11","365","399"
"Ward 3","12","364","413"
"Ward 3","13","364","430"
"Ward 3","14","378","400"
"Ward 3","15","401","405"
"Ward 3","16","408","447"
"Ward 3","17","432","420"
"Ward 3","18","403","469"
"Ward 3","19","415","435"
"Ward 3","20","428","460"
"Ward 3","21","414","482"
"Ward 3","22","401","466"
"Ward 3","23","407","415"
"Ward 3","24","419","449"
"Ward 3","25","397","423"
"Ward 3","26","400","377"
"Ward 3","27","405","418"
"Ward 3","28","394","397"
"Ward 3","29","403","408"
"Ward 3","30","457","376"
"Ward 3","31","373","373"
"Ward 3","32","445","349"
"Ward 3","33","393","365"
"Ward 3","34","358","390"
"Ward 3","35","401","370"
"Ward 3","36","404","383"
"Ward 3","37","378","348"
"Ward 3","38","384","355"
"Ward 3","39","413","372"
"Ward 3","40","408","339"
"Ward 3","41","401","414"
"Ward 3","42","381","397"
"Ward 3","43","415","430"
"Ward 3","44","395","385"
"Ward 3","45","416","379"
"Ward 3","46","404","417"
"Ward 3","47","463","438"
"Ward 3","48","441","444"
"Ward 3","49","533","467"
"Ward 3","50","454","423"
"Ward 3","51","489","485"
"Ward 3","52","459","461"
"Ward 3","53","444","481"
"Ward 3","54","437","405"
"Ward 3","55","401","442"
"Ward 3","56","404","394"
"Ward 3","57","384","373"
"Ward 3","58","372","336"
"Ward 3","59","359","328"
"Ward 3","60","323","332"
"Ward 3","61","306","312"
"Ward 3","62","311","315"
"Ward 3","63","242","295"
"Ward 3","64","259","257"
"Ward 3","65","245","243"
"Ward 3","66","243","217"
"Ward 3","67","194","172"
"Ward 3","68","179","159"
"Ward 3","69","204","165"
"Ward 3","70","168","159"
"Ward 3","71","142","163"
"Ward 3","72","143","164"
"Ward 3","73","137","150"
"Ward 3","74","141","131"
"Ward 3","75","115","102"
"Ward 3","76","128","120"
"Ward 3","77","108","106"
