"neighborhood","site_type","category","target","size","number_of_tags","lir_value","latitude","longitude","location","group_value","icon","geometry_point"
"Westmount","Hot Spot","Outline Bubble Tag - Two Colors","Walls","Large (>9sq ft<=20sqft)","1","32","53.5469833333333","-113.533233333333","
,  
(53.5469833333333, -113.533233333333)","26-35","https://data.edmonton.ca/api/assets/DD3424DE-2981-4E84-858E-D6035AEAEE4D","POINT (-113.533233333333 53.5469833333333)"
"Downtown","Random","Marker / Plain Graffiti","Disposal Bin - Small","Small (>1sq ft<=2sqft)","8","21","53.5422833333333","-113.5057","
,  
(53.5422833333333, -113.5057)","21-25","https://data.edmonton.ca/api/assets/90C2947D-80A4-47FA-A657-D66B1F631001","POINT (-113.5057 53.5422833333333)"
"CPR West","Hot Spot","Marker / Plain Graffiti","Gas Metre","X-Small (<=1sq ft)","1","19","53.5170666666667","-113.495016666667","
,  
(53.5170666666667, -113.495016666667)","16-20","https://data.edmonton.ca/api/assets/845C085B-8030-40AD-A167-79B2197D99E6","POINT (-113.495016666667 53.5170666666667)"
"Downtown","Hot Spot","Marker / Plain Graffiti","Walls","Small (>1sq ft<=2sqft)","1","22","53.5454666666667","-113.501133333333","
,  
(53.5454666666667, -113.501133333333)","21-25","https://data.edmonton.ca/api/assets/90C2947D-80A4-47FA-A657-D66B1F631001","POINT (-113.501133333333 53.5454666666667)"
"Downtown","Random","Marker / Plain Graffiti","Disposal Bin - Small","Small (>1sq ft<=2sqft)","3","20","53.5454","-113.507483333333","
,  
(53.5454, -113.507483333333)","16-20","https://data.edmonton.ca/api/assets/845C085B-8030-40AD-A167-79B2197D99E6","POINT (-113.507483333333 53.5454)"
"Inglewood","Hot Spot","Marker / Plain Graffiti","Disposal Bin - Small","Small (>1sq ft<=2sqft)","5","19","53.5616833333333","-113.535083333333","
,  
(53.5616833333333, -113.535083333333)","16-20","https://data.edmonton.ca/api/assets/845C085B-8030-40AD-A167-79B2197D99E6","POINT (-113.535083333333 53.5616833333333)"
"Central McDougall","Hot Spot","Marker / Plain Graffiti","Signs","Small (>1sq ft<=2sqft)","1","21","53.5586","-113.493716666667","
,  
(53.5586, -113.493716666667)","21-25","https://data.edmonton.ca/api/assets/90C2947D-80A4-47FA-A657-D66B1F631001","POINT (-113.493716666667 53.5586)"
"Central McDougall","Hot Spot","Marker / Plain Graffiti","Phone booth","Small (>1sq ft<=2sqft)","2","20","53.5515333333333","-113.4974","
,  
(53.5515333333333, -113.4974)","16-20","https://data.edmonton.ca/api/assets/845C085B-8030-40AD-A167-79B2197D99E6","POINT (-113.4974 53.5515333333333)"
"Downtown","Random","Marker / Plain Graffiti","Utility Box","Small (>1sq ft<=2sqft)","5","20","53.5446","-113.5044","
,  
(53.5446, -113.5044)","16-20","https://data.edmonton.ca/api/assets/845C085B-8030-40AD-A167-79B2197D99E6","POINT (-113.5044 53.5446)"
"Ritchie","Hot Spot","Marker / Plain Graffiti","Barricades","Small (>1sq ft<=2sqft)","1","19","53.5170666666667","-113.487533333333","
,  
(53.5170666666667, -113.487533333333)","16-20","https://data.edmonton.ca/api/assets/845C085B-8030-40AD-A167-79B2197D99E6","POINT (-113.487533333333 53.5170666666667)"
"Oliver","Hot Spot","Marker / Plain Graffiti","Postal Box","Small (>1sq ft<=2sqft)","1","22","53.5414333333333","-113.534483333333","
,  
(53.5414333333333, -113.534483333333)","21-25","https://data.edmonton.ca/api/assets/90C2947D-80A4-47FA-A657-D66B1F631001","POINT (-113.534483333333 53.5414333333333)"
