NAME,ADDRESS,LATITUDE,LONGITUDE,LOCATION,Neighbourhood Boundaries : 2019,Roadway Maintenance Area Polygon,"Edmonton Public School Board (EPSB) Ward Boundaries (effective at 12:00 AM on Oct 16, 2017)","Edmonton Catholic School District Ward Boundaries (effective at 12:00 AM on Oct 16, 2017)","City of Edmonton - Ward Boundaries (effective at 12:00 AM on Oct 16, 2017)",Wards,Zip Codes
Alberta Avenue,,53.5708668063861,-113.48340943749,"(53.5708668063861, -113.48340943749)",42,155,4,3,10,7,
Aldergrove,,53.519060994586503,-113.635881028065,"(53.5190609945865, -113.635881028065)",34,94,3,4,1,1,
Allendale,,53.501096021666299,-113.50255672432201,"(53.5010960216663, -113.502556724322)",16,10,6,5,2,10,
Argyll,,53.505591229804899,-113.463435413715,"(53.5055912298049, -113.463435413715)",157,67,7,5,3,11,
Aspen Gardens,,53.475022151674203,-113.54195324132699,"(53.4750221516742, -113.541953241327)",255,170,6,6,2,10,
Athlone,,53.589833858878599,-113.544953207501,"(53.5898338588786, -113.544953207501)",62,105,1,1,5,2,
Avonmore,,53.509758201984802,-113.44930497991101,"(53.5097582019848, -113.449304979911)",188,73,7,5,3,11,
Avonmore,,53.510231169209099,-113.449145433377,"(53.5102311692091, -113.449145433377)",188,73,7,5,3,11,
Balwin,12904 - 74 Street,53.587706302424998,-113.456195273964,"(53.587706302425, -113.456195273964)",242,156,2,3,10,7,
Bannerman,14034 - 23 Street,53.604610975699003,-113.379489741258,"(53.604610975699, -113.379489741258)",105,210,2,3,7,4,
Baturyn,,53.632351742141303,-113.504136790733,"(53.6323517421413, -113.504136790733)",248,140,1,2,6,3,
Beacon Heights,,53.574708992900099,-113.40681971676101,"(53.5747089929001, -113.406819716761)",33,177,4,3,10,7,
Belgravia,,53.509791046370701,-113.53077354021499,"(53.5097910463707, -113.530773540215)",283,17,6,5,11,8,
Bellevue Community League,,53.562470077949001,-113.45014064373299,"(53.562470077949, -113.450140643733)",130,153,4,3,10,7,
Belmead,,53.526600747337199,-113.637784098819,"(53.5266007473372, -113.637784098819)",65,159,3,4,1,1,
Belvedere,,53.593581835511898,-113.435998992842,"(53.5935818355119, -113.435998992842)",215,169,2,3,7,4,
Beverly Heights,4209 - 111 Avenue,53.5638427527579,-113.407146729215,"(53.5638427527579, -113.407146729215)",252,175,4,3,10,7,
Blue Quill,,53.458359633306202,-113.525676993511,"(53.4583596333062, -113.525676993511)",140,171,6,6,2,10,
Bonnie Doon,,53.528083313544499,-113.470531608451,"(53.5280833135445, -113.470531608451)",269,80,4,5,11,8,
Boyle Street,,53.548330206874901,-113.48136560670299,"(53.5483302068749, -113.481365606703)",154,153,4,5,9,6,
Britannia-Youngstown,,53.5483823233076,-113.597445993352,"(53.5483823233076, -113.597445993352)",30,87,3,1,1,1,
Burnewood,,53.477911453095899,-113.40487631256499,"(53.4779114530959, -113.404876312565)",125,58,7,7,3,12,
Caernarvon,,53.6107629196419,-113.527446182717,"(53.6107629196419, -113.527446182717)",170,225,1,1,5,2,
Calder,,53.5860924523883,-113.528636576521,"(53.5860924523883, -113.528636576521)",70,104,1,1,5,2,
Canora,,53.547335217265299,-113.583045828206,"(53.5473352172653, -113.583045828206)",84,188,3,1,1,1,
Capilano,,53.556657325781799,-113.42312148856399,"(53.5566573257818, -113.423121488564)",41,31,4,5,11,8,
Carlisle,,53.605389814582999,-113.525085693501,"(53.605389814583, -113.525085693501)",249,225,1,1,5,2,
Cloverdale,,53.535544423569803,-113.471758790557,"(53.5355444235698, -113.471758790557)",398,126,4,5,11,8,
Community League Building,,53.5536663461505,-113.693322315964,"(53.5536663461505, -113.693322315964)",93,147,3,1,1,1,
Crestwood,,53.5332403759854,-113.569319045459,"(53.5332403759854, -113.569319045459)",75,85,5,5,1,1,
Delton,12325 - 88 St,53.579383921691402,-113.47598047920199,"(53.5793839216914, -113.475980479202)",43,155,4,3,10,7,
Delwood,,53.596389864445698,-113.456878617299,"(53.5963898644457, -113.456878617299)",237,164,2,3,10,7,
Delwood,,53.595999178955303,-113.457147879479,"(53.5959991789553, -113.457147879479)",237,164,2,3,10,7,
Dovercourt,,53.576279171083897,-113.558422359528,"(53.5762791710839, -113.558422359528)",49,215,3,1,5,2,
