"neighbourhood","age","female","male"
"ABBOTTSFIELD","0","25","18"
"ABBOTTSFIELD","1","24","22"
"ABBOTTSFIELD","2","16","28"
"ABBOTTSFIELD","3","20","21"
"ABBOTTSFIELD","4","19","24"
"ABBOTTSFIELD","5","19","20"
"ABBOTTSFIELD","6","18","17"
"ABBOTTSFIELD","7","15","26"
"ABBOTTSFIELD","8","9","13"
"ABBOTTSFIELD","9","11","17"
"ABBOTTSFIELD","10","15","16"
"ABBOTTSFIELD","11","11","11"
"ABBOTTSFIELD","12","8","14"
"ABBOTTSFIELD","13","13","14"
"ABBOTTSFIELD","14","14","17"
"ABBOTTSFIELD","15","12","12"
"ABBOTTSFIELD","16","4","11"
"ABBOTTSFIELD","17","6","6"
"ABBOTTSFIELD","18","12","14"
"ABBOTTSFIELD","19","14","11"
"ABBOTTSFIELD","20","11","9"
"ABBOTTSFIELD","21","19","14"
"ABBOTTSFIELD","22","16","18"
"ABBOTTSFIELD","23","15","13"
"ABBOTTSFIELD","24","15","20"
"ABBOTTSFIELD","25","18","13"
"ABBOTTSFIELD","26","12","15"
"ABBOTTSFIELD","27","23","10"
"ABBOTTSFIELD","28","22","17"
"ABBOTTSFIELD","29","18","11"
"ABBOTTSFIELD","30","16","13"
"ABBOTTSFIELD","31","7","18"
"ABBOTTSFIELD","32","9","15"
"ABBOTTSFIELD","33","17","16"
"ABBOTTSFIELD","34","22","17"
"ABBOTTSFIELD","35","13","17"
"ABBOTTSFIELD","36","12","8"
"ABBOTTSFIELD","37","12","9"
"ABBOTTSFIELD","38","11","13"
"ABBOTTSFIELD","39","14","14"
"ABBOTTSFIELD","40","9","14"
"ABBOTTSFIELD","41","12","4"
"ABBOTTSFIELD","42","6","12"
"ABBOTTSFIELD","43","5","11"
"ABBOTTSFIELD","44","6","5"
"ABBOTTSFIELD","45","10","11"
"ABBOTTSFIELD","46","12","8"
"ABBOTTSFIELD","47","11","8"
"ABBOTTSFIELD","48","14","6"
"ABBOTTSFIELD","49","10","8"
"ABBOTTSFIELD","50","9","9"
"ABBOTTSFIELD","51","6","14"
"ABBOTTSFIELD","52","9","8"
"ABBOTTSFIELD","53","11","8"
"ABBOTTSFIELD","54","7","13"
"ABBOTTSFIELD","55","7","7"
"ABBOTTSFIELD","56","8","4"
"ABBOTTSFIELD","57","6","7"
"ABBOTTSFIELD","58","8","9"
"ABBOTTSFIELD","59","9","4"
"ABBOTTSFIELD","60","6","4"
"ABBOTTSFIELD","61","8","4"
"ABBOTTSFIELD","62","5","6"
"ABBOTTSFIELD","63","1","2"
"ABBOTTSFIELD","64","3","4"
"ABBOTTSFIELD","65","3","2"
"ABBOTTSFIELD","66","5","3"
"ABBOTTSFIELD","67","1","6"
"ABBOTTSFIELD","68","2","3"
"ABBOTTSFIELD","69","5","1"
"ABBOTTSFIELD","70","2","0"
"ABBOTTSFIELD","71","4","2"
"ABBOTTSFIELD","72","4","0"
