"row_id","site_id","location_description","direction","speed_limit","speed_unit_of_measure","minimum_speed_detection_setting","maximum_speed_detection_setting","log_timestamp","vehicle_count_for_log_interval","speed_range_for_bin","bin_number","minimum_speed_for_bin_number","maximum_speed_for_bin_number","bin_over_speed_limit_flag","vehicle_count_at_slowest_speed_detected","vehicle_count_at_highest_speed_detected"
"DFS135-2017071209:40:30-04","DFS135","106 St SO 38 Av","SB","50","KPH","25","75","2017-07-12T09:40:00.000","51","5","4","40","44","0","4","6"
"DFS135-2017071209:40:30-05","DFS135","106 St SO 38 Av","SB","50","KPH","25","75","2017-07-12T09:40:00.000","51","5","5","45","49","0","7","10"
"DFS135-2017071209:40:30-06","DFS135","106 St SO 38 Av","SB","50","KPH","25","75","2017-07-12T09:40:00.000","51","5","6","50","54","1","2","7"
"DFS135-2017071209:40:30-07","DFS135","106 St SO 38 Av","SB","50","KPH","25","75","2017-07-12T09:40:00.000","51","5","7","55","59","2","0","4"
"DFS135-2017071209:40:30-08","DFS135","106 St SO 38 Av","SB","50","KPH","25","75","2017-07-12T09:40:00.000","51","5","8","60","64","2","0","1"
"DFS135-2017071209:40:30-09","DFS135","106 St SO 38 Av","SB","50","KPH","25","75","2017-07-12T09:40:00.000","51","5","9","65","69","2","0","0"
"DFS135-2017071209:40:30-10","DFS135","106 St SO 38 Av","SB","50","KPH","25","75","2017-07-12T09:40:00.000","51","156","10","70","225","2","0","0"
"DFS135-2017071209:55:30-01","DFS135","106 St SO 38 Av","SB","50","KPH","25","75","2017-07-12T09:55:00.000","40","24","1","6","29","0","12","3"
"DFS135-2017071209:55:30-02","DFS135","106 St SO 38 Av","SB","50","KPH","25","75","2017-07-12T09:55:00.000","40","5","2","30","34","0","6","4"
"DFS135-2017071209:55:30-03","DFS135","106 St SO 38 Av","SB","50","KPH","25","75","2017-07-12T09:55:00.000","40","5","3","35","39","0","8","8"
"DFS135-2017071209:55:30-04","DFS135","106 St SO 38 Av","SB","50","KPH","25","75","2017-07-12T09:55:00.000","40","5","4","40","44","0","8","7"
"DFS135-2017071209:55:30-05","DFS135","106 St SO 38 Av","SB","50","KPH","25","75","2017-07-12T09:55:00.000","40","5","5","45","49","0","6","13"
"DFS135-2017071209:55:30-06","DFS135","106 St SO 38 Av","SB","50","KPH","25","75","2017-07-12T09:55:00.000","40","5","6","50","54","1","0","4"
"DFS135-2017071209:55:30-07","DFS135","106 St SO 38 Av","SB","50","KPH","25","75","2017-07-12T09:55:00.000","40","5","7","55","59","2","0","1"
"DFS135-2017071209:55:30-08","DFS135","106 St SO 38 Av","SB","50","KPH","25","75","2017-07-12T09:55:00.000","40","5","8","60","64","2","0","0"
"DFS135-2017071209:55:30-09","DFS135","106 St SO 38 Av","SB","50","KPH","25","75","2017-07-12T09:55:00.000","40","5","9","65","69","2","0","0"
"DFS135-2017071209:55:30-10","DFS135","106 St SO 38 Av","SB","50","KPH","25","75","2017-07-12T09:55:00.000","40","156","10","70","225","2","0","0"
"DFS135-2017071210:10:30-01","DFS135","106 St SO 38 Av","SB","50","KPH","25","75","2017-07-12T10:10:00.000","46","24","1","6","29","0","20","8"
"DFS135-2017071210:10:30-02","DFS135","106 St SO 38 Av","SB","50","KPH","25","75","2017-07-12T10:10:00.000","46","5","2","30","34","0","5","4"
"DFS135-2017071210:10:30-03","DFS135","106 St SO 38 Av","SB","50","KPH","25","75","2017-07-12T10:10:00.000","46","5","3","35","39","0","8","6"
"DFS135-2017071210:10:30-04","DFS135","106 St SO 38 Av","SB","50","KPH","25","75","2017-07-12T10:10:00.000","46","5","4","40","44","0","4","6"
"DFS135-2017071210:10:30-05","DFS135","106 St SO 38 Av","SB","50","KPH","25","75","2017-07-12T10:10:00.000","46","5","5","45","49","0","7","12"
"DFS135-2017071210:10:30-06","DFS135","106 St SO 38 Av","SB","50","KPH","25","75","2017-07-12T10:10:00.000","46","5","6","50","54","1","2","8"
"DFS135-2017071210:10:30-07","DFS135","106 St SO 38 Av","SB","50","KPH","25","75","2017-07-12T10:10:00.000","46","5","7","55","59","2","0","2"
