"start_date","end_date","type_of_ad","title","description","filename","url"
"2022-08-23T00:00:00.000","2022-09-16T00:00:00.000","Notice of Development Permits","Notice of Development Permits for August 23 2022","Notice of Development Permits published August 23 2022","Notice_Development_Permits_Aug23-2022.pdf","https://webdocs.edmonton.ca/web/public_notices/Notice_Development_Permits_Aug23-2022.pdf"
"2022-08-25T00:00:00.000","2022-09-16T00:00:00.000","Notice of Development Permits","Notice of Development Permits for August 25 2022","Notice of Development Permits published on August 25 2022","Notice_Development_Permits_Aug25-2022.pdf","https://webdocs.edmonton.ca/web/public_notices/Notice_Development_Permits_Aug25-2022.pdf"
"2022-08-26T00:00:00.000","2022-09-16T00:00:00.000","Notice of Development Permits","Notice of Development Permits for August 26 2022","Notice of Development Permits published on August 26 2022","Notice_Development_Permits_Aug26-2022.pdf","https://webdocs.edmonton.ca/web/public_notices/Notice_Development_Permits_Aug26-2022.pdf"
"2022-08-30T00:00:00.000","2022-09-23T00:00:00.000","Notice of Development Permits","Notice of Develpment Permits for August 30 2022","Notice of Develpment Permits published on August 30 2022","Notice_Development_Permits_Aug30-2022.pdf","https://webdocs.edmonton.ca/web/public_notices/Notice_Development_Permits_Aug30-2022.pdf"
"2022-09-01T00:00:00.000","2022-09-23T00:00:00.000","Notice of Development Permits","Notice of Development Permits for September 01 2022","Notice of Development Permits published on September 01 2022","Notice_Development_Permits_Sept01-2022.pdf","https://webdocs.edmonton.ca/web/public_notices/Notice_Development_Permits_Sept01-2022.pdf"
"2022-09-06T00:00:00.000","2022-09-30T00:00:00.000","Notice of Development Permits","Notice of Development Permits for September 06 2022","Notice of Development Permits published on September 06 2022","Notice_Development_Permits_Sept06-2022.pdf","https://webdocs.edmonton.ca/web/public_notices/Notice_Development_Permits_Sept06-2022.pdf"
"2022-09-08T00:00:00.000","2022-09-30T00:00:00.000","Notice of Development Permits","Notice of Development Permits for September 08 2022","Notice of Development Permits published on September 08 2022","Notice_Development_Permits_Sept08-2022.pdf","https://webdocs.edmonton.ca/web/public_notices/Notice_Development_Permits_Sept08-2022.pdf"
