"job_title","minimum_annual_salary","maximum_annual_salary","permanent_position_count","temporary_position_count"
"Abilities at Work","31320","35613",,"40"
"Accountant","71381","89622","35","1"
"Accountant (OC)","64846","74430","1",
"Accounting Assistant","49549","62183","37","4"
"Adjunct Training Instructor","126964","126964",,"1"
"Administrative Assistant I","51769","64846","34","1"
"Administrative Assistant I-8hr","57973","72629","5","1"
"Administrative Assistant II","56825","71381","1",
"Animal Control Officer II","77575","80198","20","1"
"Animal Health Technologist I","68526","68526","4","1"
"Application & Infra Analyst I","76432","96317","39","2"
"Application & Infra Analyst II","84751","108152","76","5"
"Application & InfraAnalyst III","92656","118094","22",
"Appl & Infra Analyst I - 8hrs","85616","107883","10","3"
"Appl & Infra Analyst II - 8hrs","94925","121133","15",
"Appl & Infra Analyst III- 8hrs","103772","132264","3",
"Apprentice Auto Bodyman Mech","64657","83130","2",
"Aquatic Fitness Instructor","34412","57355",,"33"
"Aquatic Instructor","39952","48410","5","231"
"Aquatic Program Coordinator","79995","82704","4",
"Aquatic Serviceperson","44735","62032","25","18"
"Arborist - Certified","66960","66960","14",
"Arborist - Developmental","64143","65929","9","1"
"Arborist II","70313","70313","5","1"
"Architectural Technologist I","68189","85193","1",
"Archivist I","61603","77330","6",
"Arena Attendant","64931","64931","13","8"
"Arena Attendant/Labourer II","47638","64931","23","78"
"Assessor","83304","98175","37",
"Assessor Assistant","54526","68189","9",
"Assessor I - Closed","73493","92610","3",
"Assessor Intern","59514","71409","20","5"
"Assistant Fire Marshal","141887","141887","2",
"Assist Chief Training Officer","137806","137806","2",
"Associate Assessor","71409","83304","20","1"
"Audio-Visual Technician I","51769","64846","1",
"Auto Bodyman Foreman","105396","105396","3",
"Auto Bodyman Mechanic","92365","92365","46",
"Autobody Mechanic II","90256","90256","1",
"Automation & Program Support","51769","64846","9",
"Automotive Serviceman I","65718","72598","4",
"Automotive Serv. Technician I","85282","85282","48","5"
"Auto Serviceman Foreman","79995","82704","1",
"Auto Serviceman I","44735","62032","3",
"Auto Serviceman II","63442","64931","23","2"
"Auto Serviceman III","68526","68526","1",
"Bin Maintainer/Operator","68526","68526","2",
"Biological Sciences Tech Asst","45376","56825",,"1"
"Biological Sci Technologist","56825","71381","4","1"
"Bldg Maint Safety & Trng Coord","97301","97301","2",
"Bldg Sfty Codes Officer II-8hr","92937","116561","1",
"Bridge Foreman I","73725","73725",,"7"
"Bridge Foreman II","79377","79377","1",
"Bridge Worker I","64931","64931",,"1"
"Bridge Worker II","66960","66960","3",
"Bridge Worker II/Bridge Frmn I","66960","73725","2",
"Buildg Conditn Assess Coord-8h","87489","109952","5",
"Buildg Saf Codes Off I(OC) 8h","66509","86614",,"1"
"Buildg Sfty Codes Officr I","78114","98175","45","2"
"Buildg Sfty Codes Officr II","82984","104070","8",
"Buildg Sfty Codes Officr I(OC)","59385","77330","2","1"
"Building Automation Tech","97301","97301","4",
"Building & Facility Proj Ofcr","84751","108152","2",
"Building Operator","71199","73725","16","2"
"Bus Cleaner","44312","52179","64","32"
"Bus Cleaner - PIO","52338","60212","1",
"Business Process Analyst E.R.P","90258","114003","2",
"Business Tax Collector","59485","74430","3",
"Buyer","59485","74430","24","1"
"Captain Emerg Comm Specialist","128619","128617","4",
"Captain Fire Prevention","128617","128617","5",
"Captain Investigator","128619","128619","3",
"Carpenter Foreman","97301","97301","4","1"
"Carpenter I","84052","84052","30","5"
"Carpenter II","88258","88258","1",
"Cartographic Technician","71381","89622","1",
"Charter/Park & Ride Officer","88884","88884","2",
"Chief of Emergency Communicat","156180","156180","1",
