Map Name,Type of Location,Bike Rack Location Description,Bike Capacity,Additional Information,Latitude,Longitude,Location,Photos Approved for Publication?,Number of Photos,Neighbourhood Boundaries : 2019,Roadway Maintenance Area Polygon,"Edmonton Public School Board (EPSB) Ward Boundaries (effective at 12:00 AM on Oct 16, 2017)","Edmonton Catholic School District Ward Boundaries (effective at 12:00 AM on Oct 16, 2017)","City of Edmonton - Ward Boundaries (effective at 12:00 AM on Oct 16, 2017)",Wards,Edmonton Public School Board Ward Boundaries,Edmonton Catholic School District Ward Boundaries,City of Edmonton - Neighbourhood Boundaries
Edmonton's Public Bike Parking,Public bike parking - uncovered,5 Bikes: 104 St,5,,53.54117,-113.49943,"(53.5411745, -113.499434)",Yes,0,338,242,4,5,9,6,6,5,104
Edmonton's Public Bike Parking,Public bike parking - uncovered,16 Bikes: Pembina Hall,16,,53.52601,-113.52649,"(53.5260075, -113.5264868)",No,0,121,146,6,5,11,8,6,5,356
Edmonton's Public Bike Parking,Public bike parking - uncovered,Point 136,,,53.54266,-113.49455,"(53.5426568, -113.494547)",No,0,338,242,4,5,9,6,6,5,104
Edmonton's Public Bike Parking,Public bike parking - uncovered,5 Bikes: 96 St,5,,53.54524,-113.48341,"(53.5452355, -113.4834051)",Yes,0,154,242,4,5,9,6,4,5,50
Edmonton's Public Bike Parking,Public bike parking - uncovered,8 Bikes: 104 St,8,,53.54211,-113.49936,"(53.5421085, -113.4993643)",Yes,1,338,242,4,5,9,6,6,5,104
Edmonton's Public Bike Parking,Public bike parking - uncovered,4 Bikes: Enterprise Square,4,,53.54142,-113.49570,"(53.5414199, -113.4957004)",Yes,0,338,242,4,5,9,6,6,5,104
Edmonton's Public Bike Parking,Public bike parking - uncovered,4 Bikes,4,Streetside bike corral,53.51775,-113.49372,"(53.51775, -113.49372)",No,0,156,66,7,5,3,11,7,7,283
Edmonton's Public Bike Parking,Public bike parking - uncovered,24 Bikes: Mechanical Engineering,24,,53.52783,-113.52694,"(53.5278251, -113.5269427)",Yes,2,121,146,6,5,11,8,6,5,356
Edmonton's Public Bike Parking,Public bike parking - uncovered,6 Bikes: Manulife Place,6,,53.54260,-113.49397,"(53.5425962, -113.493973)",Yes,0,338,242,4,5,9,6,6,5,104
Edmonton's Public Bike Parking,Public bike parking - uncovered,50 bikes: Royal Alberta Museum,50,,53.54682,-113.49005,"(53.5468228, -113.4900463)",Yes,2,338,242,4,5,9,6,4,5,104
Edmonton's Public Bike Parking,Public bike parking - uncovered,6 Bikes: Servus Credit Union,6,,53.53868,-113.50452,"(53.5386752, -113.5045195)",Yes,1,338,24,4,5,9,6,6,5,104
Edmonton's Public Bike Parking,Public bike parking - uncovered,22 Bikes: Education Centre,22,,53.52305,-113.52341,"(53.5230497, -113.5234129)",Yes,2,121,146,6,5,11,8,6,5,356
