"language","dwellings"
"English Only","175685"
"Arabic","4865"
"Cantonese","6375"
"French","9539"
"German","3165"
"Mandarin","5652"
"North American Indigenous","418"
"Punjabi","6166"
"Spanish","4853"
"Tagalog (Pilipino_ Filipino)","8660"
"Ukrainian","3508"
"Other","29302"
"No Response","111569"
