"responsedate","completiondate","q01","q02","q1ai","q1b","q2","q3_purchased_local_food","q3_visited_a_farmers_market","q3_planted_a_food_garden","q3_supported_a_community_food_garden","q3_purchased_food_directly_from_a_local_producer","q3_supported_a_community_supported_agriculture_program","q3_pursued_new_cooking_skills","q3_foraged_hunted_or_fished","q3_raised_bees_or_hens","q3_redistributed_surplus_food","q3_learned_how_to_manage_household_food_waste","q4_there_are_more_opportunities_to_buy_local_food_now_compared_to_12_months_ago","q4_there_are_more_places_to_buy_local_food_now_compared_to_12_months_ago","q4_more_people_are_producing_their_own_food_in_edmonton_now_compared_to_12_months_ago","q4_more_variety_of_local_food_products_is_available_in_edmonton_now_compared_with_12_months_ago","q4_more_people_are_employed_in_the_local_food_system_now_than_compared_to_12_months_ago","q5","q6","q7","q7b_because_of_health_reasons","q7b_because_i_want_to_support_the_local_economy","q7b_because_of_environmental_reasons","q7b_because_of_community_cultural_or_recreational_reasons","q7b_because_of_personal_economic_reasons","q7b_other_please_specify","q8","q9a_diverse_cultural_preferences","q9a_diverse_dietary_needs","q10a","q11a_local_food_contributes_to_healthier_ecosystems","q11a_local_food_contributes_to_more_vibrant_attractive_and_unique_places","q11a_local_food_contributes_to_a_stronger_more_vibrant_local_economy","q11a_local_food_contributes_to_a_healthier_and_more_food_secure_community","q11a_local_food_contributes_to_reducing_energy_emissions_and_waste","gender","age","education","employment_status","fsa","ostype","devicetype","browsertype","q3_own_rent_study_profiling_questionnaire_2014","q7_children_study_profiling_questionnaire_2014","q8_born_canada_study_profiling_questionnaire_2014","q9a_edmonton_study_profiling_questionnaire_2014","q10_own_business_study_profiling_questionnaire_2014","q11_home_language_study_profiling_questionnaire_2014","q13_volunteer_study_profiling_questionnaire_2014","q14a_primary_transportation_study_profiling_questionnaire_2014","q14b_secondary_transportation_study_profiling_questionnaire_2014","q15_household_income_study_profiling_questionnaire_2014","q17_city_employee_study_profiling_questionnaire_2014"
"2017-03-27T11:05:00.000","2017-03-27T11:08:00.000","Yes","No","Agree","Somewhat familiar","Stayed about the same in the last 12 months","3 Did about the same","1 Didn't do it","2 Did less of it","1 Didn't do it","1 Didn't do it","1 Didn't do it","1 Didn't do it","3 Did about the same","1 Didn't do it","3 Did about the same","3 Did about the same","3 Neither Agree nor Disagree","3 Neither Agree nor Disagree","4 Somewhat Agree","3 Neither Agree nor Disagree","3 Neither Agree nor Disagree","Remained as knowledgeable now as you were 12 months ago about where your food comes from","I don’t know","About the same",,,,,,,"I don't know","2 Somewhat Disagree","2 Somewhat Disagree","I don't know","2 Somewhat Disagree","2 Somewhat Disagree","2 Somewhat Disagree","1 Strongly Disagree","2 Somewhat Disagree","Female","""40-44""","University undergraduate degree","Employed full-time (30+ hours a week)","T5G","Windows","Desktop","Google Chrome","Own","No","Yes","Greater than 5 years","No","English","Yes","Car/truck/Van as DRIVER","Walk","$100,000 to $149,000","Yes"
"2017-03-27T14:45:00.000","2017-03-27T14:53:00.000","No","No","Disagree","Somewhat familiar","Stayed about the same in the last 12 months","Not applicable","1 Didn't do it","1 Didn't do it","1 Didn't do it","1 Didn't do it","1 Didn't do it","1 Didn't do it","1 Didn't do it","1 Didn't do it","1 Didn't do it","1 Didn't do it","3 Neither Agree nor Disagree","3 Neither Agree nor Disagree","3 Neither Agree nor Disagree","3 Neither Agree nor Disagree","3 Neither Agree nor Disagree","Remained as knowledgeable now as you were 12 months ago about where your food comes from","I don’t know","About the same",,,,,,,"About the same","5 Strongly Agree","5 Strongly Agree","The same","5 Strongly Agree","1 Strongly Disagree","1 Strongly Disagree","1 Strongly Disagree","5 Strongly Agree","Male","""45-49""","Professional school graduate (e.g. medicine, dentistry, veterinary medicine, optometry)","Employed full-time (30+ hours a week)","T6C","Windows","Desktop","Internet Explorer","Own","No","Yes","Greater than 5 years","No","English","Yes","Car/truck/Van as DRIVER","Walk","$150,000 and over","No"
"2017-04-07T18:48:00.000","2017-04-07T18:55:00.000","Yes","Yes","Agree","Extremely familiar","Stayed about the same in the last 12 months","3 Did about the same","3 Did about the same","1 Didn't do it","1 Didn't do it","3 Did about the same","3 Did about the same","3 Did about the same","1 Didn't do it","1 Didn't do it","1 Didn't do it","4 Did it more","3 Neither Agree nor Disagree","3 Neither Agree nor Disagree","4 Somewhat Agree","4 Somewhat Agree","Don't know","Remained as knowledgeable now as you were 12 months ago about where your food comes from","Remained as knowledgeable now as they were 12 months ago about where your food comes from","About the same",,,,,,,"About the same","2 Somewhat Disagree","4 Somewhat Agree","The same","4 Somewhat Agree","5 Strongly Agree","5 Strongly Agree","5 Strongly Agree","5 Strongly Agree","Male","""30-34""","University undergraduate degree","Employed full-time (30+ hours a week)","T5J","Windows","Desktop","Google Chrome","Own","No","Yes","Greater than 5 years","Yes","English","Yes","Walk","Public Transit","$150,000 and over","No"
"2017-03-27T11:47:00.000","2017-03-27T11:51:00.000","Yes","Yes","Agree","Moderately familiar","Improved in the last 12 months","4 Did it more","4 Did it more","1 Didn't do it","1 Didn't do it","4 Did it more","3 Did about the same","1 Didn't do it","1 Didn't do it","1 Didn't do it","3 Did about the same","4 Did it more","3 Neither Agree nor Disagree","4 Somewhat Agree","3 Neither Agree nor Disagree","3 Neither Agree nor Disagree","3 Neither Agree nor Disagree","Remained as knowledgeable now as you were 12 months ago about where your food comes from","Become MORE knowledgeable about where their food comes from","About the same",,,,,,,"More","4 Somewhat Agree","5 Strongly Agree","Fewer barriers","4 Somewhat Agree","3 Neither Agree nor Disagree","4 Somewhat Agree","4 Somewhat Agree","4 Somewhat Agree","Female","""50-54""","College / technical school graduate","Employed full-time (30+ hours a week)","T5R","Android","Phone","Unknown","Own","No","Yes","Greater than 5 years","Yes","English","Yes","Car/truck/Van as DRIVER","Only have one mode of transportation","Prefer not to answer","No"
"2017-03-28T11:48:00.000","2017-03-28T11:57:00.000","No","No","Agree","Slightly familiar","Stayed about the same in the last 12 months","4 Did it more","4 Did it more","4 Did it more","3 Did about the same","3 Did about the same","3 Did about the same","3 Did about the same","1 Didn't do it","1 Didn't do it","3 Did about the same","3 Did about the same","4 Somewhat Agree","3 Neither Agree nor Disagree","3 Neither Agree nor Disagree","3 Neither Agree nor Disagree","3 Neither Agree nor Disagree","Remained as knowledgeable now as you were 12 months ago about where your food comes from","I don’t know","More","0","1","0","0","0","0","I don't know","4 Somewhat Agree","4 Somewhat Agree","I don't know","5 Strongly Agree","5 Strongly Agree","4 Somewhat Agree","4 Somewhat Agree","5 Strongly Agree","Male","""70-74""","High school graduate","Retired","T6M","Windows","Desktop","Firefox","Own","No","Yes","Greater than 5 years","No","English","Yes","Car/truck/Van as DRIVER","Only have one mode of transportation","Prefer not to answer","No"
"2017-03-27T16:42:00.000","2017-03-27T16:47:00.000","No","No","Agree","Moderately familiar","Improved in the last 12 months","4 Did it more","4 Did it more","3 Did about the same","1 Didn't do it","3 Did about the same","1 Didn't do it","4 Did it more","1 Didn't do it","1 Didn't do it","1 Didn't do it","3 Did about the same","4 Somewhat Agree","4 Somewhat Agree","Don't know","4 Somewhat Agree","3 Neither Agree nor Disagree","Remained as knowledgeable now as you were 12 months ago about where your food comes from","Remained as knowledgeable now as they were 12 months ago about where your food comes from","About the same",,,,,,,"About the same","4 Somewhat Agree","4 Somewhat Agree","The same","5 Strongly Agree","4 Somewhat Agree","5 Strongly Agree","5 Strongly Agree","5 Strongly Agree","Female","""45-49""","University undergraduate degree","Employed part-time (0-30 hours a week)","T5X","Mac (OS X)","Desktop","Google Chrome","Own","Yes","Yes","Greater than 5 years","No","English","Yes","Car/truck/Van as DRIVER","Car/truck/van as PASSENGER","Prefer not to answer","No"
"2017-03-27T22:50:00.000","2017-03-27T23:00:00.000","No","No","Agree","Slightly familiar","Stayed about the same in the last 12 months","3 Did about the same","1 Didn't do it","4 Did it more","1 Didn't do it","1 Didn't do it","1 Didn't do it","1 Didn't do it","1 Didn't do it","1 Didn't do it","1 Didn't do it","4 Did it more","Don't know","4 Somewhat Agree","2 Somewhat Disagree","3 Neither Agree nor Disagree","Don't know","Remained as knowledgeable now as you were 12 months ago about where your food comes from","Remained as knowledgeable now as they were 12 months ago about where your food comes from","About the same",,,,,,,"About the same","2 Somewhat Disagree","2 Somewhat Disagree","The same","Don't know","4 Somewhat Agree","3 Neither Agree nor Disagree","2 Somewhat Disagree","4 Somewhat Agree","Female","""45-49""","University undergraduate degree","Employed part-time (0-30 hours a week)","T5Y","iOS","Phone","Safari","Own","Yes","Yes","Greater than 5 years","No","English","Yes","Car/truck/Van as DRIVER","Car/truck/van as PASSENGER","$80,000 to $99,999","No"
"2017-03-31T09:33:00.000","2017-03-31T09:38:00.000","Yes","Yes","Agree","Moderately familiar","Improved in the last 12 months","4 Did it more","3 Did about the same","3 Did about the same","1 Didn't do it","3 Did about the same","3 Did about the same","3 Did about the same","1 Didn't do it","1 Didn't do it","3 Did about the same","3 Did about the same","4 Somewhat Agree","4 Somewhat Agree","Don't know","4 Somewhat Agree","Don't know","Become MORE knowledgeable about where your food comes from","I don’t know","About the same",,,,,,,"More","3 Neither Agree nor Disagree","3 Neither Agree nor Disagree","Fewer barriers","4 Somewhat Agree","5 Strongly Agree","5 Strongly Agree","5 Strongly Agree","5 Strongly Agree","Female","""35-39""","Post-graduate degree","Employed full-time (30+ hours a week)","T5N","iOS","Tablet","Safari","Own","No","Yes","Greater than 5 years","No","English","Yes","Public Transit","Car/truck/Van as DRIVER","$150,000 and over","Yes"
"2017-03-27T11:26:00.000","2017-03-27T11:35:00.000","No","No","Agree","Not at all familiar","I don’t know","1 Didn't do it","1 Didn't do it","1 Didn't do it","1 Didn't do it","1 Didn't do it","1 Didn't do it","2 Did less of it","1 Didn't do it","1 Didn't do it","1 Didn't do it","4 Did it more","Don't know","Don't know","2 Somewhat Disagree","Don't know","Don't know","Become MORE knowledgeable about where your food comes from","I don’t know","More","1","0","0","0","1","0","I don't know","I don't know","I don't know","I don't know","5 Strongly Agree","3 Neither Agree nor Disagree","4 Somewhat Agree","5 Strongly Agree","4 Somewhat Agree","Male","""55-59""","University undergraduate degree","Employed full-time (30+ hours a week)","T6W","Windows","Desktop","Google Chrome","Own","No","Yes","Greater than 5 years","No","English","No","Public Transit","Car/truck/Van as DRIVER","Prefer not to answer","No"
"2017-03-30T10:15:00.000","2017-03-30T10:30:00.000","No","No","Disagree","Slightly familiar","Stayed about the same in the last 12 months","3 Did about the same","3 Did about the same","3 Did about the same","Not applicable","3 Did about the same","Not applicable","1 Didn't do it","1 Didn't do it","1 Didn't do it","1 Didn't do it","Not applicable","1 Strongly Disagree","1 Strongly Disagree","Don't know","1 Strongly Disagree","Don't know","Remained as knowledgeable now as you were 12 months ago about where your food comes from","Become LESS knowledgeable about where their food comes from","About the same",,,,,,,"About the same","2 Somewhat Disagree","2 Somewhat Disagree","I don't know","3 Neither Agree nor Disagree","4 Somewhat Agree","4 Somewhat Agree","4 Somewhat Agree","4 Somewhat Agree","Male","""35-39""","University undergraduate degree","Homemaker","T5A","Windows","Desktop","Google Chrome","Own","No","Yes","Greater than 5 years","No","English","No","Public Transit","Car/truck/van as PASSENGER","$40,000 to $49,999","No"
