"ward","age","female","male"
"Ward 1","0","604","606"
"Ward 1","1","723","697"
"Ward 1","2","595","662"
"Ward 1","3","575","612"
"Ward 1","4","599","592"
"Ward 1","5","573","621"
"Ward 1","6","589","634"
"Ward 1","7","580","558"
"Ward 1","8","568","588"
"Ward 1","9","596","640"
"Ward 1","10","619","662"
"Ward 1","11","598","640"
"Ward 1","12","595","675"
"Ward 1","13","651","666"
"Ward 1","14","685","714"
"Ward 1","15","651","750"
"Ward 1","16","746","709"
"Ward 1","17","710","679"
"Ward 1","18","817","875"
"Ward 1","19","884","920"
"Ward 1","20","871","861"
"Ward 1","21","827","892"
"Ward 1","22","892","891"
"Ward 1","23","874","961"
"Ward 1","24","838","905"
"Ward 1","25","818","875"
"Ward 1","26","837","891"
"Ward 1","27","781","793"
"Ward 1","28","832","873"
"Ward 1","29","828","882"
"Ward 1","30","840","865"
"Ward 1","31","774","749"
"Ward 1","32","807","766"
"Ward 1","33","786","771"
"Ward 1","34","761","779"
"Ward 1","35","771","806"
"Ward 1","36","764","712"
"Ward 1","37","748","697"
"Ward 1","38","768","825"
"Ward 1","39","831","776"
"Ward 1","40","799","783"
"Ward 1","41","795","818"
"Ward 1","42","784","761"
"Ward 1","43","810","792"
"Ward 1","44","847","840"
"Ward 1","45","902","873"
"Ward 1","46","957","907"
"Ward 1","47","910","799"
"Ward 1","48","919","962"
"Ward 1","49","1008","995"
"Ward 1","50","943","898"
"Ward 1","51","944","899"
"Ward 1","52","897","873"
"Ward 1","53","908","855"
"Ward 1","54","827","857"
"Ward 1","55","744","774"
"Ward 1","56","665","686"
"Ward 1","57","648","608"
"Ward 1","58","628","645"
"Ward 1","59","625","627"
"Ward 1","60","536","534"
"Ward 1","61","572","531"
"Ward 1","62","562","526"
"Ward 1","63","441","447"
"Ward 1","64","414","373"
"Ward 1","65","415","374"
"Ward 1","66","375","356"
"Ward 1","67","355","288"
"Ward 1","68","398","332"
"Ward 1","69","382","283"
"Ward 1","70","320","309"
"Ward 1","71","338","263"
"Ward 1","72","306","273"
"Ward 1","73","336","274"
"Ward 1","74","301","266"
"Ward 1","75","306","253"
"Ward 1","76","313","231"
"Ward 1","77","282","227"
"Ward 1","78","321","197"
"Ward 1","79","307","231"
"Ward 1","80","288","192"
"Ward 1","81","249","179"
"Ward 1","82","198","162"
"Ward 1","83","199","140"
"Ward 1","84","160","115"
"Ward 1","85+","900","569"
"Ward 1","No Response","6895","7164"
"Ward 2","0","697","645"
"Ward 2","1","734","780"
"Ward 2","2","747","709"
"Ward 2","3","620","691"
"Ward 2","4","600","650"
"Ward 2","5","672","690"
"Ward 2","6","602","620"
"Ward 2","7","596","672"
"Ward 2","8","649","729"
"Ward 2","9","684","684"
"Ward 2","10","659","692"
"Ward 2","11","590","653"
"Ward 2","12","663","682"
"Ward 2","13","706","726"
"Ward 2","14","653","686"
"Ward 2","15","704","739"
"Ward 2","16","695","736"
"Ward 2","17","639","748"
"Ward 2","18","766","879"
"Ward 2","19","832","882"
"Ward 2","20","846","858"
"Ward 2","21","842","900"
"Ward 2","22","853","907"
"Ward 2","23","893","960"
"Ward 2","24","901","946"
"Ward 2","25","874","950"
"Ward 2","26","892","992"
"Ward 2","27","870","860"
"Ward 2","28","923","957"
"Ward 2","29","899","934"
"Ward 2","30","864","923"
"Ward 2","31","793","855"
"Ward 2","32","860","830"
"Ward 2","33","827","855"
"Ward 2","34","823","821"
"Ward 2","35","774","786"
"Ward 2","36","799","842"
"Ward 2","37","738","708"
"Ward 2","38","774","813"
"Ward 2","39","818","898"
"Ward 2","40","772","837"
"Ward 2","41","783","836"
"Ward 2","42","791","769"
"Ward 2","43","821","856"
"Ward 2","44","890","907"
"Ward 2","45","889","895"
"Ward 2","46","907","908"
"Ward 2","47","802","837"
"Ward 2","48","933","973"
"Ward 2","49","912","948"
"Ward 2","50","870","922"
"Ward 2","51","826","818"
"Ward 2","52","783","850"
"Ward 2","53","805","777"
"Ward 2","54","737","786"
"Ward 2","55","711","739"
"Ward 2","56","627","653"
"Ward 2","57","585","581"
"Ward 2","58","610","601"
"Ward 2","59","591","580"
"Ward 2","60","487","546"
"Ward 2","61","500","514"
"Ward 2","62","518","499"
"Ward 2","63","464","393"
"Ward 2","64","416","353"
"Ward 2","65","367","362"
"Ward 2","66","378","329"
"Ward 2","67","335","324"
"Ward 2","68","371","363"
"Ward 2","69","388","324"
"Ward 2","70","354","323"
"Ward 2","71","371","275"
"Ward 2","72","342","278"
"Ward 2","73","384","304"
"Ward 2","74","352","271"
"Ward 2","75","345","276"
"Ward 2","76","360","287"
"Ward 2","77","291","265"
"Ward 2","78","329","279"
"Ward 2","79","329","263"
"Ward 2","80","295","189"
"Ward 2","81","245","193"
"Ward 2","82","242","160"
"Ward 2","83","223","164"
"Ward 2","84","214","129"
"Ward 2","85+","1172","666"
"Ward 2","No Response","6695","7408"
"Ward 3","0","791","746"
"Ward 3","1","759","803"
"Ward 3","2","751","735"
"Ward 3","3","671","702"
"Ward 3","4","677","684"
"Ward 3","5","633","711"
"Ward 3","6","635","685"
"Ward 3","7","624","654"
"Ward 3","8","737","751"
"Ward 3","9","696","728"
"Ward 3","10","695","787"
"Ward 3","11","722","760"
"Ward 3","12","736","786"
"Ward 3","13","746","807"
"Ward 3","14","763","769"
"Ward 3","15","754","789"
"Ward 3","16","786","744"
"Ward 3","17","716","763"
"Ward 3","18","831","917"
"Ward 3","19","905","955"
"Ward 3","20","914","918"
"Ward 3","21","1042","982"
"Ward 3","22","989","1003"
"Ward 3","23","1043","1027"
"Ward 3","24","1036","1097"
"Ward 3","25","1057","1086"
"Ward 3","26","964","1026"
"Ward 3","27","983","1005"
"Ward 3","28","971","1072"
"Ward 3","29","1059","1028"
"Ward 3","30","943","954"
"Ward 3","31","915","939"
"Ward 3","32","888","931"
"Ward 3","33","843","891"
"Ward 3","34","837","883"
"Ward 3","35","845","835"
"Ward 3","36","826","799"
"Ward 3","37","751","765"
"Ward 3","38","850","952"
"Ward 3","39","932","955"
"Ward 3","40","916","891"
"Ward 3","41","863","880"
"Ward 3","42","818","860"
"Ward 3","43","863","893"
"Ward 3","44","949","955"
"Ward 3","45","997","990"
"Ward 3","46","979","1015"
"Ward 3","47","836","840"
"Ward 3","48","962","995"
"Ward 3","49","1002","1036"
"Ward 3","50","936","968"
"Ward 3","51","886","939"
"Ward 3","52","877","956"
"Ward 3","53","840","885"
"Ward 3","54","796","870"
"Ward 3","55","825","794"
"Ward 3","56","697","722"
"Ward 3","57","633","625"
"Ward 3","58","645","754"
"Ward 3","59","640","652"
"Ward 3","60","637","628"
"Ward 3","61","586","578"
"Ward 3","62","575","592"
"Ward 3","63","521","480"
"Ward 3","64","464","461"
"Ward 3","65","476","441"
"Ward 3","66","463","426"
"Ward 3","67","420","360"
"Ward 3","68","455","376"
"Ward 3","69","425","376"
"Ward 3","70","348","323"
"Ward 3","71","371","341"
"Ward 3","72","348","267"
"Ward 3","73","332","307"
"Ward 3","74","315","292"
"Ward 3","75","351","239"
"Ward 3","76","297","276"
"Ward 3","77","251","215"
"Ward 3","78","260","276"
"Ward 3","79","270","230"
"Ward 3","80","223","164"
"Ward 3","81","188","160"
"Ward 3","82","174","140"
"Ward 3","83","160","110"
"Ward 3","84","157","87"
"Ward 3","85+","826","541"
"Ward 3","No Response","5735","6415"
"Ward 4","0","338","377"
"Ward 4","1","346","412"
"Ward 4","2","315","315"
"Ward 4","3","282","286"
"Ward 4","4","256","267"
"Ward 4","5","259","275"
"Ward 4","6","254","246"
"Ward 4","7","217","248"
"Ward 4","8","270","258"
"Ward 4","9","261","235"
"Ward 4","10","288","226"
"Ward 4","11","247","255"
"Ward 4","12","264","258"
"Ward 4","13","249","265"
"Ward 4","14","238","281"
"Ward 4","15","288","277"
"Ward 4","16","296","292"
"Ward 4","17","329","306"
"Ward 4","18","535","464"
"Ward 4","19","762","735"
"Ward 4","20","981","854"
"Ward 4","21","1199","1006"
"Ward 4","22","1345","1219"
"Ward 4","23","1362","1327"
"Ward 4","24","1326","1460"
"Ward 4","25","1350","1468"
"Ward 4","26","1271","1461"
"Ward 4","27","1082","1197"
"Ward 4","28","1103","1295"
"Ward 4","29","1054","1296"
"Ward 4","30","934","1191"
"Ward 4","31","757","994"
"Ward 4","32","751","1006"
"Ward 4","33","707","879"
"Ward 4","34","622","890"
"Ward 4","35","615","803"
"Ward 4","36","542","745"
"Ward 4","37","512","689"
"Ward 4","38","613","753"
"Ward 4","39","640","717"
"Ward 4","40","615","709"
"Ward 4","41","554","694"
"Ward 4","42","542","657"
"Ward 4","43","550","671"
"Ward 4","44","575","707"
"Ward 4","45","583","693"
"Ward 4","46","631","683"
"Ward 4","47","549","642"
"Ward 4","48","665","673"
"Ward 4","49","633","694"
"Ward 4","50","669","713"
"Ward 4","51","650","703"
"Ward 4","52","639","732"
"Ward 4","53","591","695"
"Ward 4","54","638","717"
"Ward 4","55","580","656"
"Ward 4","56","594","631"
"Ward 4","57","514","484"
"Ward 4","58","494","562"
"Ward 4","59","508","547"
"Ward 4","60","462","487"
"Ward 4","61","509","531"
"Ward 4","62","434","456"
"Ward 4","63","365","427"
"Ward 4","64","353","330"
"Ward 4","65","317","308"
"Ward 4","66","318","296"
"Ward 4","67","268","245"
"Ward 4","68","308","265"
"Ward 4","69","304","274"
"Ward 4","70","318","247"
"Ward 4","71","294","206"
"Ward 4","72","293","223"
"Ward 4","73","289","238"
"Ward 4","74","272","226"
"Ward 4","75","326","241"
"Ward 4","76","296","195"
"Ward 4","77","260","171"
"Ward 4","78","327","218"
"Ward 4","79","315","210"
"Ward 4","80","289","200"
"Ward 4","81","290","182"
"Ward 4","82","267","166"
"Ward 4","83","269","155"
"Ward 4","84","259","148"
"Ward 4","85+","1448","749"
"Ward 4","No Response","11545","13545"
"Ward 5","0","738","788"
"Ward 5","1","801","812"
"Ward 5","2","742","782"
"Ward 5","3","726","719"
"Ward 5","4","681","758"
"Ward 5","5","639","761"
"Ward 5","6","651","645"
"Ward 5","7","639","626"
"Ward 5","8","652","709"
"Ward 5","9","703","668"
"Ward 5","10","666","694"
"Ward 5","11","670","696"
"Ward 5","12","680","723"
"Ward 5","13","673","732"
"Ward 5","14","744","691"
"Ward 5","15","719","754"
"Ward 5","16","727","779"
"Ward 5","17","711","742"
"Ward 5","18","867","918"
"Ward 5","19","999","941"
"Ward 5","20","1082","1038"
"Ward 5","21","1066","1089"
"Ward 5","22","1165","1144"
"Ward 5","23","1086","1185"
"Ward 5","24","1147","1103"
"Ward 5","25","1076","1100"
"Ward 5","26","1064","1119"
"Ward 5","27","954","1016"
"Ward 5","28","1029","1100"
"Ward 5","29","1011","1004"
"Ward 5","30","1015","956"
"Ward 5","31","919","924"
"Ward 5","32","924","933"
"Ward 5","33","991","946"
"Ward 5","34","839","891"
"Ward 5","35","884","879"
"Ward 5","36","874","901"
"Ward 5","37","841","848"
"Ward 5","38","968","903"
"Ward 5","39","936","943"
"Ward 5","40","942","961"
"Ward 5","41","887","824"
"Ward 5","42","873","796"
"Ward 5","43","891","875"
"Ward 5","44","939","943"
"Ward 5","45","956","902"
"Ward 5","46","951","932"
"Ward 5","47","858","807"
"Ward 5","48","949","941"
"Ward 5","49","949","865"
"Ward 5","50","926","866"
"Ward 5","51","866","836"
"Ward 5","52","940","915"
"Ward 5","53","902","863"
"Ward 5","54","841","833"
"Ward 5","55","859","790"
"Ward 5","56","805","736"
"Ward 5","57","658","684"
"Ward 5","58","716","658"
"Ward 5","59","653","644"
"Ward 5","60","628","590"
"Ward 5","61","605","588"
"Ward 5","62","605","583"
"Ward 5","63","546","456"
"Ward 5","64","518","460"
"Ward 5","65","454","458"
"Ward 5","66","465","395"
"Ward 5","67","435","366"
"Ward 5","68","403","392"
"Ward 5","69","414","357"
"Ward 5","70","373","370"
"Ward 5","71","355","333"
"Ward 5","72","354","332"
"Ward 5","73","345","316"
"Ward 5","74","363","299"
"Ward 5","75","312","284"
"Ward 5","76","300","242"
"Ward 5","77","293","256"
"Ward 5","78","320","267"
"Ward 5","79","282","253"
"Ward 5","80","280","200"
"Ward 5","81","252","186"
"Ward 5","82","238","176"
"Ward 5","83","227","145"
"Ward 5","84","187","139"
"Ward 5","85+","1139","818"
"Ward 5","No Response","7202","7666"
"Ward 6","0","802","805"
"Ward 6","1","833","826"
"Ward 6","2","847","823"
"Ward 6","3","730","802"
"Ward 6","4","815","734"
"Ward 6","5","720","798"
"Ward 6","6","708","783"
"Ward 6","7","729","754"
"Ward 6","8","773","787"
"Ward 6","9","805","843"
"Ward 6","10","756","869"
"Ward 6","11","784","785"
"Ward 6","12","722","829"
"Ward 6","13","869","832"
"Ward 6","14","793","859"
"Ward 6","15","789","861"
"Ward 6","16","811","818"
"Ward 6","17","814","792"
"Ward 6","18","863","899"
"Ward 6","19","832","975"
"Ward 6","20","858","914"
"Ward 6","21","840","883"
"Ward 6","22","875","913"
"Ward 6","23","957","1013"
"Ward 6","24","924","937"
"Ward 6","25","1043","994"
"Ward 6","26","980","1035"
"Ward 6","27","1023","1007"
"Ward 6","28","1027","995"
"Ward 6","29","1030","1072"
"Ward 6","30","978","995"
"Ward 6","31","937","982"
"Ward 6","32","941","943"
"Ward 6","33","966","1013"
"Ward 6","34","909","892"
"Ward 6","35","871","936"
"Ward 6","36","914","864"
"Ward 6","37","839","813"
"Ward 6","38","924","909"
"Ward 6","39","866","996"
"Ward 6","40","839","873"
"Ward 6","41","812","853"
"Ward 6","42","854","807"
"Ward 6","43","843","826"
"Ward 6","44","874","946"
"Ward 6","45","960","911"
"Ward 6","46","941","906"
"Ward 6","47","873","859"
"Ward 6","48","972","932"
"Ward 6","49","1056","913"
"Ward 6","50","908","948"
"Ward 6","51","918","898"
"Ward 6","52","915","864"
"Ward 6","53","881","887"
"Ward 6","54","890","823"
"Ward 6","55","795","797"
"Ward 6","56","751","717"
"Ward 6","57","645","652"
"Ward 6","58","673","702"
"Ward 6","59","660","654"
"Ward 6","60","594","616"
"Ward 6","61","592","585"
"Ward 6","62","530","543"
"Ward 6","63","433","427"
"Ward 6","64","377","394"
"Ward 6","65","384","361"
"Ward 6","66","358","370"
"Ward 6","67","313","269"
"Ward 6","68","336","278"
"Ward 6","69","285","277"
"Ward 6","70","255","233"
"Ward 6","71","309","239"
"Ward 6","72","268","241"
"Ward 6","73","286","240"
"Ward 6","74","263","225"
"Ward 6","75","263","207"
"Ward 6","76","246","184"
"Ward 6","77","235","190"
"Ward 6","78","234","230"
"Ward 6","79","228","182"
"Ward 6","80","202","176"
"Ward 6","81","183","135"
"Ward 6","82","164","145"
"Ward 6","83","139","127"
"Ward 6","84","115","88"
"Ward 6","85+","675","442"
"Ward 6","No Response","4819","5373"
