"received_date","animal_type","source","primary_breed","colour","age","gender","fsa"
"2012-01-03T00:00:00.000","Cat","Public","Domestic Short Hair Mix","Orange Tabby / White",,"Male","T5B"
"2012-01-03T00:00:00.000","Cat","Public","Domestic Short Hair Mix","Orange Tabby","8 Years 11 Months 3 Weeks","Female","T5B"
"2012-01-03T00:00:00.000","Cat","Public","Domestic Short Hair Mix","Muted Calico / White","2 Years 2 Weeks","Female","T5C"
"2012-01-03T00:00:00.000","Cat","Public","Domestic Medium Hair Mix","Black",,"Female","T5K"
"2012-01-03T00:00:00.000","Cat","Agency","Domestic Short Hair Mix","Grey Tabby / White",,"Male","T5A"
"2012-01-03T00:00:00.000","Cat","Agency","Domestic Short Hair Mix","Black / White","3 Years (approx)","Male","T5E"
"2012-01-03T00:00:00.000","Cat","Agency","Domestic Medium Hair Mix","Brown Tabby / White",,"Male","T6L"
"2012-01-03T00:00:00.000","Cat","Agency","Domestic Medium Hair Mix","Black",,"Male","T6K"
"2012-01-03T00:00:00.000","Cat","Agency","Domestic Short Hair Mix","White / Grey","15 Years 5 Months 3 Weeks","Female","T5A"
"2012-01-03T00:00:00.000","Dog","Agency","Shih Tzu Mix","White / Tan","10 Years 5 Months 3 Weeks","Male","T6P"
"2012-01-03T00:00:00.000","Dog","Agency","Shih Tzu Mix","White / Tan","10 Years 5 Months 3 Weeks","Female","T6P"
"2012-01-03T00:00:00.000","Dog","Agency","English Springer Spaniel Mix","White / Liver",,"Unknown","T5L"
"2012-01-03T00:00:00.000","Dog","Agency","Poodle Standard","Black","16 Years 3 Months 3 Weeks (approx)","Female","T5P"
"2012-01-03T00:00:00.000","Puppy","Agency","German Shepherd / Collie Rough","Red Brown / Black","8 Years 9 Months 3 Weeks","Female","T6W"
"2012-01-04T00:00:00.000","Cat","Public","Domestic Short Hair Mix","Tortoiseshell / White",,"Female","2L1"
"2012-01-04T00:00:00.000","Cat","Public","Siamese Mix","Seal Point / White",,"Female","1A4"
"2012-01-04T00:00:00.000","Cat","Public","Domestic Medium Hair Mix","Calico / White",,"Female","T6N"
"2012-01-04T00:00:00.000","Cat","Public","Domestic Medium Hair Mix","Ticked Tabby / White",,"Male","T6J"
"2012-01-04T00:00:00.000","Cat","Public","Domestic Short Hair Mix","Grey Tabby",,"Female","T6J"
"2012-01-04T00:00:00.000","Cat","Public","Domestic Short Hair Mix","Brown Tabby / White",,"Male","2Y8"
"2012-01-04T00:00:00.000","Cat","Agency","Domestic Short Hair Mix","Grey Tabby / White","Adult","Male","T5H"
"2012-01-04T00:00:00.000","Dog","Agency","Collie Rough Mix","Tan / Black","Adult","Male","T6G"
"2012-01-04T00:00:00.000","Dog","Agency","Labrador Retriever Mix","Black","Adult","Unknown","T5L"
"2012-01-04T00:00:00.000","Rabbit","Agency","Californian Dwarf Mix","Brown / Black","Adult","Male","T6K"
"2012-01-05T00:00:00.000","Cat","Public","Domestic Short Hair Mix","Black / White","9 Years 5 Months 2 Weeks (approx)","Female","T5B"
"2012-01-05T00:00:00.000","Cat","Public","Domestic Short Hair Mix","White / Brown Tabby","1 Year (approx)","Female","T5W"
"2012-01-05T00:00:00.000","Cat","Public","Domestic Medium Hair Mix","Muted Tortoiseshell / Tabby","2 Years","Female","T5K"
"2012-01-05T00:00:00.000","Cat","Public","Domestic Medium Hair / Domestic Short Hair","Grey Tabby","9 Years 5 Months 2 Weeks (approx)","Female","1P8"
"2012-01-05T00:00:00.000","Kitten","Public","Domestic Short Hair Mix","Black / Tabby","8 Years 6 Months 3 Weeks (approx)","Male","1P8"
"2012-01-05T00:00:00.000","Kitten","Public","Domestic Short Hair Mix","Brown Tabby","8 Years 6 Months 3 Weeks (approx)","Male","1P8"
"2012-01-05T00:00:00.000","Kitten","Public","Domestic Short Hair Mix","Brown Tabby","8 Years 6 Months 3 Weeks (approx)","Male","1P8"
"2012-01-05T00:00:00.000","Kitten","Public","Domestic Short Hair Mix","Grey / Tabby","6 Weeks","Male","T5K"
"2012-01-05T00:00:00.000","Kitten","Public","Domestic Short Hair Mix","Grey Tabby / White","6 Weeks","Female","T5K"
"2012-01-05T00:00:00.000","Cat","Agency","Domestic Medium Hair Mix","Muted Tortoiseshell","2 Years (approx)","Female","T5T"
"2012-01-05T00:00:00.000","Cat","Agency","Domestic Medium Hair Mix","Orange Tabby / White","8 Years 11 Months 2 Weeks (approx)","Male","T6H"
