"site_id","approach","cross_street","travel_direction","posted_speed","activation_date","reason_code_s","code_description","latitude","longitude","geo_location","geometry_point"
"ED2075","97 Street","at 132 Avenue","Northbound","60 km/h","2019-05-20T00:00:00.000","(a), (b)","Areas or intersections with an identifiable, documented history of collisions. Areas or intersections with an identifiable, documented history of speeding problems","53.591633","-113.491987","
,  
(53.591633, -113.491987)","POINT (-113.491987 53.591633)"
"ED001","34 Avenue","at 91 Street","Eastbound","60 km/h","2010-12-23T00:00:00.000","(b)","Areas or intersections with an identifiable, documented history of speeding problems.","53.46522609","-113.4674525","
,  
(53.46522609, -113.4674525)","POINT (-113.4674525 53.46522609)"
"ED2094","Rabbit Hill Road","at 23 Avenue","Northbound","60 km/h","2019-11-08T00:00:00.000","(a), (b)","Areas or intersections with an identifiable, documented history of collisions. Areas or intersections with an identifiable, documented history of speeding problems","53.45365","-113.5654","
,  
(53.45365, -113.5654)","POINT (-113.5654 53.45365)"
"ED008","Yellowhead Trail","at 127 Avenue","Westbound","70 km/h","2009-11-18T00:00:00.000","(b)","Areas or intersections with an identifiable, documented history of speeding problems.","53.58073876","-113.5406622","
,  
(53.58073876, -113.5406622)","POINT (-113.5406622 53.58073876)"
"ED014","50 Street","at 137 Avenue","Southbound","60 km/h","2010-03-23T00:00:00.000","(b)","Areas or intersections with an identifiable, documented history of speeding problems.","53.5974957","-113.4134868","
,  
(53.5974957, -113.4134868)","POINT (-113.4134868 53.5974957)"
"ED2099","111 Avenue","at 142 Street","Eastbound","60 km/h","2019-12-18T00:00:00.000","(a)","Areas or intersections with an identifiable, documented history of collisions.","53.55882","-113.566383","
,  
(53.55882, -113.566383)","POINT (-113.566383 53.55882)"
"ED2043","137 Avenue","at 113A Street","Westbound","60 km/h","2019-12-04T00:00:00.000","(a), (b)","Areas or intersections with an identifiable, documented history of collisions. Areas or intersections with an identifiable, documented history of speeding problems","53.59961683","-113.5160351","
,  
(53.59961683, -113.5160351)","POINT (-113.5160351 53.59961683)"
"ED1068","170 Street","at 69 Avenue","Southbound","60 km/h","2018-09-17T00:00:00.000","(a), (b)","Areas or intersections with an identifiable, documented history of collisions. Areas or intersections with an identifiable, documented history of speeding problems","53.5049067","-113.6157943","
,  
(53.5049067, -113.6157943)","POINT (-113.6157943 53.5049067)"
"ED040","137 Avenue","at 127 Street","Eastbound","60 km/h","2010-09-10T00:00:00.000","(b)","Areas or intersections with an identifiable, documented history of speeding problems.","53.59935449","-113.5420203","
,  
(53.59935449, -113.5420203)","POINT (-113.5420203 53.59935449)"
"ED1055","111 Street","at Whitemud Drive EB","Northbound","60 km/h","2018-12-20T00:00:00.000","(a), (b)","Areas or intersections with an identifiable, documented history of collisions. Areas or intersections with an identifiable, documented history of speeding problems","53.482055","-113.515857","
,  
(53.482055, -113.515857)","POINT (-113.515857 53.482055)"
"ED041","137 Avenue","at 127 Street","Westbound","60 km/h","2010-09-10T00:00:00.000","(b)","Areas or intersections with an identifiable, documented history of speeding problems.","53.59959096","-113.5406916","
,  
(53.59959096, -113.5406916)","POINT (-113.5406916 53.59959096)"
"ED2029","Calgary Trail","at 34 Avenue","Southbound","60 km/h","2019-09-01T00:00:00.000","(a), (b)","Areas or intersections with an identifiable, documented history of collisions. Areas or intersections with an identifiable, documented history of speeding problems","53.46819871","-113.4956788","
,  
(53.46819871, -113.4956788)","POINT (-113.4956788 53.46819871)"
"ED018","Stony Plain Road","at 170 Street","Westbound","60 km/h","2010-02-26T00:00:00.000","(b)","Areas or intersections with an identifiable, documented history of speeding problems.","53.54128722","-113.6159543","
,  
(53.54128722, -113.6159543)","POINT (-113.6159543 53.54128722)"
"ED028","23 Avenue","at Parsons Road","Westbound","60 km/h","2010-10-27T00:00:00.000","(b)","Areas or intersections with an identifiable, documented history of speeding problems.","53.45295283","-113.478569","
,  
(53.45295283, -113.478569)","POINT (-113.478569 53.45295283)"
"ED1104","Fox Drive","at Fort Edmonton Road","Eastbound","70 km/h","2019-12-11T00:00:00.000","(a), (b)","Areas or intersections with an identifiable, documented history of collisions. Areas or intersections with an identifiable, documented history of speeding problems","53.503222","-113.562803","
,  
(53.503222, -113.562803)","POINT (-113.562803 53.503222)"
"ED2049","97 Street","at 167 Avenue","Northbound","70 km/h","2019-06-03T00:00:00.000","(a), (b)","Areas or intersections with an identifiable, documented history of collisions. Areas or intersections with an identifiable, documented history of speeding problems","53.62839682","-113.4916933","
,  
(53.62839682, -113.4916933)","POINT (-113.4916933 53.62839682)"
"ED2084","95 Street","at 103A Avenue","Northbound","50 km/h","2019-08-02T00:00:00.000","(a), (b)","Areas or intersections with an identifiable, documented history of collisions. Areas or intersections with an identifiable, documented history of speeding problems","53.547669","-113.480138","
,  
(53.547669, -113.480138)","POINT (-113.480138 53.547669)"
"ED048","Manning Drive","at 137 Avenue","Southbound","70 km/h","2010-09-28T00:00:00.000","(b)","Areas or intersections with an identifiable, documented history of speeding problems.","53.59954286","-113.4212717","
,  
(53.59954286, -113.4212717)","POINT (-113.4212717 53.59954286)"
"ED2090","63 Avenue","at Gateway Blvd","Westbound","60 km/h","2019-08-30T00:00:00.000","(a), (b)","Areas or intersections with an identifiable, documented history of collisions. Areas or intersections with an identifiable, documented history of speeding problems","53.499942","-113.492922","
,  
(53.499942, -113.492922)","POINT (-113.492922 53.499942)"
"ED2059","153 Avenue","at 97 Street","Westbound","60 km/h","2019-04-22T00:00:00.000","(a), (b)","Areas or intersections with an identifiable, documented history of collisions. Areas or intersections with an identifiable, documented history of speeding problems","53.614133","-113.490546","
,  
(53.614133, -113.490546)","POINT (-113.490546 53.614133)"
"ED2095","23 Avenue","at Rabbit Hill Road","Westbound","60 km/h","2019-11-28T00:00:00.000","(a), (b)","Areas or intersections with an identifiable, documented history of collisions. Areas or intersections with an identifiable, documented history of speeding problems","53.454147","-113.564903","
,  
(53.454147, -113.564903)","POINT (-113.564903 53.454147)"
