"name","field_number","length","width","latitude","longitude","location"
"Abbottsfield",,"190",,"53.57411812872388","-113.39145612649274","
,  
(53.57411812872388, -113.39145612649274)"
"Abbottsfield",,"275",,"53.57486023016607","-113.3903132986366","
,  
(53.57486023016607, -113.3903132986366)"
"A. Blair McPherson",,"250",,"53.46875276643248","-113.35890763034827","
,  
(53.46875276643248, -113.35890763034827)"
"Afton",,"205",,"53.527599611599015","-113.60844841787475","
,  
(53.527599611599015, -113.60844841787475)"
"Airway Park",,"320",,"53.561933246170604","-113.51290172384022","
,  
(53.561933246170604, -113.51290172384022)"
"Airway Park",,"260",,"53.56199659318229","-113.51430047035028","
,  
(53.56199659318229, -113.51430047035028)"
"Airway Park",,"255",,"53.56121099807229","-113.51428947707956","
,  
(53.56121099807229, -113.51428947707956)"
"Airway Park",,"275",,"53.56300696638886","-113.51549193793514","
,  
(53.56300696638886, -113.51549193793514)"
"Aldergrove",,"275",,"53.52115423748762","-113.63515204102102","
,  
(53.52115423748762, -113.63515204102102)"
"Alex Taylor",,"135",,"53.546102483199945","-113.47729532402421","
,  
(53.546102483199945, -113.47729532402421)"
"Allard Park",,"270",,"53.398392089934305","-113.53422652105994","
,  
(53.398392089934305, -113.53422652105994)"
"Allendale",,"220",,"53.50236400977437","-113.50302099735099","
,  
(53.50236400977437, -113.50302099735099)"
"Allin Pk",,"180",,"53.53281700343395","-113.5968167135607","
,  
(53.53281700343395, -113.5968167135607)"
"Allin Pk",,"175",,"53.532808586745006","-113.59516673551317","
,  
(53.532808586745006, -113.59516673551317)"
"Anne Fitzgerald",,"150",,"53.59426489273074","-113.38129448536894","
,  
(53.59426489273074, -113.38129448536894)"
"Anne Fitzgerald",,"120",,"53.59484103067589","-113.38109614807031","
,  
(53.59484103067589, -113.38109614807031)"
"Archbishop Joseph MacNeil",,"175",,"53.46069731259189","-113.57865954469129","
,  
(53.46069731259189, -113.57865954469129)"
"Archbishop Joseph MacNeil",,"175",,"53.461123066233576","-113.57837220847031","
,  
(53.461123066233576, -113.57837220847031)"
"Archbishop O'Leary",,"180",,"53.594241937482586","-113.47194992256489","
,  
(53.594241937482586, -113.47194992256489)"
"Archbishop O'Leary",,"205",,"53.59459232896633","-113.47489957676015","
,  
(53.59459232896633, -113.47489957676015)"
"Argyll",,"170",,"53.505855632933184","-113.46155681941836","
,  
(53.505855632933184, -113.46155681941836)"
"Argyll Park",,"250",,"53.505014951481186","-113.465144936561","
,  
(53.505014951481186, -113.465144936561)"
"Argyll Park",,"375",,"53.50432163048148","-113.46629122517604","
,  
(53.50432163048148, -113.46629122517604)"
"Argyll Park",,"330",,"53.50580466590794","-113.46629656718068","
,  
(53.50580466590794, -113.46629656718068)"
"Argyll Park",,"295",,"53.50541413419649","-113.4650210989004","
,  
(53.50541413419649, -113.4650210989004)"
"Argyll Park",,"290",,"53.50499956108908","-113.46736248990476","
,  
(53.50499956108908, -113.46736248990476)"
"Athlone",,"270",,"53.58818126099148","-113.54579099048019","
,  
(53.58818126099148, -113.54579099048019)"
"Avalon",,"250",,"53.49298730442217","-113.52288345465979","
,  
(53.49298730442217, -113.52288345465979)"
"Balwin",,"140",,"53.58800843636466","-113.45803841955485","
,  
(53.58800843636466, -113.45803841955485)"
"Balwin",,"275",,"53.59101164819076","-113.45038545436437","
,  
(53.59101164819076, -113.45038545436437)"
"Bannerman",,"215",,"53.60376412459798","-113.38049130876873","
,  
(53.60376412459798, -113.38049130876873)"
"Bannerman",,"175",,"53.605565740454914","-113.38037579350535","
,  
(53.605565740454914, -113.38037579350535)"
"Baturyn",,"275",,"53.63175452990728","-113.50693833794539","
,  
(53.63175452990728, -113.50693833794539)"
"Beacon Heights",,"200",,"53.575820794138366","-113.41254271414428","
,  
(53.575820794138366, -113.41254271414428)"
"Bearspaw",,"130",,"53.44370792980788","-113.50085894870445","
,  
(53.44370792980788, -113.50085894870445)"
"Bearspaw",,"180",,"53.4433487429277","-113.5006621386232","
,  
(53.4433487429277, -113.5006621386232)"
"Beaumaris",,"275",,"53.617997446394284","-113.49901948441538","
,  
(53.617997446394284, -113.49901948441538)"
"Belgravia",,"240",,"53.51008563985288","-113.53349580202931","
,  
(53.51008563985288, -113.53349580202931)"
"Belmead",,"60",,"53.525947597171054","-113.63737447780227","
,  
(53.525947597171054, -113.63737447780227)"
"Belmead",,"190",,"53.52667797639299","-113.6366835245257","
,  
(53.52667797639299, -113.6366835245257)"
"Belmont",,"320",,"53.59474773533781","-113.39539699427621","
,  
(53.59474773533781, -113.39539699427621)"
"Belvedere",,"200",,"53.59528206736511","-113.43489483464657","
,  
(53.59528206736511, -113.43489483464657)"
"Bessie Nichols",,"275",,"53.48657347835308","-113.66941996394694","
,  
(53.48657347835308, -113.66941996394694)"
"Bishop Greschuk",,"225",,"53.63623987525912","-113.48109327441844","
,  
(53.63623987525912, -113.48109327441844)"
"Bishop Savaryn",,"300",,"53.62275381270584","-113.50635260221647","
,  
(53.62275381270584, -113.50635260221647)"
"Bishop Savaryn",,"195",,"53.62294301558729","-113.50715935965123","
,  
(53.62294301558729, -113.50715935965123)"
"Bishop Savaryn",,"285",,"53.623647046810085","-113.5060200119333","
,  
(53.623647046810085, -113.5060200119333)"
"Bisset",,"215",,"53.46086956000245","-113.40090159206665","
,  
(53.46086956000245, -113.40090159206665)"
"Blackmud Creek Park 1",,"235",,"53.419184553862955","-113.51588914472164","
,  
(53.419184553862955, -113.51588914472164)"
