"site_id","site_name","address_es","city","zip","certification_date","acreage","notes"
"DE-1421","Former Pack and Processing Facility","1101 East 8th Street","Wilmington","19801","2008-05-30T00:00:00.000","3.39",
"DE-1442","B Street Pack & Processing Property","600/610 and 620 Bradford Street, 410 C Street, 1400 B Street","Wilmington","19801","2008-07-18T00:00:00.000","2.83",
"DE-1444","605 Vandever Avenue Property","605 Vandever Avenue","Wilmington","19801","2008-07-30T00:00:00.000","0.52",
"DE-1445","Sears Distribution Center","200 Sears Boulevard","Newport","19804","2008-08-21T00:00:00.000","12.50",
"DE-1446","829 N. Church Street","829 N. Church Street","Wilmington","19801","2008-08-21T00:00:00.000","0.04",
"DE-1304","Wilmington Piece Dye","0 Riddle Lane/38 Bancroft Mills Road","Wilmington","19806","2008-08-21T00:00:00.000","21.73",
"DE-0281","Diamond State Salvage","1300 North Pine Street, 1300 North Spruce Street and 702 East 14th Street","Wilmington","19801","2008-09-19T00:00:00.000","4.25",
"DE-1153","Curtis Paper Company","925 Paper Mill Road","Newark","19711","2008-09-19T00:00:00.000","7.32",
"DE-1417","Former Wilson Baker Bulk Plant Property","25056 Shorty Road","Georgetown","19947","2008-09-19T00:00:00.000","0.33",
"DE 1415","900 South Madison Street Facility","760 Justison Street","Wilmington","19801","2008-10-23T00:00:00.000","1.83",
"DE-1449","2440 Red Lion Road Property","2440 Red Lion Road","Kirkwood","19708","2008-11-07T00:00:00.000","0.47",
"DE-1450","A and Townsend Street Property","1017, 1019 and 1021 A Street, 333, 335 and 337 Townsend Street","Wilmington","19802","2008-11-07T00:00:00.000","0.19",
"DE-1452","Ministry Row Property","625. E. 10th Street","Wilmington","19801","2008-11-07T00:00:00.000","0.33",
"DE-1173","Former Domino Auto Salvage Property","810 S. Walnut Street","Wilmington","19801","2008-11-07T00:00:00.000","1.60",
"DE-1453","222 Maryland Avenue","222 Maryland Avenue","Wilmington","19801","2008-11-07T00:00:00.000","0.05",
"DE-1451","680 Forest Street Property","680 Forrest Street Property","Dover","19904","2008-11-07T00:00:00.000","0.99",
"DE-1455","4001 New Castle Avenue (a/k/a Dixon Auto)","4001 New Castle Avenue","New Castle","19720","2008-11-24T00:00:00.000","0.60",
"DE-1458","900 S.  Franklin Street Property","900 S. Franklin Street","Wilmington",,"2008-12-08T00:00:00.000","0.58",
"DE-1460","Milton Rails-to-Trails Property","Chestnut Street to Lavinia Street, (Railroad Segment)","Milton","19968","2009-01-15T00:00:00.000","3.00",
"DE-0149","Former Jackson Pit Property","19000 Block of Beaver Dam Road","Lewes","19958","2009-01-29T00:00:00.000","18.33",
"DE-1462","Consolidated Fabrication Site","900/901 Green Street, 1216 D Street and 700 South Heald Street","Wilmington","19801","2009-02-12T00:00:00.000","0.11",
"DE-0326","512 South Claymont Property","512 South Claymont Street","Wilmington","19801","2009-02-25T00:00:00.000","0.19",
"DE-1464","Former Classic Image Site","112 West Market Street","Newport","19804","2009-03-20T00:00:00.000","0.29",
"DE-1465","925 North Church Street Property","925 North Church Street","Wilmington","19801","2009-03-20T00:00:00.000","0.18",
"DE-1466","Garrett House-609 Washington Street","609 Washington Street","Wilmington","19801","2009-04-08T00:00:00.000","0.23",
"DE-1472","Former Thompson Gas Station Property","NW Corner of Central Avenue and Front Street","Laurel","19956","2009-06-22T00:00:00.000","0.20",
"DE-1175","Merkin Auto Site","501 Garasches Lane","Wilmington","19801","2009-06-22T00:00:00.000","6.06",
"DE-1474","Seeds of Greatness Church Site","610 West Seventh Street","New Castle","19720","2009-07-10T00:00:00.000","15.99",
"DE-0105","Former Chrysler Newark Plant Site","550 S. College Avenue","Newark","19711","2009-09-10T00:00:00.000","271.00",
"DE-1481","Kempf Storage Site","1101 East 7th Street and 1220 East 8th Street","Wilmington","19801","2009-10-05T00:00:00.000","3.72",
"DE-1131","Former American Scrap & Waste Site","20 Commerce Street","Wilmington","19801","2009-10-29T00:00:00.000","1.63",
"DE-1482","Former Foulk Road Getty Site","1712 Foulk Road","Wilmington","19803","2009-12-02T00:00:00.000","0.67",
"DE-1483","Middletown Manor Site","0 and 17 Wood Street","Middletown","19709","2009-12-21T00:00:00.000","1.40",
"DE-1484","DMA Expansion Site","0, 118 and 116 Middleboro Road","Wilmington","19804","2009-12-21T00:00:00.000","10.87",
"DE-1263","Purina Tower A Property","3400 Edgemoor Avenue and 3410 Bellevue Avenue","Wilmington",,"2010-01-22T00:00:00.000","6.93","Updated April 1, 2010"
"DE-1486","Syntech OU-1 Site","785 Dawson Drive","Newark",,"2010-02-19T00:00:00.000","3.50",
"DE-1149","General Motors Corp-Wilmington Assembly Plant Site","801 Boxwood Road and Terry Place","Wilmington","19805","2010-03-11T00:00:00.000","141.68","Also known as Fisker Automotive"
"DE-1487","Braun Property Site","West Water Street and S. Governor’s Avenue","Dover","19901","2010-04-15T00:00:00.000","0.49",
"DE-1448","Former Straight Line Filters Site","701 Christiana Avenue","Wilmington","19801","2010-05-26T00:00:00.000","1.91",
"DE-1491","Former Pep-Up Site","310 N. Race Street","Dover","19901","2010-07-12T00:00:00.000","1.00",
"DE-1490","Bast Parking Lot Site","Corner of New Street and N. Race Street","Georgetown","19947","2010-07-12T00:00:00.000","2.00",
"DE-0167","New Castle Gas Company Site","508 South Street and 0 West 7th Street","New Castle","19720","2010-07-16T00:00:00.000","21.00",
"DE-1493","Harry Wood Landfill (OU-1) Site","82 Frenchtown Road","New Castle","19720","2010-07-28T00:00:00.000","16.91",
"DE- 1123","560 Terminal Avenue Site","560 Terminal Avenue","Wilmington","19720","2010-08-13T00:00:00.000","7.11",
"DE- 1494","Dukes Boat Yard Site","34836 (22) Long Neck Road","Millsboro","19966","2010-09-10T00:00:00.000","6.60",
"DE- 1495","Former Kirkwood Highway Gulf Station Site","4601 Kirkwood Highway","Wilmington","19808","2010-09-10T00:00:00.000","1.02",
"DE- 1496","M&N Property Site","209 and 405 South DuPont Road","Wilmington","19807","2010-10-19T00:00:00.000","1.25",
"DE- 1497","Former James Julian Construction Site","209 and 405 South DuPont Road","Wilmington","19807","2010-10-19T00:00:00.000","6.32",
"DE- 1498","Riverside Redevelopment Property Site","2300 Bowers Street","Wilmington","19807","2010-11-18T00:00:00.000","12.10",
"DE- 1377","Justison Landing Property","401 S. Madison Street","Wilmington",,"2010-12-13T00:00:00.000","5.96",
"DE- 1421","Pack and Process Site**","1113 East 7th Street","Wilmington",,"2010-12-14T00:00:00.000","3.39",
"DE- 1500","South Wilmington Storm Water Pilot Area","0 Walnut Street","Wilmington","19801","2010-12-15T00:00:00.000","2.76",
"DE- 1358","Former R&S Strauss Site","300 South Market Street","Wilmington","19801","2010-12-23T00:00:00.000","0.52",
"DE- 1502","733 South  Market Street Site","733 South Market Street","Wilmington","19801","2011-02-09T00:00:00.000","0.95",
"DE- 1503","Former Defiance Athletic Club Site","1007 Coleman Street-4707","Wilmington","19805","2011-03-11T00:00:00.000","0.16",
"DE- 1504","Delta Outreach Center Site","330 East 30th Street","Wilmington","19801","2011-03-11T00:00:00.000","1.62",
"DE- 1505","901 East 17th Street Site","901 East 17th Street","Wilmington","19801","2011-03-11T00:00:00.000","0.03",
"DE- 1507","Former Insteel Wire Site","700 New Castle Avenue","Wilmington","19801","2011-05-03T00:00:00.000","33.09",
"DE- 1510","Former S. DuPont Shell Station Site","178 South DuPont Highway","Wilmington","19720","2011-06-17T00:00:00.000","1.34",
"DE- 1511","Franklin Fiber Parking Site","909 East 14th Street","Wilmington","19801","2011-06-22T00:00:00.000","0.05",
"DE- 1512","Former Permaflex Rollers Site","375 Bellevue Road","Newark","19711","2011-07-05T00:00:00.000","1.66",
"DE- 1514","Former Commons Boulevard Sunoco Site","7 East Commons Boulevard","New Castle","19720","2011-07-05T00:00:00.000","2.57",
"DE- 0280","Former Diamond State Recycling Center Site","1600 Bowers Street","Wilmington","19801","2011-10-04T00:00:00.000","8.00",
"DE-1517","Former Milton Riverfront Site","117 Front Street","Milton","19968","2011-11-30T00:00:00.000","1.47",
"DE-1518","Riverfront Hotel Site","815 Justison Street","Wilmington","19801","2012-01-17T00:00:00.000","0.75",
"DE-1520","Former Chestnut Hill Exxon Site","366 East Chestnut Hill Road","Newark","19713","2012-02-14T00:00:00.000","0.82",
"DE-0355","St. Patrick’s House Site","1419 North French Street","Wilmington","19801","2012-04-12T00:00:00.000","0.14",
"DE-1523","Former Delmarva Rural Ministries Site","26 Wyoming Avenue","Dover","19904","2012-04-23T00:00:00.000","0.46",
"DE-1524","Former Crowell Corp. Site","1 Crowell Road","Newport","19804","2012-04-03T00:00:00.000","5.34",
"DE-1526","Berry Plastics Site","299 Clukey Drive","Harrington","19952","2012-05-30T00:00:00.000","43.50",
"DE-1527","Thompson Property Site","Freeman Highway and Monroe Avenue","Lewes","19958","2012-07-27T00:00:00.000","5.95",
"DE-1528","2110 Northeast Blvd. Site","2110 Northeast Boulevard","Wilmington","19801","2012-07-27T00:00:00.000","0.22",
"DE-1513","Former Wings To Go Site","1804 West 6th Street and 525 North Scott Street","Wilmington","19805","2012-10-23T00:00:00.000","0.21",
"DE-1530","501 A Street Site","501 A Street","Wilmington","19801","2012-10-23T00:00:00.000","1.02",
"DE-1533","Conaway Miller Site","Water Street & South Front Street","Seaford","19973","2012-10-23T00:00:00.000","2.45",
"DE-0359","333 South Governors Avenue Site","333 South Governors Avenue","Dover","19901","2012-10-23T00:00:00.000","0.19",
"DE-1535","217 New Road Site","217 New Road","Wilmington","19808","2012-12-06T00:00:00.000","0.42",
"DE-1536","Mighty Muffler Site","301 Philadelphia Pike","Wilmington","19809","2012-12-06T00:00:00.000","0.27",
"DE-1537","Former SMO Gas Station Site","701 Ogletown Road","Newark","19711","2012-12-17T00:00:00.000","0.63",
"DE-1538","22 A East 23rd Street Site","22 A East 23rd Street","Wilmington","19801","2013-02-14T00:00:00.000","0.12",
"DE-1539","600 North DuPont Highway Site","600 North DuPont Highway Site",,,"2013-02-14T00:00:00.000","0.20",
"DE-1534","Habitat for Humanity 14th and Walnut Street Site","East 14th and Walnut Streets","Wilmington","19801","2013-02-14T00:00:00.000","0.55",
"DE-1543","2207 Mitch Road Site","2207 Mitch Road","Wilmington","19804","2013-03-01T00:00:00.000","0.59",
"DE-1540","1320 Clifford Brown Walk","1320 Clifford Brown Walk","Wilmington",,"2013-03-04T00:00:00.000","2.04",
"DE-1544","511 Concord Avenue Site","511 Concord Avenue","Wilmington","19805","2013-04-01T00:00:00.000","2.04",
"DE-1542","Franklin Fibre Expansion Site","1317 Northeast Boulevard","Wilmington","19802","2013-04-23T00:00:00.000","1.15",
"DE-1547","Davidson Lane Site","O Lambson Lane","New Castle","19720","2013-05-07T00:00:00.000","71.51",
"DE-1550","Tieman Property","1965 DuPont Highway","Dover","19901","2013-06-04T00:00:00.000","0.95",
"DE-1552","Former Playtex Property","519 Division Street","Dover","19910","2013-06-07T00:00:00.000","9.29",
"DE-1553","218 Maryland Avenue","218 Maryland Avenue","Wilmington","19801","2013-06-07T00:00:00.000","0.08","Revoked 3/1/2018"
"DE-1555","29984 Pinnacle Way","29984 Pinnacle Way","Dagsboro","19939","2013-07-11T00:00:00.000","107.00",
"DE-1557","Former Modern Equipment Rental Site","22 and 24 Brookside Drive","Wilmington","19804","2013-08-23T00:00:00.000","2.34",
"DE-1558","721 Terminal Avenue Site","721 Terminal Avenue","Wilmington","19801","2013-09-12T00:00:00.000","2.10",
"DE-1562","Former Oceanic Gas Station","2801 Concord Pike","Wilmington","19803","2013-11-18T00:00:00.000","0.35",
"DE-1563","Kaiser Yacht Property","1122 E. Seventh Street and 0 SS E. Seventh Street","Wilmington","19801","2013-11-26T00:00:00.000","1.09",
"DE-1565","First State Military Academy Site","355 West Duck Creek Road","Clayton","19938","2014-01-08T00:00:00.000","35.65",
"DE-0107","Hudson Pit Site","NS Route 1 and Tulip Drive","Lewes",,"2014-01-28T00:00:00.000","36.48",
"DE-1568","3006 Lancaster Avenue Site","3006 Lancaster Avenue","Wilmington","19805","2014-03-13T00:00:00.000","0.26",
"DE-1569","3203 Miller Road Site","3203 Miller Road","Wilmington","19802","2014-03-13T00:00:00.000","0.36",
"DE-1570","Former Air Products Site","755 Governor Lea Boulevard","Delaware City","19706","2014-03-13T00:00:00.000","15.62",
"DE-1572","800 Foulk Road Site","800 Foulk Road","Wilmington","19803","2014-03-14T00:00:00.000","0.44",
"DE-1574","427 West 7th Street-New Castle","427 West 7th Street","New Castle","19720","2014-03-28T00:00:00.000","4.30",
"DE-1575","Latin American Community Center Community Gardens","1121 and 1123 West 4th Street","Wilmington","19805","2014-04-03T00:00:00.000","0.06",
"DE-1576","Former Able Machine Company Site","21-23 Brookside Drive","Wilmington","19801","2014-04-03T00:00:00.000","0.28",
"DE-1577","3022-3028 New Castle Avenue, New Castle Site","3022-3028 New Castle Avenue","New Castle","19720","2014-04-22T00:00:00.000","12.89",
"DE-1578","Former Mike’s Mini Mart Site","1454 Frederica Road","Frederica",,"2014-04-30T00:00:00.000","0.30",
"DE-1579","Former Take A Break Site","401-415 7th Avenue and 413-423 8th Streets","Wilmington","19801","2014-05-02T00:00:00.000","1.39",
"DE-1580","307 Ridge Road Site","307 Ridge Road","Claymont","19703","2014-05-02T00:00:00.000","0.40",
"DE-1582","110 Water Street Site","110 Water Street","Newport","19804","2014-05-09T00:00:00.000","0.26",
"DE-1047","Pee Wee’s Truck Stop Site","5321 N. DuPont Highway","Cheswold","19904","2014-06-02T00:00:00.000","1.70",
"DE-1583","Former Super Soda Center Milford II Site","320 N.E. Front Street","Milford","19963","2014-07-11T00:00:00.000","0.39",
"DE-1584","2712-2714 Kirkwood Highway Site","2712-2714 Kirkwood Highway","Elsmere","19805","2014-07-11T00:00:00.000","0.18",
"DE-1585","Former Super Soda Center-Harrington Site","7184 Milford Harrington Highway","Milford","19952","2014-08-20T00:00:00.000","0.65",
"DE-1586","Former FAS Mart #259 Site","501-503 East Market Street","Georgetown","19947","2014-09-02T00:00:00.000","0.95",
"DE-1587","18904-18920 Coastal Highway Site","18904-18920 Coastal Highway","Rehoboth Beach",,"2014-09-02T00:00:00.000","1.60",
"DE-1589","810 Justison Street Site","810 Justison Street Site","Wilmington","19801","2014-09-18T00:00:00.000","1.96",
"DE-1592","Former BP Truck Maintenance Facility Site","945 River Road","New Castle","19720","2014-10-03T00:00:00.000","3.17",
"DE-1593","Former Eastern Auto Body Site","1 Brookside Drive","Wilmington","19804","2014-10-24T00:00:00.000","0.20",
"DE-1595","Former Avon Products Site","2100 Ogletown Road","Newark","19701","2014-11-13T00:00:00.000","45.51",
"DE-1596","Former Penny Hill Mobile Site","2509 Philadelphia Pike","Claymont","19703","2014-11-19T00:00:00.000","0.35",
"DE-1597","Former Free-Flow Packaging Site","111 Alan Drive","Newark","19711","2015-01-09T00:00:00.000","2.92",
"DE-1598","Former 200 Churchmans Road Exxon Station Site","200 Churchmans Road","Newark","19711","2015-01-08T00:00:00.000","0.84",
"DE-1599","Former Communications Printers Site","2840-2850 Ogletown Road","Newark","19711","2015-01-07T00:00:00.000","0.88",
"DE-0127","Ennis Dump Site","First Avenue","Smyrna","19977","2015-01-16T00:00:00.000","22.50",
"DE-1601","20618 North DuPont Blvd. Georgetown Site","20618 North DuPont Boulevard","Georgetown","19947","2015-02-25T00:00:00.000","11.37",
"DE-1268","Amer Industrial Technologies Site","100 Amer Road","Wilmington","19801","2015-02-25T00:00:00.000","25.38",
"DE-1603","2004 & 2008 Shipley Road","2004 & 2008 Shipley Road","Wilmington","19803","2015-04-09T00:00:00.000","8.41",
"DE-1602","Cathedral of St. John Church Wilmington, DE","2020 North Tatnall Street and 1 Concord Ave.","Wilmington","19801","2015-04-10T00:00:00.000","2.50",
"DE-1605","Liquid Alchemy Site","28 Brookside Drive","Wilmington","19804","2015-05-07T00:00:00.000","0.46",
"DE-1606","726 A Street Site","726 A Street","Wilmington","19801","2015-05-15T00:00:00.000","0.47",
"DE-0190","Lewes Coal Gas Site","Kings Highway","Lewes","19958","2015-06-26T00:00:00.000","1.10",
"DE-1611","VEI Dover Crossroads Site","747 North DuPont Highway","Dover",,"2015-06-26T00:00:00.000","25.00",
"DE-1610","Former McGrellis Auction House Site","713,721 and 729 Valley Road","Hockessin","19707","2015-07-02T00:00:00.000","27.19",
"DE-1612","Wilmington University-Brandywine Campus Site","5014 Concord Pike","Wilmington",,"2015-07-08T00:00:00.000","1.16",
"DE-1172","Former A-1 Auto Parts Site","410 Garasches Lane","Wilmington",,"2015-07-14T00:00:00.000","2.10",
"DE-1613","Former Morheat Coal and Fuel Company Site","723 New Castle Avenue, 801 South Clayton Street, and 1000-1001 Green Street","Wilmington","19801","2015-07-17T00:00:00.000","2.95",
"DE-1614","0 South Chapel Street Site","0 South Chapel Street","Newark","19711","2015-07-22T00:00:00.000","0.89",
"DE-1615","Former Delmar News Site","809 Taylor Street","Wilmington","19801","2015-07-22T00:00:00.000","0.22",
"DE-1617","Former Dover Products Site","5200 West Dennys Road","Dover","19901","2015-08-27T00:00:00.000","14.70",
"DE-1619","Former Greenwood Service Station Site","Route 13 and Hickory Lane","Greenwood","19950","2015-09-16T00:00:00.000","4.65",
"DE-0245","Reichhold Chemical Site","144 Fork Branch Road","Dover","19901","2015-09-16T00:00:00.000","110.00",
"DE-1620","Boyds Corner Property Site","451 Boyds Corner Road","Middletown","19804","2015-09-16T00:00:00.000","4.80",
"DE-1621","1215 Philadelphia Pike Site","1215 Philadelphia Pike","Wilmington","19809","2015-10-14T00:00:00.000","0.86",
"DE-1622","Former Philadelphia Pike Texaco Site","801 Philadelphia Pike","Wilmington","19809","2015-10-14T00:00:00.000","0.39",
"DE-1031","Seaford Power Plant Site","200 South Pine Street","Seaford","19973","2015-10-23T00:00:00.000","1.86",
"DE-1623","Bowen Tract Site","838 Yorklyn Road","Hockessin","19707","2015-11-02T00:00:00.000","16.99",
"DE-1624","459 Old Airport Road Site","459 Old Airport Road","New Castle","19720","2015-11-05T00:00:00.000","0.96",
"DE-1625","Laurel Grain 2 Site","33222 Bi-State Boulevard","Laurel","19956","2015-11-20T00:00:00.000","17.84",
"DE-1626","510 A Street Site","510 A Street","Wilmington","19801","2015-11-30T00:00:00.000","0.95",
"DE-1627","4928 and 4929 N. DuPont Highway Salvage Yard Site","4928 and 4929 N. DuPont Highway","Dover","19901","2015-11-30T00:00:00.000","2.85",
"DE-1628","0 Red Lion Road Site","0 Red Lion Road","New Castle","19720","2015-11-30T00:00:00.000","127.63",
"DE-1180","American Tank Trailer Cleaning Site","535 South Market Street","Wilmington","19801","2016-01-29T00:00:00.000","5.18",
"DE-1632","735 B South Market Street","735 B South Market Street","Wilmington","19801","2016-02-19T00:00:00.000","2.11",
"DE-1573","Oyster House Village Site","37686 Oyster House Road","Rehoboth Beach","19971","2016-04-08T00:00:00.000","4.20",
"DE-0323","201 Gold Property Site","201 Vandever Avenue","Wilmington","19801","2016-05-17T00:00:00.000","0.71",
"DE-1556","1001 Garasches Lane Site","1001 Garasches Lane","Wilmington","19801","2016-07-13T00:00:00.000","2.49",
"DE-1634","Former Mil-Del Site","700 and 718 McColley Street","Milford","19963","2016-07-14T00:00:00.000","3.97",
"DE-1636","2-4 East 7th Street Site","2-4 East 7th Street","Wilmington","19801","2016-08-29T00:00:00.000","0.43",
"DE-1637","200 West 9th Street Site","200 West 9th Street","Wilmington","19801","2016-08-29T00:00:00.000","0.18",
"DE-1178","Former Shusters Auto Salvage Site","601 and 603 South Market Street","Wilmington","19801","2016-09-29T00:00:00.000","5.89",
"DE-1638","Uniqema/Cherry Utility Corridor Site","900 Uniqema Boulevard","New Castle","19720","2016-10-06T00:00:00.000","2.06",
"DE-0207","Thoro-Kleen, Inc. Site","11 Railroad Avenue","Georgetown","19947","2016-11-02T00:00:00.000","0.25",
"DE-1642","1001 North Spruce Street Site","1001 North Spruce Street","Wilmington","19801","2017-01-25T00:00:00.000","0.02",
"DE-1200","Former Holly Oak Substation Site","7001 Governor Printz Boulevard","Claymont","19703","2017-01-27T00:00:00.000","0.38",
"DE-1643","Lidl Grocery Store Site","122 North DuPont Highway","Dover","19901","2017-01-30T00:00:00.000","7.23",
"DE-1644","First State Crossing Site","4001 Philadelphia Pike","Claymont","19703","2017-02-01T00:00:00.000","4.78",
"DE-1640","PB Wilmington RF 228 Site","516 and 518 A Street","Wilmington","19801","2017-02-23T00:00:00.000","0.77",
"DE-0043","Metal Masters Site","655 and 664 West Glenwood Avenue","Smyrna","19977","2017-02-23T00:00:00.000","11.14",
"DE-1340","700 A Street Site","700 A Street","Wilmington","19801","2017-03-03T00:00:00.000","2.95",
