"award_number","rebate_amount","city","state","county","zip","age","gender","date_of_purchase","dealership","vehicle_type","make","model","year","lease","gasoline_emissions","alt_fuel_emissions","emissions_avoided"
"BEV0518130","3500","Bear","DE","New Castle","19701","52","F","2018-05-07T00:00:00.000","Diver Chevrolet","Electric","Chevrolet","Bolt","2018","No","11435","5645","5790"
"BEV0618131","1000","Wilmington","DE","New Castle","19810","72","F","2018-05-15T00:00:00.000","Tesla Motors","Electric","Tesla","Model S","2018","No","11435","5645","5790"
"BEV0618132","3500","Lewes","DE","Sussex","19958","67","M","2018-05-26T00:00:00.000","Tesla Motors","Electric","Tesla","Model 3","2018","No","11435","5645","5790"
"BEV0618133","3500","Newark","DE","New Castle","19702","63","F","2018-05-21T00:00:00.000","Tesla Motors","Electric","Tesla","Model 3","2018","No","11435","5645","5790"
"BEV0618134","3500","Wilmington","DE","New Castle","19973","77","F","2018-02-14T00:00:00.000","Tesla Motors","Electric","Tesla","Model 3","2018","No","11435","5645","5790"
"BEV0618135","1000","Fenwick Island","DE","Sussex","19944",,,"2017-06-27T00:00:00.000","Tesla Motors","Electric","Tesla","Model X","2017","No","11435","5645","5790"
"BEV0618136","1000","Lewes","DE","Sussex","19971",,,"2018-03-03T00:00:00.000","Tesla Motors","Electric","Tesla","Model S","2018","No","11435","5645","5790"
"BEV0618137","3500","Wilmington","DE","New Castle","19806","43","M","2018-05-28T00:00:00.000","Nissan Leaf","Electric","Nissan","Leaf","2018","No","11435","5645","5790"
"BEV0618138","1000","Middletown","DE","New Castle","19709",,,"2018-03-17T00:00:00.000","Tesla Motors","Electric","Tesla","Model X","2018","No","11435","5645","5790"
"BEV0618139","3500","Dover","DE","Kent","19904","73","F","2018-05-01T00:00:00.000","Tesla Motors","Electric","Tesla","Model 3","2018","No","11435","5645","5790"
"BEV0618140","1000","Lewes","DE","Sussex","19958","34","F","2018-03-22T00:00:00.000","Tesla Motors","Electric","Tesla","Model X","2018","No","11435","5645","5790"
"BEV0618141","3500","Hockessin","DE","New Castle","19707","65","M","2018-05-21T00:00:00.000","Diver Chevrolet","Electric","Chevrolet","Bolt","2018","Yes","11435","5645","5790"
"BEV0618142","3500","Rehoboth Beach","DE","Sussex","19971","56","M","2018-05-28T00:00:00.000","Diver Chevrolet","Electric","Chevrolet","Bolt","2018","No","11435","5645","5790"
"BEV0618143","1000","Camden Wyoming","DE","Kent","19934","49","F","2017-12-15T00:00:00.000","Tesla Motors","Electric","Tesla","Model X","2017","No","11435","5645","5790"
"BEV0618144","3500","Middletown","DE","New Castle","19709","48","M","2018-06-08T00:00:00.000","Tesla Motors","Electric","Tesla","Model 3","2018","No","11435","5645","5790"
"BEV0618145","3500","Townsend","DE","New Castle","19734","41","M","2018-05-23T00:00:00.000","Sheridan Nissan","Electric","Nissan","Leaf","2018","No","11435","5645","5790"
"BEV0618146","3500","Wilmington","DE","New Castle","19808","53","M","2018-06-02T00:00:00.000","Tesla Motors","Electric","Tesla","Model 3","2018","No","11435","5645","5790"
"BEV0618147","3500","Newark","DE","New Castle","19711","28","M","2018-05-17T00:00:00.000","Tesla Motors","Electric","Tesla","Model 3","2018","No","11435","5645","5790"
"BEV0618148","3500","Wilmington","DE","New Castle","19810","56","M","2018-06-16T00:00:00.000","Diver Chevrolet","Electric","Chevrolet","Bolt","2018","No","11435","5645","5790"
"BEV0618149","3500","Lewes","DE","Sussex","19958","69","M","2018-06-05T00:00:00.000","Tesla Motors","Electric","Tesla","Model 3","2018","No","11435","5645","5790"
"BEV0618150","3500","Middletown","DE","New Castle","19709","61","M","2018-06-15T00:00:00.000","Diver Chevrolet","Electric","Chevrolet","Bolt","2018","No","11435","5645","5790"
"BEV0618151","1000","Bear","DE","New Castle","19701","33","F","2018-06-22T00:00:00.000","Tesla Motors","Electric","Tesla","Model X","2018","No","11435","5645","5790"
"BEV0718152","3500","Lewes","DE","Sussex","19958","61","F","2018-06-22T00:00:00.000","Tesla Motors","Electric","Tesla","Model 3","2018","No","11435","5645","5790"
"BEV0718153","3500","Lewes","DE","Sussex","19958","34","F","2018-06-26T00:00:00.000","I.G. Burton Lewes Automall","Electric","Chevrolet","Bolt","2017","No","11435","5645","5790"
"BEV0718154","3500","Newark","DE","New Castle","19711","55","M","2018-06-29T00:00:00.000","Diver Chevrolet","Electric","Chevrolet","Bolt","2018","No","11435","5645","5790"
"BEV0718155","3500","Newark","DE","New Castle","19711","39","M","2018-06-28T00:00:00.000","Porter Nissan","Electric","Nissan","Leaf","2018","No","11435","5645","5790"
"BEV0718156","3500","Wilmington","DE","New Castle","19802","35","F","2018-06-25T00:00:00.000","Tesla Motors","Electric","Tesla","Model 3","2018","No","11435","5645","5790"
"BEV0718157","3500","Felton","DE","Kent","19943","49","M","2018-02-26T00:00:00.000","Chevrolet of Dover","Electric","Chevrolet","Bolt","2017","No","11435","5645","5790"
"BEV0718158","3500","Middletown","DE","New Castle","19709","36","M","2018-06-28T00:00:00.000","Tesla Motors","Electric","Tesla","Model 3","2018","No","11435","5645","5790"
"BEV0718159","3500","Millville","DE","Sussex","19967","62","F","2018-01-12T00:00:00.000","1st State Chevrolet","Electric","Chevrolet","Bolt","2017","No","11435","5645","5790"
"BEV0718160","1000","Newark","DE","New Castle","19702","49","M","2018-03-29T00:00:00.000","Tesla Motors","Electric","Tesla","Model S","2018","No","11435","5645","5790"
"BEV0718161","3500","Milton","DE","Sussex","19968","42","M","2018-07-14T00:00:00.000","Tesla Motors","Electric","Tesla","Model 3","2018","No","11435","5645","5790"
"BEV0718162","3500","Newark","DE","New Castle","19711","43","M","2018-06-29T00:00:00.000","Tesla Motors","Electric","Tesla","Model 3","2018","No","11435","5645","5790"
"BEV0718163","3500","Newark","DE","New Castle","19711","31","M","2018-07-14T00:00:00.000","Tesla Motors","Electric","Tesla","Model 3","2018","No","11435","5645","5790"
"BEV0718164","3500","New Castle","DE","New Castle","19720","77","M","2018-06-25T00:00:00.000","Hamilton Chevrolet","Electric","Chevrolet","Bolt","2017","No","11435","5645","5790"
"BEV0718165","3500","Wilmington","DE","New Castle","19807","37","M","2018-05-18T00:00:00.000","Tesla Motors","Electric","Tesla","Model 3","2018","No","11435","5645","5790"
"BEV0718166","3500","Hockessin","DE","New Castle","19707","45","M","2018-07-10T00:00:00.000","Tesla Motors","Electric","Tesla","Model 3","2018","No","11435","5645","5790"
"BEV0718167","3500","Wilmington","DE","New Castle","19809","58","M","2018-07-02T00:00:00.000","Tesla Motors","Electric","Tesla","Model 3","2018","No","11435","5645","5790"
"BEV0718168","3500","Lewes","DE","Sussex","19958","49","M","2018-06-23T00:00:00.000","Diver Chevrolet","Electric","Chevrolet","Bolt","2018","No","11435","5645","5790"
"BEV0818169","3500","Milford","DE","Sussex","19963","66","M","2018-07-16T00:00:00.000","Tesla Motors","Electric","Tesla","Model 3","2018","No","11435","5645","5790"
"BEV0818170","3500","New Castle","DE","New Castle","19720","74","M","2018-07-25T00:00:00.000","Tesla Motors","Electric","Tesla","Model 3","2018","No","11435","5645","5790"
"BEV0818171","3500","Wilmington","DE","New Castle","19808","48","M","2018-07-23T00:00:00.000","Tesla Motors","Electric","Tesla","Model 3","2018","No","11435","5645","5790"
"BEV0818172","3500","Wilmington","DE","New Castle","19810","34","M","2018-07-27T00:00:00.000","Tesla Motors","Electric","Tesla","Model 3","2018","No","11435","5645","5790"
"BEV0818173","3500","Newark","DE","New Castle","19711","32","M","2018-07-11T00:00:00.000","Tesla Motors","Electric","Tesla","Model 3","2018","No","11435","5645","5790"
"BEV0818174","3500","Wilmington","DE","New Castle","19803","42","F","2018-06-27T00:00:00.000","Tesla Motors","Electric","Tesla","Model 3","2018","No","11435","5645","5790"
"BEV0818175","3500","Newark","DE","New Castle","19711","62","M","2018-07-03T00:00:00.000","Tesla Motors","Electric","Tesla","Model 3","2018","No","11435","5645","5790"
"BEV0818176","3500","Wilmington","DE","New Castle","19809","38","M","2018-07-26T00:00:00.000","Tesla Motors","Electric","Tesla","Model 3","2018","No","11435","5645","5790"
"BEV0818177","1000","Newark","DE","New Castle","19702","41","F","2018-08-06T00:00:00.000","Tesla Motors","Electric","Tesla","Model X","2018","No","11435","5645","5790"
"BEV0818178","1000","Newark","DE","New Castle","19702","35","M","2018-06-22T00:00:00.000","Tesla Motors","Electric","Tesla","Model X","2018","No","11435","5645","5790"
"BEV0818179","3500","Wilmington","DE","New Castle","19805","67","M","2018-08-01T00:00:00.000","Tesla Motors","Electric","Tesla","Model 3","2018","No","11435","5645","5790"
"BEV0818180","3500","Newark","DE","New Castle","19702","33","M","2018-07-28T00:00:00.000","Tesla Motors","Electric","Tesla","Model 3","2018","No","11435","5645","5790"
"BEV0818181","3500","Middletown","DE","New Castle","19709","38","M","2018-06-30T00:00:00.000","Tesla Motors","Electric","Tesla","Model 3","2018","No","11435","5645","5790"
