"agency","invoice_date","client_reference","program_year","city","county","zip","unit_ownership","housing_unit_type","elderly","children","disabled_occupants","native_american_occupants","other_occupants","total_occupants","primary_heating_fuel","utility","unit_year_built","unit_size","unit_stories","auditor","wx_contractor","hvac_contractor","final_inspector","pre_wx_test_cfm","post_wx_test_cfm","total_cfm_difference","funding_assignment","furnace_replacement","total_invoice_cost","po_amount_wap_base","po_amount_rggi_wap","po_amount_wap_utility","po_amount_liheap","hs_amount_wap_base","hs_amount_rggi_wap","hs_amount_wap_utility","hs_amount_liheap"
"Catholic Charities","2014-10-07T00:00:00.000","S14-186615328","2014","Laurel","Sussex","19956","Own","Mobile Home","1","0","2","0","0","3","Natural Gas",,"1989","924","1","Ed W.","RS Bauer","RS Bauer","Gary H.","2253","1600","653","WAP BASE","N","5088.65","4444.90",,,,,,,
"Catholic Charities","2014-10-07T00:00:00.000","K14-410112690","2014","Harrington","Kent","19952","Rent","Single-Family Detached","0","1","0","0","2","3","Electric",,"2004","1260","1","Ed W.","RS Bauer","RS Bauer","Gary H.","1783","1115","668","WAP BASE","N","3113.37","2495.62",,,,,,,
"Catholic Charities","2014-10-09T00:00:00.000","K14-1090443122","2014","Magnolia","Kent","19962","Own","Mobile Home","2","0","0","0","0","2","Gas",,"2003","2052","1","Gary H.","RS Bauer","RS Bauer","Gary H.","2238","1920","318","RGGI WAP","N","1373.60",,"803.60",,,,"570.00",,
"Catholic Charities","2014-10-15T00:00:00.000","S14-1598130376","2014","Seaford","Sussex","19973","Rent","Mobile Home","0","4","1","0","1","6","Electric",,"2004","1512","1","Gary H.","RS Bauer","RS Bauer","Gary H.","2116","1688","428","WAP BASE","N","6681.78","6215.28",,,,,,,
"Catholic Charities","2014-10-16T00:00:00.000","S14-1472889946","2014","Millsboro","Sussex","19966","Own","Mobile Home","2","0","0","0","0","2","Electric",,"1979","952","1","Gary H.","RS Bauer","RS Bauer","Gary H.","1858","1384","474","WAP BASE","N","4467.45","3944.95",,,,,,,
"Catholic Charities","2014-10-17T00:00:00.000","S14-257742429","2014","Laurel","Sussex","19956","Own","Single-Family Detached","1","1","0","0","1","3","Oil",,"1996","1064","1","Gary H.","RS Bauer","RS Bauer","Gary H.","1275","918","357","WAP BASE","N","4739.00","3701.00",,,,,,,
"Catholic Charities","2014-10-17T00:00:00.000","K14-147584141","2014","Felton","Kent","19943","Own","Mobile Home","1","0","0","0","0","1","Electric",,"1986","924","1","Gary H.","RS Bauer","RS Bauer","Gary H.","2633","1504","1129","WAP BASE","Y","5349.15","4815.15",,,,,,,
"Energy Coordinating Agency","2018-11-14T00:00:00.000","N18-731833489","2018","Newark","New Castle","19702","Own","Single Family Attached","0","3","0","0","3","6","Gas","Delmarva","1955","1785","2","Steve C.","Efficient Home",,"Chuck G.","2389","1986","403","LIHEAP/WAP Utility","N","2889.62",,,,"1962.62",,,"497.00","430.00"
"Catholic Charities","2014-10-27T00:00:00.000","K14-1465949319","2014","Dover","Kent","19904","Own","Mobile Home","0","1","0","0","1","2","Electric",,"1999","924","1","Gary H.","RS Bauer","RS Bauer","Gary H.","2234","1067","1167","WAP BASE","N","6010.95","5233.45",,,,,,,
"Energy Coordinating Agency","2018-11-14T00:00:00.000","N18-307950235","2018","New Castle","New Castle","19720","Own","Single Family Detached","0","0","0","0","1","1","Gas","Delmarva","1956","900","1","Chris R.","Efficient Home",,"Chuck G.","1405","909","496","LIHEAP/WAP Utility","N","4804.39",,,,"3093.39",,,"1011.00","700.00"
