"age_group","count"
"15-19","28"
"20-24","54"
"55-64","1136"
"35-44","211"
"14-Oct","10"
"65-74","1385"
"9-May","7"
"75+","4305"
"4-Jan","12"
"45-54","603"
"<1","68"
"25-34","148"
