"fiscal_year","computers_and_ebooks_000","philosophy_and_psychology_100","world_religions_200","social_sciences_300","language_400","science_500","applied_science_600","arts_700","literature_800","history_and_geography_900"
"2014","143401","60757","56349","174349","34028","145154","302384","174316","2388013","257589"
"2015","161573","58828","52387","165068","30933","137314","278945","160086","2406507","232088"
"2016","196154","56052","48547","160061","29573","125304","273003","156281","3351419","229397"
"2017","196356","54609","47246","156407","26924","114082","250022","144957","2850668","223570"
"2018","381512","61204","51012","185154","33785","135359","269631","157105","4171828","233401"
