"fiscal_year","library","service_type","computers_and_ebooks_000","philosophy_and_psychology_100","world_religions_200","social_sciences_300","language_400","science_500","applied_science_600","arts_700","literature_800","history_and_geography_900"
"2018","APPOQUINIMINK","Circulation","1447","1549","1318","5045","674","5665","7684","3544","141849","8049"
"2018","APPOQUINIMINK","Programs","3","3","0","42","62","17","24","111","88","5"
"2018","APPOQUINIMINK","Reference","10820","116","82","936","328","302","618","902","6704","752"
"2018","BEAR","Circulation","4142","5699","5105","15321","3086","15017","25217","11811","386601","16200"
"2018","BEAR","Programs","249","73","0","131","335","7","223","296","279","38"
"2018","BEAR","Reference","81232","1292","928","6938","1668","4272","4792","2400","29174","4066"
"2018","BRANDYWINE HUNDRED","Circulation","4405","7794","5548","20678","2246","15247","31865","16438","464492","34076"
"2018","BRANDYWINE HUNDRED","Programs","73","24","0","71","142","9","208","333","332","14"
"2018","BRANDYWINE HUNDRED","Reference","27014","336","352","1782","500","1264","2038","1324","18944","2876"
"2018","BRIDGEVILLE","Circulation","188","422","343","757","100","760","1580","713","35407","1437"
"2018","BRIDGEVILLE","Programs","19","31","0","13","91","1","54","45","96","1"
"2018","BRIDGEVILLE","Reference","3792","286","90","194","228","154","258","326","772","246"
"2018","CLAYMONT","Circulation","1168","2377","1408","4438","668","2565","6596","3100","102424","4749"
"2018","CLAYMONT","Programs","54","16","0","85","38","8","68","237","98","9"
"2018","CLAYMONT","Reference","20970","248","356","2034","466","698","1838","1888","12684","1600"
"2018","CORBIT-CALLOWAY","Circulation","138","564","528","1891","149","1972","3069","1266","38069","2310"
"2018","CORBIT-CALLOWAY","Programs","6","4","0","2","26","13","149","20","104","9"
"2018","CORBIT-CALLOWAY","Reference","0","0","0","0","0","0","0","0","0","0"
"2018","DELAWARE CITY","Circulation","121","382","238","626","56","473","1299","643","23830","1005"
"2018","DELAWARE CITY","Programs","6","15","0","19","31","17","23","105","47","11"
"2018","DELAWARE CITY","Reference","0","0","0","0","0","0","0","0","0","0"
"2018","DELMAR","Circulation","81","222","181","559","72","294","1187","660","27976","767"
"2018","DELMAR","Programs","1","0","0","26","5","0","11","40","28","0"
"2018","DELMAR","Reference","2882","198","34","332","68","272","278","774","1410","140"
"2018","DOVER","Circulation","1590","2852","2835","6544","1763","4621","10709","6119","282502","10065"
"2018","DOVER","Programs","94","26","0","608","54","5","523","762","305","26"
"2018","DOVER","Reference","24290","284","310","2692","274","514","1186","1168","8922","1530"
"2018","ELSMERE","Circulation","439","803","745","1883","332","865","3848","1471","59476","2410"
"2018","ELSMERE","Programs","59","0","0","32","27","1","7","166","49","2"
"2018","ELSMERE","Reference","7004","128","166","2634","100","304","454","354","7886","538"
"2018","FRANKFORD","Circulation","41","134","125","516","27","350","602","428","20475","584"
"2018","FRANKFORD","Programs","0","6","0","44","72","0","17","88","91","1"
"2018","FRANKFORD","Reference","612","140","28","322","190","256","136","692","764","58"
"2018","GEORGETOWN","Circulation","124","370","346","846","96","541","1768","1012","33964","1401"
"2018","GEORGETOWN","Programs","0","7","0","230","45","1","140","97","105","2"
"2018","GEORGETOWN","Reference","132","12","6","100","52","112","138","12","82","14"
"2018","GREENWOOD","Circulation","149","334","1096","1135","72","1488","3157","1813","66757","2514"
"2018","GREENWOOD","Programs","9","19","0","39","97","3","37","237","195","2"
"2018","GREENWOOD","Reference","2764","68","38","480","82","472","394","430","2160","404"
"2018","HARRINGTON","Circulation","85","208","256","505","40","256","809","318","24371","546"
"2018","HARRINGTON","Programs","46","0","0","2","0","2","4","35","69","2"
"2018","HARRINGTON","Reference","7540","202","236","286","130","236","716","284","2524","636"
"2018","HOCKESSIN","Circulation","2790","5151","3039","15300","1825","11727","25088","11713","337156","19550"
"2018","HOCKESSIN","Programs","69","1","0","58","173","8","88","171","311","19"
"2018","HOCKESSIN","Reference","14984","412","468","4462","494","3724","2034","1744","21580","2888"
"2018","KENT COUNTY","Circulation","454","946","601","2375","388","2305","4245","3096","111178","4360"
"2018","KENT COUNTY","Programs","39","14","0","69","17","2","65","145","102","4"
"2018","KENT COUNTY","Reference","0","0","0","0","0","0","0","0","0","0"
"2018","KIRKWOOD HWY","Circulation","2663","3607","3320","9493","1698","8450","17981","8248","250444","13559"
"2018","KIRKWOOD HWY","Programs","52","1","1","44","127","5","27","182","248","8"
"2018","KIRKWOOD HWY","Reference","21964","586","420","3070","296","1018","1734","904","17076","1948"
"2018","LAUREL","Circulation","215","223","485","1272","149","1627","2220","1246","47389","2557"
"2018","LAUREL","Programs","128","7","0","180","65","2","159","336","161","13"
"2018","LAUREL","Reference","7066","220","158","3858","200","2434","578","428","2246","816"
"2018","LEWES","Circulation","605","1506","1287","5383","526","4135","7364","4157","171931","12313"
"2018","LEWES","Programs","34","100","0","97","269","8","186","624","314","8"
"2018","LEWES","Reference",,,,,,,,,,
"2018","MILFORD","Circulation","445","770","819","2763","411","2759","4695","2944","107224","4165"
"2018","MILFORD","Programs","33","0","0","44","63","2","46","237","91","2"
"2018","MILFORD","Reference","12740","2190","826","2270","2248","4208","6556","2698","12924","3684"
"2018","MILLSBORO","Circulation","271","735","614","1450","122","1283","3053","1412","62678","2455"
"2018","MILLSBORO","Programs","0","0","0","0","1","1","0","6","41","0"
"2018","MILLSBORO","Reference",,,,,,,,,,
"2018","MILTON","Circulation","225","509","593","1806","144","1357","2457","2454","65222","2824"
"2018","MILTON","Programs","16","5","0","21","64","5","55","206","103","3"
"2018","MILTON","Reference","538","2","2","18","6","10","26","14","102","30"
"2018","NEWARK","Circulation","4384","6317","4568","18384","3225","12621","34403","17023","400228","22911"
"2018","NEWARK","Programs","35","0","0","62","49","1","80","278","299","2"
"2018","NEWARK","Reference","21400","1200","1200","4800","1600","1600","2800","2000","26400","2100"
"2018","NEW CASTLE","Circulation","657","807","621","2591","423","1789","3591","1927","61874","2965"
"2018","NEW CASTLE","Programs","93","1","0","5","125","1","108","95","213","10"
"2018","NEW CASTLE","Reference","7020","92","118","1090","212","838","468","540","5048","642"
"2018","REHOBOTH","Circulation","193","730","542","1578","140","1020","2320","1320","46183","3320"
"2018","REHOBOTH","Programs","16","84","0","34","69","5","42","165","255","21"
"2018","REHOBOTH","Reference",,,,,,,,,,
"2018","ROUTE 9","Circulation","533","855","1256","2454","455","1937","4273","4057","75183","2075"
"2018","ROUTE 9","Programs","71","81","1","110","93","21","179","382","206","5"
"2018","ROUTE 9","Reference","6428","334","130","342","192","312","300","334","734","256"
"2018","SEAFORD","Circulation","292","317","442","993","252","943","2801","1568","60004","1929"
"2018","SEAFORD","Programs","1","0","0","11","0","0","178","0","0","0"
"2018","SEAFORD","Reference",,,,,,,,,,
"2018","SELBYVILLE","Circulation","163","292","278","721","117","410","990","736","27463","902"
"2018","SELBYVILLE","Programs","7","2","0","54","42","6","20","155","51","14"
"2018","SELBYVILLE","Reference","408","332","270","592","248","418","758","3722","8926","1054"
"2018","SMYRNA","Circulation","168","405","570","1352","176","1450","2222","1529","53619","2272"
"2018","SMYRNA","Programs","0","4","0","0","7","3","94","4","183","0"
"2018","SMYRNA","Reference","9582","68","90","64","24","56","192","102","52","152"
"2018","SOUTH COASTAL","Circulation","774","1138","830","3663","478","2207","5353","3264","142640","8049"
"2018","SOUTH COASTAL","Programs","133","3","0","13","26","5","24","116","239","15"
"2018","SOUTH COASTAL","Reference","2230","38","14","114","58","64","170","136","1024","404"
"2018","WILMINGTON","Circulation","323","356","340","714","63","351","854","753","25363","737"
"2018","WILMINGTON","Programs","61","0","0","0","2","2","36","118","55","2"
"2018","WILMINGTON","Reference","8716","362","372","430","218","416","514","1896","4062","460"
"2018","WILMINGTON NORTH","Circulation","646","1143","1176","2714","372","1821","4311","2666","92868","3889"
"2018","WILMINGTON NORTH","Programs","30","18","0","81","26","11","483","40","68","10"
"2018","WILMINGTON NORTH","Reference","32016","308","984","3178","532","878","3370","3692","14412","2864"
"2018","WOODLAWN","Circulation","962","1588","1715","3540","674","1847","5522","2612","108541","5360"
"2018","WOODLAWN","Programs","68","0","0","77","9","4","74","172","53","4"
"2018","WOODLAWN","Reference","14982","100","164","542","100","198","720","276","4956","676"
"2017","APPOQUINIMINK","Circulation","1222","1412","1163","4561","689","5205","7993","4334","106857","7945"
"2017","APPOQUINIMINK","Programs","3","2","1","33","69","6","45","91","63","9"
"2017","APPOQUINIMINK","Reference","7687","170","42","384","108","312","472","361","6936","257"
"2017","BEAR","Circulation","4176","5625","5578","15294","3247","14748","26049","12219","264330","17666"
"2017","BEAR","Programs","267","43","0","186","305","6","210","290","266","14"
"2017","BEAR","Reference","38441","870","660","3099","935","1361","2440","1402","14658","2617"
"2017","BRANDYWINE HUNDRED","Circulation","4823","8491","5484","21249","2658","15521","31743","16887","346579","36256"
"2017","BRANDYWINE HUNDRED","Programs","65","8","0","57","81","14","100","308","305","14"
"2017","BRANDYWINE HUNDRED","Reference","12834","184","161","1010","185","530","1015","740","11094","1443"
"2017","BRIDGEVILLE","Circulation","197","282","385","874","84","817","1452","732","24850","1307"
"2017","BRIDGEVILLE","Programs","30","56","0","14","84","2","94","88","120","8"
"2017","BRIDGEVILLE","Reference","1065","1","4","155","2","5","40","26","244","31"
"2017","CLAYMONT","Circulation","1168","2288","1473","3917","515","2772","6214","2986","71988","4492"
"2017","CLAYMONT","Programs","14","12","0","82","22","3","49","272","84","7"
"2017","CLAYMONT","Reference","14678","174","227","906","170","259","954","900","8707","893"
"2017","CORBIT-CALLOWAY","Circulation","145","559","411","1736","193","1755","2955","1339","32923","2452"
"2017","CORBIT-CALLOWAY","Programs","1","27","0","56","17","20","12","2","67","5"
"2017","CORBIT-CALLOWAY","Reference","0","0","0","0","0","0","0","0","0","0"
"2017","DELAWARE CITY","Circulation","101","283","202","522","67","268","1363","744","14856","696"
"2017","DELAWARE CITY","Programs","8","16","0","10","25","4","10","95","74","10"
"2017","DELAWARE CITY","Reference","0","0","0","0","0","0","0","0","0","0"
"2017","DELMAR","Circulation","121","173","260","567","94","470","1481","877","15707","924"
"2017","DELMAR","Programs","11","2","0","47","4","1","35","74","40","3"
"2017","DELMAR","Reference","1177","20","17","105","24","37","175","215","630","51"
"2017","DOVER","Circulation","1222","2366","3227","7203","1700","4571","11270","5888","178996","10350"
"2017","DOVER","Programs","161","13","0","310","57","4","391","718","413","28"
"2017","DOVER","Reference","6165","73","80","409","78","161","296","153","2512","368"
"2017","ELSMERE","Circulation","553","831","678","2099","322","1264","4387","2053","33959","2574"
"2017","ELSMERE","Programs","11","0","0","70","30","11","50","179","25","6"
"2017","ELSMERE","Reference","3663","60","55","725","100","84","360","297","4581","576"
"2017","FRANKFORD","Circulation","103","163","157","442","42","391","867","567","14341","958"
"2017","FRANKFORD","Programs","0","0","0","1","61","0","25","67","103","3"
"2017","FRANKFORD","Reference","1290","133","50","261","309","343","148","251","709","157"
"2017","GARFIELD PARK","Circulation","0","0","0","0","0","0","0","0","0","0"
"2017","GARFIELD PARK","Programs","24","0","0","1","8","4","18","106","39","8"
"2017","GARFIELD PARK","Reference","373","0","9","8","2","4","10","4","87","20"
"2017","GEORGETOWN","Circulation","216","414","498","900","116","665","2025","1064","23729","1505"
"2017","GEORGETOWN","Programs","2","25","0","66","23","1","270","137","94","0"
"2017","GEORGETOWN","Reference","81","20","12","40","12","16","67","35","38","37"
"2017","GREENWOOD","Circulation","254","440","1007","1281","134","1126","3453","1903","43045","2615"
"2017","GREENWOOD","Programs","52","14","69","70","83","13","21","35","182","27"
"2017","GREENWOOD","Reference","1271","98","19","265","29","60","246","212","1069","209"
"2017","HARRINGTON","Circulation","75","209","297","562","86","243","822","675","15279","813"
"2017","HARRINGTON","Programs","41","0","0","12","15","2","16","57","74","3"
"2017","HARRINGTON","Reference","2856","70","70","74","48","95","207","83","663","138"
"2017","HOCKESSIN","Circulation","3055","5096","3245","15298","1523","11855","25832","12982","268765","20428"
"2017","HOCKESSIN","Programs","4","2","1","48","81","2","79","117","331","25"
"2017","HOCKESSIN","Reference","7408","312","195","2133","218","720","1185","1079","10879","1487"
"2017","KENT COUNTY","Circulation","417","718","1002","2244","327","2292","4153","3325","81575","4094"
"2017","KENT COUNTY","Programs","2","7","0","37","192","16","109","190","180","18"
"2017","KENT COUNTY","Reference","37","18","2","13","2","5","7","6","55","7"
"2017","KIRKWOOD HWY","Circulation","2662","3707","3120","10053","1638","7410","15760","8272","172128","14035"
"2017","KIRKWOOD HWY","Programs","26","0","0","25","56","7","65","130","195","19"
"2017","KIRKWOOD HWY","Reference","8450","348","129","1244","131","393","892","746","9060","1016"
"2017","LAUREL","Circulation","279","260","543","1388","152","1645","2340","1500","36203","2545"
"2017","LAUREL","Programs","125","20","1","190","24","13","236","292","197","16"
"2017","LAUREL","Reference","3083","104","165","973","116","265","377","364","1440","537"
"2017","LEWES","Circulation","731","1247","1329","5720","516","3779","7123","4657","129778","12247"
"2017","LEWES","Programs","1","15","0","12","36","1","54","24","43","2"
"2017","LEWES","Reference","0","0","0","0","0","0","0","0","0","0"
"2017","MILFORD","Circulation","338","807","970","2636","320","2627","4766","2761","70264","3893"
"2017","MILFORD","Programs","14","0","0","0","39","0","58","53","85","2"
"2017","MILFORD","Reference","5433","1213","373","1024","994","1481","2838","1458","5177","1505"
"2017","MILLSBORO","Circulation","321","653","572","1650","167","1526","3394","1761","44402","2429"
"2017","MILLSBORO","Programs","0","0","0","0","0","1","0","0","0","0"
"2017","MILLSBORO","Reference","0","0","0","0","0","0","0","0","0","0"
"2017","MILTON","Circulation","273","400","777","1691","137","1152","2753","2356","38408","2996"
"2017","MILTON","Programs","16","1","0","66","22","1","28","123","117","4"
"2017","MILTON","Reference","602","8","9","15","15","16","49","25","103","54"
"2017","NEWARK","Circulation","4094","5956","4228","17624","3066","12231","35218","19247","304895","23499"
"2017","NEWARK","Programs","26","0","0","36","33","0","53","301","328","2"
"2017","NEWARK","Reference","10400","796","796","1096","996","1047","1049","748","12900","752"
"2017","NEW CASTLE","Circulation","594","818","801","2695","360","1533","3713","1863","45294","3373"
"2017","NEW CASTLE","Programs","45","0","0","118","35","2","107","163","99","7"
"2017","NEW CASTLE","Reference","3898","76","54","445","84","133","329","229","3374","367"
"2017","REHOBOTH","Circulation","229","712","440","1496","167","975","1922","1383","39804","3323"
"2017","REHOBOTH","Programs","36","78","3","72","51","28","44","226","282","44"
"2017","REHOBOTH","Reference","0","0","0","0","0","0","0","0","0","0"
"2017","SEAFORD","Circulation","375","356","452","1340","133","988","3033","1672","39831","2085"
"2017","SEAFORD","Programs","29","0","0","6","28","1","205","76","8","0"
"2017","SEAFORD","Reference","0","0","0","0","0","0","0","0","0","0"
"2017","SELBYVILLE","Circulation","175","309","282","604","135","449","980","539","17776","1111"
"2017","SELBYVILLE","Programs","6","8","0","57","46","7","6","170","35","17"
"2017","SELBYVILLE","Reference","225","114","151","234","98","155","452","2432","4322","657"
"2017","SMYRNA","Circulation","169","414","670","1393","157","1413","2200","1640","40464","2246"
"2017","SMYRNA","Programs","0","3","0","6","0","1","89","25","110","0"
"2017","SMYRNA","Reference","4048","12","5","5","0","15","16","3","1","19"
"2017","SOUTH COASTAL","Circulation","784","903","818","3313","328","2187","4998","3640","98812","8151"
"2017","SOUTH COASTAL","Programs","99","0","0","8","36","6","12","116","214","16"
"2017","SOUTH COASTAL","Reference","1528","19","14","100","19","76","151","125","932","208"
"2017","WILMINGTON","Circulation","757","1086","1380","2709","361","1687","3423","2372","53842","4197"
"2017","WILMINGTON","Programs","33","22","16","289","49","1","507","102","30","30"
"2017","WILMINGTON","Reference","16069","90","316","1511","171","191","2561","1292","6494","1486"
"2017","WILMINGTON NORTH","Circulation","235","273","316","662","109","291","653","631","8827","624"
"2017","WILMINGTON NORTH","Programs","12","0","0","3","9","4","27","92","57","3"
"2017","WILMINGTON NORTH","Reference","2743","102","129","125","70","140","158","754","1044","144"
"2017","WOODLAWN","Circulation","763","1672","1500","3892","783","2008","5704","2892","57619","5883"
"2017","WOODLAWN","Programs","64","0","0","55","1","3","22","174","66","10"
"2017","WOODLAWN","Reference","8996","227","146","390","60","129","442","363","2507","462"
"2016","APPOQUINIMINK","Circulation","1198","1622","1211","5395","830","5773","8911","4323","103164","7697"
"2016","APPOQUINIMINK","Programs","7","0","0","77","52","17","59","89","62","16"
"2016","APPOQUINIMINK","Reference","6595","186","45","342","91","254","440","432","6523","240"
"2016","BEAR","Circulation","3834","5246","4745","16769","4136","16475","27784","14139","328550","18710"
"2016","BEAR","Programs","242","22","0","154","35","10","138","219","274","28"
"2016","BEAR","Reference","36328","1032","691","2345","1002","1416","2892","1725","14393","3934"
"2016","BRANDYWINE HUNDRED","Circulation","4483","8969","5720","21675","3055","17339","35100","18265","393209","34154"
"2016","BRANDYWINE HUNDRED","Programs","15","1","0","74","66","66","8","525","304","22"
"2016","BRANDYWINE HUNDRED","Reference","15093","201","199","1230","249","649","1224","1046","14527","1623"
"2016","BRIDGEVILLE","Circulation","258","366","334","972","120","1250","1616","959","34266","1599"
"2016","BRIDGEVILLE","Programs","48","17","0","12","9","0","93","72","152","2"
"2016","BRIDGEVILLE","Reference","1420","5","6","4","2","2","25","13","113","17"
"2016","CLAYMONT","Circulation","1170","1917","1173","3496","625","2511","6535","3353","90313","4301"
"2016","CLAYMONT","Programs","17","17","0","47","25","4","23","211","82","6"
"2016","CLAYMONT","Reference","8387","128","163","666","113","223","764","437","6564","640"
"2016","CORBIT-CALLOWAY","Circulation","188","569","463","1755","127","1966","2930","1481","27893","2086"
"2016","CORBIT-CALLOWAY","Programs","0","0","0","0","0","1","5","5","14","3"
"2016","CORBIT-CALLOWAY","Reference","0","0","0","0","0","0","0","0","0","0"
"2016","DELAWARE CITY","Circulation","169","397","292","788","99","355","1659","885","18022","947"
"2016","DELAWARE CITY","Programs","0","12","0","4","20","20","23","88","55","4"
"2016","DELAWARE CITY","Reference","2422","1","2","0","2","0","1","0","1534","953"
"2016","DELMAR","Circulation","125","208","426","665","63","646","1505","886","25411","977"
"2016","DELMAR","Programs","17","0","0","26","3","1","31","54","28","2"
"2016","DELMAR","Reference","611","8","11","52","15","36","103","42","181","36"
"2016","DOVER","Circulation","1321","2652","3704","8218","2102","5697","13172","7973","207171","13248"
"2016","DOVER","Programs","105","14","0","356","4","8","367","618","288","19"
"2016","DOVER","Reference","10318","111","178","671","132","177","572","285","3558","712"
"2016","ELSMERE","Circulation","752","1017","864","2226","485","1814","4875","2631","60529","2600"
"2016","ELSMERE","Programs","1","0","0","17","33","2","9","112","40","4"
"2016","ELSMERE","Reference","3586","58","70","681","93","135","336","323","4737","368"
"2016","FRANKFORD","Circulation","114","190","237","425","60","500","831","609","16904","751"
"2016","FRANKFORD","Programs","3","7","0","15","82","3","42","125","146","1"
"2016","FRANKFORD","Reference","0","0","0","0","0","0","0","0","0","0"
"2016","GARFIELD PARK","Circulation",,,,,,,,,,
"2016","GARFIELD PARK","Programs","11","0","0","0","10","3","4","52","34","3"
"2016","GARFIELD PARK","Reference","116","0","0","5","0","0","5","4","21","4"
"2016","GEORGETOWN","Circulation","172","466","521","1035","159","658","2240","1296","36140","1465"
"2016","GEORGETOWN","Programs","30","0","0","105","0","1","220","118","84","1"
"2016","GEORGETOWN","Reference","155","26","13","61","9","19","2540","15","37","25"
"2016","GREENWOOD","Circulation","429","405","815","1338","107","1271","3744","2322","59123","2729"
"2016","GREENWOOD","Programs","28","7","8","33","129","14","15","125","197","8"
"2016","GREENWOOD","Reference","546","66","39","127","40","69","146","244","766","91"
"2016","HARRINGTON","Circulation","86","262","232","591","74","305","1138","583","23735","900"
"2016","HARRINGTON","Programs","48","0","0","0","9","1","40","111","82","3"
"2016","HARRINGTON","Reference","612","2","0","3","4","2","66","1","55","15"
"2016","HOCKESSIN","Circulation","3259","5450","3418","16525","2020","14013","26961","13225","262679","21570"
"2016","HOCKESSIN","Programs","61","9","0","35","10","50","94","78","275","23"
"2016","HOCKESSIN","Reference","7941","338","173","1594","184","825","1215","913","12998","1749"
"2016","KENT COUNTY","Circulation","449","880","1166","2536","446","2636","4527","3738","102814","4903"
"2016","KENT COUNTY","Programs","3","31","1","8","11","13","82","144","172","5"
"2016","KENT COUNTY","Reference","0","0","0","0","0","0","0","0","0","0"
"2016","KIRKWOOD HWY","Circulation","2406","3760","3449","10495","1785","7621","17079","8696","210169","14480"
"2016","KIRKWOOD HWY","Programs","41","1","0","45","44","1","33","138","195","20"
"2016","KIRKWOOD HWY","Reference","6880","481","161","753","110","324","739","616","6900","892"
"2016","LAUREL","Circulation","205","212","631","1204","112","1763","2660","1477","39122","2262"
"2016","LAUREL","Programs","153","2","0","110","27","37","82","175","180","18"
"2016","LAUREL","Reference","3728","86","226","837","92","275","592","402","1841","754"
"2016","LEWES","Circulation","578","853","1041","3395","387","2387","4985","3376","101061","9060"
"2016","LEWES","Programs","0","0","0","0","10","0","28","0","0","0"
"2016","LEWES","Reference","0","0","0","0","0","0","174","0","0","0"
"2016","MILFORD","Circulation","370","756","1015","2480","398","2836","5486","3049","90683","3848"
"2016","MILFORD","Programs","0","0","1","0","46","0","48","45","123","1"
"2016","MILFORD","Reference","5045","771","352","516","485","585","2686","1706","6722","1842"
"2016","MILLSBORO","Circulation","363","655","681","1842","172","1605","3948","2157","52710","2614"
"2016","MILLSBORO","Programs","0","0","0","0","0","0","1","0","0","0"
"2016","MILLSBORO","Reference","0","0","0","0","0","0","0","0","0","0"
"2016","MILTON","Circulation","299","405","808","1983","171","1637","2950","2498","58632","3168"
"2016","MILTON","Programs","5","19","9","0","13","1","17","46","39","2"
"2016","MILTON","Reference","688","6","9","16","6","10","45","23","18","51"
"2016","NEWARK","Circulation","4744","6514","4770","19439","3699","14075","35797","19646","336053","23574"
"2016","NEWARK","Programs","29","0","0","34","27","1","65","232","309","4"
"2016","NEWARK","Reference","12050","700","750","1375","1050","950","1550","705","15650","700"
"2016","NEW CASTLE","Circulation","711","857","723","2915","319","1829","3667","2236","59644","3668"
"2016","NEW CASTLE","Programs","58","1","0","126","32","2","168","115","106","21"
"2016","NEW CASTLE","Reference","4478","87","89","557","81","117","322","294","3977","482"
"2016","REHOBOTH","Circulation","241","661","573","1525","206","1152","2228","1568","43953","3532"
"2016","REHOBOTH","Programs","28","110","0","37","37","4","17","124","231","25"
"2016","REHOBOTH","Reference","1266","18","8","28","10","5","85","39","279","84"
"2016","SEAFORD","Circulation","457","436","543","1393","226","1377","3759","2022","59286","2471"
