"agerange","zipcode","city","gender","donors","nondonors","idcarddonors","idcardnondonors","licdonors","licnondonors","bothdonors","bothnondonors"
"<16","19701","BEAR","F","1","1","1","1","0","2","0","0"
"16-17","19701","BEAR","F","201","142","16","327","185","158","28","26"
"18-20","19701","BEAR","F","447","332","36","743","411","368","56","70"
"21-25","19701","BEAR","F","833","619","63","1389","770","682","85","86"
"26-30","19701","BEAR","F","894","715","53","1556","841","768","59","79"
"31-35","19701","BEAR","F","870","731","55","1546","815","786","61","66"
"36-40","19701","BEAR","F","813","752","36","1529","777","788","32","33"
"41-45","19701","BEAR","F","759","708","27","1440","732","735","25","37"
"45-50","19701","BEAR","F","859","775","19","1615","840","794","16","32"
"51-55","19701","BEAR","F","961","796","18","1739","943","814","14","11"
"56-60","19701","BEAR","F","970","718","14","1674","956","732","8","17"
"61-65","19701","BEAR","F","849","732","21","1560","828","753","9","11"
"66-70","19701","BEAR","F","531","585","11","1105","520","596","5","12"
"71+","19701","BEAR","F","699","989","31","1657","668","1020","9","23"
"16-17","19701","BEAR","M","178","153","13","318","165","166","27","25"
"18-20","19701","BEAR","M","416","408","31","793","385","439","49","80"
"21-25","19701","BEAR","M","750","757","59","1448","691","816","94","113"
"26-30","19701","BEAR","M","853","753","65","1541","788","818","62","99"
"31-35","19701","BEAR","M","804","775","52","1527","752","827","63","86"
"36-40","19701","BEAR","M","703","802","55","1450","648","857","58","69"
"41-45","19701","BEAR","M","639","795","47","1387","592","842","38","59"
"45-50","19701","BEAR","M","718","804","37","1485","681","841","32","27"
"51-55","19701","BEAR","M","778","812","25","1565","753","837","14","40"
"56-60","19701","BEAR","M","762","811","21","1552","741","832","16","21"
"61-65","19701","BEAR","M","657","732","15","1374","642","747","15","22"
"66-70","19701","BEAR","M","481","520","6","995","475","526","5","17"
"71+","19701","BEAR","M","591","866","22","1435","569","888","7","13"
"56-60","19701","BEAR DELAWARE","M","0","1","0","1","0","1","0","0"
"36-40","19702","BEAR","F","0","1","0","1","0","1","0","0"
"21-25","19702","CHRISTIANA","F","1","0","0","1","1","0","0","0"
"26-30","19702","CHRISTIANA","F","2","1","0","3","2","1","0","1"
"31-35","19702","CHRISTIANA","F","0","2","0","2","0","2","0","0"
"36-40","19702","CHRISTIANA","F","1","1","0","2","1","1","0","0"
"41-45","19702","CHRISTIANA","F","1","0","1","0","0","1","1","0"
"45-50","19702","CHRISTIANA","F","1","0","0","1","1","0","0","0"
"51-55","19702","CHRISTIANA","F","2","1","0","3","2","1","0","0"
"56-60","19702","CHRISTIANA","F","2","1","0","3","2","1","0","0"
"61-65","19702","CHRISTIANA","F","0","1","0","1","0","1","0","0"
"66-70","19702","CHRISTIANA","F","0","1","0","1","0","1","0","0"
"71+","19702","CHRISTIANA","F","1","2","0","3","1","2","0","0"
"18-20","19702","CHRISTIANA","M","0","1","0","1","0","1","0","0"
"21-25","19702","CHRISTIANA","M","1","0","0","1","1","0","1","0"
"26-30","19702","CHRISTIANA","M","1","0","0","1","1","0","0","0"
"31-35","19702","CHRISTIANA","M","3","3","0","6","3","3","0","0"
"45-50","19702","CHRISTIANA","M","1","1","0","2","1","1","0","0"
"51-55","19702","CHRISTIANA","M","2","0","0","2","2","0","0","0"
"61-65","19702","CHRISTIANA","M","2","2","0","4","2","2","0","0"
"66-70","19702","CHRISTIANA","M","1","2","0","3","1","2","0","0"
"56-60","19702","MIDDLETOWN","F","0","1","0","1","0","1","0","0"
"71+","19702","NEW CASTLE","M","1","0","0","1","1","0","0","0"
"16-17","19702","NEWARK","F","205","183","12","376","193","195","21","26"
"18-20","19702","NEWARK","F","507","438","41","904","466","479","76","92"
"21-25","19702","NEWARK","F","1019","915","85","1849","934","1000","111","173"
"26-30","19702","NEWARK","F","1216","1195","95","2316","1121","1290","95","183"
"31-35","19702","NEWARK","F","1167","1278","86","2359","1081","1364","89","171"
"36-40","19702","NEWARK","F","1083","1081","65","2099","1018","1146","61","97"
"41-45","19702","NEWARK","F","996","904","42","1858","954","946","40","76"
"45-50","19702","NEWARK","F","972","885","42","1815","930","927","32","49"
"51-55","19702","NEWARK","F","1018","986","32","1972","986","1018","33","39"
"56-60","19702","NEWARK","F","950","915","29","1836","921","944","17","24"
"61-65","19702","NEWARK","F","782","789","15","1556","767","804","11","14"
"66-70","19702","NEWARK","F","601","626","17","1210","584","643","8","10"
"71+","19702","NEWARK","F","682","979","30","1631","652","1009","8","13"
"16-17","19702","NEWARK","M","189","197","11","375","178","208","26","36"
"18-20","19702","NEWARK","M","475","513","49","939","426","562","81","111"
"21-25","19702","NEWARK","M","978","990","91","1877","887","1081","138","185"
"26-30","19702","NEWARK","M","1225","1390","83","2532","1142","1473","126","197"
"31-35","19702","NEWARK","M","1133","1354","94","2393","1039","1448","93","175"
"36-40","19702","NEWARK","M","1006","1293","89","2210","917","1382","81","141"
"41-45","19702","NEWARK","M","794","917","58","1653","736","975","56","82"
"45-50","19702","NEWARK","M","778","961","41","1698","737","1002","35","65"
"51-55","19702","NEWARK","M","805","940","25","1720","780","965","21","42"
"56-60","19702","NEWARK","M","802","900","37","1665","765","937","35","33"
"61-65","19702","NEWARK","M","697","776","18","1455","679","794","25","36"
"66-70","19702","NEWARK","M","477","580","11","1046","466","591","6","14"
"71+","19702","NEWARK","M","589","912","33","1468","556","945","11","16"
"45-50","19702","NEWARK DE","F","0","1","0","1","0","1","0","0"
"41-45","19702","NEWARK DE","M","0","1","0","1","0","1","0","0"
"56-60","19702","NEWARK DE","M","0","1","0","1","0","1","0","0"
"56-60","19702","NEWARK DELAWARE","F","0","1","0","1","0","1","0","0"
"71+","19702","NEWARK DELAWARE","F","1","0","0","1","1","0","0","0"
"36-40","19702","NEWCASTLE DE","M","0","1","0","1","0","1","0","0"
"26-30","19702","WILMINGTON","M","0","1","0","1","0","1","0","0"
"61-65","19703","CLAYMNONT","F","1","0","0","1","1","0","0","0"
"71+","19703","CLAYMON","F","1","0","0","1","1","0","0","0"
"16-17","19703","CLAYMONT","F","46","53","1","98","45","54","4","7"
"18-20","19703","CLAYMONT","F","118","107","6","219","112","113","14","19"
"21-25","19703","CLAYMONT","F","224","225","15","434","209","240","21","49"
"26-30","19703","CLAYMONT","F","353","354","20","687","333","374","25","56"
"31-35","19703","CLAYMONT","F","358","360","18","700","340","378","30","41"
"36-40","19703","CLAYMONT","F","271","312","14","569","257","326","18","22"
"41-45","19703","CLAYMONT","F","209","210","13","406","196","223","14","17"
"45-50","19703","CLAYMONT","F","255","229","18","466","237","247","9","11"
"51-55","19703","CLAYMONT","F","257","218","9","466","248","227","3","8"
"56-60","19703","CLAYMONT","F","289","229","11","507","278","240","3","6"
"61-65","19703","CLAYMONT","F","270","239","12","497","258","251","6","3"
"66-70","19703","CLAYMONT","F","160","186","3","343","157","189","1","1"
"71+","19703","CLAYMONT","F","289","462","25","726","264","487","3","7"
"16-17","19703","CLAYMONT","M","33","41","1","73","32","42","5","10"
"18-20","19703","CLAYMONT","M","93","123","11","205","82","134","14","25"
"21-25","19703","CLAYMONT","M","210","226","32","404","178","258","29","41"
"26-30","19703","CLAYMONT","M","326","341","44","623","282","385","27","40"
"31-35","19703","CLAYMONT","M","353","387","29","711","324","416","28","38"
"36-40","19703","CLAYMONT","M","286","363","24","625","262","387","22","29"
"41-45","19703","CLAYMONT","M","182","270","18","434","164","288","13","19"
"45-50","19703","CLAYMONT","M","191","263","18","436","173","281","13","21"
"51-55","19703","CLAYMONT","M","225","244","12","457","213","256","6","14"
"56-60","19703","CLAYMONT","M","234","239","15","458","219","254","10","9"
"61-65","19703","CLAYMONT","M","233","240","8","465","225","248","7","9"
"66-70","19703","CLAYMONT","M","148","153","8","293","140","161","3","3"
"71+","19703","CLAYMONT","M","210","302","11","501","199","313","6","2"
"56-60","19703","CLAYMONT DE","M","0","1","0","1","0","1","0","0"
"61-65","19703","WILMINGTON","F","1","0","0","1","1","0","0","0"
"16-17","19706","DELAWARE CITY","F","10","5","1","14","9","6","2","1"
"18-20","19706","DELAWARE CITY","F","14","10","0","24","14","10","2","0"
"21-25","19706","DELAWARE CITY","F","40","12","4","48","36","16","7","1"
"26-30","19706","DELAWARE CITY","F","59","23","11","71","48","34","8","0"
"31-35","19706","DELAWARE CITY","F","47","19","3","63","44","22","6","3"
"36-40","19706","DELAWARE CITY","F","43","20","2","61","41","22","6","4"
"41-45","19706","DELAWARE CITY","F","37","25","1","61","36","26","0","1"
"45-50","19706","DELAWARE CITY","F","32","21","1","52","31","22","1","0"
"51-55","19706","DELAWARE CITY","F","36","24","3","57","33","27","1","0"
"56-60","19706","DELAWARE CITY","F","48","24","4","68","44","28","0","1"
"61-65","19706","DELAWARE CITY","F","43","29","3","69","40","32","1","1"
"66-70","19706","DELAWARE CITY","F","41","37","3","75","38","40","2","1"
"71+","19706","DELAWARE CITY","F","37","58","1","94","36","59","0","3"
"16-17","19706","DELAWARE CITY","M","8","4","2","10","6","6","2","0"
"18-20","19706","DELAWARE CITY","M","18","18","1","35","17","19","4","3"
"21-25","19706","DELAWARE CITY","M","29","22","6","45","23","28","6","5"
"26-30","19706","DELAWARE CITY","M","38","28","3","63","35","31","4","5"
"31-35","19706","DELAWARE CITY","M","45","35","1","79","44","36","3","7"
"36-40","19706","DELAWARE CITY","M","32","35","5","62","27","40","3","5"
"41-45","19706","DELAWARE CITY","M","34","25","3","56","31","28","7","2"
"45-50","19706","DELAWARE CITY","M","25","23","5","43","20","28","3","5"
"51-55","19706","DELAWARE CITY","M","37","25","7","55","30","32","5","1"
"56-60","19706","DELAWARE CITY","M","35","43","3","75","32","46","2","5"
"61-65","19706","DELAWARE CITY","M","29","27","1","55","28","28","0","1"
"66-70","19706","DELAWARE CITY","M","33","32","2","63","31","34","1","2"
"71+","19706","DELAWARE CITY","M","42","47","2","87","40","49","0","1"
"51-55","19706","DELWARE CITY","M","0","1","0","1","0","1","0","0"
"61-65","19707","HOCKESSIN","M","0","1","0","1","0","1","0","0"
"16-17","19707","HOCKESSIN","F","139","50","3","186","136","53","3","2"
"18-20","19707","HOCKESSIN","F","252","94","7","339","245","101","11","5"
"21-25","19707","HOCKESSIN","F","403","144","9","538","394","153","13","4"
"26-30","19707","HOCKESSIN","F","292","106","4","394","288","110","8","1"
"31-35","19707","HOCKESSIN","F","297","129","7","419","290","136","5","8"
"36-40","19707","HOCKESSIN","F","291","179","7","463","284","186","6","7"
"41-45","19707","HOCKESSIN","F","322","204","3","523","319","207","4","4"
"45-50","19707","HOCKESSIN","F","433","202","4","631","429","206","5","3"
"51-55","19707","HOCKESSIN","F","453","208","2","659","451","210","2","5"
"56-60","19707","HOCKESSIN","F","478","262","5","735","473","267","2","3"
"61-65","19707","HOCKESSIN","F","429","238","3","664","426","241","4","0"
"66-70","19707","HOCKESSIN","F","359","207","3","563","356","210","2","4"
"71+","19707","HOCKESSIN","F","676","623","46","1253","630","669","4","8"
"16-17","19707","HOCKESSIN","M","99","49","4","144","95","53","5","3"
"18-20","19707","HOCKESSIN","M","243","129","6","366","237","135","8","9"
"21-25","19707","HOCKESSIN","M","364","203","13","554","351","216","20","14"
"26-30","19707","HOCKESSIN","M","311","152","10","453","301","162","15","8"
"31-35","19707","HOCKESSIN","M","260","146","9","397","251","155","14","8"
"36-40","19707","HOCKESSIN","M","259","196","6","449","253","202","6","5"
"41-45","19707","HOCKESSIN","M","277","207","8","476","269","215","6","9"
"45-50","19707","HOCKESSIN","M","360","256","3","613","357","259","5","9"
"51-55","19707","HOCKESSIN","M","404","251","4","651","400","255","7","5"
"56-60","19707","HOCKESSIN","M","384","275","7","652","377","282","7","5"
"61-65","19707","HOCKESSIN","M","390","253","3","640","387","256","0","2"
"66-70","19707","HOCKESSIN","M","320","267","7","580","313","274","4","5"
"71+","19707","HOCKESSIN","M","587","549","30","1106","557","579","6","7"
"71+","19707","HOCKESSIN  DE","F","0","1","0","1","0","1","0","0"
"71+","19707","HOCKESSINN","M","0","1","0","1","0","1","0","0"
"31-35","19707","WILMINGTON","M","1","0","0","1","1","0","0","0"
"31-35","19708","KIRKWOOD","F","1","0","0","1","1","0","0","0"
"51-55","19708","KIRKWOOD","F","0","1","0","1","0","1","0","0"
"56-60","19708","KIRKWOOD","F","1","1","0","2","1","1","0","0"
"61-65","19708","KIRKWOOD","F","0","2","0","2","0","2","0","0"
"66-70","19708","KIRKWOOD","F","1","2","0","3","1","2","0","0"
"71+","19708","KIRKWOOD","F","0","3","0","3","0","3","0","0"
"26-30","19708","KIRKWOOD","M","2","0","0","2","2","0","0","0"
"51-55","19708","KIRKWOOD","M","2","0","0","2","2","0","0","0"
"56-60","19708","KIRKWOOD","M","1","0","0","1","1","0","0","0"
"66-70","19708","KIRKWOOD","M","1","1","0","2","1","1","0","0"
"71+","19708","KIRKWOOD","M","1","5","0","6","1","5","0","0"
"56-60","19708","KIRKWOOD DE","F","0","1","0","1","0","1","0","0"
"61-65","19709","MIDDLETOWN","F","1","0","0","1","1","0","0","0"
"56-60","19709","MIDDLELTOWN","M","1","0","0","1","1","0","0","0"
"<16","19709","MIDDLETOWN","F","0","1","0","1","0","1","0","0"
"16-17","19709","MIDDLETOWN","F","333","198","11","520","322","209","20","18"
"18-20","19709","MIDDLETOWN","F","645","389","42","992","603","431","55","39"
"21-25","19709","MIDDLETOWN","F","1031","540","37","1534","994","577","66","68"
"26-30","19709","MIDDLETOWN","F","906","525","51","1380","855","576","65","44"
"31-35","19709","MIDDLETOWN","F","938","554","37","1455","901","591","32","40"
"36-40","19709","MIDDLETOWN","F","1063","708","16","1755","1047","724","27","45"
"41-45","19709","MIDDLETOWN","F","1070","724","20","1774","1050","744","20","21"
"45-50","19709","MIDDLETOWN","F","1216","738","23","1931","1193","761","17","19"
"51-55","19709","MIDDLETOWN","F","1119","709","21","1807","1098","730","13","14"
"56-60","19709","MIDDLETOWN","F","1001","630","10","1621","991","640","9","10"
"61-65","19709","MIDDLETOWN","F","729","538","15","1252","714","553","6","6"
"66-70","19709","MIDDLETOWN","F","593","548","6","1135","587","554","5","4"
"71+","19709","MIDDLETOWN","F","867","1045","31","1881","836","1076","8","9"
"16-17","19709","MIDDLETOWN","M","286","232","15","503","271","247","23","23"
"18-20","19709","MIDDLETOWN","M","625","449","36","1038","589","485","63","57"
"21-25","19709","MIDDLETOWN","M","971","639","59","1551","912","698","89","73"
"26-30","19709","MIDDLETOWN","M","767","540","52","1255","715","592","71","62"
"31-35","19709","MIDDLETOWN","M","800","559","34","1325","766","593","44","49"
"36-40","19709","MIDDLETOWN","M","876","691","35","1532","841","726","29","33"
"41-45","19709","MIDDLETOWN","M","828","747","26","1549","802","773","38","37"
"45-50","19709","MIDDLETOWN","M","1001","785","29","1757","972","814","20","34"
"51-55","19709","MIDDLETOWN","M","946","766","24","1688","922","790","20","21"
"56-60","19709","MIDDLETOWN","M","920","756","26","1650","894","782","17","15"
"61-65","19709","MIDDLETOWN","M","614","590","14","1190","600","604","16","16"
"66-70","19709","MIDDLETOWN","M","492","467","4","955","488","471","4","2"
"71+","19709","MIDDLETOWN","M","820","966","26","1760","794","992","6","5"
"45-50","19709","MIDDLETOWN DE","M","0","1","0","1","0","1","0","0"
