"geography","year","race","population","percent"
"Metro New Orleans","2016","White","658717","51.91"
"Metro New Orleans","2016","Asian","36144","2.85"
"Metro New Orleans","2016","Black or African American","439508","34.64"
"Metro New Orleans","2016","Hispanic or Latino","111289","8.77"
"New Orleans","2016","Hispanic or Latino","21929","5.60"
"New Orleans","2016","Asian","11429","2.92"
"New Orleans","2016","Black or African American","231044","59.02"
"New Orleans","2016","White","121086","30.93"
"United States","2016","Hispanic or Latino","57470287","17.79"
"United States","2016","Black or African American","40229236","12.45"
"United States","2016","Asian","17741457","5.49"
"United States","2016","White","197969608","61.27"
