"geography","age","year","population"
"Jefferson Parish","4 and under","2000","30226"
"Jefferson Parish","5 to 9","2000","31811"
"Jefferson Parish","10 to 14","2000","32657"
"Jefferson Parish","15 to 19","2000","32436"
"Jefferson Parish","20 to 24","2000","29793"
"Jefferson Parish","25 to 29","2000","31838"
"Jefferson Parish","30 to 34","2000","32713"
"Jefferson Parish","35 to 39","2000","36367"
"Jefferson Parish","40 to 44","2000","36834"
"Jefferson Parish","45 to 49","2000","34166"
"Jefferson Parish","50 to 54","2000","30658"
"Jefferson Parish","55 to 59","2000","23741"
"Jefferson Parish","60 to 64","2000","17911"
"Jefferson Parish","65 to 69","2000","15034"
"Jefferson Parish","70 to 74","2000","14991"
"Jefferson Parish","75 to 79","2000","11973"
"Jefferson Parish","80 to 84","2000","6942"
"Jefferson Parish","85 plus","2000","5375"
"Orleans Parish","4 and under","2000","33496"
"Orleans Parish","5 to 9","2000","37133"
"Orleans Parish","10 to 14","2000","36769"
"Orleans Parish","15 to 19","2000","38312"
"Orleans Parish","20 to 24","2000","38932"
"Orleans Parish","25 to 29","2000","36416"
"Orleans Parish","30 to 34","2000","34050"
"Orleans Parish","35 to 39","2000","35053"
"Orleans Parish","40 to 44","2000","36444"
"Orleans Parish","45 to 49","2000","34562"
"Orleans Parish","50 to 54","2000","29128"
"Orleans Parish","55 to 59","2000","21068"
"Orleans Parish","60 to 64","2000","16658"
"Orleans Parish","65 to 69","2000","14648"
"Orleans Parish","70 to 74","2000","14301"
"Orleans Parish","75 to 79","2000","12458"
"Orleans Parish","80 to 84","2000","7838"
"Orleans Parish","85 plus","2000","7408"
"Plaquemines Parish","4 and under","2000","1977"
"Plaquemines Parish","5 to 9","2000","2183"
"Plaquemines Parish","10 to 14","2000","2241"
"Plaquemines Parish","15 to 19","2000","2197"
"Plaquemines Parish","20 to 24","2000","1668"
"Plaquemines Parish","25 to 29","2000","1621"
"Plaquemines Parish","30 to 34","2000","2024"
"Plaquemines Parish","35 to 39","2000","2271"
"Plaquemines Parish","40 to 44","2000","2247"
"Plaquemines Parish","45 to 49","2000","1855"
"Plaquemines Parish","50 to 54","2000","1554"
"Plaquemines Parish","55 to 59","2000","1272"
"Plaquemines Parish","60 to 64","2000","1034"
"Plaquemines Parish","65 to 69","2000","854"
"Plaquemines Parish","70 to 74","2000","769"
"Plaquemines Parish","75 to 79","2000","524"
"Plaquemines Parish","80 to 84","2000","259"
"Plaquemines Parish","85 plus","2000","207"
"St. Bernard Parish","4 and under","2000","4242"
"St. Bernard Parish","5 to 9","2000","4639"
"St. Bernard Parish","10 to 14","2000","4996"
"St. Bernard Parish","15 to 19","2000","5021"
"St. Bernard Parish","20 to 24","2000","4257"
"St. Bernard Parish","25 to 29","2000","4196"
"St. Bernard Parish","30 to 34","2000","4584"
"St. Bernard Parish","35 to 39","2000","5327"
"St. Bernard Parish","40 to 44","2000","5530"
"St. Bernard Parish","45 to 49","2000","4939"
"St. Bernard Parish","50 to 54","2000","4398"
"St. Bernard Parish","55 to 59","2000","3241"
"St. Bernard Parish","60 to 64","2000","2597"
"St. Bernard Parish","65 to 69","2000","2569"
"St. Bernard Parish","70 to 74","2000","2714"
"St. Bernard Parish","75 to 79","2000","2148"
"St. Bernard Parish","80 to 84","2000","1051"
"St. Bernard Parish","85 plus","2000","780"
"St. Charles Parish","4 and under","2000","3511"
"St. Charles Parish","5 to 9","2000","3994"
"St. Charles Parish","10 to 14","2000","4352"
"St. Charles Parish","15 to 19","2000","4063"
