"geography","year","gender","population","percent"
"New Orleans","2016","Male","186508","47.60"
"New Orleans","2016","Female","204987","52.40"
"United States","2016","Male","159078923","49.20"
"United States","2016","Female","164048590","50.80"
"Metro New Orleans","2016","Male","613744","48.40"
"Metro New Orleans","2016","Female","655139","51.70"
