"locality","health_district","vaccine_phase","website"
"Accomack","Eastern Shore","2","https://www.vdh.virginia.gov/eastern-shore/"
"Albemarle","Blue Ridge","2","https://www.vdh.virginia.gov/blue-ridge/"
"Alexandria","Alexandria","2","https://www.alexandriava.gov/Health"
"Alleghany","Alleghany","2","https://www.vdh.virginia.gov/alleghany/"
"Amelia","Piedmont","2","https://www.vdh.virginia.gov/piedmont/"
"Amherst","Central Virginia","2","https://www.vdh.virginia.gov/central-virginia/"
"Appomattox","Central Virginia","2","https://www.vdh.virginia.gov/central-virginia/"
"Arlington","Arlington","2","https://www.arlingtonva.us/covid-19/"
"Augusta","Central Shenandoah","2","https://www.vdh.virginia.gov/central-shenandoah/"
"Bath","Central Shenandoah","2","https://www.vdh.virginia.gov/central-shenandoah/"
"Bedford","Central Virginia","2","https://www.vdh.virginia.gov/central-virginia/"
"Bland","Mount Rogers","2","https://www.vdh.virginia.gov/mount-rogers/"
"Botetourt","Alleghany","2","https://www.vdh.virginia.gov/alleghany/"
"Bristol","Mount Rogers","2","https://www.vdh.virginia.gov/mount-rogers/"
"Brunswick","Southside","2","https://www.vdh.virginia.gov/southside/"
"Buchanan","Cumberland Plateau","2","https://www.vdh.virginia.gov/cumberland-plateau/"
"Buckingham","Piedmont","2","https://www.vdh.virginia.gov/piedmont/"
"Buena Vista City","Central Shenandoah","2","https://www.vdh.virginia.gov/central-shenandoah/"
"Campbell","Central Virginia","2","https://www.vdh.virginia.gov/central-virginia/"
"Caroline","Rappahannock","2","https://www.vdh.virginia.gov/rappahannock/"
"Carroll","Mount Rogers","2","https://www.vdh.virginia.gov/mount-rogers/"
"Charles City","Chickahominy","2","https://www.vdh.virginia.gov/chickahominy/"
"Charlotte","Piedmont","2","https://www.vdh.virginia.gov/piedmont/"
"Charlottesville","Blue Ridge","2","https://www.vdh.virginia.gov/blue-ridge/"
"Chesapeake","Chesapeake","2","https://www.vdh.virginia.gov/chesapeake/"
"Chesterfield","Chesterfield","2","https://www.vdh.virginia.gov/chesterfield/"
"Clarke","Lord Fairfax","2","https://www.vdh.virginia.gov/lord-fairfax/"
"Colonial Heights","Chesterfield","2","https://www.vdh.virginia.gov/chesterfield/"
