"barcode","file_name","year","first_name","middle_name","surname","alias","gender","age","physical_description","owner_s_name","owner_s_alias","prior_state_of_residence","locality","source","date_added"
"1133551","_0013_0002_0001-0002","1818","Esther",,,,"F","23",,"James Roberts",,"Maryland","Accomack County","Accomack County (Va.) Deeds, 1701-1838 (bulk 1737-1820)","2021-01-08T00:00:00.000"
"1133551","_0013_0002_0001-0002","1818","Jane",,,,"F",,,"James Roberts",,"Maryland","Accomack County","Accomack County (Va.) Deeds, 1701-1838 (bulk 1737-1820)","2021-01-08T00:00:00.000"
"1133685","_0001_0003_0001-0002","1819","Esther",,,,"F","49",,"William M Beavans; Elizabeth Beavans",,"Maryland","Accomack County","Accomack County (Va.) Deeds, 1701-1838 (bulk 1737-1820)","2021-01-08T00:00:00.000"
"1133685","_0001_0003_0001-0002","1819","George",,,,"M","3",,"William M Beavans; Elizabeth Beavans",,"Maryland","Accomack County","Accomack County (Va.) Deeds, 1701-1838 (bulk 1737-1820)","2021-01-08T00:00:00.000"
"1133685","_0001_0003_0001-0002","1819","Sarah",,,,"F",,,"William M Beavans; Elizabeth Beavans",,"Maryland","Accomack County","Accomack County (Va.) Deeds, 1701-1838 (bulk 1737-1820)","2021-01-08T00:00:00.000"
"1133685","_0004_0001_0001-0003","1819","James",,,,"M","15",,"Whittington Bowen",,"Maryland","Accomack County","Accomack County (Va.) Deeds, 1701-1838 (bulk 1737-1820)","2021-01-08T00:00:00.000"
"1133685","_0004_0001_0001-0003","1819","Frances",,,,"F","16",,"Whittington Bowen",,"Maryland","Accomack County","Accomack County (Va.) Deeds, 1701-1838 (bulk 1737-1820)","2021-01-08T00:00:00.000"
"1133702","_0007_0003_0001-0002","1817","George",,,,"M","4",,"Charles Reed",,"Maryland","Accomack County","Accomack County (Va.) Deeds, 1701-1838 (bulk 1737-1820)","2021-01-08T00:00:00.000"
"1133702","_0007_0004_0001-0002","1817","Lambert",,,,"M","9",,"Horsey Summers","Horsey Somers","Maryland","Accomack County","Accomack County (Va.) Deeds, 1701-1838 (bulk 1737-1820)","2021-01-08T00:00:00.000"
"1133704","_0005_0002_0001-0002","1815","Sambow",,,,"M",,,"Nancy Wallop",,"Maryland","Accomack County","Accomack County (Va.) Deeds, 1701-1838 (bulk 1737-1820)","2021-01-08T00:00:00.000"
"1133704","_0005_0002_0001-0002","1815","Dorky",,,,"F",,,"Nancy Wallop",,"Maryland","Accomack County","Accomack County (Va.) Deeds, 1701-1838 (bulk 1737-1820)","2021-01-08T00:00:00.000"
"1133704","_0005_0002_0001-0002","1815","Harry",,,,"M",,,"Nancy Wallop",,"Maryland","Accomack County","Accomack County (Va.) Deeds, 1701-1838 (bulk 1737-1820)","2021-01-08T00:00:00.000"
