"year","county","b01003_001e","b03003_003e","b02008_001e","b02009_001e","b02010_001e","b02011_001e","b02012_001e","b02013_001e","state","county_1"
"2014-01-01T00:00:00.000","Accomack County, Virginia","33165","2909","23207","9792","319","46","0","321","51","001"
"2014-01-01T00:00:00.000","Albemarle County, Virginia","101883","5698","86090","11082","644","5914","58","1634","51","003"
"2018-01-01T00:00:00.000","Tazewell County, Virginia","42080","409","40179","1527","258","343","124","73","51","185"
"2018-01-01T00:00:00.000","Falls Church city, Virginia","14067","1501","11718","733","41","1760","0","289","51","610"
"2018-01-01T00:00:00.000","Manassas Park city, Virginia","16423","6359","10973","2765","194","1897","26","1225","51","685"
"2018-01-01T00:00:00.000","Poquoson city, Virginia","12039","311","11602","199","62","368","76","33","51","735"
"2016-01-01T00:00:00.000","Prince William County, Virginia","443630","97117","287930","103200","5510","45356","1579","26370","51","153"
"2018-01-01T00:00:00.000","Sussex County, Virginia","11486","333","4767","6711","146","71","4","98","51","183"
"2016-01-01T00:00:00.000","Pulaski County, Virginia","34417","525","32293","2304","97","125","0","225","51","155"
"2018-01-01T00:00:00.000","Waynesboro city, Virginia","21926","1674","18314","3500","166","222","41","174","51","820"
"2016-01-01T00:00:00.000","Rappahannock County, Virginia","7416","257","7024","444","37","55","0","54","51","157"
"2018-01-01T00:00:00.000","Roanoke city, Virginia","99621","6104","65533","31183","1316","3598","50","2269","51","770"
"2016-01-01T00:00:00.000","Richmond County, Virginia","8868","561","6226","2620","61","212","1","112","51","159"
"2018-01-01T00:00:00.000","Salem city, Virginia","25519","827","23075","2344","153","648","32","163","51","775"
"2016-01-01T00:00:00.000","Roanoke County, Virginia","93655","2517","84760","5940","504","3462","239","640","51","161"
"2018-01-01T00:00:00.000","Norfolk city, Virginia","245592","19359","123557","108549","3762","11812","981","8631","51","710"
"2016-01-01T00:00:00.000","Rockbridge County, Virginia","22450","351","21505","769","276","171","28","241","51","163"
"2018-01-01T00:00:00.000","Charlotte County, Virginia","12095","243","8414","3593","33","47","0","110","51","037"
"2016-01-01T00:00:00.000","Rockingham County, Virginia","78427","4864","74754","2339","525","736","50","1291","51","165"
"2018-01-01T00:00:00.000","Fairfax County, Virginia","1143529","185551","755156","127259","10698","247872","2663","56830","51","059"
"2016-01-01T00:00:00.000","Russell County, Virginia","27973","318","27462","382","118","54","19","235","51","167"
"2018-01-01T00:00:00.000","Greensville County, Virginia","11659","267","4560","7130","128","7","0","68","51","081"
"2016-01-01T00:00:00.000","Scott County, Virginia","22378","284","22107","246","101","62","0","22","51","169"
"2018-01-01T00:00:00.000","James City County, Virginia","74153","4138","61814","10772","596","2820","329","539","51","095"
"2016-01-01T00:00:00.000","Shenandoah County, Virginia","42857","2871","41036","1447","382","494","0","717","51","171"
"2018-01-01T00:00:00.000","Russell County, Virginia","27408","190","26983","501","197","27","24","43","51","167"
"2016-01-01T00:00:00.000","Smyth County, Virginia","31513","614","30637","872","156","166","28","117","51","173"
"2018-01-01T00:00:00.000","Smyth County, Virginia","31059","628","30062","924","137","158","41","104","51","173"
"2016-01-01T00:00:00.000","Southampton County, Virginia","18291","251","11587","6835","255","30","0","126","51","175"
"2018-01-01T00:00:00.000","Lexington city, Virginia","7110","362","6390","477","71","368","10","31","51","678"
"2016-01-01T00:00:00.000","Spotsylvania County, Virginia","129181","11136","98743","22673","1339","4403","503","5835","51","177"
"2018-01-01T00:00:00.000","Campbell County, Virginia","55170","1298","46203","8674","502","694","7","446","51","031"
"2016-01-01T00:00:00.000","Stafford County, Virginia","139548","15614","101951","27465","1411","6377","605","8394","51","179"
"2018-01-01T00:00:00.000","Henry County, Virginia","51588","2740","37913","12384","368","531","41","1647","51","089"
"2016-01-01T00:00:00.000","Surry County, Virginia","6731","24","3556","3143","50","29","0","15","51","181"
"2018-01-01T00:00:00.000","King George County, Virginia","25890","1282","20983","4808","383","618","16","212","51","099"
"2016-01-01T00:00:00.000","Sussex County, Virginia","11733","316","4713","6856","226","68","14","180","51","183"
"2018-01-01T00:00:00.000","Lancaster County, Virginia","10804","47","7413","3342","15","92","0","0","51","103"
"2016-01-01T00:00:00.000","Tazewell County, Virginia","43367","385","41732","1668","172","352","46","77","51","185"
"2018-01-01T00:00:00.000","Lee County, Virginia","24134","455","22736","1070","138","169","0","229","51","105"
"2016-01-01T00:00:00.000","Warren County, Virginia","38807","1546","36521","2279","455","553","16","302","51","187"
