"township","age_group","age","count"
"Andover","1","Under 1 year old","9"
"Andover","2","Ages 1-4","28"
"Andover","3","Ages 5-17","102"
"Andover","4","Ages 18-64","342"
"Andover","5","Ages 65 and older","84"
"Ansonia","1","Under 1 year old","161"
"Ansonia","2","Ages 1-4","705"
"Ansonia","3","Ages 5-17","2185"
"Ansonia","4","Ages 18-64","4991"
"Ansonia","5","Ages 65 and older","819"
"Ashford","1","Under 1 year old","12"
"Ashford","2","Ages 1-4","88"
"Ashford","3","Ages 5-17","282"
"Ashford","4","Ages 18-64","685"
"Ashford","5","Ages 65 and older","137"
"Avon","1","Under 1 year old","23"
"Avon","2","Ages 1-4","88"
"Avon","3","Ages 5-17","344"
"Avon","4","Ages 18-64","991"
"Avon","5","Ages 65 and older","498"
"Barkhamsted","1","Under 1 year old","7"
"Barkhamsted","2","Ages 1-4","38"
"Barkhamsted","3","Ages 5-17","145"
"Barkhamsted","4","Ages 18-64","368"
"Barkhamsted","5","Ages 65 and older","91"
"Beacon Falls","1","Under 1 year old","14"
"Beacon Falls","2","Ages 1-4","64"
"Beacon Falls","3","Ages 5-17","245"
"Beacon Falls","4","Ages 18-64","661"
"Beacon Falls","5","Ages 65 and older","187"
"Berlin","1","Under 1 year old","34"
"Berlin","2","Ages 1-4","189"
"Berlin","3","Ages 5-17","608"
"Berlin","4","Ages 18-64","1872"
"Berlin","5","Ages 65 and older","934"
"Bethany","1","Under 1 year old","6"
"Bethany","2","Ages 1-4","45"
"Bethany","3","Ages 5-17","149"
"Bethany","4","Ages 18-64","429"
"Bethany","5","Ages 65 and older","120"
"Bethel","1","Under 1 year old","77"
"Bethel","2","Ages 1-4","309"
"Bethel","3","Ages 5-17","1104"
"Bethel","4","Ages 18-64","2198"
"Bethel","5","Ages 65 and older","638"
"Bethlehem","1","Under 1 year old","9"
"Bethlehem","2","Ages 1-4","53"
"Bethlehem","3","Ages 5-17","140"
"Bethlehem","4","Ages 18-64","366"
"Bethlehem","5","Ages 65 and older","126"
"Bloomfield","1","Under 1 year old","110"
"Bloomfield","2","Ages 1-4","449"
"Bloomfield","3","Ages 5-17","1397"
"Bloomfield","4","Ages 18-64","3854"
"Bloomfield","5","Ages 65 and older","1454"
"Bolton","1","Under 1 year old","7"
"Bolton","2","Ages 1-4","40"
"Bolton","3","Ages 5-17","140"
"Bolton","4","Ages 18-64","471"
"Bolton","5","Ages 65 and older","109"
"Bozrah","1","Under 1 year old","12"
"Bozrah","2","Ages 1-4","57"
"Bozrah","3","Ages 5-17","143"
"Bozrah","4","Ages 18-64","461"
"Bozrah","5","Ages 65 and older","83"
"Branford","1","Under 1 year old","74"
"Branford","2","Ages 1-4","384"
"Branford","3","Ages 5-17","1167"
"Branford","4","Ages 18-64","3854"
"Branford","5","Ages 65 and older","1230"
"Bridgeport","1","Under 1 year old","1827"
"Bridgeport","2","Ages 1-4","7814"
"Bridgeport","3","Ages 5-17","23087"
"Bridgeport","4","Ages 18-64","48650"
"Bridgeport","5","Ages 65 and older","8809"
"Bridgewater","1","Under 1 year old","0"
"Bridgewater","2","Ages 1-4","14"
"Bridgewater","3","Ages 5-17","28"
"Bridgewater","4","Ages 18-64","112"
"Bridgewater","5","Ages 65 and older","35"
"Bristol","1","Under 1 year old","383"
"Bristol","2","Ages 1-4","1771"
"Bristol","3","Ages 5-17","5362"
"Bristol","4","Ages 18-64","12799"
"Bristol","5","Ages 65 and older","3403"
"Brookfield","1","Under 1 year old","43"
"Brookfield","2","Ages 1-4","192"
"Brookfield","3","Ages 5-17","703"
"Brookfield","4","Ages 18-64","1583"
"Brookfield","5","Ages 65 and older","390"
"Brooklyn","1","Under 1 year old","39"
"Brooklyn","2","Ages 1-4","169"
"Brooklyn","3","Ages 5-17","564"
