"township","age_group","age","count"
"Andover","1","Under 1 year old","8"
"Andover","2","Ages 1-4","32"
"Andover","3","Ages 5-17","112"
"Andover","4","Ages 18-64","379"
"Andover","5","Ages 65 and older","86"
"Ansonia","1","Under 1 year old","163"
"Ansonia","2","Ages 1-4","721"
"Ansonia","3","Ages 5-17","2303"
"Ansonia","4","Ages 18-64","5671"
"Ansonia","5","Ages 65 and older","918"
"Ashford","1","Under 1 year old","16"
"Ashford","2","Ages 1-4","80"
"Ashford","3","Ages 5-17","295"
"Ashford","4","Ages 18-64","770"
"Ashford","5","Ages 65 and older","158"
"Avon","1","Under 1 year old","25"
"Avon","2","Ages 1-4","87"
"Avon","3","Ages 5-17","354"
"Avon","4","Ages 18-64","1178"
"Avon","5","Ages 65 and older","584"
"Barkhamsted","1","Under 1 year old","9"
"Barkhamsted","2","Ages 1-4","40"
"Barkhamsted","3","Ages 5-17","141"
"Barkhamsted","4","Ages 18-64","424"
"Barkhamsted","5","Ages 65 and older","111"
"Beacon Falls","1","Under 1 year old","18"
"Beacon Falls","2","Ages 1-4","74"
"Beacon Falls","3","Ages 5-17","245"
"Beacon Falls","4","Ages 18-64","747"
"Beacon Falls","5","Ages 65 and older","205"
"Berlin","1","Under 1 year old","49"
"Berlin","2","Ages 1-4","194"
"Berlin","3","Ages 5-17","694"
"Berlin","4","Ages 18-64","2074"
"Berlin","5","Ages 65 and older","1038"
"Bethany","1","Under 1 year old","10"
"Bethany","2","Ages 1-4","41"
"Bethany","3","Ages 5-17","142"
"Bethany","4","Ages 18-64","486"
"Bethany","5","Ages 65 and older","128"
"Bethel","1","Under 1 year old","69"
"Bethel","2","Ages 1-4","384"
"Bethel","3","Ages 5-17","1236"
"Bethel","4","Ages 18-64","2624"
"Bethel","5","Ages 65 and older","735"
"Bethlehem","1","Under 1 year old","6"
"Bethlehem","2","Ages 1-4","41"
"Bethlehem","3","Ages 5-17","158"
"Bethlehem","4","Ages 18-64","396"
"Bethlehem","5","Ages 65 and older","139"
"Bloomfield","1","Under 1 year old","137"
"Bloomfield","2","Ages 1-4","479"
"Bloomfield","3","Ages 5-17","1630"
"Bloomfield","4","Ages 18-64","4386"
"Bloomfield","5","Ages 65 and older","1643"
"Bolton","1","Under 1 year old","14"
"Bolton","2","Ages 1-4","44"
"Bolton","3","Ages 5-17","181"
"Bolton","4","Ages 18-64","516"
"Bolton","5","Ages 65 and older","131"
"Bozrah","1","Under 1 year old","9"
"Bozrah","2","Ages 1-4","51"
"Bozrah","3","Ages 5-17","138"
"Bozrah","4","Ages 18-64","477"
"Bozrah","5","Ages 65 and older","100"
"Branford","1","Under 1 year old","76"
"Branford","2","Ages 1-4","345"
"Branford","3","Ages 5-17","1208"
"Branford","4","Ages 18-64","4188"
"Branford","5","Ages 65 and older","1369"
"Bridgeport","1","Under 1 year old","1863"
"Bridgeport","2","Ages 1-4","7380"
"Bridgeport","3","Ages 5-17","23396"
"Bridgeport","4","Ages 18-64","50979"
"Bridgeport","5","Ages 65 and older","9779"
"Bridgewater","1","Under 1 year old","5"
"Bridgewater","2","Ages 1-4","15"
"Bridgewater","3","Ages 5-17","24"
"Bridgewater","4","Ages 18-64","143"
"Bridgewater","5","Ages 65 and older","45"
"Bristol","1","Under 1 year old","472"
"Bristol","2","Ages 1-4","1821"
"Bristol","3","Ages 5-17","5840"
"Bristol","4","Ages 18-64","14347"
"Bristol","5","Ages 65 and older","3886"
"Brookfield","1","Under 1 year old","52"
"Brookfield","2","Ages 1-4","212"
"Brookfield","3","Ages 5-17","794"
"Brookfield","4","Ages 18-64","1877"
"Brookfield","5","Ages 65 and older","452"
"Brooklyn","1","Under 1 year old","38"
"Brooklyn","2","Ages 1-4","200"
"Brooklyn","3","Ages 5-17","625"
"Brooklyn","4","Ages 18-64","1583"
"Brooklyn","5","Ages 65 and older","454"
"Burlington","1","Under 1 year old","14"
"Burlington","2","Ages 1-4","55"
"Burlington","3","Ages 5-17","238"
"Burlington","4","Ages 18-64","732"
"Burlington","5","Ages 65 and older","203"
"Canaan","1","Under 1 year old","14"
"Canaan","2","Ages 1-4","74"
"Canaan","3","Ages 5-17","252"
"Canaan","4","Ages 18-64","708"
"Canaan","5","Ages 65 and older","298"
"Canterbury","1","Under 1 year old","21"
"Canterbury","2","Ages 1-4","100"
"Canterbury","3","Ages 5-17","313"
"Canterbury","4","Ages 18-64","784"
"Canterbury","5","Ages 65 and older","209"
"Canton","1","Under 1 year old","22"
"Canton","2","Ages 1-4","93"
"Canton","3","Ages 5-17","306"
"Canton","4","Ages 18-64","906"
"Canton","5","Ages 65 and older","432"
"Chaplin","1","Under 1 year old","5"
"Chaplin","2","Ages 1-4","57"
"Chaplin","3","Ages 5-17","174"
"Chaplin","4","Ages 18-64","483"
