"docket_or_petition_num","town","address","extra_information_alternate_address","user","owner","twr_type","ant_height","twr_height","elev","antennas","equip_bldg","_5g_services","comments","backup_power_type","backup_power_size_duration","shared_backup_power","action_date"
,"Andover","*** Bunker Hill Road",,"Sprint","Nextel","monopole","168","180",,"9-panel antennas",,,,,,,"2000-07-11T00:00:00.000"
,"Andover","*** Bunker Hill Road",,"SNET","Nextel","monopole","137","180","524","12 Decibel Panel antennae","12x20",,,,,,"2001-03-15T00:00:00.000"
,"Andover","*** Bunker Hill Road",,"VoiceStream","Nextel","monopole","148","180","524","6 EMSRR90-17-02DP antennae","cabinets",,,,,,"2001-03-15T00:00:00.000"
,"Andover","*** Bunker Hill Road",,"AT&T","American Tower","monopole","127","180","524","add 6 Allgon 7250.03 panel antennas",,,"2 new, 2 future equipments on concrete pad",,,,"2002-06-25T00:00:00.000"
,"Andover","*** Bunker Hill Road",,"SNET/Cingular","American Tower","monopole","137","180","524","replace existing antennas with 9 CSS DUO4-8670, 6 tower mount amplifiers, 1 LMU @ 44.5'",,,,,,,"2002-08-01T00:00:00.000"
,"Andover","*** Bunker Hill Road",,"T-Mobile","Nextel","monopole","148","180","524","E911 upgrade",,,,,,,"2002-09-25T00:00:00.000"
,"Andover","*** Bunker Hill Road",,"Verizon","American Tower","monopole","158","180","524","replace 6 existing cellular antennas with 6 PCS antennas",,,,,,,"2005-02-02T00:00:00.000"
,"Andover","*** Bunker Hill Road",,"Cingular/AT&T","American Tower","monopole","127","180","524","decommission AT&T antennas",,,,,,,"2006-12-12T00:00:00.000"
,"Andover","*** Bunker Hill Road",,"Cingular","American Tower","monopole","137","180","524","remove 9 existing antennas; install 6 Powerwave 7770 antennas, 6 TMAs, and 6 diplexers",,,,,,,"2009-02-11T00:00:00.000"
,"Andover","*** Bunker Hill Road",,"Verizon","American Tower","monopole","158","180","524","replace 12 existing antennas with 6 new cellular, 3 new PCS, and 3 new LTE antennas",,,,,,,"2012-01-24T00:00:00.000"
,"Andover","*** Bunker Hill Road",,"AT&T","American Tower","monopole","137","180","524","add 3 multi-band antennas for LTE to 6 GSM/UMTS antennas",,,,,,,"2012-10-05T00:00:00.000"
,"Andover","*** Bunker Hill Road",,"AT&T","American Tower","monopole",,"180","524",,,,"install 50 kW diesel generator for backup power","diesel generator",,,"2014-02-14T00:00:00.000"
,"Andover","*** Bunker Hill Road",,"American Tower","American Tower","monopole",,"180","524",,,,"install 80 kW diesel generator for tenants' backup power","diesel generator",,,"2014-04-23T00:00:00.000"
,"Andover","*** Bunker Hill Road",,"T-Mobile","American Tower","monopole","148","178","524","install 3 LTE antennas w/ smart bias tee",,,,,,,"2015-05-11T00:00:00.000"
,"Andover","*** Bunker Hill Road",,"Verizon","American Tower","monopole","158","180","524","replace 6 ant w/ 3 700/1900 MHz & 3 1900 MHz antennas; add 6 RRHs",,,,,,,"2017-02-27T00:00:00.000"
,"Andover","*** Bunker Hill Road",,"Sprint","American Tower","monopole","168","180","524","remove 3 antennas, install 3 800/1900/2500 MHz antennas; add 12 RRHs",,,,,,,"2018-02-20T00:00:00.000"
,"Andover","*** Bunker Hill Road",,"Sprint","American Tower","monopole","168","180","524","replace 6 antennas w 3x850/1900 & 3x2500 MHz; 12 RRU",,,,,,,"2018-07-16T00:00:00.000"
,"Andover","*** Bunker Hill Road",,"T-Mobile","American Tower","monopole","148","178","524","replace 3 antennas w 3 x 600/700/1900/2100MHz antennas; add 3 rru's",,,,,,,"2019-09-23T00:00:00.000"
