"month","calendar_year","fiscal_year","withholding","income_tax_estimates_finals","sales_and_use","business_use","room_occupancy","electric_generation","business_entity","corporation_business","pass_through_entity","unrelated_business_income","cable_satellite_and_video","peg_account","electric_power","gas_electric","railroads","estate_gift","insurance_premiums_domestic","insurance_premiums_foreign","health_care_centers","nonadmitted_unauthorized","alcoholic_beverages","cigarette_tax","electronic_cigarette_products","tobacco_products","controlling_interest_transfer","real_estate_conveyance","petroleum_gross_earnings","admissions_dues","admissions_dues_and_tnc_fee","dry_cleaners","occupational_tax","rental_surcharge","solid_waste","tourism_surcharge","controlled_substances","prepaid_wireless_e_9_1_1","paid_preparer_fee","repealed_taxes","nursing_home_user_fee","hospitals","intermediate_care_facility","ambulatory_surgical_centers","gasoline","special_fuel","motor_carrier","licenses","beverage_container_deposits","total_revenue"
"July","2011","FY 2011-12",,,,,,,"381060.92",,,"13131.96",,"1206491.00",,,"80290.00","6389228.00","7422.02","482963.75","0.00","13394.08",,"16109807.86",,"688528.85","922415.49",,,"2673711.44",,"81002.98","40850.32","0.00","811503.94","297504.90","3058.43",,,"213162.90",,,,,,,,"168768.74",,"30584297.58"
"August","2011","FY 2011-12","277152390.94","23202684.78","266684123.26","927436.95","8942131.10","0.00","484492.78","15834589.60",,"34439.43","646401.18","-395889.84","598.14","207.96","8683.63","22578867.66","14169.41","1161899.64","0.00","11031.43","5908080.78","40686262.05",,"941050.13","3557753.00","8928562.46","597737.14","3187848.06",,"92488.98","28797.88","0.00","79789.00","626828.96","2221.46","0.00",,"95482.39","1358440.78","0.00","0.00",,"31362452.56","9466716.36","110712.68","136076.00","144726.50","724600285.22"
"September","2011","FY 2011-12","398048299.06","274881288.84","289661741.74","2769766.79","10132507.23","0.00","824783.27","77972927.85",,"190040.70","0.00","0.00","0.00","0.00","0.00","10020517.14","9377243.86","22080153.83","4679473.00","71577.12","4464952.36","38971173.03",,"999066.57","595053.17","10074029.04","632106.40","2218147.94",,"6872.07","44417.09","0.00","0.00","462709.00","1200.37","0.00",,"17587.19","664491.99","0.00","0.00",,"31744734.83","10609017.91","1159712.65","387327.46","64361.03","1203827280.53"
"October","2011","FY 2011-12","408613206.17","69442266.48","333566779.06","3798695.47","9770714.10","17767106.00","461952.67","25876711.83",,"28806.63","13604060.48","1331324.47","44699891.27","8386739.97","0.00","10091249.23","0.00","283205.23","0.00","1075.39","4780496.56","34589222.24",,"917235.07","58244.14","9467368.80","97965756.90","1927275.34",,"95216.44","50200.70","75.25","597058.29","439563.14","1267.67","0.00",,"234203.54","33023090.06","84247905.00","693114.28",,"30343374.73","9815832.71","1747806.95","152225.50","7240241.36","1266110559.12"
"November","2011","FY 2011-12","465707421.50","88038348.61","308212282.11","1837456.18","10088593.69","0.00","484246.81","15126465.53",,"206688.68","2122064.49","-504536.00","937853.93","66189.00","0.00","5306502.15","0.00","1978527.15","0.00","174461.55","5134593.07","33119894.46",,"836365.21","1727415.98","8037987.89","813537.10","1979754.21",,"86382.09","364053.66","0.00","314208.00","429904.31","967.44","0.00",,"76580.84","2630223.01","3032664.00","4033619.71",,"31255463.77","9810633.04","209077.10","200230.31","152895.02","1004029015.60"
"December","2011","FY 2011-12","540952630.73","228425551.18","238439058.98","8393847.86","8472731.83","0.00","3841928.66","103469367.48",,"237319.86","148428.88","0.00","0.00","0.00","0.00","4927305.26","5243983.80","24151292.42","1755540.00","62212.31","4576157.05","36679297.00",,"885652.14","146520.45","8494498.30","2702186.46","1849964.72",,"24414.85","2848686.31","0.00","0.00","377605.72","1083.04","0.00",,"176727.57","915106.47","0.00","1007969.00",,"31129792.06","10207795.06","2538726.11","243297.83","0.00","1273326679.39"
"January","2012","FY 2011-12","493107286.03","451940061.47","477899840.33","7633130.48","7126289.28","14009753.00","-2605943.43","31119716.59",,"11267.55","13002977.00","1278633.00","30460983.35","12271804.97","0.00","5769424.13","-20523.00","280780.77","0.00","271914.23","6518892.37","31491146.21",,"790280.49","1080985.57","8656655.87","86850525.84","3521210.00",,"94700.01","4846472.41","6822.37","597553.68","416073.33","11526.85","0.00",,"604814.70","35058409.91","84911482.00","2153074.80",,"31725722.89","8982040.79","1438215.13","175399.00","6119382.24","1859608782.21"
"February","2012","FY 2011-12","481771321.20","92941720.31","275255288.84","5313289.45","6217308.59","3922486.00","6832266.32","23075004.68",,"355537.19","-960012.00","-164683.41","313742.00","181746.57","0.00","5531714.41","7076182.70","14771159.37","1167844.00","3240723.31","3337092.86","28585884.54",,"710447.75","730835.24","6576031.01","4054834.45","4442503.33",,"74988.96","305946.26","223367.18","263218.00","349280.94","6992.58","0.00",,"197367.51","3563902.81","2369087.00","1051601.00",,"28138078.89","8510583.97","508882.85","153900.48","148897.63","1021146364.77"
"March","2012","FY 2011-12","564895879.20","104713533.60","185747684.91","2530107.09","6029389.98","0.00","14105963.83","161666524.76",,"336078.91","0.00","0.00","0.00","0.00","20.00","12253927.93","15354453.17","45531380.84","3479475.00","2249523.31","3680781.77","29765070.22",,"749662.78","166761.64","7988041.00","653516.07","2150585.15",,"14085.13","189662.91","50.00","0.00","346788.13","2162.00","0.00",,"260962.69","1162401.00","0.00","991187.00",,"28116273.34","7819878.93","1903202.99","166096.68","-1048.61","1205020063.35"
"April","2012","FY 2011-12","372964696.84","1223284456.17","389069033.42","6558418.74","8179143.01","17053000.00","11740783.90","41473420.27",,"59712.45","9008886.44","439597.00","39955495.40","19148489.98","0.00","65959386.83","-1518505.32","400398.56","3625869.00","7245.29","6010731.38","32038387.90",,"704115.43","1057806.39","9274578.46","85594631.00","3806065.18",,"64575.07","137602.27","0.00","545592.96","401468.00","813.74","0.00",,"26866.88","34176490.96","83446225.00","1734910.00",,"29074172.98","8957170.56","1676400.91","142477.92","5334617.33","2511615228.30"
