"township","gender","count"
"Andover","F","306"
"Andover","M","260"
"Ansonia","F","5004"
"Ansonia","M","4001"
"Ashford","F","628"
"Ashford","M","592"
"Avon","F","1153"
"Avon","M","833"
"Barkhamsted","F","349"
"Barkhamsted","M","309"
"Beacon Falls","F","636"
"Beacon Falls","M","535"
"Berlin","F","2100"
"Berlin","M","1634"
"Bethany","F","390"
"Bethany","M","371"
"Bethel","F","2433"
"Bethel","M","2051"
"Bethlehem","F","354"
"Bethlehem","M","320"
"Bloomfield","F","4068"
"Bloomfield","M","3398"
"Bolton","F","399"
"Bolton","M","390"
"Bozrah","F","334"
"Bozrah","M","354"
"Branford","F","3669"
"Branford","M","3129"
"Bridgeport","F","48752"
"Bridgeport","M","41911"
"Bridgewater","F","109"
"Bridgewater","M","90"
"Bristol","F","13634"
"Bristol","M","10885"
"Brookfield","F","1695"
"Brookfield","M","1344"
"Brooklyn","F","1482"
"Brooklyn","M","1154"
"Burlington","F","566"
"Burlington","M","537"
"Canaan","F","682"
"Canaan","M","566"
"Canterbury","F","736"
"Canterbury","M","639"
"Canton","F","920"
"Canton","M","746"
"Chaplin","F","359"
"Chaplin","M","342"
"Cheshire","F","2092"
"Cheshire","M","1736"
"Chester","F","410"
"Chester","M","359"
"Clinton","F","1746"
"Clinton","M","1439"
"Colchester","F","1976"
"Colchester","M","1651"
"Colebrook","F","116"
"Colebrook","M","130"
"Columbia","F","553"
"Columbia","M","442"
"Cornwall","F","198"
"Cornwall","M","182"
"Coventry","F","1261"
"Coventry","M","1146"
"Cromwell","F","1720"
"Cromwell","M","1299"
"Danbury","F","15935"
"Danbury","M","13506"
"Darien","F","770"
"Darien","M","644"
"Deep River","F","566"
"Deep River","M","512"
"Derby","F","3097"
"Derby","M","2487"
"Durham","F","499"
"Durham","M","395"
"East Granby","F","460"
"East Granby","M","376"
"East Haddam","F","884"
"East Haddam","M","722"
"East Hampton","F","1306"
"East Hampton","M","1137"
"East Hartford","F","14950"
"East Hartford","M","12436"
"East Haven","F","5858"
"East Haven","M","4723"
"East Lyme","F","1931"
"East Lyme","M","1504"
"East Windsor","F","1926"
"East Windsor","M","1579"
"Eastford","F","148"
"Eastford","M","168"
"Easton","F","408"
"Easton","M","388"
"Ellington","F","1402"
"Ellington","M","1096"
"Enfield","F","6418"
"Enfield","M","5286"
"Essex","F","520"
"Essex","M","454"
"Fairfield","F","4432"
"Fairfield","M","3715"
"Farmington","F","2439"
"Farmington","M","1949"
"Franklin","F","205"
"Franklin","M","180"
"Glastonbury","F","2680"
"Glastonbury","M","2032"
"Goshen","F","273"
"Goshen","M","235"
"Granby","F","776"
"Granby","M","728"
"Greenwich","F","4584"
"Greenwich","M","3589"
"Griswold","F","2387"
"Griswold","M","1953"
"Groton","F","5524"
"Groton","M","4304"
"Guilford","F","1663"
"Guilford","M","1412"
"Haddam","F","677"
"Haddam","M","595"
"Hamden","F","9908"
"Hamden","M","8131"
"Hampton","F","287"
"Hampton","M","264"
"Hartford","F","49630"
"Hartford","M","44157"
"Hartland","F","177"
"Hartland","M","167"
"Harwinton","F","501"
"Harwinton","M","408"
"Hebron","F","677"
"Hebron","M","628"
"Kent","F","379"
"Kent","M","271"
"Killingly","F","4267"
"Killingly","M","3453"
"Killingworth","F","421"
"Killingworth","M","376"
"Lebanon","F","836"
"Lebanon","M","1275"
"Ledyard","F","1714"
"Ledyard","M","1410"
"Lisbon","F","561"
"Lisbon","M","493"
"Litchfield","F","937"
"Litchfield","M","770"
"Lyme","F","167"
"Lyme","M","144"
"Madison","F","1157"
"Madison","M","937"
"Manchester","F","12934"
"Manchester","M","10916"
"Mansfield","F","1397"
"Mansfield","M","1077"
"Marlborough","F","539"
"Marlborough","M","426"
