"credentialid","name","type","businessname","dba","fullcredentialcode","credentialtype","credentialnumber","credentialsubcategory","credential","status","statusreason","active","issuedate","effectivedate","expirationdate","address","city","state","zip","recordrefreshedon"
"1059012","Chip Boyd's Tennis Camp","BUSINESS","Chip Boyd's Tennis Camp",,"YCYC.00220","YCYC","0220",,"Youth Camp","INACTIVE","WITHDRAWN CLOSED","0","1995-06-26T00:00:00.000","2001-06-26T00:00:00.000","2002-06-25T00:00:00.000","Old record. Street address not recorded.","Cheshire","CT",,"2012-04-03T00:00:00.000"
"1059013","ROUND HILL CLUB SUMMER CAMP","BUSINESS","ROUND HILL CLUB SUMMER CAMP",,"YCYC.00570","YCYC","0570",,"Youth Camp","ACTIVE","ACTIVE","1","2002-06-25T00:00:00.000","2022-07-01T00:00:00.000","2023-06-30T00:00:00.000","33 ROUND HILL CLUB RD","GREENWICH","CT","068313326","2022-07-06T00:00:00.000"
"1059014","Blue Chip Lacrosse Camp","BUSINESS","Blue Chip Lacrosse Camp",,"YCYC.00434","YCYC","0434",,"Youth Camp","INACTIVE","WITHDRAWN CLOSED","0","2000-06-30T00:00:00.000","2008-06-02T00:00:00.000","2009-06-01T00:00:00.000","1073 North Benson Road","Fairfield","CT","06824","2012-04-03T00:00:00.000"
"1059015","Player's Choice Lacrosse Camp","BUSINESS","Player's Choice Lacrosse Camp",,"YCYC.00577","YCYC","0577",,"Youth Camp","INACTIVE","WITHDRAWN CLOSED","0","2002-07-20T00:00:00.000","2002-07-20T00:00:00.000","2003-07-19T00:00:00.000","Old record. Street address not recorded.","Pomfret","CT",,"2012-04-03T00:00:00.000"
"1059016","Karate Kamp","BUSINESS","Karate Kamp",,"YCYC.00582","YCYC","0582",,"Youth Camp","INACTIVE","WITHDRAWN CLOSED","0","2002-07-08T00:00:00.000","2002-07-08T00:00:00.000","2003-07-07T00:00:00.000","Old record. Street address not recorded.","East Hartford","CT",,"2012-04-03T00:00:00.000"
"1059017","HOWIE DICKENMAN BASKETBALL SCHOOL","BUSINESS","HOWIE DICKENMAN BASKETBALL SCHOOL",,"YCYC.00206","YCYC","0206",,"Youth Camp","INACTIVE","LAPSED","0","1997-06-18T00:00:00.000","2015-05-06T00:00:00.000","2016-05-31T00:00:00.000","1615 STANLEY ST","NEW BRITAIN","CT","060502439","2016-06-07T00:00:00.000"
"1059018","St Thomas More Basketball Camp","BUSINESS","St Thomas More Basketball Camp",,"YCYC.00402","YCYC","0402",,"Youth Camp","ACTIVE","ACTIVE","1","1999-06-25T00:00:00.000","2022-06-01T00:00:00.000","2023-05-31T00:00:00.000","45 COTTAGE RD","OAKDALE","CT","063701051","2022-05-10T00:00:00.000"
"1059019","Lion Hill Farm","BUSINESS","Lion Hill Farm",,"YCYC.00536","YCYC","0536",,"Youth Camp","INACTIVE","WITHDRAWN CLOSED","0","2002-06-04T00:00:00.000","2002-06-04T00:00:00.000","2003-06-03T00:00:00.000","1020 SPORT HILL RD","EASTON","CT","066121227","2012-04-03T00:00:00.000"
"1059020","European Soccer Academy Day Camp","BUSINESS","European Soccer Academy Day Camp",,"YCYC.00622","YCYC","0622",,"Youth Camp","INACTIVE","WITHDRAWN CLOSED","0","2003-06-30T00:00:00.000","2009-06-17T00:00:00.000","2010-06-16T00:00:00.000","26 Chase Road","Thompson","CT","06277","2012-04-03T00:00:00.000"
"1059021","Perron's Total Tennis Summer Camp","BUSINESS","Perron's Total Tennis Summer Camp",,"YCYC.00398","YCYC","0398",,"Youth Camp","INACTIVE","WITHDRAWN CLOSED","0","1999-06-18T00:00:00.000","2006-06-07T00:00:00.000","2007-06-06T00:00:00.000","161 Cross Street","Middletown","CT","06459","2012-04-03T00:00:00.000"
"1059022","Larry Harrison's Basketball Camp","BUSINESS","Larry Harrison's Basketball Camp",,"YCYC.00467","YCYC","0467",,"Youth Camp","INACTIVE","WITHDRAWN CLOSED","0","1993-07-08T00:00:00.000","2005-06-13T00:00:00.000","2006-06-12T00:00:00.000","200 Bloomfield Avenue","West Hartford","CT",,"2012-04-03T00:00:00.000"
"1059023","FLAMIG FARM SUMMER ADVENTURE CAMP","BUSINESS","FLAMIG FARM SUMMER ADVENTURE CAMP",,"YCYC.00267","YCYC","0267",,"Youth Camp","ACTIVE","ACTIVE","1","1990-08-01T00:00:00.000","2022-07-01T00:00:00.000","2023-06-30T00:00:00.000","7 SHINGLE MILL RD","WEST SIMSBURY","CT","060922311","2022-07-28T00:00:00.000"
"1059024","Basketball World","BUSINESS","Basketball World",,"YCYC.00319","YCYC","0319",,"Youth Camp","ACTIVE","ACTIVE","1","1998-07-06T00:00:00.000","2022-07-05T00:00:00.000","2023-06-30T00:00:00.000","185 N MAIN ST # 75","SUFFIELD","CT","060782116","2022-07-05T00:00:00.000"
"1059025","Matt Striebel's Connecticut Champion Lacrosse Camp","BUSINESS","Matt Striebel's Connecticut Champion Lacrosse Camp",,"YCYC.00617","YCYC","0617",,"Youth Camp","INACTIVE","WITHDRAWN CLOSED","0","2003-07-14T00:00:00.000","2004-07-15T00:00:00.000","2005-07-14T00:00:00.000","East Avenue","Norwalk","CT",,"2012-04-03T00:00:00.000"
