"objectid","store_name","address","address2","city","state","zip5","zip4","county","longitude","latitude","location"
"200647","Andover Deli And Mini Mart 1","144 Jonathan Trumbull Hwy",,"Andover","CT","06232",,"TOLLAND","-72.397461","41.752289","POINT (-72.397461 41.752289)"
"221204","Andover Express","380 Route 6",,"Andover","CT","06232","1312","TOLLAND","-72.371429","41.738678","POINT (-72.371429 41.738678)"
"71717","Andover Farmer's Market","359 Route 6",,"Andover","CT","06232","1319","TOLLAND","-72.374107","41.73922","POINT (-72.374107 41.73922)"
"16263","Andover Xtra Mart 10012","497 Route 6",,"Andover","CT","06232","1320","TOLLAND","-72.357361","41.732826","POINT (-72.357361 41.732826)"
"173632","Ansonia Mini Mart LLC","147 N Main St",,"Ansonia","CT","06401","1629","NEW HAVEN","-73.080978","41.352249","POINT (-73.080978 41.352249)"
"100106","Ansonia Xpressmart","180 Wakelee Ave",,"Ansonia","CT","06401","1146","NEW HAVEN","-73.090736","41.344654","POINT (-73.090736 41.344654)"
"20602","Big Daddy Food Mart Llc n/a","59 Beaver St",,"Ansonia","CT","06401","3202","NEW HAVEN","-73.072815","41.342522","POINT (-73.072815 41.342522)"
"45233","Big Y 47","403 Main St",,"Ansonia","CT","06401",,"NEW HAVEN","-73.078011","41.339928","POINT (-73.078011 41.339928)"
"163465","Cumberland Farms, Inc 4716","5 Pershing Dr",,"Ansonia","CT","06401","2213","NEW HAVEN","-73.084038","41.332973","POINT (-73.084038 41.332973)"
"28465","CVS PHARMACY  718","2436 Pershing Dr",,"Ansonia","CT","06401","2229","NEW HAVEN","-73.082726","41.337082","POINT (-73.082726 41.337082)"
"59310","DAILY MART","131 N Main St",,"Ansonia","CT","06401","1629","NEW HAVEN","-73.080887","41.351475","POINT (-73.080887 41.351475)"
"40716","Daniel's Market Llc","3 Hill St",,"Ansonia","CT","06401","2407","NEW HAVEN","-73.070908","41.34129","POINT (-73.070908 41.34129)"
"144894","Europol Deli Gifts","354 Main St",,"Ansonia","CT","06401","2303","NEW HAVEN","-73.078003","41.341072","POINT (-73.078003 41.341072)"
"213817","Fuel First","575 Main St",,"Ansonia","CT","06401","2310","NEW HAVEN","-73.075867","41.335251","POINT (-73.075867 41.335251)"
"65213","Main Street Shell","694 Main St",,"Ansonia","CT","06401","2311","NEW HAVEN","-73.07737","41.331036","POINT (-73.07737 41.331036)"
"5692","Maple Mini Mart","18 Maple St",,"Ansonia","CT","06401","1222","NEW HAVEN","-73.082726","41.34573","POINT (-73.082726 41.34573)"
"83367","RITE AID 667","404 Main St",,"Ansonia","CT","06401","2307","NEW HAVEN","-73.077988","41.340233","POINT (-73.077988 41.340233)"
"238918","S A Mart & Deli","95 Wakelee Ave",,"Ansonia","CT","06401","1151","NEW HAVEN","-73.090477","41.338589","POINT (-73.090477 41.338589)"
"171467","Ssdj Minimart, Llc","262 Main St",,"Ansonia","CT","06401","1859","NEW HAVEN","-73.07856","41.342541","POINT (-73.07856 41.342541)"
"59377","STOP & SHOP 635","100 Division St","Ste 1","Ansonia","CT","06401","2101","NEW HAVEN","-73.086212","41.333969","POINT (-73.086212 41.333969)"
"91077","Target 2249","20 W Main St",,"Ansonia","CT","06401","1812","NEW HAVEN","-73.079819","41.344257","POINT (-73.079819 41.344257)"
"163481","Cumberland Farms 4693","33 Pompey Hollow Rd",,"Ashford","CT","06278","1530","WINDHAM","-72.162262","41.863506","POINT (-72.162262 41.863506)"
"148842","Dollar General 17740","5 Squaw Hollow Rd",,"Ashford","CT","06278","1546","WINDHAM","-72.178673","41.856419","POINT (-72.178673 41.856419)"
"71997","Squaw Hollow Xtra Mart 10083","9 Nott Hwy",,"Ashford","CT","06278","1316","WINDHAM","-72.17878","41.857044","POINT (-72.17878 41.857044)"
"112924","Big Y Supermarkets 53","255 W Main St",,"Avon","CT","06001","4352","HARTFORD","-72.851646","41.812096","POINT (-72.851646 41.812096)"
"164797","CVS Pharmacy  1180","358 W Main St",,"Avon","CT","06001","3643","HARTFORD","-72.861656","41.815388","POINT (-72.861656 41.815388)"
"54860","The Fresh Market 127","315 W Main St",,"Avon","CT","06001",,"HARTFORD","-72.856483","41.813534","POINT (-72.856483 41.813534)"
"193686","Walmart 2899","255 W Main St","Ste 1","Avon","CT","06001","4352","HARTFORD","-72.851646","41.812096","POINT (-72.851646 41.812096)"
"238101","Whole Foods Market 10770","50 Climax Rd",,"Avon","CT","06001","3625","HARTFORD","-72.839188","41.813976","POINT (-72.839188 41.813976)"
"61828","BALTIC CONVENIENCE STORE","8 W Main St # 821",,"Baltic","CT","06330","1343","NEW LONDON","-72.085297","41.617088","POINT (-72.085297 41.617088)"
"163462","Cumberland Farms, Inc 4698","184 Main St",,"Baltic","CT","06330","1329","NEW LONDON","-72.07515","41.613255","POINT (-72.07515 41.613255)"
"16004","Bantam Market","793 Bantam Rd",,"Bantam","CT","06750","1605","LITCHFIELD","-73.236237","41.72438","POINT (-73.236237 41.72438)"
"42996","Dollar General Store 18060","390 New Hartford Rd",,"Barkhamsted","CT","06063","3228","LITCHFIELD","-73.041016","41.910713","POINT (-73.041016 41.910713)"
"141114","Dollar Tree 6842","380 New Hartford Rd","Ste 1","Barkhamsted","CT","06063","3200","LITCHFIELD","-73.040527","41.910923","POINT (-73.040527 41.910923)"
