"license_num","dba_indicator","business_name","business_address","note","city","state","zip_code","license_expiration","license_type","geocoded_column"
"U1856",,"TRI CENTRAL MOTORS","ROUTE 17",,"DURHAM","CT","06422","2023-01-31T00:00:00.000","USED DEALER",
"U4503","DBA","BIG JIMS","TOWN DUMP RD",,"ESSEX","CT","06426","2024-05-31T00:00:00.000","USED DEALER",
"O5997",,"ABC BUS LEASING INC","1506 30TH ST NW",,"FARIBAULT","MN","55021","2024-03-31T00:00:00.000","LEASING LICENSE","POINT (-93.288308 44.322362)"
"R7762",,"TOWN FAIR TIRE CENTERS OF CONNECTICUT LLC","1330 EAST PUTNAM AVE",,"GREENWICH","CT","06830","2022-12-31T00:00:00.000","GENERAL REPAIRER",
"U8935",,"POPS EXHAUST 3 LLC","512 AND 516 WASHINGTON ST",,"MIDDLETOWN","CT","06457","2024-03-31T00:00:00.000","USED DEALER",
"R6250","DBA","GILS","7 ROUTE 37",,"NEW FAIRFIELD","CT","06812","2023-04-30T00:00:00.000","GENERAL REPAIRER",
"U0132",,"BENWAY AND SON AUTOBODY","RT 44",,"POMFRET","CT","06258","2024-03-31T00:00:00.000","USED DEALER",
"U0466",,"SKRIPS AUTO BODY INC.","104 CHESHIRE RD RT 68",,"PROSPECT","CT","06712","2024-01-31T00:00:00.000","USED DEALER",
"J2635",,"MITCHELLS AUTO PARTS INC","450 OLD TURNPIKE RD",,"SOUTHINGTON","CT","06489","2024-04-30T00:00:00.000","RECYCLER",
"U4315",,"IMPORT AUTO LTD","805 STONINGTON RD",,"STONINGTON","CT","06378-2519","2024-07-31T00:00:00.000","USED DEALER",
"U5332",,"THOMAS AUTOMOTIVE","54A BROOKS ST",,"TORRINGTON","CT","06790","2023-06-30T00:00:00.000","USED DEALER",
"O6394","DBA","DBA VERNON CHEVROLET","175 HARTFORD TPKE AND 160 HARTFORD TPKE",,"VERNON","CT","06066","2024-03-31T00:00:00.000","LEASING LICENSE",
"U0238",,"CHICKS AUTO PARTS INC","N CHERRY ST EXT",,"WALLINGFORD","CT","06492","2024-03-31T00:00:00.000","USED DEALER",
"U4784",,"WOODYS AUTO BODY INC","GOLF LINKS RD",,"WESTBROOK","CT","06498","2024-08-31T00:00:00.000","USED DEALER",
"O1904",,"LOMBARD FORD INC","RT 44 SOUTHSIDE",,"WINSTED","CT","06098","2024-03-31T00:00:00.000","LEASING LICENSE",
"U1008","DBA","CHESBRO FLOYD E JR","5 FAIRWAY DR",,"LEDYARD","CT","06339","2023-08-31T00:00:00.000","USED DEALER","POINT (-72.011452 41.440852)"
"U8652",,"RAPLEY CLASSIC CARS LLC","500 FEDERAL RD",,"BROOKFIELD","CT","06804-2019","2022-11-30T00:00:00.000","USED DEALER","POINT (-73.407389 41.461701)"
