"township","gender","count"
"Redding","M","522"
"Ridgefield","F","1407"
"Ridgefield","M","1139"
"Rocky Hill","F","2329"
"Rocky Hill","M","2024"
"Roxbury","F","188"
"Roxbury","M","166"
"Salem","F","482"
"Salem","M","401"
"Salisbury","F","402"
"Salisbury","M","311"
"Scotland","F","91"
"Scotland","M","98"
"Seymour","F","2866"
"Seymour","M","2325"
"Sharon","F","320"
"Sharon","M","380"
"Shelton","F","5494"
"Shelton","M","4498"
"Sherman","F","287"
"Sherman","M","279"
"Simsbury","F","1783"
"Simsbury","M","1478"
"Somers","F","878"
"Somers","M","811"
"South Windsor","F","2630"
"South Windsor","M","2093"
"Southbury","F","1894"
"Southbury","M","1423"
"Southington","F","5427"
"Southington","M","4261"
"Sprague","F","723"
"Sprague","M","607"
"Stafford","F","1975"
"Stafford","M","1686"
"Stamford","F","22787"
"Stamford","M","18698"
"Sterling","F","635"
"Sterling","M","546"
"Stonington","F","3242"
"Stonington","M","2685"
"Stratford","F","10310"
"Stratford","M","8422"
"Suffield","F","1315"
"Suffield","M","991"
"Thomaston","F","1231"
"Thomaston","M","1037"
"Thompson","F","1452"
"Thompson","M","1255"
"Tolland","F","1201"
"Tolland","M","1016"
"Torrington","F","9031"
"Torrington","M","8072"
"Trumbull","F","3547"
"Trumbull","M","2990"
"Union","F","50"
"Union","M","55"
"Unknown","F","186"
"Unknown","M","249"
"Vernon","F","6660"
"Vernon","M","5244"
"Voluntown","F","375"
"Voluntown","M","305"
"Wallingford","F","6398"
"Wallingford","M","4981"
"Warren","F","135"
"Warren","M","101"
"Washington","F","394"
"Washington","M","292"
"Waterbury","F","43038"
"Waterbury","M","39161"
"Waterford","F","2888"
"Waterford","M","2250"
"Watertown","F","3310"
"Watertown","M","2768"
"West Hartford","F","7872"
"West Hartford","M","6206"
"West Haven","F","14154"
"West Haven","M","12205"
"Westbrook","F","994"
"Westbrook","M","795"
"Weston","F","477"
"Weston","M","463"
"Westport","F","1482"
"Westport","M","1281"
"Wethersfield","F","3671"
"Wethersfield","M","2997"
"Willington","F","751"
"Willington","M","657"
"Wilton","F","1100"
"Wilton","M","813"
"Winchester","F","2602"
"Winchester","M","2211"
"Windham","F","7553"
"Windham","M","6590"
"Windsor Locks","F","2400"
"Windsor Locks","M","1940"
"Windsor","F","5790"
"Windsor","M","5522"
"Wolcott","F","2340"
"Wolcott","M","1991"
"Woodbridge","F","717"
"Woodbridge","M","610"
"Woodbury","F","1058"
"Woodbury","M","802"
"Woodstock","F","949"
"Woodstock","M","768"
