"township","ethnicity","count"
"Andover","Another Hispanic, Latino/a, or Spanish origin","20"
"Andover","Not of Hispanic, Latino/a, or Spanish origin","564"
"Ansonia","Another Hispanic, Latino/a, or Spanish origin","2020"
"Ansonia","Not of Hispanic, Latino/a, or Spanish origin","6659"
"Ashford","Another Hispanic, Latino/a, or Spanish origin","89"
"Ashford","Not of Hispanic, Latino/a, or Spanish origin","1199"
"Avon","Another Hispanic, Latino/a, or Spanish origin","106"
"Avon","Not of Hispanic, Latino/a, or Spanish origin","1651"
"Barkhamsted","Another Hispanic, Latino/a, or Spanish origin","15"
"Barkhamsted","Not of Hispanic, Latino/a, or Spanish origin","678"
"Beacon Falls","Another Hispanic, Latino/a, or Spanish origin","103"
"Beacon Falls","Not of Hispanic, Latino/a, or Spanish origin","1094"
"Berlin","Another Hispanic, Latino/a, or Spanish origin","323"
"Berlin","Not of Hispanic, Latino/a, or Spanish origin","3219"
"Bethany","Another Hispanic, Latino/a, or Spanish origin","23"
"Bethany","Not of Hispanic, Latino/a, or Spanish origin","643"
"Bethel","Another Hispanic, Latino/a, or Spanish origin","765"
"Bethel","Not of Hispanic, Latino/a, or Spanish origin","3181"
"Bethlehem","Another Hispanic, Latino/a, or Spanish origin","26"
"Bethlehem","Not of Hispanic, Latino/a, or Spanish origin","658"
"Bloomfield","Another Hispanic, Latino/a, or Spanish origin","631"
"Bloomfield","Not of Hispanic, Latino/a, or Spanish origin","6569"
"Bolton","Another Hispanic, Latino/a, or Spanish origin","59"
"Bolton","Not of Hispanic, Latino/a, or Spanish origin","722"
"Bozrah","Another Hispanic, Latino/a, or Spanish origin","47"
"Bozrah","Not of Hispanic, Latino/a, or Spanish origin","613"
"Branford","Another Hispanic, Latino/a, or Spanish origin","529"
"Branford","Not of Hispanic, Latino/a, or Spanish origin","6030"
"Bridgeport","Another Hispanic, Latino/a, or Spanish origin","37402"
"Bridgeport","Not of Hispanic, Latino/a, or Spanish origin","52786"
"Bridgewater","Another Hispanic, Latino/a, or Spanish origin","0"
"Bridgewater","Not of Hispanic, Latino/a, or Spanish origin","193"
"Bristol","Another Hispanic, Latino/a, or Spanish origin","4745"
"Bristol","Not of Hispanic, Latino/a, or Spanish origin","18228"
"Brookfield","Another Hispanic, Latino/a, or Spanish origin","300"
"Brookfield","Not of Hispanic, Latino/a, or Spanish origin","2334"
"Brooklyn","Another Hispanic, Latino/a, or Spanish origin","164"
"Brooklyn","Not of Hispanic, Latino/a, or Spanish origin","2365"
"Burlington","Another Hispanic, Latino/a, or Spanish origin","57"
"Burlington","Not of Hispanic, Latino/a, or Spanish origin","1025"
"Canaan","Another Hispanic, Latino/a, or Spanish origin","65"
"Canaan","Not of Hispanic, Latino/a, or Spanish origin","1033"
"Canterbury","Another Hispanic, Latino/a, or Spanish origin","51"
"Canterbury","Not of Hispanic, Latino/a, or Spanish origin","1283"
"Canton","Another Hispanic, Latino/a, or Spanish origin","49"
"Canton","Not of Hispanic, Latino/a, or Spanish origin","1453"
"Chaplin","Another Hispanic, Latino/a, or Spanish origin","42"
"Chaplin","Not of Hispanic, Latino/a, or Spanish origin","694"
"Cheshire","Another Hispanic, Latino/a, or Spanish origin","202"
"Cheshire","Not of Hispanic, Latino/a, or Spanish origin","3307"
"Chester","Another Hispanic, Latino/a, or Spanish origin","20"
"Chester","Not of Hispanic, Latino/a, or Spanish origin","795"
"Clinton","Another Hispanic, Latino/a, or Spanish origin","341"
"Clinton","Not of Hispanic, Latino/a, or Spanish origin","2719"
"Colchester","Another Hispanic, Latino/a, or Spanish origin","181"
"Colchester","Not of Hispanic, Latino/a, or Spanish origin","3389"
"Colebrook","Another Hispanic, Latino/a, or Spanish origin","0"
"Colebrook","Not of Hispanic, Latino/a, or Spanish origin","145"
"Columbia","Another Hispanic, Latino/a, or Spanish origin","61"
"Columbia","Not of Hispanic, Latino/a, or Spanish origin","881"
"Cornwall","Another Hispanic, Latino/a, or Spanish origin","19"
"Cornwall","Not of Hispanic, Latino/a, or Spanish origin","315"
"Coventry","Another Hispanic, Latino/a, or Spanish origin","141"
"Coventry","Not of Hispanic, Latino/a, or Spanish origin","2280"
"Cromwell","Another Hispanic, Latino/a, or Spanish origin","252"
"Cromwell","Not of Hispanic, Latino/a, or Spanish origin","2668"
"Danbury","Another Hispanic, Latino/a, or Spanish origin","12182"
"Danbury","Not of Hispanic, Latino/a, or Spanish origin","16132"
"Darien","Another Hispanic, Latino/a, or Spanish origin","198"
"Darien","Not of Hispanic, Latino/a, or Spanish origin","1089"
"Deep River","Another Hispanic, Latino/a, or Spanish origin","71"
"Deep River","Not of Hispanic, Latino/a, or Spanish origin","979"
"Derby","Another Hispanic, Latino/a, or Spanish origin","1215"
"Derby","Not of Hispanic, Latino/a, or Spanish origin","4237"
"Durham","Another Hispanic, Latino/a, or Spanish origin","42"
"Durham","Not of Hispanic, Latino/a, or Spanish origin","799"
"East Granby","Another Hispanic, Latino/a, or Spanish origin","55"
"East Granby","Not of Hispanic, Latino/a, or Spanish origin","742"
"East Haddam","Another Hispanic, Latino/a, or Spanish origin","101"
"East Haddam","Not of Hispanic, Latino/a, or Spanish origin","1547"
"East Hampton","Another Hispanic, Latino/a, or Spanish origin","90"
"East Hampton","Not of Hispanic, Latino/a, or Spanish origin","2349"
"East Hartford","Another Hispanic, Latino/a, or Spanish origin","9397"
"East Hartford","Not of Hispanic, Latino/a, or Spanish origin","17938"
"East Haven","Another Hispanic, Latino/a, or Spanish origin","1875"
"East Haven","Not of Hispanic, Latino/a, or Spanish origin","8473"
