"dateupdated","gender","totalcases","confirmedcases","probablecases","totalcaserate","totaldeaths","confirmeddeaths","probabledeaths"
"2022-06-24T00:00:00.000","Female","435756","390622","45134","23592","5397","4370","1027"
"2022-06-24T00:00:00.000","Male","384179","343810","40369","21842","5626","4648","978"
"2022-06-23T00:00:00.000","Female","435316","390240","45076","23568","5397","4370","1027"
"2022-06-23T00:00:00.000","Male","383828","343493","40335","21822","5626","4648","978"
"2022-06-22T00:00:00.000","Female","434953","389931","45022","23548","5397","4370","1027"
"2022-06-22T00:00:00.000","Male","383526","343238","40288","21805","5625","4647","978"
"2022-06-21T00:00:00.000","Female","434523","389567","44956","23525","5397","4370","1027"
"2022-06-21T00:00:00.000","Male","383226","342989","40237","21788","5624","4646","978"
"2022-06-20T00:00:00.000","Female","434216","389350","44866","23509","5389","4364","1025"
"2022-06-20T00:00:00.000","Male","382966","342796","40170","21773","5615","4638","977"
"2022-06-17T00:00:00.000","Female","433442","388631","44811","23467","5389","4364","1025"
"2022-06-17T00:00:00.000","Male","382295","342162","40133","21735","5615","4638","977"
"2022-06-16T00:00:00.000","Female","432976","388262","44714","23713","5389","4364","1025"
"2022-06-16T00:00:00.000","Male","381909","341862","40047","21956","5615","4638","977"
"2022-06-15T00:00:00.000","Female","432731","388040","44691","23428","5389","4364","1025"
"2022-06-15T00:00:00.000","Male","381675","341653","40022","21700","5615","4638","977"
"2022-06-14T00:00:00.000","Female","432265","387638","44627","23403","5389","4364","1025"
"2022-06-14T00:00:00.000","Male","381310","341343","39967","21679","5615","4638","977"
"2022-06-13T00:00:00.000","Female","431832","387300","44532","23379","5382","4360","1022"
"2022-06-13T00:00:00.000","Male","381005","341100","39905","21662","5607","4633","974"
"2022-06-10T00:00:00.000","Female","430939","386493","44446","23331","5382","4360","1022"
"2022-06-10T00:00:00.000","Male","380263","340428","39835","21620","5607","4632","975"
"2022-06-09T00:00:00.000","Female","430526","386151","44375","23579","5382","4360","1022"
"2022-06-09T00:00:00.000","Male","379981","340194","39787","21845","5606","4632","974"
"2022-06-08T00:00:00.000","Female","430144","385860","44284","23288","5382","4360","1022"
"2022-06-08T00:00:00.000","Male","379683","339943","39740","21587","5607","4632","975"
"2022-06-07T00:00:00.000","Female","429816","385596","44220","23270","5383","4361","1022"
"2022-06-07T00:00:00.000","Male","379370","339704","39666","21569","5604","4629","975"
"2022-06-06T00:00:00.000","Female","429450","385342","44108","23251","5373","4353","1020"
"2022-06-06T00:00:00.000","Male","379070","339489","39581","21552","5587","4615","972"
"2022-06-03T00:00:00.000","Female","428522","384544","43978","23200","5374","4353","1021"
"2022-06-03T00:00:00.000","Male","378262","338797","39465","21506","5588","4616","972"
"2022-06-02T00:00:00.000","Female","427954","384098","43856","23170","5373","4353","1020"
"2022-06-02T00:00:00.000","Male","377755","338377","39378","21477","5588","4616","972"
"2022-06-01T00:00:00.000","Female","427581","383786","43795","23418","5374","4353","1021"
"2022-06-01T00:00:00.000","Male","377467","338138","39329","21701","5588","4616","972"
"2022-05-31T00:00:00.000","Female","427000","383406","43594","23386","5353","4339","1014"
"2022-05-31T00:00:00.000","Male","377057","337868","39189","21677","5577","4608","969"
"2022-05-27T00:00:00.000","Female","425482","382048","43434","23303","5353","4339","1014"
"2022-05-27T00:00:00.000","Male","375853","336794","39059","21608","5577","4608","969"
"2022-05-26T00:00:00.000","Female","424820","381514","43306","23267","5353","4339","1014"
"2022-05-26T00:00:00.000","Male","375375","336414","38961","21581","5577","4608","969"
"2022-05-25T00:00:00.000","Female","423956","380795","43161","23219","5350","4336","1014"
"2022-05-25T00:00:00.000","Male","374660","335818","38842","21539","5575","4607","968"
"2022-05-24T00:00:00.000","Female","423042","380054","42988","23169","5350","4336","1014"
"2022-05-24T00:00:00.000","Male","373928","335230","38698","21497","5576","4608","968"
"2022-05-23T00:00:00.000","Female","422476","379551","42925","23138","5343","4331","1012"
"2022-05-23T00:00:00.000","Male","373468","334811","38657","21471","5572","4604","968"
"2022-05-20T00:00:00.000","Female","420485","377745","42740","23029","5343","4331","1012"
"2022-05-20T00:00:00.000","Male","371992","333449","38543","21386","5572","4604","968"
"2022-05-19T00:00:00.000","Female","419258","376704","42554","22962","5342","4331","1011"
"2022-05-19T00:00:00.000","Male","371105","332667","38438","21335","5569","4601","968"
"2022-05-18T00:00:00.000","Female","418173","375771","42402","22903","5342","4331","1011"
"2022-05-18T00:00:00.000","Male","370310","332002","38308","21289","5569","4601","968"
"2022-05-17T00:00:00.000","Female","417116","374890","42226","22845","5342","4331","1011"
"2022-05-17T00:00:00.000","Male","369436","331245","38191","21239","5569","4601","968"
"2022-05-16T00:00:00.000","Female","416116","374115","42001","22790","5338","4328","1010"
"2022-05-16T00:00:00.000","Male","368672","330638","38034","21195","5565","4598","967"
"2022-05-13T00:00:00.000","Female","410369","368382","41987","22475","5338","4328","1010"
