"township","gender","count"
"Andover","F","298"
"Andover","M","267"
"Ansonia","F","4914"
"Ansonia","M","3947"
"Ashford","F","630"
"Ashford","M","574"
"Avon","F","1133"
"Avon","M","811"
"Barkhamsted","F","337"
"Barkhamsted","M","312"
"Beacon Falls","F","626"
"Beacon Falls","M","545"
"Berlin","F","2057"
"Berlin","M","1580"
"Bethany","F","389"
"Bethany","M","360"
"Bethel","F","2383"
"Bethel","M","1943"
"Bethlehem","F","360"
"Bethlehem","M","334"
"Bloomfield","F","4002"
"Bloomfield","M","3262"
"Bolton","F","391"
"Bolton","M","376"
"Bozrah","F","369"
"Bozrah","M","387"
"Branford","F","3665"
"Branford","M","3044"
"Bridgeport","F","48422"
"Bridgeport","M","41765"
"Bridgewater","F","103"
"Bridgewater","M","87"
"Bristol","F","13239"
"Bristol","M","10479"
"Brookfield","F","1603"
"Brookfield","M","1308"
"Brooklyn","F","1465"
"Brooklyn","M","1155"
"Burlington","F","534"
"Burlington","M","520"
"Canaan","F","662"
"Canaan","M","534"
"Canterbury","F","723"
"Canterbury","M","599"
"Canton","F","923"
"Canton","M","749"
"Chaplin","F","382"
"Chaplin","M","355"
"Cheshire","F","2071"
"Cheshire","M","1699"
"Chester","F","411"
"Chester","M","356"
"Clinton","F","1754"
"Clinton","M","1374"
"Colchester","F","1910"
"Colchester","M","1565"
"Colebrook","F","109"
"Colebrook","M","125"
"Columbia","F","509"
"Columbia","M","437"
"Cornwall","F","181"
"Cornwall","M","174"
"Coventry","F","1262"
"Coventry","M","1135"
"Cromwell","F","1623"
"Cromwell","M","1229"
"Danbury","F","15700"
"Danbury","M","13262"
"Darien","F","777"
"Darien","M","671"
"Deep River","F","577"
"Deep River","M","503"
"Derby","F","3068"
"Derby","M","2474"
"Durham","F","493"
"Durham","M","401"
"East Granby","F","421"
"East Granby","M","363"
"East Haddam","F","864"
"East Haddam","M","700"
"East Hampton","F","1315"
"East Hampton","M","1133"
"East Hartford","F","14898"
"East Hartford","M","12272"
"East Haven","F","5854"
"East Haven","M","4650"
"East Lyme","F","1921"
"East Lyme","M","1477"
"East Windsor","F","1932"
"East Windsor","M","1553"
"Eastford","F","160"
"Eastford","M","162"
"Easton","F","412"
"Easton","M","378"
"Ellington","F","1347"
"Ellington","M","1068"
"Enfield","F","6325"
"Enfield","M","5195"
"Essex","F","524"
"Essex","M","449"
"Fairfield","F","4439"
"Fairfield","M","3724"
"Farmington","F","2459"
"Farmington","M","1912"
"Franklin","F","201"
"Franklin","M","181"
"Glastonbury","F","2637"
"Glastonbury","M","1953"
"Goshen","F","274"
"Goshen","M","226"
"Granby","F","768"
"Granby","M","699"
"Greenwich","F","4510"
"Greenwich","M","3517"
"Griswold","F","2313"
"Griswold","M","1915"
"Groton","F","5411"
"Groton","M","4167"
"Guilford","F","1641"
"Guilford","M","1381"
"Haddam","F","648"
"Haddam","M","574"
"Hamden","F","9544"
"Hamden","M","7791"
"Hampton","F","273"
"Hampton","M","250"
"Hartford","F","50150"
"Hartford","M","44379"
"Hartland","F","189"
"Hartland","M","171"
"Harwinton","F","505"
"Harwinton","M","417"
"Hebron","F","667"
"Hebron","M","640"
"Kent","F","372"
"Kent","M","268"
"Killingly","F","4108"
"Killingly","M","3312"
"Killingworth","F","440"
"Killingworth","M","389"
"Lebanon","F","788"
"Lebanon","M","1075"
