"township","age_group","age","count"
"Colchester","5","Ages 65 and older","652"
"Colebrook","1","Under 1 year old","0"
"Colebrook","2","Ages 1-4","9"
"Colebrook","3","Ages 5-17","63"
"Colebrook","4","Ages 18-64","148"
"Colebrook","5","Ages 65 and older","25"
"Columbia","1","Under 1 year old","13"
"Columbia","2","Ages 1-4","69"
"Columbia","3","Ages 5-17","197"
"Columbia","4","Ages 18-64","552"
"Columbia","5","Ages 65 and older","164"
"Cornwall","1","Under 1 year old","5"
"Cornwall","2","Ages 1-4","24"
"Cornwall","3","Ages 5-17","84"
"Cornwall","4","Ages 18-64","203"
"Cornwall","5","Ages 65 and older","64"
"Coventry","1","Under 1 year old","32"
"Coventry","2","Ages 1-4","141"
"Coventry","3","Ages 5-17","528"
"Coventry","4","Ages 18-64","1383"
"Coventry","5","Ages 65 and older","323"
"Cromwell","1","Under 1 year old","45"
"Cromwell","2","Ages 1-4","163"
"Cromwell","3","Ages 5-17","528"
"Cromwell","4","Ages 18-64","1595"
"Cromwell","5","Ages 65 and older","688"
"Danbury","1","Under 1 year old","730"
"Danbury","2","Ages 1-4","2992"
"Danbury","3","Ages 5-17","8350"
"Danbury","4","Ages 18-64","13915"
"Danbury","5","Ages 65 and older","3454"
"Darien","1","Under 1 year old","0"
"Darien","2","Ages 1-4","43"
"Darien","3","Ages 5-17","337"
"Darien","4","Ages 18-64","860"
"Darien","5","Ages 65 and older","171"
"Deep River","1","Under 1 year old","5"
"Deep River","2","Ages 1-4","42"
"Deep River","3","Ages 5-17","218"
"Deep River","4","Ages 18-64","597"
"Deep River","5","Ages 65 and older","216"
"Derby","1","Under 1 year old","100"
"Derby","2","Ages 1-4","422"
"Derby","3","Ages 5-17","1265"
"Derby","4","Ages 18-64","3119"
"Derby","5","Ages 65 and older","678"
"Durham","1","Under 1 year old","12"
"Durham","2","Ages 1-4","53"
"Durham","3","Ages 5-17","131"
"Durham","4","Ages 18-64","516"
"Durham","5","Ages 65 and older","182"
"East Granby","1","Under 1 year old","13"
"East Granby","2","Ages 1-4","51"
"East Granby","3","Ages 5-17","188"
"East Granby","4","Ages 18-64","443"
"East Granby","5","Ages 65 and older","141"
"East Haddam","1","Under 1 year old","20"
"East Haddam","2","Ages 1-4","110"
"East Haddam","3","Ages 5-17","307"
"East Haddam","4","Ages 18-64","881"
"East Haddam","5","Ages 65 and older","288"
"East Hampton","1","Under 1 year old","28"
"East Hampton","2","Ages 1-4","132"
"East Hampton","3","Ages 5-17","471"
"East Hampton","4","Ages 18-64","1389"
"East Hampton","5","Ages 65 and older","423"
"East Hartford","1","Under 1 year old","536"
"East Hartford","2","Ages 1-4","2312"
"East Hartford","3","Ages 5-17","6572"
"East Hartford","4","Ages 18-64","14785"
"East Hartford","5","Ages 65 and older","3181"
"East Haven","1","Under 1 year old","169"
"East Haven","2","Ages 1-4","682"
"East Haven","3","Ages 5-17","2051"
"East Haven","4","Ages 18-64","5789"
"East Haven","5","Ages 65 and older","1890"
"East Lyme","1","Under 1 year old","40"
"East Lyme","2","Ages 1-4","147"
"East Lyme","3","Ages 5-17","668"
"East Lyme","4","Ages 18-64","1902"
"East Lyme","5","Ages 65 and older","678"
"East Windsor","1","Under 1 year old","49"
"East Windsor","2","Ages 1-4","239"
"East Windsor","3","Ages 5-17","720"
"East Windsor","4","Ages 18-64","1886"
"East Windsor","5","Ages 65 and older","611"
"Eastford","1","Under 1 year old","5"
"Eastford","2","Ages 1-4","17"
