"township","age_group","age","count"
"Andover","1","Under 1 year old","10"
"Andover","2","Ages 1-4","20"
"Andover","3","Ages 5-17","136"
"Andover","4","Ages 18-64","350"
"Andover","5","Ages 65 and older","80"
"Ansonia","1","Under 1 year old","190"
"Ansonia","2","Ages 1-4","714"
"Ansonia","3","Ages 5-17","2252"
"Ansonia","4","Ages 18-64","5060"
"Ansonia","5","Ages 65 and older","822"
"Ashford","1","Under 1 year old","25"
"Ashford","2","Ages 1-4","106"
"Ashford","3","Ages 5-17","300"
"Ashford","4","Ages 18-64","702"
"Ashford","5","Ages 65 and older","118"
"Avon","1","Under 1 year old","23"
"Avon","2","Ages 1-4","84"
"Avon","3","Ages 5-17","370"
"Avon","4","Ages 18-64","932"
"Avon","5","Ages 65 and older","481"
"Barkhamsted","1","Under 1 year old","8"
"Barkhamsted","2","Ages 1-4","46"
"Barkhamsted","3","Ages 5-17","152"
"Barkhamsted","4","Ages 18-64","396"
"Barkhamsted","5","Ages 65 and older","101"
"Beacon Falls","1","Under 1 year old","20"
"Beacon Falls","2","Ages 1-4","65"
"Beacon Falls","3","Ages 5-17","244"
"Beacon Falls","4","Ages 18-64","698"
"Beacon Falls","5","Ages 65 and older","179"
"Berlin","1","Under 1 year old","50"
"Berlin","2","Ages 1-4","196"
"Berlin","3","Ages 5-17","674"
"Berlin","4","Ages 18-64","1975"
"Berlin","5","Ages 65 and older","893"
"Bethany","1","Under 1 year old","8"
"Bethany","2","Ages 1-4","29"
"Bethany","3","Ages 5-17","124"
"Bethany","4","Ages 18-64","422"
"Bethany","5","Ages 65 and older","109"
"Bethel","1","Under 1 year old","83"
"Bethel","2","Ages 1-4","270"
"Bethel","3","Ages 5-17","1042"
"Bethel","4","Ages 18-64","2225"
"Bethel","5","Ages 65 and older","621"
"Bethlehem","1","Under 1 year old","20"
"Bethlehem","2","Ages 1-4","44"
"Bethlehem","3","Ages 5-17","125"
"Bethlehem","4","Ages 18-64","378"
"Bethlehem","5","Ages 65 and older","114"
"Bloomfield","1","Under 1 year old","115"
"Bloomfield","2","Ages 1-4","456"
"Bloomfield","3","Ages 5-17","1391"
"Bloomfield","4","Ages 18-64","3973"
"Bloomfield","5","Ages 65 and older","1418"
"Bolton","1","Under 1 year old","11"
"Bolton","2","Ages 1-4","37"
"Bolton","3","Ages 5-17","148"
"Bolton","4","Ages 18-64","474"
"Bolton","5","Ages 65 and older","98"
"Bozrah","1","Under 1 year old","10"
"Bozrah","2","Ages 1-4","47"
"Bozrah","3","Ages 5-17","142"
"Bozrah","4","Ages 18-64","429"
"Bozrah","5","Ages 65 and older","79"
"Branford","1","Under 1 year old","143"
"Branford","2","Ages 1-4","385"
"Branford","3","Ages 5-17","1209"
"Branford","4","Ages 18-64","3938"
"Branford","5","Ages 65 and older","1191"
"Bridgeport","1","Under 1 year old","2143"
"Bridgeport","2","Ages 1-4","7842"
"Bridgeport","3","Ages 5-17","22916"
"Bridgeport","4","Ages 18-64","50118"
