"town","age_group","at_least_one_census_tract","population","initiated_vaccination","initiated_vaccination_percent","fully_vaccinated","fully_vaccinated_percent","additional_dose_1_received","additional_dose_1_received_percent","dateupdated"
"Address pending validation","0-4",,,"21",,,,,,"2022-09-07T00:00:00.000"
"Address pending validation","12-17",,,"476",,"348",,"100",,"2022-09-07T00:00:00.000"
"Address pending validation","18-24",,,"1458",,"1005",,"284",,"2022-09-07T00:00:00.000"
"Address pending validation","25-44",,,"3716",,"3013",,"636",,"2022-09-07T00:00:00.000"
"Address pending validation","45-64",,,"3758",,"3193",,"1129",,"2022-09-07T00:00:00.000"
"Address pending validation","5-11",,,"226",,"172",,"13",,"2022-09-07T00:00:00.000"
"Address pending validation","65+",,,"2630",,"2215",,"1047",,"2022-09-07T00:00:00.000"
"Andover","0-4","No","105","13","12.38",,,,,"2022-09-07T00:00:00.000"
"Andover","12-17","No","329","198","60.18","195","59.27","96","29.18","2022-09-07T00:00:00.000"
"Andover","18-24","No","294","229","77.89","212","72.11","111","37.76","2022-09-07T00:00:00.000"
"Andover","25-44","No","628","486","77.39","462","73.57","249","39.65","2022-09-07T00:00:00.000"
"Andover","45-64","No","1217","935","76.83","909","74.69","655","53.82","2022-09-07T00:00:00.000"
"Andover","5-11","No","278","69","24.82","65","23.38","5","1.8","2022-09-07T00:00:00.000"
"Andover","65+","No","421","548","100","524","100","452","100","2022-09-07T00:00:00.000"
"Ansonia","0-4","Yes","1120","27","2.41","5","0.45",,,"2022-09-07T00:00:00.000"
"Ansonia","12-17","Yes","1505","907","60.27","844","56.08","265","17.61","2022-09-07T00:00:00.000"
"Ansonia","18-24","Yes","1743","1228","70.45","1113","63.86","475","27.25","2022-09-07T00:00:00.000"
"Ansonia","25-44","Yes","5043","3867","76.68","3584","71.07","1603","31.79","2022-09-07T00:00:00.000"
"Ansonia","45-64","Yes","5365","4447","82.89","4208","78.43","2606","48.57","2022-09-07T00:00:00.000"
"Ansonia","5-11","Yes","1648","520","31.55","452","27.43","47","2.85","2022-09-07T00:00:00.000"
"Ansonia","65+","Yes","2535","2517","99.29","2416","95.31","1885","74.36","2022-09-07T00:00:00.000"
"Ashford","0-4","No","238","15","6.3",,,,,"2022-09-07T00:00:00.000"
"Ashford","12-17","No","292","205","70.21","194","66.44","106","36.3","2022-09-07T00:00:00.000"
"Ashford","18-24","No","362","251","69.34","222","61.33","112","30.94","2022-09-07T00:00:00.000"
"Ashford","25-44","No","1025","714","69.66","668","65.17","345","33.66","2022-09-07T00:00:00.000"
"Ashford","45-64","No","1456","1079","74.11","1035","71.09","711","48.83","2022-09-07T00:00:00.000"
"Ashford","5-11","No","314","118","37.58","104","33.12","15","4.78","2022-09-07T00:00:00.000"
"Ashford","65+","No","572","739","100","715","100","604","100","2022-09-07T00:00:00.000"
"Avon","0-4","No","778","182","23.39","74","9.51",,,"2022-09-07T00:00:00.000"
"Avon","12-17","No","1787","1755","98.21","1664","93.12","988","55.29","2022-09-07T00:00:00.000"
"Avon","18-24","No","1147","1558","100","1307","100","844","73.58","2022-09-07T00:00:00.000"
"Avon","25-44","No","3448","3565","100","3282","95.19","2206","63.98","2022-09-07T00:00:00.000"
"Avon","45-64","No","5968","5408","90.62","5154","86.36","4052","67.9","2022-09-07T00:00:00.000"
"Avon","5-11","No","1847","1264","68.44","1206","65.3","243","13.16","2022-09-07T00:00:00.000"
"Avon","65+","No","3446","3940","100","3697","100","3138","91.06","2022-09-07T00:00:00.000"
"Barkhamsted","0-4","No","112","5","4.46",,,,,"2022-09-07T00:00:00.000"
"Barkhamsted","12-17","No","309","203","65.7","193","62.46","101","32.69","2022-09-07T00:00:00.000"
"Barkhamsted","18-24","No","222","218","98.2","203","91.44","109","49.1","2022-09-07T00:00:00.000"
"Barkhamsted","25-44","No","741","537","72.47","510","68.83","273","36.84","2022-09-07T00:00:00.000"
"Barkhamsted","45-64","No","1386","1045","75.4","1007","72.66","737","53.17","2022-09-07T00:00:00.000"
"Barkhamsted","5-11","No","319","99","31.03","90","28.21","13","4.08","2022-09-07T00:00:00.000"
"Barkhamsted","65+","No","616","726","100","696","100","571","92.69","2022-09-07T00:00:00.000"
"Beacon Falls","0-4","No","254","9","3.54",,,,,"2022-09-07T00:00:00.000"
"Beacon Falls","12-17","No","471","317","67.3","309","65.61","121","25.69","2022-09-07T00:00:00.000"
"Beacon Falls","18-24","No","439","396","90.21","362","82.46","203","46.24","2022-09-07T00:00:00.000"
"Beacon Falls","25-44","No","1527","1032","67.58","958","62.74","490","32.09","2022-09-07T00:00:00.000"
"Beacon Falls","45-64","No","1929","1510","78.28","1447","75.01","968","50.18","2022-09-07T00:00:00.000"
"Beacon Falls","5-11","No","484","134","27.69","126","26.03","14","2.89","2022-09-07T00:00:00.000"
"Beacon Falls","65+","No","951","1120","100","1067","100","882","92.74","2022-09-07T00:00:00.000"
"Berlin","0-4","No","893","64","7.17","15","1.68",,,"2022-09-07T00:00:00.000"
"Berlin","12-17","No","1538","1153","74.97","1097","71.33","537","34.92","2022-09-07T00:00:00.000"
"Berlin","18-24","No","1490","1374","92.21","1280","85.91","722","48.46","2022-09-07T00:00:00.000"
"Berlin","25-44","No","4289","3567","83.17","3339","77.85","1864","43.46","2022-09-07T00:00:00.000"
"Berlin","45-64","No","6790","5299","78.04","5112","75.29","3652","53.78","2022-09-07T00:00:00.000"
"Berlin","5-11","No","1598","597","37.36","539","33.73","70","4.38","2022-09-07T00:00:00.000"
"Berlin","65+","No","4012","4466","100","4283","100","3585","89.36","2022-09-07T00:00:00.000"
"Bethany","0-4","No","228","39","17.11","22","9.65",,,"2022-09-07T00:00:00.000"
"Bethany","12-17","No","476","323","67.86","309","64.92","154","32.35","2022-09-07T00:00:00.000"
"Bethany","18-24","No","386","449","100","396","100","236","61.14","2022-09-07T00:00:00.000"
"Bethany","25-44","No","1011","890","88.03","825","81.6","501","49.55","2022-09-07T00:00:00.000"
"Bethany","45-64","No","2135","1516","71.01","1458","68.29","1030","48.24","2022-09-07T00:00:00.000"
"Bethany","5-11","No","429","282","65.73","259","60.37","41","9.56","2022-09-07T00:00:00.000"
"Bethany","65+","No","866","1051","100","1010","100","813","93.88","2022-09-07T00:00:00.000"
"Bethel","0-4","No","865","106","12.25","6","0.69",,,"2022-09-07T00:00:00.000"
"Bethel","12-17","No","1557","1414","90.82","1334","85.68","557","35.77","2022-09-07T00:00:00.000"
"Bethel","18-24","No","1600","1434","89.62","1279","79.94","633","39.56","2022-09-07T00:00:00.000"
"Bethel","25-44","No","4522","4169","92.19","3755","83.04","1967","43.5","2022-09-07T00:00:00.000"
"Bethel","45-64","No","6259","5239","83.7","4966","79.34","3381","54.02","2022-09-07T00:00:00.000"
